,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.024665191393849602,-0.04742609284012005,-0.02618364687034551,0.02639145012671973,-0.02409531723070008,-0.03050685524706329,-0.03553365468638843,0.35285039826745074,0.6316570034488767,0.1197601733250628,0.07127124184958303,-0.23037301244776898,-0.08461859095909893,-0.014791140240705975,-0.025251883379212903,-0.02318833732296611,-0.051132282195968874,0.023122573458370422,-0.026828311683947823,-0.050674050454353504,0.05235163340333382,0.21106092975049764,0.024738016145754275,0.04172752335390971,0.01914817493828317,-0.11507356167552969,-0.0363101838396514,-0.10015268728026838,-0.01644879101193413,-0.05392053668086942,-0.049722085801176034,-0.040505018469741264,-0.0019936653836939875,-0.005072306181682648,0.3099526534191506,-0.10531607202830404,0.03453277717505925,0.0897326884956377,0.12872439704447663,-0.03177381271383696,0.002282042493799903,0.04085111580785721,0.022128439770520193,-0.09324905332042475,-0.007226358966447522,0.010366198086708432,-0.049662935529685294,0.16040563583374023,-0.8000931171781999,0.11128854751586915,,,,,-0.003687143325805664,-0.012264728546142578,,-0.09052562713623047
CESM2,0.027076014899603807,-0.02020948584896528,-0.06405552114829997,0.09970082103864517,-0.022025354840247657,0.0341709266524107,0.06901405590454583,-0.13093715766005268,-0.0688475546513352,-0.15572762238532575,-0.0980046309632479,-0.10298919377426673,-0.23321688305888902,-0.0009051316601836869,-0.02130838704174765,0.004972993796362132,-0.04893690964751074,-0.01713577624668413,-0.006409059753783155,0.03893873418558515,0.028457611141289453,0.34001564575017057,0.12022056081552683,0.06971617229260677,-0.05316512346559727,-0.017241073826467213,-0.15140424707440683,0.002373535198930313,-0.022353985990442905,0.006229634052601153,-0.0007901440974808157,0.04284745913481049,-0.016542768849704927,0.006810151000186222,0.35074729462568627,-0.0057403937084748455,0.005709227578264027,0.1026991893345915,0.1299959728362039,-0.030309854235179418,-0.015858862652874298,-0.004109710716662435,0.020264731769410762,0.007827632692351951,-0.00446374514291362,-0.014598559494788539,-0.028553671839569444,0.00461002502333417,-0.15791521148414597,0.18986422153042068,,,,,0.49756429021246307,,,-0.016240239143371582
EC-Earth3-LR,0.07658931197798798,0.007782501549052238,-0.03394730433170721,0.015090263110838985,-0.03331605403991337,-0.04733248798860299,0.0720784244419727,-0.0036570069404379658,0.07255062181654381,-0.21397207890137154,0.04738822812539742,-0.06288827126363393,-0.16972733831021772,-0.014155469533524201,-0.10672815451999028,0.02921768037738624,-0.0035139546706825417,-0.010673281946341751,-0.007019383499998404,0.02580474820171036,0.01484188336573693,0.3366169399474734,0.19107914442927915,0.2027438792821412,0.05752813823643084,0.09210593095980871,-0.07043533889661917,-0.19182298108407136,-0.0021697295979653075,0.016569478103478655,0.002845753715864328,0.00029214188924152264,0.008672215212885,-0.0025492720132699333,0.1822869117403307,-0.00625904203002332,0.04677285550848634,0.20553796998000937,-0.0019747245046656025,-0.07444188123169349,-0.010199113581140262,-0.01081643844096354,-0.006202349618979232,0.034986864330690794,-0.007781200990438932,-0.03518038244644594,0.08161657630027891,0.09390038198220117,-0.1608157750344774,0.388846746822469,-0.2574315071105957,,,,0.6070895676169741,0.48951172828674316,,
FGOALS-f3-L,-0.02817345143021876,-0.03524270520708098,-0.04510926453425701,0.040612251516176694,-0.0055026459913116,-0.028597983430018768,0.21813115339526884,-0.10775095996241688,-0.011802765423379323,-0.3516317961727487,-0.26304069791996126,-0.044656302707419375,-0.10470562865967335,-0.019700146398055535,-0.09113719610926231,0.014277281404091314,-0.026978338564617524,-0.00932277131223437,-0.023476604640114945,0.04986577809409174,0.01167475244672671,0.4099559985064054,-0.026246554546927932,0.17582254272360728,0.03251005568371928,-0.0307667469021219,-0.06852885945875745,-0.11911653099200077,-0.02163257548168684,-0.01688340395756994,-0.02536996214504932,-0.022308561820825377,-0.006058626990532029,-0.0018308317188790487,0.18037207313661124,0.011335194149868284,0.010844477821755608,0.30358694380888696,-0.06562502088975046,-0.06719888336427593,-0.014012236796119206,-0.05702273964154438,0.0103197493880525,0.13857582477229585,-0.009646233584600941,-0.05309562949372294,-0.008080759139354922,-0.06734159924749668,0.34206588293444357,0.00871014492370186,-0.020597219467163086,,,,0.14183752657433057,-0.01949024200439453,,-0.0236361026763916
FGOALS-g3,0.010311697830057979,-0.04038419482928918,-0.015131843381710015,-0.04592185040868124,0.01988415843318057,0.08217107530392662,0.23837017625616058,0.8936437237144654,0.9845225817970225,0.3885658090489141,0.014306665336776044,0.1550846128664318,0.40977857654947664,0.23119881979892828,0.14116824003454242,0.037701420859343554,-0.08678665701139167,0.021216011112930207,-0.0036092018752318317,0.05050912263578234,0.0010825637480865692,0.5194572985627991,0.6275959728654804,0.38332471874942414,0.08922102545787262,0.12288806956239061,0.069755942461568,0.8251554008156151,-0.04582670067587108,-0.003043432595321986,-0.002068366352453086,0.01634115301343993,-0.02264457438393511,-0.02552141882883621,0.2942590432054751,0.21576982203080328,0.03118421877897177,0.20960568480462757,1.1035958817431835,0.28964426176418107,0.003302399083223126,0.18554361065782088,0.06317507454518129,0.16315116013492753,-0.005338120316682637,-0.03379178933692319,-0.03177996796662249,,2.0978574752807617,0.25554347038269043,,,,,0.9605865478515625,,,-0.06736016273498535
GISS-E2-1-G,-0.005889701677739335,-0.05104386208669382,-0.06871509814479362,0.08325085813581688,-0.025961476214600043,0.0026871095688157888,0.1334809750676347,-0.01795652749305744,-0.1562852440959874,-0.2141213094254675,-0.1341622218586719,-0.05364602469718904,-0.0927952403919504,-0.10409737809988352,-0.019519739982750216,-0.002073242054760246,-0.04738147940969508,-0.002026415095050033,-0.04788623131163343,0.05633879386886832,0.005534604000040088,0.4113323774150627,0.10941229930922974,0.09115836930602725,0.1389676004546796,0.03511443698103644,-0.012546777626504019,-0.09733452487078137,-0.05238984321126198,-0.04329356059585454,-0.022742629599145695,0.013493570881174748,-0.0071748508367085045,-0.022999032062615957,0.14141493040543981,0.00661992470459623,0.03447300767771862,0.10465424340944444,-0.17407333817626366,-0.07445482326771334,-1.4353339847742233e-06,-0.022690400223721482,-0.006755705298433321,-0.03552529649285956,-0.01881800035315364,-0.06949082735503236,0.035243473160636175,-0.056221723556518555,,0.028884172439575195,-0.0956261157989502,,,,,0.4971456527709961,,
INM-CM4-8,0.009430854887082616,-0.0066858639194245124,-0.01990861569092351,0.03892954439721623,0.013816658608550072,0.1008371690432833,-0.005039539505379846,0.19981845347319505,-0.11353203871101983,0.18189188248166535,-0.17106507044196984,0.08044273979327479,-0.18971438512474934,-0.03742490447544219,-0.0432410510392467,0.031678002266786076,-0.06690369412897999,0.031201364130334152,-0.015806299573753815,0.06574336490507408,0.02832789872064545,0.5882443548503434,0.20609137304870803,0.29651102987542644,0.07542528898546831,-0.13590625664002595,-0.2642305960072877,-0.30609170384087103,-0.010721386416412808,-0.02575029862485052,-0.04793046563355855,-0.005913291625086314,0.029883750542787586,0.001992594007560498,0.04204729347975777,-0.08351191203868945,0.02718479187678125,0.004304400465575399,-0.471302521986603,0.013649593135459994,-0.025019624330854796,0.004872484960876489,-0.011655378972221395,-0.001050959921944139,-0.002424349994141655,-0.08511699517048661,0.007230042670971733,,0.02647400988804692,0.30684518814086914,,,,,0.7521677017211914,1.0670442581176758,,
IPSL-CM6A-LR,-0.0016021642967961633,-0.003715410391520421,-0.028201252592077067,0.02144707864631202,-0.06616556505002019,-0.04862650795187515,0.18413434400697817,0.2647385965327736,0.1926951885378185,-0.0275247528086648,0.07169527513270367,-0.3265666658836888,-0.2255113042363743,0.021548429938849818,-0.09366727805540624,0.020413448888490837,-0.07955824814557118,-0.003121295611356935,-0.0186065088499136,0.05720214779908151,0.04318994882059466,0.6956069081275984,0.22215117903463885,0.2790833110066965,0.0516187757378732,-0.018406163123859447,-0.13318039475875215,-0.30722633408938926,-0.0013557327920998377,-0.017905894883595896,-0.036862957946133194,-0.011645299231442996,-0.01775672255827476,-0.009864069015893123,0.05210046246887804,0.06577723371069134,0.07689401127164196,0.21330442376277697,-0.3643628901516212,-0.21383887973004445,-0.04768891481628061,-0.06427277474220056,-0.011528617554954483,0.03792690814653485,-0.0007669684539710099,-0.04817360946173514,-0.02961536681125361,0.07241255044937134,0.028811006267568516,0.10218605742740694,,,,,0.2623436450958252,,,-0.006572723388671876
MIROC-ES2L,-0.03680039685717145,-0.0022838772114520184,0.00169000458767507,0.021757731532223094,0.04316584142501529,0.15025990574187648,0.07791172603474185,-0.037510392392406486,-0.05647850036621094,0.23304677675019922,-0.1758974926545096,-0.20350205583729017,-0.10827608425144275,0.03118054258108363,-0.0077724567415075555,-0.00522108105576786,-0.023006947227139,0.017660886196191546,-0.018644524262763553,0.0061384762899521165,0.008602165962793616,0.959644696424241,0.22273700590247258,0.06195909819252737,0.11171532158327281,0.1153570724164956,-0.13556800637569938,-0.09377230542696163,-0.02686912855622075,-0.0029919283464995843,-0.020330144800808414,0.009328375216141884,-0.009642771990979864,-0.043581909772328536,0.1729870869673077,0.042041636903833474,0.0008335428393124956,0.10503597280737195,0.005396805875946579,-0.04533659151570428,-0.011015605693537708,-0.015898612170798108,-0.0004659796875015269,0.08581674048944599,-0.0093866526174059,-0.056428175851264695,-0.03585813641548157,,-0.45811374119916976,,,,,,,0.27542853355407715,,
MPI-ESM1-2-LR,-0.027647791184489852,-0.019304060770226304,-0.04166802770752269,0.03150486386013917,-0.05772417626286252,-0.04305782275164885,0.03726623144829635,0.10718174872806686,0.29611901195539014,-0.08262255792467126,-0.09504207265139024,-0.07297424533614817,-0.32478030535101116,0.005827349618344569,-0.12680437584699977,-0.011690821017561087,-0.041112646190860906,-0.03940552857662079,-0.05590483856066223,0.024827951900403496,0.015731327425737858,0.28555762121082345,0.12589830487429168,0.07359534259943906,0.013309456108864224,0.034406190716818816,-0.017889791135179862,-0.03443483715864681,-0.010647546230826315,-0.051890993547565364,-0.03930276834050478,0.023679163983157774,0.011069717988608138,-0.001308865806439223,0.31729764229777474,0.0634984563961408,0.026540896585764882,0.11082287699118425,0.03679583326816145,0.04336107871123804,0.0008585430822473423,0.006103437313087767,-0.002142048219478872,0.005449343607029868,-0.0033204665499547235,-0.0314736126518011,-0.0035850522512211424,0.31176185607910156,-1.4356338370089379,0.7192258834838867,,,,,0.009275674819946289,0.13233423233032227,,-0.060845136642456055
