,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.0346044516046764,-0.07285000912321117,-0.07344826455421735,-0.10731816777636824,-0.03998790474276843,0.011904852031059392,0.010562675720986648,1.0545340028252115,0.3999865548081401,0.7656893281089057,-0.26575498085531174,-0.3173376929703971,-0.23624172552009087,-0.03882002729969503,-0.00931337482141288,-0.12958840640398908,-0.1294462412240598,-0.06303031897791556,-0.1348441659696417,-0.18724528561233492,0.45346323619718293,0.9292555006410448,0.6190487932053109,0.3763550944746564,-0.09854355061410427,-0.16070925027812286,-0.1075061600196316,-0.03827595620744518,0.01815166544405594,-0.12165382234920294,-0.14631933505636208,0.072976804219757,0.03829556112566212,0.018069605665351075,0.8942249999595259,0.02942817841448934,0.1756194088074675,0.31139774007683,0.1345981415711636,0.20368005895833935,0.05950960063516578,0.2709875882270937,0.08137847921333324,-0.13669211305362727,-0.005491096257304992,0.014115930563741757,-0.013977650979825828,0.1226186752319336,-0.3249157094948656,0.2102494239807129,,,,,-0.1366438865661621,-0.5779714584350586,,-0.142494797706604
CESM2,0.02876639923864996,-0.09804299838401125,-0.17323469926389728,-0.0261462743742142,-0.1355692838790033,0.00043119049237420453,-0.013259930686664862,-0.9323759261114131,-0.2691714250540355,0.07992862830230933,-0.42354360499344185,0.10650287075546805,0.08212204242349813,-0.06715609962985332,-0.031364580051356644,-0.062188036771395214,-0.2230171159114466,-0.10750343612635388,-0.12948437420186157,-0.013903884725474725,0.1653537516580094,1.0397559052113179,0.6961106772462794,0.31414864774240003,0.16590810955677537,0.031606296033793675,-0.05147831983297275,-0.09568772598029496,-0.06127408467872735,-0.1201125770224812,-0.06411197648034206,0.13362949018320752,0.006628761450824938,0.050174686216488885,1.41828846267634,-0.029058793827668756,0.05915493795472812,0.286602262536677,0.046018640198119194,0.030285906758658467,-0.018426499840613387,-0.008536008516453216,0.02465142169035955,-0.046779796839525926,-0.005538722933865275,-0.021957822170788007,-0.07195308673715199,0.17305269991435746,-0.19068919125995046,-0.09436945521465946,,,,,0.3330532347185683,,,-0.010206937789916992
EC-Earth3-LR,0.01423654223111854,-0.0353143423084345,-0.10889570482714209,-0.12953708604172415,-0.1903014486176627,-0.0462741577308883,0.06887480205476924,-0.377339828202661,-0.03836189509496234,0.01793847587903302,-0.41888602492288074,-0.059633155083721,-0.031096607396757802,-0.054356138886384985,-0.11444787511255192,-0.0711563803298494,-0.03378168752164105,-0.1520543233297349,-0.14620489220359953,-0.08771770445938559,0.07840780040116732,1.2381207433064165,0.42560795084036496,0.4611837530069346,-0.028476921568635363,-0.021052222406443492,-0.0496711204118129,-0.07619873312298235,-0.054991537587258076,-0.09361405899157131,-0.014091901282000129,0.05573579415890731,-0.015877891199332472,0.03554752684004016,0.7398614436623486,0.10739590046448509,0.19345694932253127,0.6808930325998096,0.2623307430389122,0.09977240131501904,0.058814363871386846,0.03420039425607913,0.014492956780655958,-0.0034318942908678697,-0.011555837374764618,-0.005048990950954452,0.02704088951831609,0.08214451533693079,-0.3991037990903994,-0.0017121969244700953,-0.16994905471801758,,,,1.341503808198099,1.1146721839904785,,
FGOALS-f3-L,-0.020443021601536115,-0.10419395914250698,-0.06676075190076047,-0.12300059063829032,-0.10631906575077388,-0.06080939093173734,0.05046743169635131,-0.5411167138015527,-0.4349472253161296,-0.05262823695997324,-0.2482822913152302,-0.02923717852379352,0.04874610446604948,-0.10929879573873097,-0.04761115189845795,-0.027022157013330834,-0.20830616047663308,-0.13869210575510188,-0.12517336198472218,-0.014192623823907562,0.08057217631158109,1.4643605150241208,0.5355554290163125,0.6116927690415255,0.010780390840957414,0.017472844980888493,-0.0013488163643915634,-0.03863332862887985,-0.02368371004570127,-0.12859258833565737,-0.08596452248051488,0.037170597411084104,-0.004411035009205134,0.010012929758049027,0.7725049645324109,0.018842902190557172,0.14501414971331827,1.0693409626565704,0.0036904392260697864,0.014283020619307241,-0.01292125489370751,0.0030425869219354814,0.027696048776484055,0.025583164196729076,-0.014022919141729635,-0.09489507326586102,0.023138792907505455,-0.0517907278783902,0.5770785797240182,-0.013680449905477928,-0.008883476257324219,,,,0.5853847450711537,-0.04175853729248047,,-0.010114431381225586
FGOALS-g3,-0.028918642732924875,-0.1021167153304742,-0.010842123745368845,-0.19810462941947138,-0.023370327466570938,0.329458488964006,0.3825110332949112,1.5292655915816613,0.3722219108186904,1.247759918113763,0.331620311420424,-0.049535610595593846,-0.23846082214130931,0.07070373611351508,0.029374689563621464,-0.05825222994750915,-0.2210989088303997,-0.04989355183539194,-0.014559169198725309,-0.053805429764667345,0.01022284676703504,1.4265172042764132,1.071664147579353,0.9415313724885243,0.15300527712352133,-0.0632642754184294,0.0452150008495943,0.3204033423674015,-0.0917432186003337,-0.03442832228525257,0.0131579538856381,0.09655229279092217,-0.027852097874652947,-0.04295760212550713,1.3888938154480122,0.5086123924514,0.11825677618588745,0.7474385097531505,0.721354583381724,0.04021951249100181,-0.029929254477607158,0.04528185378496437,-0.010746269465716747,-0.008240107924876354,-0.01087900748158946,-0.04160546117767446,-0.06381846231164763,,0.6319069862365723,0.27195119857788086,,,,,-1.7529077529907227,,,-0.004214644432067871
GISS-E2-1-G,-0.05527718218141971,-0.1404600348938383,-0.14731752839055254,-0.15934731429162408,-0.1531032999914047,-0.009542471547785765,0.0011100663288705623,-0.2853234164729772,-0.7647442334213539,0.38514141845805294,-0.25498630019396207,0.006048050394185765,0.058297417056245714,-0.21124306245941937,-0.004513157006530194,-0.051275127555328016,-0.16454484497398214,-0.1431312027563709,-0.21356118009869815,-0.06903170686239517,0.1099352836719399,1.3783117779043723,0.5428831301012093,0.4895618917335012,-0.010576055099104654,0.0021571417599732267,-0.01192899399508195,-0.05469180200066301,-0.12433216260218835,-0.1755847823757784,-0.05483411891892065,0.1854207931650026,-0.006023694412500066,-0.05072483191875637,0.5500626850006662,0.3642715565508868,0.11249419627716703,1.0229075405986359,-0.3830690832286371,0.04800427211969505,0.03513856087115824,0.018204683780416817,-0.032015840448931784,-0.13671623147710174,-0.022473758601320906,-0.08540428414803727,0.03711847823188744,0.06530332565307617,,-0.035201311111450195,0.056790828704833984,,,,,0.6302027702331543,,
INM-CM4-8,0.011177403791435524,-0.04422467825255641,-0.045234600961298214,-0.09127359943361638,-0.08056023862376391,0.1700462002490558,-0.06101490704470225,0.0394054848305277,-0.30587752893752207,0.19714722508430949,-0.3883704383909522,-0.051414654546219754,0.1410490444293254,0.02109241685149688,0.009635184462374814,-0.05043404395536716,-0.22594363478648682,-0.07791174198971093,-0.08705129471498002,-0.047554100046715515,0.2531857056463717,1.7619333147362193,0.3960599384882956,0.29124117870910365,0.12647947835759082,0.13214014837484625,0.08930623601747849,-0.16063380770662322,0.005382733292014208,-0.11212917585525661,-0.19910119376397115,0.010332889460205498,0.042013340307562486,-0.015198623621422996,0.1439936251423324,-0.19553133381435925,0.33078960070939273,0.4418761266058134,-0.7695470878819015,0.024978138537831037,-0.04040182508009222,0.04037267444128528,-0.022398464019420226,0.02030999856225276,-0.004355924995939298,-0.08151938908875231,-0.01632780058732283,,-1.672525459599504,0.3806149959564209,,,,,-0.0436859130859375,-0.08718681335449219,,
IPSL-CM6A-LR,0.06892602305106343,-0.05483052632411799,-0.044142120070519035,-0.0814686473978862,-0.06350843397643303,0.12910019290833472,0.5058816706265186,0.005975943809195026,0.23712794698865336,0.35407439111212097,-0.1435429711980404,-0.04710876283520442,0.06241999722405895,0.010993855694853236,0.0035747504887056404,-0.0678227390262326,-0.2830029766616348,-0.1455660249559024,-0.10295819704628897,-0.03834835132158123,0.14757658516002903,1.7495063575755798,0.6825005321454657,0.5665004539293288,0.12584276810903347,0.017151591989640898,0.07297651180937761,0.0542993515295205,-0.015340781626971771,-0.09911862761056375,-0.17289920978904258,0.060269006841816526,0.01275782428497959,-0.011239450055530639,0.2331741533871728,0.31055905819344815,0.2294177877211674,0.6802974387812435,-0.1357415709687967,0.04992529438794701,-0.012141006865623229,-0.026858511585215097,0.04008430994474361,0.04647335580050424,-0.005597842155791591,-0.05508537805962399,0.011462634412100943,0.10686200857162476,-0.12987157465905053,0.14360488864791116,,,,,0.4889669418334961,,,-0.04381680488586426
MIROC-ES2L,-0.01872151841991892,-0.07251575842581816,-0.027843768608884347,-0.11174663460741209,0.04673959195371186,0.4396994160106889,0.003945639410837734,-0.520341223226873,-0.31140828132629395,0.31966568929741423,-0.3836799550966241,-0.09001939177953994,0.05632802825085318,-0.07684629986970501,-0.061340338558913514,-0.0728214707086781,-0.1587125679637481,-0.19246927907992561,-0.08259255268718539,-0.11853825073113562,0.19728478869011495,2.2284304063875067,0.968981716221682,0.3801116830621926,0.16726838739631947,-0.03144326016124528,-0.138674843547877,-0.04682652057185819,-0.033994967650391075,-0.06685208518617013,-0.10035115257566678,0.14265818207222422,0.13717153596430667,-0.02068443008426202,0.60390208000881,0.15477610456629134,0.03935376304479977,0.2579803801931487,0.378872999496227,-0.06099963909078299,-0.07609850115713955,-0.10795942923840313,0.0005934614913413215,0.06721145123002513,-0.0007461438935358216,-0.048352374897433784,0.009491348266601562,,-0.6295724251591389,,,,,,,0.21663355827331543,,
MPI-ESM1-2-LR,-0.018792146353412385,-0.09278239188792176,-0.09674258063383866,-0.18889622968382616,-0.17665783253342401,0.12423203441752823,0.020351165665302633,0.2538794953826625,-0.01691791573641903,0.44691960527031915,-0.23852942544319666,-0.04941212954507737,-0.23334017919086875,-0.06436783651455794,-0.21458114906899184,-0.10363654822167136,-0.13623118900139075,-0.2247639644129761,-0.17542720955208366,-0.11182712645943362,0.2508634303643743,1.6314286496949921,0.5356755856075529,0.6012802607749194,-0.10445507209001283,-0.1385393460798421,-0.032018602640274584,-0.043841915022309094,-0.011326206238362651,-0.16919509551603049,-0.13832305629694291,0.10852567819609857,-0.012170265508888055,0.055064401960791015,1.0122182891807334,0.26493849906621897,0.1561346930976695,0.4800475480724526,0.21641518666880288,0.1226067030215491,0.025123277784684154,0.1329365759922018,0.07654471650255226,0.05287435681221595,-0.0017054050073786403,-0.017181048406461844,-0.0014852971422484491,0.23930072784423828,-2.4179320925324794,0.08629584312438965,,,,,0.13621282577514648,1.0844135284423828,,-0.043280601501464844
