,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,0.7687003,0.40681523,0.42341116,-0.83273697,-0.10404847,0.9927184,0.56391174,0.7840374,0.3903575,0.28879246,-0.07590155,-1.7471625,-1.7746255,1.5427415,-0.13609035,1.8280883,-0.03154615,-0.861408,-0.7234146,-0.6989579,0.10265474,5.037506,2.1676154,1.3109365,-0.79264885,-1.1745944,-1.2529473,-1.9857529,0.25537923,-0.35808477,0.23372027,0.84707195,-0.40162313,-0.027848367,2.2297308,3.080748,-0.085971475,2.8558714,3.573535,-1.464164,-0.22927347,0.03378325,0.23268488,4.393598,0.35035953,1.1701822
1,0.75544715,0.392568,0.3879238,-0.85822475,-0.15287343,0.95768505,0.5301761,0.75935996,0.46710336,0.28706107,-0.10365284,-1.7735747,-1.7902583,1.5342922,-0.10141708,1.885907,-0.0037579723,-0.8544112,-0.7063032,-0.6957792,0.10859231,5.1190424,2.2122219,1.3092774,-0.7780498,-1.1691685,-1.2640755,-2.0223708,0.2636738,-0.3786156,0.21638034,0.8579818,-0.4117497,-0.025231961,2.2414584,3.180289,-0.08477857,2.8970852,3.4843934,-1.4487187,-0.18401672,0.020711888,0.22101933,4.5242105,0.3527495,1.1556563
2,0.7748754,0.3985754,0.38714892,-0.8179767,-0.18983656,0.9010706,0.51745856,0.7798389,0.40806544,0.31686997,-0.036499117,-1.8245974,-1.7723548,1.5977226,-0.14244705,1.8445609,-0.03323484,-0.88406205,-0.75952274,-0.7074672,0.102808416,4.960199,2.1799693,1.3175693,-0.78598005,-1.170405,-1.2342414,-1.9949927,0.28829855,-0.37034008,0.28938904,0.78905964,-0.4093594,-0.035856478,2.2521913,3.0792997,-0.083022706,2.8868027,3.6447678,-1.3021382,-0.19648218,0.025370177,0.22817448,4.350041,0.33920774,1.131626
3,0.71586925,0.3822556,0.4002032,-0.83373016,-0.18137875,0.85768616,0.587905,0.82395285,0.40680397,0.2841069,-0.05807415,-1.8159959,-1.7414634,1.5954367,-0.11234717,1.7919056,-0.056379322,-0.8975931,-0.6901944,-0.69611937,0.105347015,5.002694,2.1791444,1.3095933,-0.80678153,-1.1763853,-1.2058985,-1.9394041,0.25410795,-0.35908517,0.23691526,0.8232491,-0.41341212,-0.022020405,2.235416,3.0947988,-0.08039018,2.7607613,3.469866,-1.4194143,-0.2687533,-0.02263727,0.22069578,4.371379,0.34409857,1.1376768
4,0.7510083,0.38058758,0.39028865,-0.8284773,-0.10013571,0.9614169,0.56367415,0.6833987,0.43105125,0.29075068,0.009806334,-1.786336,-1.7807927,1.5496919,-0.14861512,1.8291076,-0.02362143,-0.8712966,-0.6671218,-0.7121305,0.10401618,4.9063115,2.1296349,1.3362784,-0.8197277,-1.1618549,-1.2240496,-1.9722173,0.24030262,-0.3798347,0.22023793,0.8340496,-0.41903663,-0.036549408,2.241161,3.0580003,-0.0843358,2.8433516,3.5201108,-1.2982607,-0.16116059,0.0037749803,0.22304109,4.452585,0.3566984,1.0964065
5,0.7593783,0.37977725,0.37870544,-0.81555706,-0.13363174,0.9877564,0.5508291,0.6408932,0.43065822,0.26120853,-0.048073597,-1.8251711,-1.7717032,1.5639458,-0.13424921,1.8487505,-0.031537406,-0.88306427,-0.66375554,-0.7219066,0.09767831,4.9542475,2.1614838,1.3651179,-0.8033115,-1.1522839,-1.2405108,-1.9609196,0.23012954,-0.37179574,0.2577874,0.8429808,-0.41004944,-0.040850747,2.2844193,3.190722,-0.08198353,2.934369,3.508351,-1.3536582,-0.21608365,0.0065504583,0.2269715,4.36725,0.3474788,1.1139386
6,0.779492,0.35280666,0.3902314,-0.81870383,-0.131526,1.001245,0.54802114,0.7415924,0.4064343,0.34662125,-0.023421258,-1.8056997,-1.7726316,1.5854363,-0.12208726,1.8321103,-0.0691985,-0.8900163,-0.67947096,-0.7017252,0.10179013,4.8727593,2.1195946,1.285537,-0.7959909,-1.1666353,-1.2189876,-1.9876034,0.22677326,-0.3735185,0.21262078,0.8461277,-0.41296518,-0.026822401,2.3058212,3.0719018,-0.08011525,2.8275158,3.464767,-1.571164,-0.28282955,0.062623225,0.20308632,4.350211,0.3455821,1.1483412
7,0.76360595,0.40178692,0.36224294,-0.8307939,-0.15355748,0.9934605,0.57564145,0.8252733,0.45834327,0.37923402,-0.014035267,-1.8398347,-1.7684695,1.5685366,-0.12696856,1.8340402,-0.07436046,-0.87563014,-0.6794899,-0.7120388,0.09813234,5.0629635,2.0980914,1.296641,-0.83548903,-1.1831257,-1.241916,-1.9813191,0.22089836,-0.35683134,0.2605636,0.79670066,-0.39554507,-0.03545273,2.3301828,3.1824691,-0.08197519,2.8967826,3.5159976,-1.4564874,-0.24142508,0.06718573,0.23649308,4.380046,0.3490076,1.129447
8,0.7226656,0.37928516,0.39288843,-0.83869153,-0.1372289,0.9260106,0.5796205,0.70532537,0.39357197,0.28984252,-0.08136149,-1.7860954,-1.7559576,1.5815924,-0.1307566,1.7928649,-0.024358148,-0.9174191,-0.6681127,-0.71411437,0.09823386,4.9778614,2.1544747,1.3045851,-0.7902112,-1.1766979,-1.2469312,-2.0498538,0.22858693,-0.39548004,0.21623746,0.8987246,-0.4108628,-0.034032483,2.2507305,3.197981,-0.08310516,2.915234,3.5841858,-1.3754885,-0.1965355,0.071564704,0.23628324,4.4552984,0.34402588,1.147068
9,0.74800044,0.394637,0.38339415,-0.8492807,-0.15086178,0.9662099,0.5446224,0.77322084,0.42510533,0.38733497,0.02355525,-1.7796345,-1.7481714,1.5820582,-0.10223122,1.8184096,-0.045219313,-0.8902301,-0.6697871,-0.7030739,0.0848069,4.869878,2.0922334,1.3197423,-0.817848,-1.1324285,-1.2374188,-1.9766936,0.21399203,-0.39382663,0.20483248,0.83315235,-0.4044475,-0.02239275,2.2704244,3.1932068,-0.07875241,2.8247159,3.521987,-1.4138237,-0.262714,-0.015500869,0.20125635,4.2752876,0.3469103,1.1258773
