,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.024984695282160838,0.018753414125132564,0.023277746468844472,0.0673707367564277,-0.29083271421867507,-0.17744542323607798,0.03691490546059728,0.6869689631806735,0.5130544990134392,0.14411947957254967,0.48477790666631726,-0.15223844856644683,0.011146751667088431,0.11827622121798538,-0.11891900705375466,-0.032131081925916974,0.006059563584694347,0.022020970659628495,-0.0247829361160518,0.10731443615823072,0.3606735007820025,0.6761192393039158,0.10989533816127146,0.3156003711028571,0.15627472983804078,-0.10515046890875365,-0.15299676526598632,-0.2265082156386823,0.0360280188910818,-0.07746496338357611,-0.0017424123696674673,-0.029946521699188593,0.01415408658390818,-0.010513089715614732,0.3480391032731381,-0.06987534043698092,0.13934063399580068,0.15537528696990385,0.13639499307816705,-0.0049187024407346645,0.1205933663382266,0.3352587351426954,0.1133720545942681,-0.013915828887245853,-0.006934069722135923,0.020083825228675238,-0.03325399007142902,0.10751819610595703,-1.3916346185665156,-0.025397300720214844,,,,,-0.10205578804016113,0.08531379699707031,,-0.05957365036010742
CESM2,0.047515786887635865,-0.029105490639237567,-0.046161399873714946,0.04830214514241516,-0.1290159713897058,-0.17869258820568548,0.029554623892143052,-0.1272563560368874,-0.07645914338693027,-0.145839153977317,-0.13260582803827176,-0.32210426499014255,-0.3787071067104065,-0.00031486629659328066,-0.16766387834026514,-0.014738076058021724,-0.003449654598184622,-0.10545534794326002,-0.06790046169507047,0.014873901354628889,0.11026506497593874,0.6077976452426099,0.22153892509184211,0.18313582459865413,-0.11391602917371758,-0.13521786607448363,-0.35645492262542894,-0.03473377926333613,0.012498551515566938,-0.02928634815590854,0.0013531026640019764,0.03880718121980456,-0.07642725050843874,-0.02357105289133579,0.41367585339514507,-0.11487733046185299,0.032393094925323794,0.14951954099902612,0.06644045720237644,-0.03301199331634204,-0.019138400454653877,-0.04364344350596569,0.019239211126429477,0.010355117609939684,-0.003469147524255004,-0.012246608457441337,0.004086363938957532,-0.027188954352755694,-0.1310850566973973,0.14967010068146405,,,,,0.41308059159457844,,,-0.05044138431549072
EC-Earth3-LR,0.10492879833836728,0.023741173747511096,0.006481437361268703,-0.004070558220622929,-0.0927615807165332,-0.06257888617472068,0.1566820803452434,0.0012874803987540722,0.2021682250452515,-0.195201250599195,0.09225306014332481,-0.12171518661136813,-0.2880044466492235,-0.05475401016944974,-0.23918632046920002,0.015547425678013791,0.07034707073828816,0.01941809292691298,0.01403889201786885,0.06303730411216805,0.10279984373761715,0.7814216845463937,0.3134405183991277,0.5999911445153735,0.08867340001080205,0.035395569029814264,-0.16228906423417017,-0.2946293252520648,0.05760492871947419,0.0328320356610652,0.049986397827090925,0.045917633620180656,0.053536194168205806,0.025125194076696417,0.2531088806045365,0.0012777415302380553,0.15240097461407,0.3007780014921728,-0.042929854695789485,-0.1731561476930931,-0.13145730783807152,-0.03999373892609912,-0.06487560697061814,0.01855683638868548,-0.007401144970718008,-0.03193044753283586,0.12012321266344284,0.08593425755367128,-0.14459317881241615,0.3897287905062563,-0.20020747184753418,,,,0.5709192899692863,0.83760666847229,,
FGOALS-f3-L,-0.008538479177480284,-0.04266502361346542,-0.04042666012586307,0.005052750851810851,-0.045005276508369996,-0.05984917938219193,0.25576293846247533,-0.1458139898294,-0.04684492293376856,-0.3733203686778792,-0.29736954695513257,-0.13641731280517752,-0.20278439727273442,-0.003975224345761432,-0.16747208054240975,-0.00014866097591433435,-0.029754173219764583,-0.024798154733071728,-0.03844445907734445,0.06461695275115621,0.09322167955946457,0.6176894519309862,0.09841075259807361,0.4400868917787769,0.013389314188049239,-0.10541089137271259,-0.1663951206366171,-0.18231866859719892,-0.013603197274096515,-0.027641809031965153,-0.029767515145843724,-0.03516745735595728,-0.025144333942266704,-0.009818351113619565,0.20059090535950963,-0.03242020145530098,0.06016688129353952,0.3255641111904994,-0.10262159049273505,-0.11813803501120758,-0.03526771208591403,-0.09566397237507819,0.0036476539911697308,0.13042506969132953,-0.010085923406022247,-0.0521498068491274,0.004786738515951142,-0.1113783721949495,0.33122770437230625,-0.013722189631095777,-0.06163907051086426,,,,0.06092496522083237,-0.06264114379882812,,-0.0648965835571289
FGOALS-g3,0.033809268630478145,-0.14635155373456551,-0.08292132264891922,-0.254082577911232,-0.30945225368970564,-0.32231031357994905,0.029234898023098213,0.17251165859785716,0.5050925336961625,-0.40504811327280754,-1.1659532775389339,-0.34718201732181936,-0.29948497536185203,0.15820485634016737,-0.37333849643525213,-0.04334367750746122,-0.28124688960526484,-0.24906188504027585,-0.14831174385702106,-0.06486947561325501,-0.008543933413045426,0.22913933318680846,-0.2648536130842096,0.32593098522077835,-0.4304385770654651,-0.18348619518819964,-0.40368709309239814,0.27587713131344566,-0.09402189357707018,-0.11088185099189797,-0.14371745573951247,-0.09398829122490007,-0.10690288379431236,-0.05857075210345078,0.31832729771502993,-0.15582862869327507,0.04700258899370684,0.08429238313175148,0.2940138427905884,-0.02537755815656801,-0.13997566646523263,-0.122089632946922,-0.09204988928689047,-0.15813066460137923,-0.005143404926170333,-0.03362642675901346,-0.02589577614963083,,1.7293148040771487,0.14044451713562012,,,,,0.04762744903564453,,,-0.04759502410888672
GISS-E2-1-G,-0.004333267363349768,-0.03912247883390523,-0.055450544153171924,0.08289086420480508,-0.049392923548704296,-0.00040214861974681963,0.21792896903088144,-0.04819730757819704,-0.19852996227257827,-0.2713730510278104,-0.21091492628344202,-0.09731665476932735,-0.18280842008456163,-0.15632454526954256,-0.19961578192330404,-0.031779454357084125,-0.015309730872524952,0.026339884606004386,-0.04914332944466912,0.07756261908418913,0.1316230003726848,0.532419047957651,0.237785750322939,0.2567254511089793,0.23541088967603818,0.02554475335026502,-0.04945291491984154,-0.1387955587547306,-0.022472022514364653,-0.05752067315318096,-0.02357877264032778,0.026658002517324343,-0.029637436935102467,0.008373459605672805,0.18533166050569724,-0.016771748220039278,0.04575977243310554,0.20921366432780789,-0.20847062307493808,-0.14847815046428334,-0.08711256105554989,-0.06306222481160537,-0.034737411870045684,-0.050837259547944956,-0.023374999013357812,-0.07586257456481912,0.056218117332490186,-0.03443276882171631,,0.061460256576538086,-0.11599063873291017,,,,,0.42108583450317383,,
INM-CM4-8,0.01795593662085767,0.01991965045667229,0.006371837557373355,-0.026423775858956753,0.004409306747904825,0.08720886095635749,-0.07819861480865067,0.5593517301377485,-0.03599694503463849,0.14071391123476348,-0.2666942968620354,-0.08937447960911418,-0.2925146946277187,-0.13401824058607692,-0.19778118319484828,0.014065055835834585,-0.04672317090612379,0.029677675179351826,0.0002942059587267259,0.15960662372766832,0.2518116173587859,1.1435456065585219,0.40478400860573954,0.5160788395927494,0.006976740553294057,-0.3232460806650015,-0.47268331881670705,-0.4750634269975347,0.0299499805790287,-0.026975149373194538,-0.028524122205356873,0.014765620828446256,0.11965566545622337,0.03964534016417502,0.037590700151593964,-0.07594681294460134,0.25700402921600146,0.09249213565342355,-0.5391050076599623,-0.006440147019485738,-0.10850459918235797,-0.04378635766958011,-0.07137449469668951,-0.030488909069875975,-0.0029110114966051756,-0.08443968701665687,0.013806422786895808,,0.01844835721777302,0.21030664443969727,,,,,0.7532272338867188,0.9719862937927246,,
IPSL-CM6A-LR,0.0009155153429275687,0.00888720254282837,-0.04066142476951114,0.057261377416596225,-0.10233299341150781,-0.04957997326836118,0.2713420827538076,0.1984728281947869,0.19423595648297642,-0.05638761710495095,0.06793903983591547,-0.4068843671217512,-0.2511116994771535,-0.016493061318482948,-0.21092388927782268,0.0010175227924926898,-0.06937831829301103,-0.04638499164013656,-0.057084905242787205,0.12068231191502167,0.18392825515755412,0.7007147436311483,0.22139772854780687,0.37788493259839395,-0.037324909473012736,-0.06215781109316365,-0.2240847005315934,-0.4094912353763806,0.023833222425606627,-0.10761335351315024,-0.041994686975784824,0.015954267140617193,0.014680297958064978,0.027147760299462254,0.07478629301944467,0.09149745616188129,0.20070925559917088,0.2347070158374685,-0.36662078926667563,-0.25838857437896073,-0.1304642164981271,-0.1308829609943314,-0.03280202138323887,0.010973578032005719,-0.0010133971340449699,-0.046411809097027246,-0.01848664032965153,0.027837038040161133,-0.04148282128989577,0.036141399789483754,,,,,0.13505315780639648,,,-0.017969131469726562
MIROC-ES2L,-0.03742362736883095,-0.016181575135455796,-0.01309352201323698,0.026570014851416867,0.10098854042695762,0.10320922701480738,0.26253423331205306,-0.15048066248318526,-0.19994950294494632,0.16496993029019305,-0.41342895322642403,-0.2881137864790389,-0.17083745009020732,-0.07037396663893304,-0.03540130638884228,-0.04594641318430543,-0.0312753293269532,-0.009373640811188914,-0.06355506131064897,0.025546492131968617,0.15435622402948623,0.9037315601349725,0.2554643823851673,0.18194540165396694,0.17989414658517477,0.0923390099950273,-0.2096189271633657,-0.12847535422301545,0.0077629609282318865,-0.044670276326654094,-0.052540412010911385,-0.019003060012548784,-0.13247921316615097,-0.14799170439659243,0.1336907604480841,-0.038790462794231116,0.05508094354006748,0.03681858270065947,-0.049773704692659286,-0.09045083798008584,-0.07901676195863722,-0.09331054501135745,-0.03097384355666779,0.02420713371285386,-0.01235213832150012,-0.04054466927560167,-0.002141892910003662,,-0.4540617202561073,,,,,,,0.3754546642303467,,
MPI-ESM1-2-LR,-0.02415193488433074,-0.014299810241670922,-0.03137781545265231,0.03992960150229166,-0.09085597134324189,-0.01698912868223579,0.13802190375744638,0.32812244931498125,0.16991270263735805,-0.1708003500873272,-0.007536595821284281,-0.175374972691767,-0.4597798677676455,0.007154777908299161,-0.380650222119281,-0.08400973542716181,-0.002041319395623416,-0.016065441133851898,-0.055479895932449674,0.08614899719576415,0.2649728311623799,1.220840672871932,0.451470059956977,0.3612098452246727,0.011147530255712105,0.04905105787961152,-0.13873018004043985,-0.1812409291984779,0.04024851997545862,-0.06888630518885132,-0.01687521921345898,0.04076250355571356,0.06400078278033992,0.022885679602273334,0.4029555070880651,0.08386165487486642,0.1519299215065616,0.33698166618261316,0.04519679793515679,-0.006482659381365705,0.056725610095984876,0.23640257018383623,0.08861510800042652,0.007962121126044457,-0.0033286990163549444,-0.029768136890833626,-0.015616311045915,0.1438828706741333,-1.3978190773400334,0.668156623840332,,,,,0.3233499526977539,0.05230522155761719,,-0.06770563125610352
