,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,-0.01831393,-0.06360546,-0.00485094,0.13753973,-0.14236464,-0.14010946,-0.22541055,0.18991354,0.27527124,-0.22542328,0.4158451,-0.6914882,-0.30132732,0.12834331,-0.21707082,0.05312831,-0.018614765,-0.079414256,-0.011072276,-0.035032205,0.0047032624,-0.048358478,-0.64440244,-0.040242393,0.10925675,-0.23959397,-0.35609144,-0.22711013,-0.032015335,-0.042023126,-0.020263476,-0.16254593,-0.24170561,-0.047114886,-0.21410124,-0.12250474,-0.036812603,0.004900801,-0.008248011,-0.5420078,-0.051976204,0.22757392,0.11466986,0.087338895,0.0069099246,0.040334594
CESM2,0.04470435,-0.016515013,-0.032568786,0.12532827,-0.05817917,-0.07063392,-0.07347048,0.25101855,0.111067876,-0.30073115,0.4585582,-0.81340027,-0.9882639,-0.0007524689,-0.40676987,0.06663013,0.040827632,-0.04453533,0.011109281,0.012233094,-0.0017792977,-0.05323649,-0.44662428,-0.26855665,-0.8374644,-0.14796647,-0.5704454,0.22969538,-0.009389925,0.030524518,0.00569465,-0.029341912,-0.20287149,-0.04048494,-0.24911052,-0.22468942,-0.02269343,-0.115473524,-0.14712097,0.044299323,-0.10924737,-0.20042664,-0.058496937,0.12877975,0.009065917,-0.01291311
EC-Earth3-LR,0.11555796,-0.029544162,-0.016839022,0.059516445,-0.009054223,-0.03345033,0.0013446736,0.06929413,0.1968174,-0.7208024,0.14962429,0.09855421,-0.5245052,-0.081663586,-0.37394392,0.024239302,-0.007343148,-0.021537527,0.04222842,0.07622354,0.0030370082,-0.014454226,-0.20064385,-0.015038345,-0.124964185,0.17077516,-0.32726175,-0.5881542,-0.005024535,0.04632967,-0.0066389726,-0.031976845,-0.080639765,-0.019545922,-0.12418062,-0.13977982,2.7738273e-05,-0.075869545,-0.26165622,-0.13189143,-0.14471228,0.19616453,0.04075464,-0.089998186,0.012137512,-0.0064651403
FGOALS-f3-L,-0.016016552,-0.035462137,-0.043734226,0.0192749,0.0030216663,-0.057130475,0.3276127,0.10098185,0.3141437,-0.69166875,-0.30938315,-0.2301996,-0.6191625,0.083556265,-0.2786612,0.036152627,0.03103828,-0.0055817044,-0.018617433,0.056625538,0.0152865285,-0.06905368,-0.5180573,0.0065849405,-0.49674302,-0.3313854,-0.5171306,-0.5375582,-0.039384976,0.0041088094,-0.034965944,-0.08690814,-0.18175998,-0.019781375,-0.19318706,-0.079555266,-0.057541784,-0.078226395,-0.23664066,-0.30748743,-0.11541919,-0.24926384,-0.022567268,0.18224563,0.006664982,0.03144794
FGOALS-g3,0.024813855,-0.01779495,-0.007927272,-0.13978654,-0.026904905,-0.11518922,0.20978323,-0.119900316,-0.112967536,-1.2589915,-1.2772804,-0.7008538,-0.67662346,0.027294941,-0.6768177,-0.07790643,-0.036692113,-0.048462283,-0.010544401,0.027111886,0.004069698,-0.10529964,-0.9583907,-0.19008845,-1.1147748,-0.665493,-1.1905965,-0.17173831,-0.034074407,-0.0114621185,-0.02769607,-0.041306473,-0.2123252,-0.023612985,-0.23496285,-0.1037172,-0.0836611,-0.1450277,0.05376735,0.10342479,-0.23873025,-0.24607305,-0.07816094,-0.09722327,0.006262175,0.0035458703
GISS-E2-1-G,0.018879043,-0.039297905,-0.054614317,0.14299658,-0.04471342,-0.13376878,0.2973668,0.1284571,0.19856487,-1.0800407,-0.43958518,0.03726115,-0.53136855,-0.049656108,-0.3484496,0.04147346,-0.0072690924,-0.05784379,-0.043500498,0.04406966,0.008542752,-0.09703357,-0.33925906,-0.15839635,-0.14867185,-0.112930045,-0.25293306,-0.1607509,-0.039805725,-0.045980792,-0.05219823,-0.06508053,-0.20243013,-0.036628757,-0.0939739,-0.1583547,-0.060589936,-0.07133404,-0.12524357,-0.40499735,-0.23251472,-0.18976346,-0.012633063,0.022293242,-0.010054526,-0.008196577
INM-CM4-8,0.022540882,0.0069147022,-0.054066796,-0.106752664,-0.09058552,-0.1174966,0.029453177,0.06353443,-0.17019784,-0.8569267,-0.2747268,-0.16488762,-0.70121855,-0.3479484,-0.3995918,0.014373813,0.0055629867,-0.012133465,-0.022020198,0.06109405,0.006398349,-0.11732277,-0.14099224,-0.2637254,-0.31352285,-0.9127904,-1.3314543,-0.83878654,-0.0131007945,-0.04516569,-0.03841727,-0.09633504,-0.060120486,-0.04483816,-0.0009688339,-0.21324567,-0.009907474,0.061795887,-0.50355446,-0.4398347,-0.17243935,-0.29633248,0.019827854,0.06519615,0.0029213256,-0.007900737
IPSL-CM6A-LR,-0.042489357,0.018327285,-0.049881775,-0.046512898,-0.11202848,-0.15126891,-0.03320981,-0.010892412,0.08503308,-0.3703269,-0.05958747,-0.4121796,-0.44881758,-0.11570963,-0.473961,0.035560604,-0.02156829,-0.03812535,-0.009129684,-0.027098313,-0.000216858,-0.14323503,-0.42707694,-0.2293295,-0.59177536,-0.17955056,-0.51403636,-0.5686498,-0.035045125,-0.026501583,-0.034194473,-0.122156605,-0.1861922,-0.018383117,-0.13536125,-0.06859656,-0.033419188,-0.015827274,-0.49043736,-0.84663653,-0.35120142,-0.28461704,0.009753247,0.03202762,0.0044287853,0.0008324099
MIROC-ES2L,-0.0308203,0.043173835,-0.0401008,-0.027907442,-0.04938061,-0.070307046,0.059960127,-0.011928136,-0.06949523,-0.077967815,-0.3860507,-0.81594706,-1.0231732,-0.034958553,-0.23461333,-0.012452884,-0.056044064,0.008644152,-0.067542255,0.04934119,-0.008904278,-0.12621066,-0.7129541,-0.5281179,-0.33215317,0.004923116,-0.4487254,0.028820237,-0.039138995,-0.04907189,-0.06091466,-0.10146367,-0.34884372,-0.12619594,-0.20967788,-0.23995574,-0.070905544,-0.13265003,0.03129648,-0.9380304,-0.30975354,-0.46048662,0.016320588,-0.021198519,-0.009988198,0.007978409
MPI-ESM1-2-LR,-0.0357001,-0.025544127,-0.04633121,0.057012785,-0.07237081,-0.07647472,-0.022046097,0.049680226,0.17999575,-0.5988551,-0.29306456,-0.43641353,-1.1613258,0.021035783,-0.51570773,-0.037643604,-0.05929321,-0.08223549,-0.07433245,0.06454102,0.007820238,-0.047772683,-0.24721503,-0.037972737,-0.112131655,0.111301586,-0.4612724,-0.3341843,-0.030510435,-0.07253122,-0.051940463,-0.07866082,-0.09723237,-0.041560154,-0.144061,-0.19705871,0.0058961157,0.009245334,-0.33228174,-0.1178737,-0.001755615,0.19337867,0.07164138,0.050934,0.0063081756,-0.008761951
