,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,-0.04194385,0.14328513,0.07450858,0.10054475,-0.421436,0.04158287,0.07920253,1.5379925,0.24887832,0.8586438,0.395702,-0.0016570264,0.028789366,0.059312172,0.032449618,-0.14178671,0.12186368,0.2580924,0.06625497,0.08942814,0.94742405,1.1205438,0.71446776,0.5340087,0.033936415,0.0132996375,-0.06985629,-0.084549315,0.17170244,-0.06845663,0.03065383,0.16282193,0.07305138,0.080550335,1.0210297,0.038089268,0.3755411,0.18455432,0.24305758,0.102188826,0.1039488,0.4797306,0.06564216,-0.13174243,-0.005358488,0.020773916
CESM2,0.09022941,-0.038660232,-0.054559574,-0.008372574,-0.23769036,-0.32020104,0.03346691,-0.84049225,-0.25941432,0.19932753,-0.31940442,-0.02230433,-0.005269052,-0.042911295,-0.08362567,-0.07524414,-0.09679269,-0.27798465,-0.22063933,-0.047504794,0.31752974,1.4192942,0.8926364,0.5425576,0.16742426,-0.00784499,-0.08898987,-0.05366523,0.09747026,-0.1361166,0.06482249,0.22059298,-0.0019729065,0.06262134,1.7264678,-0.08826701,0.09842067,0.36124533,0.034713306,-0.029637657,-0.014071926,-0.015485573,0.023685751,-0.082636416,-0.005279344,-0.021898128
EC-Earth3-LR,0.09656469,0.07519915,0.06333051,-0.047290325,-0.13169555,0.100375965,0.1840647,-0.33779123,0.1221354,0.21432604,-0.31310496,-0.039706085,-0.043816455,-0.056659266,-0.12982474,-0.07758019,0.20529889,0.017921379,-0.023596847,0.009179796,0.2719325,1.810456,0.676108,0.9704909,0.15082212,-0.03129345,-0.0693827,-0.069405064,0.15247041,0.021579523,0.18122181,0.22964828,0.0927474,0.15163252,0.98106986,0.2739874,0.34827054,0.8524204,0.26824838,-0.032327883,-0.055077698,-0.08072522,-0.040906124,-0.011172267,-0.010863237,-0.004799309
FGOALS-f3-L,0.029789666,-0.09953549,-0.019081397,-0.11870868,-0.11173785,-0.050602064,0.13203399,-0.56257874,-0.46552405,-0.034237057,-0.22039232,-0.053858127,-0.001974103,-0.102042004,-0.07912467,-0.03947911,-0.20128302,-0.13211443,-0.10531512,-0.0046460903,0.21000154,1.732681,0.73961484,0.9771571,-0.0009897354,-0.009354959,-0.05097226,-0.102793925,0.02134951,-0.078653775,-0.05681681,0.07009959,0.02600833,0.032030158,0.87967026,0.012057288,0.22651881,1.1007608,-0.08251769,-0.040484298,-0.03796396,-0.031819437,0.002502616,-0.01567417,-0.0145958755,-0.094752155
FGOALS-g3,0.017901815,-0.4054408,-0.20590131,-0.62551045,-0.66605514,-0.48686805,0.02790331,0.68057734,-0.070485264,0.7829939,-0.69849175,-0.120600544,-0.15572347,0.05833199,-0.10765801,-0.0740447,-0.7783988,-0.6432188,-0.35261998,-0.30336234,-0.023281455,0.92264414,0.37300783,0.9357245,-0.119339354,-0.0010207843,-0.06438255,4.1357474e-05,-0.28159168,-0.2812633,-0.44472545,-0.24601637,-0.11788894,-0.09176486,1.5839603,-0.20542796,0.17244776,0.5999572,-0.13253032,-0.10441633,-0.1464938,-0.087198585,-0.11122086,-0.11592958,-0.010876713,-0.04334672
GISS-E2-1-G,-0.049948595,-0.06573826,-0.10029918,-0.13971318,-0.052131962,0.14905728,0.15533516,-0.26781654,-0.7007326,0.39302957,-0.31017193,-0.0065738377,-0.004640458,-0.2724079,-0.10546479,-0.08036913,-0.05243335,0.06697174,-0.088734,-0.00010793887,0.30522645,1.4413128,0.7519632,0.74903345,0.14726616,0.03157721,-0.016534327,-0.09065385,-0.014751326,-0.14047338,0.011083081,0.3110308,0.007701577,0.02400584,0.6786803,0.46917483,0.12641019,1.1911882,-0.38709748,-0.024688449,-0.029662643,-2.9680916e-05,-0.047287002,-0.16653587,-0.026443101,-0.08507095
INM-CM4-8,0.04631676,0.13754115,0.14224915,-0.11303287,0.06393672,0.3765549,-0.22515197,0.6928542,-0.21687743,0.30930504,-0.29327524,-0.021625211,0.05636402,-0.01308601,-0.10146982,-0.045277715,-0.062516354,0.021470489,0.07324714,0.051937327,0.5242832,2.403556,0.7469639,0.69679826,0.25894788,0.023700535,-0.062347144,-0.2581863,0.18186231,-0.021394186,-0.012900144,0.22088592,0.21434441,0.14581282,0.2173448,0.058552057,0.700433,0.6502183,-0.54029495,0.05864306,-0.06634048,0.09618049,-0.030964565,-0.005503749,-0.0049559786,-0.0851723
IPSL-CM6A-LR,0.08110225,0.02939983,-0.04421078,0.1132284,0.0027957663,0.26184544,0.83202815,0.09644162,0.3103653,0.42852572,0.04589443,0.003078736,0.03132343,0.021300063,-0.053782176,-0.07482329,-0.233502,-0.18493663,-0.14534557,0.17848718,0.41683897,1.786346,0.7826457,0.79447657,0.14275277,0.03229517,0.033495594,0.013085576,0.09975234,-0.34287646,-0.12064035,0.2187099,0.12524687,0.13761756,0.3930169,0.47568172,0.48625165,0.70626444,-0.0656219,-0.015841542,-0.03444938,-0.025975255,0.053094193,0.0013300214,-0.0056615733,-0.055098105
MIROC-ES2L,-0.024338946,-0.021426497,0.018406188,0.03317791,0.3890482,0.55481595,0.4876422,-0.7040325,-0.43434405,0.38873038,-0.48221278,-0.0131147355,0.057744186,-0.12403307,-0.055148322,-0.06772445,-0.11790332,-0.15628994,-0.08526331,-0.035307776,0.38928956,2.2015426,0.97170717,0.53571063,0.24205232,-0.00032566555,-0.104953825,-0.0041740765,0.1184454,-0.03730935,-0.046152588,0.1852918,-0.030879753,-0.094799265,0.68627536,0.24216308,0.15125968,0.2154152,0.40716425,-0.07505927,-0.09974205,-0.13818294,-0.015339204,0.029638434,-0.009624788,-0.04037729
MPI-ESM1-2-LR,-0.013143441,0.03872353,0.034539815,-0.037160177,-0.02135724,0.40547204,0.17695755,0.5972537,-0.17130342,0.48798397,0.09720401,-0.08211034,-0.24740723,-0.07194149,-0.31559166,-0.1730627,0.048070665,0.028366258,-0.012219937,0.05171578,0.63636804,2.2884893,0.8897949,0.8740144,0.009395556,-0.00015088796,-0.05975587,-0.10786802,0.15088895,-0.029254207,0.0654225,0.24389413,0.06511363,0.20890857,1.2110894,0.46216136,0.4268932,0.70412475,0.277057,0.065090805,0.11434642,0.3364804,0.17675184,-0.011423544,-0.0017440161,-0.018636713
