,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.48577634413363135,-0.8295804291627886,-0.7130300090555644,-0.28016972359311,0.3615652465680588,-0.019732934723004695,-0.710130764558417,-0.9840813724862402,-0.4389789480172852,-0.6655959817079995,-1.0503322066623109,-0.5269031995852562,-0.5734686795809254,-0.8033922659690593,-0.34066822484807663,-0.44677089105919,-0.521546760114892,-0.7419190285225478,-0.5395634783074634,-0.6629387140282841,-1.3153708837738471,-1.9910826518442635,-1.1607216008238372,-1.3155943711732514,-0.7391362153345502,-0.5843475236421348,-0.35591411784752053,-0.4134627076067801,-0.2943095589854847,-0.15454774255270043,-0.022205202318597964,-0.6491193837834083,-0.6508231872449595,-0.6422988396076222,-1.169963815642069,-0.9178890427640681,-1.2894883866001043,-1.3755796736058032,-0.38444826866294396,-0.6872718581742561,-0.5215362967527319,-0.7752098584473999,-0.18056932305652332,-0.07910166798229566,-0.069828672863023,0.6650860763873795,-1.0086289255006817,-0.34542274475097656,-0.3801818572412924,-0.40093231201171875,,,,,-0.3831138610839844,-0.25658226013183594,,-0.20726418495178225
CESM2,0.49032119123654894,-0.21129259442301124,0.20944942141162884,-0.12326058803129218,-0.2861175883062679,0.013033834153565507,-0.2817796858245732,-0.2678546117854359,-0.10222219950230112,-0.2346244180926714,-0.06911653009784582,0.08793040647532874,0.27582485514869354,-0.2636883066095634,0.02970536142009443,-0.07872880907633398,0.23162817435476069,0.5815656261528318,0.2469225386091503,0.3247018539776731,-0.3711128411905476,-1.2018142813743253,-0.6610252572700108,-0.7445351557068616,-0.304167233393494,-0.03112353804533895,0.07212091460010824,-0.3536760889551885,0.04915525940743299,-0.175969013459841,0.03586645341142292,0.011651327552681548,-0.06647664901308978,-0.292649427372362,-0.6115400516149453,-0.12015822162352541,-0.30670078511615423,-1.2275497542303095,-0.3440192046734518,-0.19480209074893587,-0.15366808645748192,-0.050346084367972777,-0.019957970877152856,-0.22906804484689205,0.11781327432141482,0.2557934456137271,0.556457207629217,-0.15750133854530302,-0.2071963563854339,-0.19334198750264195,,,,,-0.5134769638983825,,,-0.023956775665283203
EC-Earth3-LR,1.3843297274854622,0.17202745784798584,0.6549965544948031,0.07897459066718297,-0.11662696610947643,-0.007371439515354517,-0.4668817424112332,-0.27801397002939976,-0.19289987097439135,-0.26617826492345903,-0.29869938887156333,-0.16652356482513536,0.05409580319205087,-0.21100744094113139,0.04691533012236473,-0.12009521783469791,1.2045447871406163,0.7091811301643393,0.5528393027263084,0.2725297024334223,-0.24836841710567442,-1.6451653459847526,-1.0136406904101993,-1.3375330833396688,-0.5449504127865274,-0.13535034892158246,-0.0701949331780015,-0.19835405381964133,0.8234014544030213,0.1503161467986443,0.30522313383043526,0.5412674555705773,-0.1076645990058588,-0.025754480643404406,-0.37778195512433127,-0.17471800156071832,-0.38157119328744915,-1.0798948330592222,-0.3813827316321289,-0.03873917515825165,0.029680608720479805,-0.18692811615132607,-0.14427593439294237,-0.2851067516203463,-0.1454302799197607,0.005017533844102655,2.232424531679433,0.11608592070464313,-0.18075476496543566,-0.18568957680685694,0.7255351543426514,,,,-0.7787499968092242,-0.8573093414306641,,
FGOALS-f3-L,0.023858914311814375,-0.3212065364570833,-0.3269969443602461,-0.22987857780483367,-0.502716083035942,-0.4989902344504385,-0.6062303879606277,-0.457306955639289,-0.3304985370816099,-0.40093828490374905,-0.31117591646446957,-0.45335113464191185,-0.2467365234869766,-0.33070776834991245,-0.2023327207859927,-0.2167919402735582,-0.06923376759018968,0.10687129593994864,-0.2293043111917929,-0.19425985033206267,-0.6472274449145204,-1.322791183018908,-0.9656414173725197,-1.3156657680488502,-0.5401043089036709,-0.44725254035622414,-0.3072846803005164,-0.3696833120072465,-0.17668344875892047,-0.5374224048486341,-0.41675408472297687,-0.3850869707025685,-0.4638498221890578,-0.604620276643454,-1.0587220523367173,-0.7204852598470411,-0.6912100422360015,-1.2372198716168894,-0.580601130253535,-0.27853258761707633,-0.4037970046295576,-0.3321176538291525,-0.4783920839519572,-0.37053156486483924,-0.12030631311032089,-0.40900069951675966,0.08952958628890155,-0.41547407282526283,-0.38672275233213477,-0.3072056163663864,-0.46904754638671875,,,,-0.6047604624754538,-0.5478630065917969,,-0.14844799041748047
FGOALS-g3,0.35453684708366406,-0.03223499767342059,0.32815861838053806,0.35431128759754965,0.15964534495657612,0.1610965408078885,-0.13269101925362436,-0.18270024182859076,-0.16392134441120967,0.16983083915815655,0.875110325469773,0.022169501937201554,0.3563163959490712,-0.2484040380166891,0.5034650724157728,-0.2616678059822879,0.14637762584929068,0.7396771175067458,-0.10681406868210884,0.30836869492038677,-0.47097778368243104,-0.8222245865351016,-0.11439179356057211,-0.9761275424537582,0.020533027019361428,-0.08690648881719883,0.1160037673643404,-0.00023719772664688264,0.3948649547067051,-0.2822239231800506,0.40175768074820434,0.4675153736611327,-0.20825948466433072,-0.35868051208710655,-0.40283770458719437,-0.22839421920368422,-0.5935635340851267,-1.1851827354496571,-0.12491099477332146,0.011721768091974704,0.06819611046287355,0.06290858456865775,0.0338907073770664,-0.13953344285268762,-0.03315252974595748,-0.13847349135400117,0.09061329985540242,,-0.17055034637451172,-0.3781166076660156,,,,,-0.09902191162109375,,,-0.007329702377319336
GISS-E2-1-G,-0.13626374987499762,0.0025077109829712676,0.08155122731993247,0.11966419384969522,-0.3305114380463211,-0.3770486336066966,-0.5657780181982218,-0.5261712762271984,-0.3305216976021139,-0.38277635420603484,-0.31567666185731436,-0.4456957585066143,-0.28587611498016513,-0.383780187036807,-0.1112943301389284,-0.45309877947438365,0.21160740750660068,-0.046756376347228255,0.013813968108715309,-0.32016164483563897,-1.057501071993162,-1.2345104517226981,-1.1027544714646098,-1.327916834421146,-0.803896693184698,-0.5832459187781409,-0.4884659386535759,-0.4535271891422568,0.6753667377427532,-0.03699668960305948,-0.12199788746936599,0.14513530257215235,-0.5387569364082503,-0.42796720197141647,-0.9128605558410191,-0.5645870993910552,-0.922702523803869,-1.4680807764554538,-0.5066095360364026,-0.22075214724717032,-0.2444320938746987,-0.3365428252187841,-0.4396401817657492,-0.4522798339949924,-0.5603662328166702,-0.5641548972304374,0.61204625565494,0.5811777114868164,,-0.36380577087402344,-0.2059316635131836,,,,,-0.6208076477050781,,
INM-CM4-8,0.3508334658035835,-0.4549815333786281,-0.34084587332748467,-0.6348886365707728,-0.5770686720107925,-0.5577845053922612,-0.3780433769855657,-0.5944386326372252,-0.34544117252098866,-0.20797497026877845,-0.12769086563293733,-0.2145251584065491,-0.09867720719591234,-0.4807275436786569,-0.2590487440528175,-0.35981348261267143,-0.05000248708736714,-0.036277588650980644,-0.45118137247677925,-0.11572585323381851,-0.3079393787039389,-1.4260844906628887,-0.7977862956338744,-0.9249464661973269,-0.35091236271155374,-0.006922879570335804,0.0516200182363452,-0.21798371860366905,-0.34609855367710185,-0.4982175125586406,-0.6560240578376281,-0.5783259142204639,-0.3939074895851357,-0.35608406342305643,-0.9814964252412554,-0.6901581281884379,-0.7742020629101112,-0.9320908709776886,-0.38573762331219374,-0.318481504349018,-0.2463505905049495,-0.18340899767411106,-0.13241121688824786,-0.2556549717515753,0.04184781261849171,-0.5105358236853376,0.2708437901481524,,-0.3568227783617482,-0.13179588317871094,,,,,-0.2781219482421875,-0.20975875854492188,,
IPSL-CM6A-LR,-0.07089031810859638,-0.40893724683715754,-0.3160914565073288,-0.16392649418974706,-0.36136599093528193,-0.426166623849368,-0.5671522415390293,-0.48222799416824297,-0.3598926361926667,-0.47747707181805205,-0.48050461909032005,-0.32599464436417197,-0.26954664312637105,-0.4348914616813744,-0.2448336761915619,-0.30785104512291867,-0.22724952978273458,0.06723031806698318,-0.2737735108640575,-0.20278056508190176,-0.528793585224567,-1.1138918406713942,-0.7932095847323001,-1.0384302533924623,-0.4422954363128069,-0.3824036157184116,-0.3057915799958756,-0.3411537280947706,-0.2233235305455642,-0.14595384701519734,-0.22852654656522642,-0.42802335994577784,-0.33559177910769755,-0.1882738973923236,-0.7843208982743747,-0.7797442894760931,-0.7028571395318959,-1.058936903375239,-0.5037508238902855,-0.28340018959416463,-0.19208707914768336,-0.25892116302606144,-0.29116416208343554,-0.3203940089039591,0.019357843728824178,-0.16153564181649932,-0.012493345421964328,-0.31940603256225586,-0.4498950474248446,-0.29257018583495004,,,,,-0.42314720153808594,,,-0.016417264938354492
MIROC-ES2L,-0.04220983122660273,-0.471262749144203,-0.5479589463466319,-0.36917203153318645,-1.031234372637811,-0.8375476516679067,-0.9257173613649053,-0.44088667815397214,-0.2519969940185547,-0.49034835405185945,-0.1158842144574514,-0.4085378237516302,-0.4127587350861071,-0.5815825759576508,-0.542040989290862,-0.38861336385913975,-0.2938547152947445,-0.023861667114538628,-0.27193845761952884,-0.18325427689499085,-1.1544372414058777,-1.1463166318396067,-1.0768078052348105,-1.2997468993056878,-0.7503748534697283,-0.4899853664602325,-0.29739597792376943,-0.32184628921453284,-0.1395702742213523,-0.6964457441658612,-0.5313123478460435,-0.4959112738627094,-0.37503537493662464,-0.6848583190877237,-1.0622906646442483,-0.9583593336863279,-1.0599330933097244,-1.2214795817413908,-0.6764717571289215,-0.49713661863896325,-0.3828473188788172,-0.3956324908874691,-0.4296025902128121,-0.27972857565654996,-0.3554128795662205,-0.22836021436596995,0.428268051147461,,-0.3658139995374333,,,,,,,-0.6820030212402344,,
MPI-ESM1-2-LR,-0.04881076454785647,-0.5805090423926496,-0.4580933147594996,-0.05915960459227889,-0.0786714351170863,-0.4177269935822437,-0.5609468103212586,-0.7845092898643253,-0.37236174735863725,-0.32829061249939306,-0.5443427430641982,-0.3255036480008179,-0.05907058926713365,-0.44836164050441457,0.2614413761018163,-0.2808265958505559,-0.0536525629214596,-0.04732734659557483,-0.10340676954894314,-0.33063441952311445,-1.0878808730129768,-2.565969708541936,-1.5180332821464746,-1.4150654459875667,-0.6760281884058164,-0.4142894243529502,-0.31184698287069446,-0.31121783837228334,-0.04170752439880821,-0.2144729584762847,-0.19316629074702316,-0.3252858716604032,-0.48188990781158125,-0.48028187840791736,-0.9365213780411131,-0.8094791137087144,-0.9612137196200331,-1.6295662045847688,-0.5147203562352884,-0.1658464122072323,-0.31853649218798624,-0.4797660842073452,-0.22155377503402504,-0.00038768563679489023,-0.13449166814138455,0.05999884874280048,0.3539662050904595,-0.41053009033203125,-0.3594261606420906,-0.13741111755371094,,,,,-0.7397003173828125,-0.46454811096191406,,-0.013767719268798828
