,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,-34.84256,-23.290026,-27.100025,-4.3356,-1.127593,-3.4286666,10.387188,23.1272,31.687277,23.148699,29.507893,25.578506,24.435146,16.130892,27.069092,16.07727,-12.03998,-5.4552464,-16.078661,5.5741057,19.006525,25.630283,25.595377,27.013386,24.974846,25.17144,23.864828,28.245361,-37.456535,-22.439596,-28.458614,-29.965412,-1.6704841,-12.54037,-13.358173,-0.28268266,17.457357,17.773216,25.833914,30.093758,31.159039,27.03834,27.101671,15.370343,-26.461134,-13.258979
100,-34.452797,-23.029152,-26.775408,-4.288125,-1.1988966,-3.3610597,10.427757,23.073965,31.81452,23.134003,29.44021,25.541307,24.36551,16.169918,27.027283,15.839511,-12.1507,-5.6524982,-16.084326,5.5063386,19.011696,25.610638,25.561321,27.017067,24.872387,25.052183,23.815624,28.182068,-37.02327,-22.420378,-28.74468,-29.66297,-1.37628,-12.456395,-13.204631,-0.31848875,17.46664,17.689138,25.787687,30.02594,31.291674,26.910053,27.122465,15.357635,-26.422598,-13.288566
200,-35.183834,-23.511766,-27.544304,-4.565661,-1.4134289,-3.7860394,10.259591,23.07197,31.542734,23.093054,29.408981,25.342678,24.340942,15.96056,26.961334,15.725233,-12.387916,-6.0427403,-17.058424,5.4068027,19.030422,25.672686,25.517864,26.781843,24.58593,24.990606,23.86039,28.364803,-37.715218,-23.148434,-28.751963,-30.03215,-1.8988001,-12.542954,-13.495151,-0.3231032,17.481,17.677595,25.695807,29.91088,30.99974,26.857212,26.961748,15.210019,-26.465136,-13.235751
300,-35.261997,-23.265856,-27.63727,-4.3554864,-1.2108045,-3.713611,10.2646475,22.911814,31.43399,22.874912,29.069462,25.226322,24.19319,16.019033,26.865501,15.690508,-12.530279,-5.7688813,-16.494513,5.3627977,18.73026,25.330233,25.321632,26.69989,24.651001,24.715902,23.562666,27.943659,-37.86062,-22.721375,-28.894556,-30.64471,-1.9572648,-12.766996,-13.582494,-0.4844956,17.05354,17.4305,25.717218,29.920746,31.055832,26.724607,27.099731,15.084938,-26.493032,-13.1857
400,-34.803185,-23.335377,-27.400131,-4.27788,-1.325191,-3.7248657,10.312401,22.794426,31.603067,23.071772,29.35192,25.371777,24.387207,16.132925,26.960653,15.986021,-11.831818,-5.857925,-16.587467,5.4522076,18.923489,25.602144,25.51517,26.76806,24.733936,24.968393,23.774363,28.242046,-37.31631,-22.811253,-28.597198,-29.870348,-1.9147671,-12.594118,-13.572926,-0.3280104,17.328972,17.667028,25.73502,30.132088,31.329012,27.073568,27.393755,15.232145,-26.378075,-13.256578
500,-34.8188,-23.130726,-27.22485,-4.3135343,-0.971684,-3.514305,10.4287615,22.945364,31.238743,23.062428,29.366695,25.304697,24.30332,15.988137,27.07158,15.943561,-11.704454,-5.737306,-16.480457,5.2920523,18.984123,25.776733,25.64836,26.969954,24.886133,25.0583,23.845404,28.321663,-37.18507,-22.556686,-28.639265,-30.325165,-1.7443597,-12.459021,-13.195864,-0.21056248,17.508587,17.64378,25.766117,29.976545,31.011236,26.78011,26.935738,15.147729,-26.381054,-13.250892
600,-35.156578,-23.235895,-27.484764,-4.2233543,-1.1456083,-3.7430818,10.252772,22.824654,31.542175,22.989899,29.245352,25.173191,24.244547,15.900474,27.004047,15.801245,-11.909293,-5.6619596,-16.58753,5.3718104,18.88048,25.469755,25.39192,26.718002,24.695538,24.819601,23.634665,28.063454,-37.360886,-22.485727,-28.550224,-30.32565,-2.0213788,-12.696338,-13.47225,-0.40939704,17.245972,17.445246,25.727774,29.98665,30.893368,26.892597,27.09313,15.108868,-26.33128,-13.228851
700,-35.053574,-23.212572,-26.975409,-4.373414,-1.1310886,-3.4663303,10.366355,22.79429,31.448349,22.947952,29.09098,25.151688,24.205154,16.040619,26.95338,15.940276,-11.880765,-5.8837676,-17.152283,5.501212,18.873383,25.42369,25.41946,27.020903,24.96847,24.788033,23.735912,28.070293,-38.128155,-23.072506,-28.77935,-30.642122,-2.1164646,-12.667165,-13.122438,-0.37308055,17.359484,17.35837,25.739305,29.845652,30.966953,26.819265,26.993435,15.210343,-26.365158,-13.235265
800,-34.7151,-23.021906,-27.187714,-4.4139075,-1.1627258,-3.53736,10.301268,22.799309,31.409937,23.09012,29.387869,25.303375,24.34045,16.082846,26.916136,15.760227,-11.977899,-5.6384683,-16.329184,5.5153847,18.911068,25.554037,25.550526,26.872076,24.879042,25.057823,23.86312,28.182787,-37.475483,-22.762999,-28.828276,-30.286364,-1.824747,-12.787268,-13.529156,-0.36252394,17.407059,17.589277,25.789576,29.970613,31.038454,26.879858,27.061935,15.291382,-26.415304,-13.160417
900,-35.285378,-23.469683,-27.519382,-4.5917506,-1.4350245,-3.7153735,10.252777,22.886871,31.453085,22.832855,29.023046,25.334833,24.200874,15.878488,26.898842,15.783254,-12.335621,-5.775476,-16.83261,5.283941,18.693077,25.340948,25.304436,26.616634,24.436954,24.891973,23.632212,28.070503,-37.735218,-22.679893,-28.828526,-30.397968,-2.0929236,-12.93156,-13.51042,-0.5978196,17.072226,17.354158,25.681068,29.860058,31.159714,26.763954,27.2543,15.212332,-26.403536,-13.179128
