,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,-33.84001253499813,-23.723863136844546,-28.013336112419456,-5.36944953612312,-1.7405120900498028,-3.136165942765719,8.868992097523162,22.518479632148722,22.913349151611328,21.346298341131003,24.219372257135053,23.911048601817924,22.43522438042421,15.655058120816275,21.704940390959678,9.562390978539108,-19.280591680450176,-5.46651059320907,-17.390368373183016,6.92546333247929,14.445344543439429,21.03064129404938,20.57960777281497,20.65832323238088,20.963524872499967,21.710584348409338,20.745183113331024,25.469903264671157,-39.07684583162708,-21.431252153820825,-29.69563584060232,-34.600475796063414,-1.0779852000091152,-13.860657744416732,-12.874082136553678,-0.4537240487086671,13.340900455467974,14.469689772994887,23.124352605311287,26.506263119927205,27.291542143846836,23.73489823439649,19.72150666584994,12.967835901996231,-21.490323217958903,-10.666461076170336
100,-34.09520407738367,-24.920247389723514,-29.51499573818654,-5.963780440892668,-2.694112646081771,-4.271858281922191,8.331479244716254,22.304927101153243,22.664752960205078,21.103482773170118,23.812350264953313,23.50548148211497,22.09929369290534,15.222053465687047,21.36410360266977,9.193062569426075,-21.49986282921331,-6.433719362680347,-18.476690765855878,6.803524687258474,14.227674758359983,20.64849321212496,20.196262571282784,20.1822713792979,20.61847182655992,21.26366776204482,20.412767784560426,25.13167355424877,-40.227998320621715,-22.184446532870627,-30.779031481233414,-35.03514513547762,-1.2077686066765536,-14.413393243360524,-13.476862114401412,-1.2113498042033002,12.98019307837289,13.99309925774677,22.737179047603572,26.406709468098924,27.245341234369562,23.61387876607768,19.36902483345081,12.847710782988981,-21.771357637697747,-10.953983268989331
200,-33.57041262282518,-24.31142692232904,-29.150865691194266,-5.492536058135595,-2.5245193150633316,-4.250774768520333,8.106259925342215,22.187074868516167,22.582244873046875,21.02604349068081,23.599090530950463,23.51871969586989,22.0266160507134,15.215845705981511,21.302159610322185,9.135877195639212,-21.08656722954875,-6.488167944692581,-18.406366024755982,6.647733407743927,14.118528639816235,20.53680451143117,20.069178861417523,20.07965925105799,20.525733075183002,21.137711464063273,20.280605768198946,25.080786798631035,-40.15885643439886,-22.61783174115217,-31.023119856692126,-35.50580097661667,-1.416868884534724,-14.584685140391128,-13.519016127474487,-1.222230692542249,12.984400735345876,13.949152794651196,22.648914311919622,26.239029936816202,27.001582889259417,23.364007574005424,19.324182530777392,12.71646671772167,-22.001446857077404,-11.09159454376365
300,-33.152821988268755,-24.86021860087703,-29.13677082506462,-5.768667851739471,-2.577480748057102,-3.8387866376373583,8.30301401527955,22.30302740868514,22.662132263183594,20.998431640079502,23.625734498626596,23.593572434823457,22.03704276559694,15.24518100044001,21.36887053634954,9.230804483734836,-20.36083670972034,-6.229565868953903,-18.427502663820345,6.751713307185081,14.108619621311925,20.501134575278876,20.036772233464205,19.955646885377206,20.466412907025884,21.149455326526972,20.317928308661642,25.03466426129261,-40.28505742570225,-21.991633227721078,-30.660520004696846,-35.338664852609995,-1.301074052494609,-14.38238422462501,-13.466795221547144,-1.0766875848777655,12.960263902641573,14.122623211995009,22.641273368069065,26.138516769648767,26.931328999477227,23.564082744330303,19.278333170773806,12.582581141832964,-22.03602058650862,-11.08880665681304
400,-33.3011435331046,-24.965246319747816,-28.909507933142923,-5.539255571216772,-2.2721187767351005,-3.754145196184089,8.489270860443453,22.281535783801335,22.696086883544922,20.959046545019696,23.610119890769358,23.661700485724168,22.063539614494157,15.13135460666401,21.413931938062827,9.09826255655049,-20.220850942504203,-5.906926254520508,-18.0074550504896,6.794136005584816,14.007073047411534,20.673727658746273,20.152418752090526,20.091808792953547,20.537413793057645,21.22625676980723,20.32532594997523,25.0746247269297,-39.887766366547574,-21.724130957806487,-30.145267051272018,-34.97846102603634,-1.2247428758204444,-14.37298487936877,-13.668730443395122,-0.9805258702900909,13.036496120237945,13.938472429667417,22.797740606961284,26.34771234487512,27.235534694523366,23.568300878362546,19.37330848188946,12.691138404003146,-22.083566988857797,-11.215644230060999
500,-33.87640521549989,-25.035336219201447,-28.729487936758886,-5.37688574899201,-1.9604157964480873,-3.452340291040931,8.629546290832224,22.287603800059998,22.730117797851562,20.998494519886435,23.743916779650398,23.6607208734691,22.020230823609403,15.044963933599483,21.42944098730997,9.01106561035012,-20.12330325120258,-6.226753906813705,-17.872967707913105,6.63225502480865,14.007538828462271,20.9896489858354,20.261716562145022,20.08503017056387,20.580346015355705,21.378917252939246,20.35727500299025,25.12616458125795,-39.92449566238812,-21.38756966642099,-29.88609700915653,-35.30279995200365,-1.4107746746831062,-14.663494209884231,-14.189622002712147,-1.0263186180692256,13.04832694967543,13.937329831667318,22.81692458282819,26.211545717026013,27.134821353245112,23.3462737993423,19.41507952419179,12.74871137685264,-22.175244791074416,-11.26931621125419
600,-34.21203676399965,-25.090800689495016,-28.92662667876588,-5.426111787416589,-2.0869412380494285,-3.6448666329751456,8.586788059399582,22.290629765036083,22.68238067626953,21.031762730756764,23.669236009005257,23.652942398273126,22.016356632992675,15.031763452975264,21.423437362168283,8.981197480920338,-20.874629988776594,-6.363472266371156,-18.432576527906516,6.577052450876273,13.972891342673734,21.054545276300296,20.301413409465173,20.048956299450474,20.565923495224457,21.423560939440062,20.432627222745115,25.18510566627101,-39.88600078109135,-22.016402768376548,-30.71898846186285,-35.070198419799844,-1.5001394373766115,-14.705906475548783,-13.970248034942788,-1.1730748322795956,13.048473104309254,13.938535088348003,22.853824942277086,26.26926545129677,27.217396349485814,23.539997590769843,19.314245878703222,12.701146883024174,-22.000884058003102,-11.036634787122207
700,-34.94419485023398,-24.88675111726243,-29.148798994676472,-5.727650735328831,-2.2746303854296626,-3.6957159731329488,8.396547319041737,22.2777905440886,22.65140914916992,21.01387968684534,23.625165977889008,23.611743112241584,22.05462123622697,15.09916340413008,21.403710441901737,9.01283801727462,-21.563766181188953,-6.970144146966315,-18.534275367562877,6.351119408908337,13.856766076879742,21.010229313042615,20.33941099338442,20.064728378850127,20.719845477031903,21.435118600835203,20.40452625726824,25.109152589633318,-40.0285344549239,-22.029450172054446,-30.24868994807306,-35.66034575064778,-1.6635009965684895,-14.850084640045878,-14.092417262063272,-1.1570035987906018,12.924929432283676,13.849680147166147,22.832940347605426,26.355147091057052,27.338373087828593,23.533364063804104,19.2905488711116,12.682569790360745,-22.043008066257464,-11.046937516678845
800,-34.683680412959234,-24.626285922978063,-28.90862034695559,-5.559350542387011,-2.262976818906013,-3.771861071280585,8.379857021429693,22.239475500255033,22.608957290649414,21.015890061095476,23.697269835410932,23.736546031930523,22.069513291905995,15.051161603776263,21.466956451885956,8.940981373049407,-21.133571465182047,-6.788681873167645,-18.29568283760819,6.406236360168704,13.943866618694729,21.054751415091616,20.343438128162486,20.19721875944835,20.65984233133299,21.534071103186374,20.4823478754935,25.30267423258872,-40.022494581330974,-21.91143566605707,-30.479368060754283,-35.663026559829255,-1.494894915406086,-14.814320296748516,-14.157105199722723,-1.2018551083076199,13.068859073829305,13.929271978712457,22.816873637772975,26.123669515452395,27.03111089189845,23.221159944568274,19.470015442311304,12.762982515562486,-22.00028245846917,-10.920470158083114
900,-34.08125463359576,-25.18508613068793,-29.401313845571266,-5.683332905412142,-2.1867729293614073,-3.7320914874494555,8.467197214215453,22.226907040514604,22.56832504272461,21.02926793846306,23.665994688517774,23.63834105884647,22.01106500652222,15.091038602060522,21.471181273377518,9.013737161111457,-21.223724196390883,-6.830271318065912,-18.76904974651758,6.425858325313759,13.946161213767626,20.99297261443127,20.314409176340625,19.998503652113794,20.67038702518747,21.487962452699204,20.39995670567749,25.139407872917676,-40.004694931930395,-22.40137166277577,-30.51006308015043,-35.33505417863621,-1.7438777873774933,-14.965015493564612,-14.147803062937147,-1.1599169176873465,12.940938209206099,14.004159224662454,22.839029962327228,26.331595352063605,27.209823020936184,23.338572122639043,19.31477889799186,12.65587579572155,-22.066539795573853,-11.060677137961383
