,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,0.3622214,0.034430142,-0.22069855,0.3231399,1.6213932,0.6914091,0.015651587,-0.5822142,-0.25498724,-0.03971964,-0.734782,-0.51193553,-0.22919345,-0.56921065,-0.24777429,-0.5103635,0.22637016,-0.05279923,0.5052079,0.20977703,-0.85920656,-1.1767434,-0.440813,-0.42021996,-0.16827172,-0.47467932,-0.19881263,-0.3060818,0.12246893,1.1756779,1.0653522,0.19100246,0.9683002,1.3521135,-0.15957089,-0.2782611,-0.43259838,-0.24021295,-0.161083,-0.24506594,0.05201701,-0.26500303,0.057668056,-0.09569016,0.023853503,0.8578593
CESM2,1.5279918,1.1091572,1.5358975,1.4824913,1.3241558,1.8621191,0.24077491,0.031842824,0.016074933,0.12645783,0.24256103,0.2493212,0.70353836,-0.15206155,0.20485142,-0.23399766,0.95359963,2.1594625,2.0075455,1.6470286,0.6243605,-0.9848364,-0.43918452,-0.413472,-0.03741557,0.16450197,0.21217023,-0.30796385,0.96812385,1.6987588,2.0455384,1.4027557,1.637931,1.75991,-0.103515096,1.0506579,0.90343666,-0.78602284,-0.16760631,0.13487282,0.20791714,0.1995757,0.099414356,-0.20823517,-0.13377938,-0.038188793
EC-Earth3-LR,2.1697724,1.1864121,1.7419678,1.3349178,1.1123937,0.80999506,0.32698905,0.2492827,0.0804879,0.04815511,0.17048799,-0.000428669,0.26593995,-0.09747754,0.12479713,-0.36857098,1.7077508,1.5530543,1.6224269,1.2303051,0.5662807,-1.6402487,-0.9932978,-1.2989392,-0.3852707,0.09067135,0.10123512,-0.14834006,1.4846798,1.3616632,1.6917502,1.4263457,1.3386242,1.791757,0.4828591,0.7530208,0.6008028,-0.4710261,-0.16024134,0.3361076,0.46304435,0.2597034,0.04498708,-0.3219097,-0.075577095,-0.056802142
FGOALS-f3-L,1.3296138,0.99833924,1.0914295,1.0362469,0.6367004,0.47816077,-0.15305084,-0.2150689,-0.19706137,-0.16553107,-0.072749265,-0.37641364,-0.019382201,-0.3553748,-0.08357555,-0.64864886,0.9812869,1.3957675,1.3705347,0.8031834,0.24376409,-1.2831155,-0.93013364,-1.2885131,-0.29569095,-0.4187333,-0.20381874,-0.3880341,1.0402906,1.1731944,1.6769506,0.89893174,1.1604509,1.6167021,0.1078813,0.33274776,0.26556686,-0.86927414,-0.46243247,-0.03258262,0.04119327,-0.1857058,-0.28367162,-0.48865038,-0.40192127,-0.8980712
FGOALS-g3,1.960208,2.1192691,2.8112686,2.658881,2.4935968,2.1580844,0.8270724,-0.19102727,0.11447632,0.14339323,0.923741,-0.3151225,-0.2006199,-0.43489328,0.12740964,-0.637811,2.238276,3.4658055,2.1505873,1.9977405,0.7029062,-0.30195796,0.020306941,-0.64707655,0.16079795,-0.45454806,-0.12075694,-0.09845367,2.4509637,2.3261251,3.474578,2.4634647,1.8428793,2.2719545,1.8507974,1.5096225,0.6409505,-1.0140207,0.01142126,-0.0746195,0.2606447,-0.064809896,-0.02040341,-0.42269978,-0.36045867,-0.42093349
GISS-E2-1-G,0.83143663,1.4658726,1.9807616,1.2116277,0.86219186,0.6503081,0.059684444,-0.20782496,-0.121731855,-0.121331625,0.08113213,-0.35318324,-0.07678047,-0.44519758,-0.12384142,-0.6328378,1.1379706,0.94606173,1.1026185,0.4503628,-0.45944685,-1.2094605,-1.1449311,-1.3166099,-0.5993397,-0.49567568,-0.29069638,-0.4292825,1.6771705,1.3411651,1.3796296,1.292454,0.8062958,1.2345271,0.057444226,0.5569127,0.051812015,-1.1692195,-0.35803536,-0.042871445,0.08551663,-0.24490365,-0.279927,-0.59342766,-0.94174594,-1.2588214
INM-CM4-8,1.5989946,0.85190004,1.20423,0.5684838,0.5944898,0.50505304,0.54734933,-0.4019734,-0.19887836,0.05062131,0.007304962,-0.23675355,0.14371642,-0.42314798,-0.20674086,-0.51363987,0.8223376,1.500833,0.89810103,1.2076147,0.5461553,-1.3913811,-0.52758366,-0.40432826,0.0919406,0.23872167,0.42421126,-0.19178799,0.67838377,1.3976135,1.3788604,0.83167464,1.0060257,1.5810385,0.17255503,0.06938779,-0.016364845,-0.6637639,-0.2831261,-0.09501933,-0.06110578,-0.032605857,-0.077223726,-0.24768293,-0.1975662,-0.77248824
IPSL-CM6A-LR,1.243419,1.044675,1.371283,1.0715358,1.0034543,0.74164253,-0.28781894,-0.29106745,-0.22303605,-0.31500375,-0.3002954,-0.3300977,-0.039805092,-0.39940757,-0.12631252,-0.34616336,0.9653311,1.7879565,1.2904029,0.93246824,0.4182232,-0.8443924,-0.64569396,-0.7114167,-0.27717718,-0.27892807,-0.22212906,-0.37947905,1.1111026,2.1906304,1.9303465,1.0367645,1.1319875,2.247901,0.58073723,0.0031126398,0.30950856,-0.5330636,-0.394071,-0.10594358,0.02311987,-0.22177896,-0.2712669,-0.32457888,-0.26338562,-0.39034986
MIROC-ES2L,0.53480905,0.6601865,0.8052423,0.66038007,-0.21180345,0.06324545,-0.61010706,0.2780135,-0.013185501,-0.1592835,0.3022678,-0.37796196,0.07622679,-0.43689165,-0.23669706,-0.5412283,0.77198863,1.2312833,0.90971625,0.7959303,-0.3461275,-1.1362767,-0.7347413,-1.1138601,-0.46435344,-0.31046796,-0.23271255,-0.33273104,0.9829071,0.90288454,1.3491696,0.5052414,1.1834415,1.7605232,0.09518696,-0.11777891,-0.104664,-0.8086763,-0.42097098,-0.05132864,0.04433646,-0.10588598,-0.32903883,-0.4108114,-0.90517735,-0.8257012
MPI-ESM1-2-LR,0.9716052,0.7101111,0.86361897,1.1082292,1.0324812,0.47120267,0.1293766,-0.39649647,-0.27065527,0.19108598,-0.15689534,-0.18193279,0.20757435,-0.484769,0.26168075,-0.50499,0.85194325,1.0789976,1.172654,0.8532661,-0.3600873,-1.9516796,-1.054577,-1.203957,-0.40620634,-0.24694078,-0.14488958,-0.30335432,0.7917066,1.5043968,1.7669972,0.72054166,1.1557174,1.5342257,0.08884697,0.08630169,-0.27439773,-0.7158892,-0.1712745,0.32039768,0.191154,0.11938312,-0.056550276,-0.26619652,-0.20042653,0.042283103
