,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.95825815,0.83033717,0.6974804,0.6169115,0.5966422,1.17409,-0.122377686,0.19156846,0.393376,2.4189868,0.96636003,1.3257962,2.4951572,0.91106594,0.8119337,1.5732079,0.97367775,0.558962,0.24003938,0.21562915,0.037079263,1.276405,2.2071652,0.41597712,0.60378903,0.5801433,0.6886601,0.105070196,0.48616135,0.26019308,0.39312577,0.84822404,0.16934435,0.055690892,0.8348188,1.3486875,-0.13743953,0.3422357,3.7895212,1.0725514,-0.031779163,0.1296392,-0.008420671,3.5659332,0.28798005,0.9830407,0.24938352,,,,,,,,,,,
100,0.9662833,0.8152297,0.6932672,0.6279208,0.5705505,1.19032,-0.12679489,0.19447865,0.40643334,2.400139,0.9920669,1.3311002,2.544918,0.9224824,0.86268336,1.5857395,0.9864966,0.55134666,0.2488837,0.20734347,0.036915116,1.2873397,2.1888793,0.4199133,0.5941188,0.55566365,0.695628,0.14429407,0.49572393,0.25347707,0.39013553,0.85288924,0.17375237,0.05920076,0.82605886,1.3836253,-0.13783686,0.3560521,3.7841954,1.0991105,-0.040337276,0.14072782,-0.006846931,3.6160812,0.2864083,0.96670765,0.12663326,,,,,,,,,,,
200,0.9527934,0.8154214,0.69172376,0.6171187,0.5755869,1.1677048,-0.12500384,0.18218124,0.39719057,2.3736243,0.93770057,1.4014657,2.4917994,0.9126717,0.81856906,1.5853724,0.9804189,0.5439212,0.23117852,0.21044934,0.035863284,1.1999834,2.206089,0.4233626,0.60935163,0.5945438,0.69029313,0.095266856,0.49606636,0.24968542,0.40609118,0.81930494,0.1815746,0.05576968,0.8490757,1.3486168,-0.13585313,0.3365027,3.8612087,1.0996054,-0.041018233,0.13468465,-0.0077707907,3.5439012,0.28291228,0.96394235,0.2435683,,,,,,,,,,,
300,0.9292352,0.81127906,0.68753916,0.6145746,0.5612316,1.1257182,-0.12437015,0.20891447,0.39515626,2.376281,0.9914173,1.3843929,2.42819,0.9499212,0.7969373,1.5741135,0.97671443,0.5550091,0.23855086,0.21277842,0.038218345,1.268803,2.182407,0.4064367,0.60247487,0.5962896,0.69220304,0.15007989,0.48070368,0.25290048,0.3893788,0.82243526,0.1672636,0.05281889,0.80677694,1.3473308,-0.13527429,0.31923902,3.7344484,1.0390044,-0.053559594,0.14815874,-0.004650997,3.5332198,0.28402764,0.9647157,0.20198885,,,,,,,,,,,
400,0.9511678,0.8133026,0.6858333,0.6331908,0.58627367,1.1480354,-0.12585492,0.20133065,0.4213618,2.3459554,0.94284534,1.416694,2.471607,0.90918064,0.83236766,1.5781091,1.0031109,0.5503462,0.24364252,0.19491123,0.035259094,1.2673942,2.1975055,0.42001522,0.6078276,0.6188252,0.73032457,0.12074587,0.4869083,0.2535901,0.39106798,0.8337716,0.17804095,0.0548615,0.810257,1.3281405,-0.1368223,0.3118316,3.7765105,1.0264157,-0.05901752,0.13497397,-0.0049632806,3.5917237,0.28748447,0.9476577,0.22220765,,,,,,,,,,,
500,0.9609691,0.81073,0.69387317,0.6228938,0.5601267,1.1766334,-0.12751472,0.17542876,0.3976226,2.3268754,0.94223475,1.4173229,2.4698124,0.93117124,0.81476086,1.5834956,0.9952205,0.50761425,0.23103388,0.1984438,0.034396358,1.225266,2.1871707,0.42188537,0.60089076,0.582444,0.73502696,0.15991876,0.4874567,0.25127417,0.39855438,0.82530445,0.18394393,0.053957332,0.84322786,1.390455,-0.13705227,0.3376598,3.78367,1.0953957,-0.036032405,0.15623367,-0.003909739,3.5432916,0.28443003,0.95670503,0.18658122,,,,,,,,,,,
600,0.9513143,0.8001617,0.68806106,0.63791543,0.5724344,1.1694434,-0.124413185,0.18775399,0.40988433,2.3530743,0.9685309,1.4637961,2.5278337,0.953946,0.8176394,1.6034209,0.98812735,0.51758915,0.25220186,0.19244471,0.03584009,1.1945618,2.1739705,0.41479462,0.6089626,0.59919196,0.695594,0.11506122,0.48466706,0.25371337,0.38380152,0.8241542,0.17579995,0.058162164,0.84004796,1.3305587,-0.13633704,0.33545104,3.7249763,1.0118159,-0.041354705,0.13751012,-0.0073672486,3.512405,0.28605285,0.9665978,0.22919887,,,,,,,,,,,
700,0.9455118,0.81166774,0.678794,0.6282968,0.5576608,1.1412233,-0.12765555,0.19582047,0.41809034,2.3225093,0.9617414,1.436761,2.4897513,0.94843423,0.80049086,1.5899855,0.96495956,0.5255468,0.23587497,0.21425137,0.032879427,1.2675515,2.1495945,0.40316084,0.5957378,0.6137162,0.71393126,0.14293768,0.47543356,0.2658806,0.39921492,0.8132609,0.16172521,0.051507093,0.84848595,1.3825629,-0.13661185,0.33194715,3.7642224,1.201123,-0.024969796,0.14311093,-0.007980387,3.594472,0.28625745,0.9610851,0.19610138,,,,,,,,,,,
800,0.94815654,0.8035233,0.68123555,0.62828517,0.58749944,1.1599146,-0.12301154,0.18725017,0.38851073,2.2648327,0.95074207,1.3988636,2.51866,0.9310417,0.83939064,1.5620148,0.9847679,0.54227865,0.25432763,0.20363568,0.03488667,1.271987,2.1795595,0.40672523,0.59292424,0.57765514,0.68675613,0.14317295,0.4803183,0.25709093,0.38549402,0.8473124,0.18051293,0.056051884,0.82175183,1.3873436,-0.13543841,0.34006414,3.7711203,1.115716,-0.030081028,0.13416865,-0.0076632746,3.5857036,0.2833427,0.9703317,0.16271044,,,,,,,,,,,
900,0.92760324,0.8011487,0.6840591,0.63190377,0.5556512,1.210659,-0.12038302,0.16719663,0.38830376,2.4673083,1.0012054,1.3471339,2.464452,0.9588483,0.8403849,1.5693356,0.99405813,0.51080614,0.2320002,0.1956657,0.033440948,1.1986188,2.0987134,0.40613604,0.60600054,0.55572504,0.75842994,0.19964604,0.4735136,0.24474338,0.37696314,0.82503235,0.16930746,0.055959795,0.841358,1.3679593,-0.13507582,0.31611532,3.7986095,1.1407678,-0.033842985,0.15062848,-0.0056124437,3.5098,0.28503945,0.96434635,0.23913279,,,,,,,,,,,
