,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.6394587245946607,1.1113491836336764,0.5886957426524863,0.6171796679988024,0.3922640711204862,0.5151944129053628,-0.03763637585756376,-1.2754109523273267,-2.622276699540083,1.6488433953052613,0.47814128382675586,0.3936948205896207,1.396409083365279,0.23875612419308473,-0.054280577415141626,1.2753469019275858,0.9389344960861686,0.6171873255714561,0.532625884823882,-0.37997724090144636,-0.14627930253105767,1.2785727729776049,1.801636364502402,0.0942513550697249,0.5093032767438513,0.5376092245584845,0.6043504185425257,-1.315207849016977,0.5192613476882714,0.44438312483831055,0.40054122952134696,0.903099500307665,0.02763243470105673,0.2228729234840843,0.5482406995280572,1.2798457476388156,-0.823027212410026,0.324060277136236,3.1040286680265816,0.05780084239404892,-0.09863007757770698,-0.3696318020302025,-0.38497846960703874,0.717721747600599,0.3351779110017447,0.8569159966109204,0.35247653073325974,0.8425711017410683,3.3980344626233663,-1.8527325257309712,2.362578553226824,,,,,0.27758094608718575,,2.2663177360098423
100,0.6201422221272034,1.0765065196868915,0.5836110960100027,0.6393634750197261,0.4034144315595481,0.5407172095762955,-0.006030680815721035,-1.2081853104301221,-2.501850462286515,1.6048370432924364,0.445802726754807,0.3898974001139144,1.4041155669936936,0.25278785071959026,-0.050041323828496596,1.3069974814443608,0.9169914520565445,0.6574399671926346,0.5525494372690136,-0.35558737676794194,-0.14770045882802055,1.201507411933506,1.7363011190646593,0.0878439944353115,0.5296539612610467,0.5374273523980532,0.6042304723647328,-1.2746839504414256,0.4919136102636182,0.4436286192298949,0.38812008316367713,0.8794230546849751,0.03175904889338015,0.21468226060050488,0.549585789393475,1.2266816166730055,-0.8213262416670488,0.2988758319216579,2.9813399129227807,0.0341634050561935,-0.10609371798468788,-0.3807985004726082,-0.3740979138985197,0.7588157554802144,0.33242374524081364,0.8278952216665183,0.3228732584400111,0.844289129756219,3.433126308622617,-1.998145730165561,2.300546163550699,,,,,0.17316758461725645,,2.149917013219955
200,0.6329635012369198,1.0727290902508462,0.5935009740947832,0.657763076253797,0.4030916900489159,0.558666827079222,0.00336002948970097,-1.1657340188873369,-2.4728947611154397,1.6932881860814106,0.4957274085665449,0.36050930225266475,1.3680316521246518,0.2434350717158275,-0.0602774132957005,1.259975280191771,0.9256796524210014,0.6691370780642003,0.5386562311858224,-0.3389184686646989,-0.14455854449165248,1.2393449415297835,1.753315182665073,0.06189809457767816,0.49904961470048853,0.5482375710101602,0.5858887497122752,-1.3013065635081074,0.49111424982782187,0.4326999271098284,0.3886104591297431,0.8573821939019082,0.035492155378001246,0.21722232930359953,0.5054382948541577,1.2010294261239551,-0.8252018730901532,0.2629365569662817,2.969815657991409,0.07435783038321997,-0.09770082955700242,-0.3724915695358878,-0.37726906501523955,0.722789472019583,0.3274760365130947,0.8300980326846529,0.33288888750536516,0.8153078684744817,3.39240411279551,-1.9843176406648126,2.302408351335619,,,,,0.17373343076824524,,2.1969449767097444
300,0.6503865679096206,1.0669464610372756,0.5806917093556935,0.6633682690305452,0.38129613140989044,0.5505109656354343,-0.004678049522010731,-1.1196951254191183,-2.413767000845866,1.6753403904574007,0.45121373187516606,0.3565057449267706,1.3851723428066827,0.2638086766895409,-0.04920810327621952,1.2738897624309715,0.9139962689440212,0.6492296753383261,0.5410406968828592,-0.344215802626285,-0.14185524621922138,1.2858888322081437,1.7806859610913508,0.05703145009071396,0.5235088591509234,0.5631099261427969,0.6019200064763882,-1.2849346818924696,0.49392940802249774,0.4482152082053077,0.3952958049545562,0.8697237810616383,0.03437372935747753,0.22223536117101467,0.517838263303488,1.2371190247756207,-0.8189230186146457,0.28958296062860933,2.9674937638998733,0.06774961719687218,-0.11003245645782701,-0.38341647445070637,-0.3750859349725992,0.7577755812186091,0.32460519825113165,0.8310206874527921,0.35290554275338804,0.8597348164936646,3.4131314138037343,-2.0039390903912135,2.286841540458202,,,,,0.18914857208486868,,2.1935418256913155
400,0.659576208969725,1.0558138706199234,0.5818044266943673,0.6620284681898145,0.37457410311934974,0.5464668848456213,-0.010076384847226217,-1.1497023368751222,-2.4655812552715974,1.6766894370372893,0.4866690120331908,0.38766491195100355,1.390220558629962,0.2589971232587873,-0.07258694073177277,1.3051296974198923,0.9294737731633291,0.629896488601924,0.5283373454168713,-0.359410928452234,-0.144572632843179,1.2512027367889555,1.786235923101397,0.07571196548369198,0.5234766627784427,0.5577111994671324,0.6308207389889765,-1.2551285476360312,0.4950265357987617,0.4406924810027717,0.3926093393848579,0.8773183910097603,0.037437786879028115,0.22030666580852293,0.5375240368472898,1.323508770893088,-0.8058700836250702,0.3283542400903465,3.049812367673204,0.07374689897738855,-0.10551635433336097,-0.36241339784059656,-0.3717003639777613,0.7821857149558615,0.3326685698180086,0.8200057372980114,0.3434131569317649,0.8339730744572615,3.471151370153688,-1.9946076924316003,2.31035858078773,,,,,0.24178116760412638,,2.1493748707296545
500,0.6430313324422458,1.0592677667681747,0.5828693297991907,0.6536419015948716,0.356006596395495,0.5324554002065078,-0.02197567734398693,-1.204965140584264,-2.533610039268345,1.6360886164237143,0.4783371021275005,0.45394213097108665,1.44635434329335,0.2541476652058942,-0.05692816862002513,1.3073672584695621,0.9138994461707128,0.6057656304904959,0.5136265576072183,-0.36272345669072015,-0.14385922192063638,1.3073514232233323,1.8426066313114304,0.10936802345741972,0.4865663793843985,0.5510474862293385,0.6418421014070739,-1.1707390938471727,0.5059725790823831,0.418552653837595,0.38329003742137413,0.8707298173438901,0.04144208475102141,0.2307981704076546,0.5124023673165377,1.4356677261798287,-0.8125053655973088,0.31226385447517047,3.0445757009826546,0.12438017539114586,-0.10179345029947336,-0.34971214498439257,-0.3706948311972058,0.8014606950158649,0.32934559458587404,0.8105422585947281,0.3424413810499353,0.8316339003844808,3.5720682397862964,-1.85091904856381,2.2926635520379763,,,,,0.3110447817697426,,2.1755133286213155
600,0.6349408594622374,1.0597531562341438,0.5916184746125089,0.6575157032122259,0.3640589416514325,0.5546969133412409,-0.0217103090664931,-1.219652516483605,-2.548940158135381,1.670536123684912,0.5376838256295912,0.46180325704248804,1.4664079032366895,0.2528436897345409,-0.05872668459833822,1.3179596708811598,0.9125769598671813,0.5910194492385099,0.5098791747170596,-0.364475538827196,-0.1461766983706894,1.2950250369532892,1.8383165290379184,0.09556274338444481,0.4632208941540082,0.5353211120249118,0.6610549736979433,-1.2315088066382927,0.49656847672213106,0.41757356932378537,0.383243616578735,0.8668179788638075,0.043601629348659986,0.23416389870751073,0.5384608461727942,1.4031156262307865,-0.8030571289703686,0.310320999603785,3.042710283576543,0.11868549037299599,-0.10038265472224324,-0.35569939704304643,-0.3676807746725855,0.8128971274163477,0.3326668083188313,0.8238418294268134,0.3505338388419437,0.8234988201371822,3.5924380434731624,-1.876146567708929,2.328052512397192,,,,,0.2967270981583282,,2.1512185571323372
700,0.6126450620804329,1.0574390938015024,0.5850472147683599,0.643992616049104,0.3544596780086108,0.5476672638385695,-0.016400330034021093,-1.2431323221890178,-2.563840941956601,1.624680312577746,0.5215327034416153,0.5040085378999206,1.439357907856921,0.2554000176682914,-0.06365575592887031,1.3233675869585735,0.8949673551335443,0.5953369672513443,0.5064272593323286,-0.36205109045013106,-0.14200542127475602,1.300480246609182,1.8114151141751351,0.08920553043518883,0.42302159784845217,0.519924337670952,0.6577451910740097,-1.1715169502099982,0.4849823751686541,0.4186499143303586,0.3780332416588921,0.8527030180653248,0.04248100358363962,0.22737550243721621,0.5468942135251744,1.4059930065710065,-0.8141337326065989,0.3106031633880095,3.0410155898680644,0.05262200448372485,-0.1125131528372586,-0.36088321738473517,-0.3653964535292461,0.871088167778776,0.33435456590008056,0.8239184081997533,0.3381597821576904,0.8027365239174863,3.5615262044936733,-1.949864303249342,2.3572498837957854,,,,,0.18951063780743355,,2.0932438859878673
800,0.6299917942645855,1.0710708467163714,0.585089487509982,0.641674895062808,0.35554743791440324,0.5330750583158056,-0.0026303447598955937,-1.2401039930759608,-2.5733923842808295,1.6833299453136406,0.551752026326265,0.4430201978565185,1.426984956008404,0.2771408545375167,-0.06256521358004996,1.3209417544694282,0.8966945603453517,0.5714095299182852,0.49980399520509017,-0.36435158388466427,-0.14856355556449366,1.260262063909356,1.82124798222366,0.058379387057420164,0.4511502555103029,0.5289739501973921,0.6502329981441433,-1.2645853930887476,0.49494199572494607,0.4091581371421735,0.37816398607390217,0.8405588709201754,0.04419664022463711,0.23929444732071953,0.5316767079980391,1.4083825109890438,-0.8106150672021151,0.3351819410964765,3.036375920218811,0.15814006834260147,-0.10186386251620023,-0.34285101958330466,-0.37360951635923534,0.8222839727019019,0.3317220887705956,0.825076562089672,0.3461031495757748,0.7839638085854944,3.5320108853299157,-1.9056448342053045,2.325864474382591,,,,,0.17349787164166908,,2.1381683287201327
900,0.6301354120159446,1.058680102488747,0.588191786986735,0.6650141163574455,0.37800742111351016,0.5610545430735387,-0.031275368225690096,-1.2151875549051243,-2.5383592368266474,1.6721022732031492,0.5314817921844928,0.4805592711829436,1.4452682448849026,0.2669327850921397,-0.06231042039816184,1.3067908392755676,0.8843590582273467,0.5866148547230546,0.5150395251661121,-0.3632672113108655,-0.14438409221951623,1.2806216142017541,1.832700703695588,0.0760085822509407,0.45082256880570754,0.528397753206532,0.6725515787756668,-1.1882845262066382,0.48952504006128583,0.41617697869699766,0.3827966105793041,0.8654808109331279,0.04543356288599711,0.2288265099043581,0.5326031229616957,1.3856308507472916,-0.8124653695731037,0.2981883497090298,3.0084676441010454,0.08180427167422895,-0.11118804824190523,-0.35242905779164235,-0.3675172260898456,0.8092312501987532,0.332413215039915,0.8195733601778201,0.34563207039118937,0.8208315419627812,3.561530394634075,-1.8768707735544012,2.2971005528422457,,,,,0.2463708221290491,,2.109367524430719
