,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.027179401777255287,-0.09118662073313538,-0.010518768424092412,0.21215850551720833,-0.03195105868537801,0.053993246454460776,-0.11423171899249121,0.24078318654856012,0.5265883143150957,-0.037120766902481846,0.3071441268265156,-0.3590374702056681,-0.21751987591595615,0.07444845354266365,-0.009313917257456042,0.004989025026310678,-0.0019403599070950688,-0.0039113906666447444,0.035575436974426056,-0.02702587707246585,-0.09611494820868283,-0.6918485625784142,-0.6550959378697718,-0.32763909582892536,-0.040071691524201605,-0.012211782078902493,-0.08474807998429337,0.20422124128837524,-0.03983317339906989,-0.03440636776197424,-0.028465443589829092,-0.07908552045295265,-0.15584749465371556,-0.024784443274359275,-0.15512309131350405,-0.08882839553881634,-0.10583182870350134,-0.10605700750790815,0.3110668287797792,0.18914436776814017,-0.1321272381335359,0.046787075273733436,-0.05250712897546566,-0.04421779140290038,0.003974925502852252,-0.003058760492240136,-0.02670765660013659,0.14544232017430847,-0.27884675930641817,0.027749126258782085,-0.06698023689218928,0.516177579051166,0.06173419630495105,-0.7929974744993978,0.3806367778024761,0.3532654961803889,0.49342338870089747,-0.04526842025690618
CESM2,-0.01321246852149045,-0.013906298157762722,-0.07970369629243845,0.1890447592468513,0.0024200260555630603,0.07260191314898601,0.03429058321581981,0.2969809771674556,0.07787371922675931,-0.10760168779209084,0.5792919371510165,-0.2817501594360008,-0.8321777805834484,0.1034367119039462,-0.1667232408063079,-0.024434284197877697,0.0411091129883734,-0.024630599376514916,0.020321440820963883,0.04949181180225024,-0.028386319566859487,-0.21451791514351093,-0.40020079005187525,-0.3080202965145365,-0.620534112836864,-0.0016457560269215704,-0.21091193592606539,0.4019673577926261,-0.012423039746371892,0.03853407287021508,0.012860147995038729,-0.008099554503632816,-0.12737300650257,-0.02537329073432567,-0.23826980726197694,-0.13468732793244512,-0.06979822798409539,-0.10891599891470648,0.3202638938299255,0.359200209407189,-0.10390487193040313,-0.11634350313126386,-0.02080177319829925,-0.020344788899350968,-0.0041276135721339795,-0.02406854723616882,-0.012313173879724137,0.15774868272288559,-0.378598097957914,0.13238940254148146,-0.057837790502634545,0.42145920920099755,-0.0144459905314121,-0.24443790621672462,-0.16861541213104006,0.3483812201371944,0.1952314443845164,-0.03700760922794026
EC-Earth3-LR,0.03773461806258775,-0.017906283189195234,-0.04368498344997745,0.09938702508712412,0.07501683222762834,0.09147721027061131,0.08557636202918364,0.1629008354400869,0.15671981461757642,-0.5996396961857726,0.16573562048396775,0.23685849390483374,-0.37520865689235045,0.05723496941570295,-0.10830553615437026,-0.019675450742404753,-0.07571164133605217,-0.01112756117550152,0.05334860468967538,0.1039060773585687,-0.017930047227391617,-0.21770546036041222,-0.1545881576895608,-0.2381063289203321,0.0541232263854635,0.2819387135486282,-0.13590347735910582,-0.03993277005147858,-0.0154223245544035,0.05442749524494549,-0.0005468769228251681,-0.060621712275951686,-0.057615118394868756,-0.011022029094277781,-0.09447786639568616,-0.012668977403543096,-0.07495122390659437,-0.13104601146703432,0.10558813602908633,0.40182971689483005,-0.10345543206287203,0.14484730026235487,-0.023351069557158672,-0.06313120463510688,0.007714246700196571,-0.026284521952277373,-0.039517233718152876,0.09438327810085927,-0.1322128879048302,0.024209937269026552,-0.07805683569200685,0.21413063414362726,0.04830484062261023,-0.2656733774683735,-0.2812686472780079,0.8127077556185052,0.01718144179817309,-0.019319170369176224
FGOALS-f3-L,-0.042443421031801105,-0.03092256435300097,-0.03968260338477034,0.06021827834167861,0.07423903621030763,0.040606842898301035,0.41932420211454147,0.05216075257732599,0.3318330147470041,-0.5846389526871127,-0.07984889107641119,0.029097543764547075,-0.48294859628207504,0.11729119264440867,-0.18723189436173024,-0.014060327625721255,0.033360060168984185,0.008107814271168662,-0.0033315126572995247,0.0690132791777059,-0.020346534786044614,-0.27372745810128385,-0.5450436463637841,-0.17326716798876177,-0.35849955714714615,-0.10071555250183291,-0.34013757938315015,-0.1930497163784249,-0.03583748357532261,0.017361052090411885,-0.023603526304070376,-0.040275592856897316,-0.10459344665940667,0.002806548648910389,-0.15122602880911484,0.06941213049085562,-0.10727839065136267,-0.12215672728283275,-0.08245977276975265,-0.1337944908801865,-0.04898278919746042,-0.2583141879357283,0.042180571288173124,0.016811669177474245,0.00012152446980726525,0.010198214936106967,-0.02327641914561062,0.07566611177440824,-0.17874942493390775,0.125488817700344,0.03717583871361231,0.3656218732826786,0.04188837144037741,-0.16628302894271654,-0.4004041430701634,0.5921050955673639,0.33781815151240485,-0.019746356000356107
FGOALS-g3,-0.02375781454288656,-0.015585413229237146,-0.056289602958678485,-0.10762549215783013,0.05901388558176346,-0.00191089860219292,0.32608639461338723,0.1589256949996723,0.10521337574227,-0.4118529024388341,0.09220915829477515,0.03669950506237555,0.585162493916824,0.19402968303183935,0.10181982117436474,-0.0008936032629261406,-0.019008121215801775,-0.03324476166233375,0.003719127665935682,0.021237513044194075,0.004705891969806677,-0.17035803140809752,-0.09038055045241965,-0.23294688881312653,-0.8863971410230743,0.0022868143484689797,-0.35175571798294536,0.38422674747837327,-0.0322555064057796,-0.002678872014936946,-0.022651874599419284,-0.0059592506624002,-0.11616640718309833,-0.0067715103138997505,-0.19939185809246215,0.01395782435210949,-0.07652414630102392,-0.0661511915917922,0.06780131461407177,0.42274666473327493,0.003626245384235699,0.12708054423900114,0.025806212887885472,-0.008744123526030597,0.005740350951973653,-0.01159772900754091,-0.019450274308640627,0.0936304803086536,-0.5306288390238756,0.1545642487145431,0.07842541849704388,-0.09193353792693147,0.00632189388275363,-0.2957649111131324,-0.618783585094171,0.28126182185431137,0.5415873054531326,-0.026994543908556472
GISS-E2-1-G,0.024332616359445332,-0.03519948025492643,-0.06511192305994794,0.1782245569072604,0.02386694031174575,0.021708902182370194,0.3762460130867416,0.12792988555847504,0.20079231600477768,-0.8007204532339065,-0.2544319537860012,0.17922673631258437,-0.3991085692855654,0.06594810915580313,-0.08550107865738106,0.004926853479901436,0.004471567346313894,-0.032747049396193995,-0.003961415362238789,0.08290011947305317,-0.06132753507734628,-0.23885179029619527,-0.3168228372753181,-0.21787767389805135,-0.006876863714339068,0.059398319757690596,-0.10311511411995967,0.1429670122051682,-0.03304388390511504,-0.010836785728825135,-0.039037485968759465,-0.045564577857196885,-0.1283864547847097,-0.05181971407698357,-0.10221211792672516,-0.016174683127275238,-0.08309048549420175,-0.14087492236175664,0.06592583438631285,-0.02089585271974,-0.05947774351735984,-0.11007863164896999,0.020615601049539294,-0.05268614392884033,-0.01145678931240869,-0.01562555879789583,-0.036661802082483916,0.055854631126366246,-0.25081760942477044,0.16142860320173816,-0.012531971116688585,0.12457635512300366,0.23318684580059323,-0.4032286772698032,-0.14599864311165586,0.5903399870920115,0.28798591415975067,-0.012958715470055327
INM-CM4-8,0.004846300919183901,0.01654730652721459,-0.051341634691628474,-0.06214222373166929,0.007972394140708413,0.012216825118297709,0.157691968563899,-0.014753682014967729,0.021824876479878578,-0.6402989037751419,0.08374013074258893,0.1670958232560766,-0.5165420223835013,0.0017998495865247453,-0.11355192520633016,0.027446736924578278,0.008150319055012708,0.02362372163195539,-0.005879904859460596,0.10853666285352716,-0.12934153593257083,-0.3593580653909822,-0.17098903653991646,-0.31241816319390314,-0.051979396258821836,-0.41021082922882324,-0.7950131416752929,-0.37215665235168327,-0.010136789957036778,-0.0309777422007131,-0.019276000170253934,-0.05380052657500029,-0.03445251748198952,-0.02137694211894552,0.0559480673282151,-0.02765836276478414,-0.188470612032781,-0.04341830620899676,-0.30167141969308825,0.22451504197024066,-0.041941191182030386,-0.19804118197428341,0.021129063220769122,-0.06947596129134245,5.054949365638633e-05,-0.01761503605327691,-0.011555314893301926,-0.03103879336806044,0.1272125950328719,0.13793899585862207,0.06203776183687395,0.33689703542508825,0.12019126175648417,-0.37613014654730376,-1.5227553686550237,0.8624574324205445,0.41742693651831403,-0.021598791236540918
IPSL-CM6A-LR,-0.03279862397641052,0.04100183438124652,-0.03502303571354966,-0.021248575841038984,-0.05474225238276619,-0.012416314480708344,0.11866972123716801,0.12855285059647392,0.2146516664620547,-0.17933217889871444,0.18362813060399363,-0.05186974004265771,-0.33596929630709127,0.12853103665294047,-0.24598284753818941,0.00822675787862297,-0.0030017144782895394,-0.01445611025981528,0.008215543285638746,0.029788827587245596,-0.025679962913987227,-0.136980737521969,-0.3128710596273268,-0.24731009050767605,-0.40909626102115365,0.0008109987062918601,-0.17816456465214506,0.1940684583130993,-0.03286599464458065,-0.012712432913219962,-0.02258881039193924,-0.04812570242122983,-0.1373063563836967,-0.00733763695376738,-0.10738822143205286,0.07741535202903303,-0.08737807369539942,-0.06132468552917322,-0.19014028379672474,-0.1360174668454332,-0.17531184949962322,-0.0580132139658248,0.06107140095355119,-0.046083406354102505,0.0017875317767589436,-0.020784567882117345,-0.019530878287682955,0.08857695262461313,-0.09830843737895512,0.08160180320697513,-0.023649577907974683,0.16847509548513998,0.018603470218707785,-0.3448403646265077,-0.37241239845257235,0.8590890423859717,0.44699228301765115,-0.02030499995106728
MIROC-ES2L,-0.037546176462157035,0.044164401383972963,-0.014225337186544533,0.003629197376076061,0.0030029818471305424,0.03283091602625055,0.11034943485197277,-0.03931180432408935,0.02070706618734676,0.2029839867226673,-0.01106686774757505,-0.41874765420250776,-0.8417862751356137,0.15347788145028876,-0.07746437777976146,0.034224768797644585,0.0016954201874382307,0.048998462627356895,-0.03752298572181105,0.0987587481780183,-0.09943834689344203,-0.09535995045185837,-0.6947087011560421,-0.567928623050076,-0.3199992632240293,0.16146315354601876,-0.08842865654966711,0.5080335437451794,-0.036584094138337464,-0.012268412390826468,-0.03290226842893179,-0.0927733928800645,-0.2438422048164184,-0.05946589268840782,-0.1344544276623347,-0.07820010248271553,-0.07901778182643497,-0.054797870451823494,0.4152232946117056,-0.0630869699904334,-0.05521493345547161,-0.2606997498741806,0.08473098072182492,0.0037755788170380036,0.009850433420605877,-0.03897978444177107,-0.016255085633697174,0.23332393730137546,-0.376108350846105,-0.015058375997325735,-0.007368702864962309,0.3527876906862034,0.02499652164051358,-0.4547530789646434,0.19892029451041657,0.6041539356447159,0.39330789020381934,-0.04446020858974872
MPI-ESM1-2-LR,-0.03936650773402703,-0.01602234587626615,-0.032546093209905175,0.11430222454680306,0.005894821889916674,0.06551314586745494,0.15099606629969853,0.10837086052136705,0.2874986777861794,-0.17432960508475465,-0.011331898684066791,-0.08056654602173856,-0.9307698189509895,0.0963394269380338,-0.09105720833950855,-0.034774198933920836,-0.027830334450868258,-0.026911961641634535,-0.03744911476183888,0.11780807717598112,-0.08806513215907885,-0.9692957488212816,-0.4306537693826895,-0.24556163819179946,0.06136719499301245,0.3021502489592528,-0.19859409874050965,0.017905804682647027,-0.03337323015548564,-0.0332278353448221,-0.02866812901214901,-0.02237779971196673,-0.045019602658379815,-0.010212028400539362,-0.08711757262898659,-0.1097037892359101,-0.030381075613161515,-0.13254811249352824,-0.012529559727831218,0.44305250144008773,-0.06023952013750158,0.07754004846650141,-0.06958209400149515,-0.05669540006066242,0.006274416713111267,-0.037220971237915276,-0.022291379531780925,0.1740999347521314,-0.41774565302870015,0.1593200109542472,-0.03670986903344478,0.8203079439226229,0.1240798565236652,-0.5184244734784368,-0.5465052260659796,0.6686787815573402,0.15686742317125077,-0.024428402645761
