,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.96295923,1.0873675,0.76638454,2.094708,0.9542995,1.5955361,-0.48524848,-0.99291664,-1.0385116,1.905573,0.50660694,5.655708,7.016027,0.9796191,2.0420995,1.2536832,1.5549015,1.7103862,1.130531,0.92624754,-0.03982583,-1.8736839,0.65449065,-0.8732088,1.6028647,2.45658,3.78789,3.7070014,0.43556073,0.7039887,0.36369014,0.6246684,0.5932378,0.0997052,0.2651864,0.01519763,-0.39260748,-0.81394005,3.80694,5.1608443,0.76402366,0.7615341,-0.15641265,1.3927726,0.1923985,0.6032636,-0.018756902,,,,,,,,,,,
100,0.9739638,1.0865403,0.7789712,2.1038377,0.9766519,1.6079019,-0.4477406,-1.0233058,-0.9668982,1.8650254,0.5405335,5.49452,7.086725,0.9891229,2.17947,1.2567062,1.5610278,1.7333133,1.1618915,0.9298856,-0.040316753,-1.8424143,0.5625818,-0.85822815,1.6232117,2.4737375,3.8553865,3.8229053,0.43490154,0.6911277,0.3616685,0.63532495,0.63957816,0.10791181,0.2626157,0.047157668,-0.39311975,-0.8509819,3.8174684,5.1981416,0.65071934,0.7026701,-0.2144294,1.4380153,0.1895157,0.5949877,-0.2687261,,,,,,,,,,,
200,0.96723574,1.0900974,0.75311327,2.0367517,0.9299159,1.5361854,-0.41731513,-0.9903259,-1.0190694,1.6545421,0.3627753,6.0246773,7.0356774,0.9606559,2.05131,1.258638,1.5325338,1.6475179,1.0806338,0.9855169,-0.0377991,-1.8237457,0.7303957,-0.85221577,1.5846756,2.5841727,3.7728996,3.434416,0.4234179,0.6727295,0.3526244,0.62008333,0.7023194,0.113734394,0.27928242,0.059774436,-0.38698184,-0.8165171,3.7817042,5.132921,0.6308877,0.6899143,-0.17923942,1.2861978,0.1918805,0.60851824,0.035540033,,,,,,,,,,,
300,0.94915485,1.0816011,0.73307437,2.0764492,0.94580066,1.6053904,-0.48162052,-0.9976665,-1.0152597,1.9096628,0.5142055,5.7789044,6.9168186,1.03998,1.9965348,1.2584481,1.5772521,1.7428503,1.1276935,0.8986651,-0.04258956,-1.8963819,0.50104815,-0.9029526,1.6193582,2.517898,3.7695239,3.9262834,0.41568118,0.6824001,0.35458893,0.5931706,0.5976225,0.100469306,0.23394129,0.044090327,-0.3968249,-0.8261195,3.709052,4.974182,0.6109411,0.7108047,-0.17921753,1.4566566,0.19253403,0.62522596,-0.11740313,,,,,,,,,,,
400,0.97279626,1.1125301,0.755858,2.0715413,0.9327413,1.5290797,-0.42989847,-1.018738,-1.0252556,1.7714294,0.41272718,5.951185,6.8767986,0.9563705,2.0599265,1.2802656,1.5630115,1.6756542,1.0983552,0.92744887,-0.039635725,-1.8449963,0.6367498,-0.88900846,1.6642041,2.519122,3.880776,3.7247815,0.43808427,0.6790956,0.35851696,0.6287322,0.6394332,0.1129267,0.2648457,0.05766192,-0.39148268,-0.8306186,3.7732298,5.1381907,0.6134738,0.6569021,-0.18272021,1.2746842,0.19243011,0.58712804,-0.036758818,,,,,,,,,,,
500,0.9966841,1.0924778,0.7650527,2.0462866,0.91520864,1.521147,-0.43146428,-0.9736908,-1.0264181,1.7017915,0.47175735,5.9961557,7.0707693,1.0530376,2.022268,1.2704428,1.5553452,1.6402628,1.0950445,0.92832446,-0.03897953,-1.8086921,0.667475,-0.86931294,1.5310999,2.455615,3.900392,3.803096,0.4310187,0.67181027,0.35626614,0.60832685,0.69105625,0.10889552,0.32523024,0.05081733,-0.38930833,-0.8327916,3.7239451,5.082462,0.73769873,0.6681788,-0.18386482,1.3472041,0.19037424,0.6080703,-0.16518106,,,,,,,,,,,
600,0.948501,1.083039,0.7509158,2.1286333,0.95872843,1.5506744,-0.4497966,-1.0104735,-1.0336032,1.6314294,0.3734941,6.1439853,7.023103,1.0791584,2.0476751,1.3078356,1.5863059,1.6367798,1.1044366,0.8990771,-0.040758103,-1.8731424,0.56723154,-0.9004844,1.5868425,2.571602,3.7377214,3.7267377,0.4347005,0.6864833,0.3574258,0.61092854,0.6396638,0.10931505,0.23860721,0.047317795,-0.39075765,-0.8244688,3.788047,4.9385266,0.76635575,0.6277113,-0.16220611,1.2910426,0.19668898,0.60243195,-0.022280298,,,,,,,,,,,
700,0.93830556,1.0733088,0.754322,2.12012,0.97718346,1.5799254,-0.4675455,-1.0461732,-1.0290145,1.681723,0.4400751,6.0488048,7.0177107,1.0665456,2.0163882,1.2715179,1.5351157,1.5954207,1.0848905,0.9496623,-0.03763391,-1.8861231,0.574649,-0.84414357,1.6066475,2.5660648,3.8343196,3.8639112,0.41938123,0.7030644,0.36102965,0.60270286,0.6252478,0.104411826,0.21408261,0.025011288,-0.38741976,-0.8585248,3.6686454,5.4121537,0.7798658,0.77015156,-0.18510318,1.3930087,0.19043756,0.6028481,-0.11295319,,,,,,,,,,,
800,0.9810757,1.0705346,0.7470643,2.103246,0.9725311,1.579962,-0.47682312,-1.0147796,-1.0287766,1.7675428,0.47707504,5.921848,7.045348,1.0063092,2.0426025,1.2236203,1.5394458,1.721911,1.1318424,0.9472873,-0.0400392,-1.8900799,0.5551699,-0.9023476,1.5440404,2.4483254,3.728485,4.048547,0.42827502,0.6812716,0.36030197,0.6113496,0.62929344,0.10426557,0.2699032,0.052562036,-0.39374572,-0.81232214,3.63977,5.1505175,0.7048088,0.665568,-0.19323538,1.3379722,0.19357786,0.6117707,-0.16894299,,,,,,,,,,,
900,0.94059914,1.0547411,0.74227804,2.098584,0.9742697,1.6655927,-0.45283777,-0.9963205,-0.9970218,1.8811003,0.44991067,5.709745,6.8381763,1.0334817,2.1297665,1.243179,1.5544645,1.6553081,1.0858676,0.92645425,-0.04055398,-1.868343,0.51027846,-0.8837075,1.6400812,2.4310791,3.9469526,3.8268652,0.42288226,0.68353856,0.35362673,0.61997145,0.61161125,0.1035175,0.24697916,0.042422406,-0.39673957,-0.83829457,3.7672021,5.274423,0.7314667,0.85361266,-0.16226695,1.3388575,0.19203983,0.6106955,-0.034534868,,,,,,,,,,,
