,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.6406107348173361,1.3341682965478567,0.6781939150277752,1.651713279872529,0.15525495484071264,-0.13822781817096377,-0.5766463642120749,-3.1894483636129447,-3.918319131685578,1.3183623200309487,-0.7834548419934652,2.595216413959721,5.003608987690049,-0.5557752228750972,0.4365210277082707,0.9176594927355495,1.109946891782602,1.4787502544882867,1.0095120993029962,-0.6166264439051964,-0.539364060146871,-1.295554955501788,1.295601274625671,-2.005169631805524,1.7542622800431271,0.1393584632884771,2.5098050158446594,-0.057518656008591726,0.389506698859835,0.7923416264226165,0.3905908311855964,0.5278821161453684,0.25106104433148635,0.3706220820999889,0.6477889257710842,-1.28646066674288,-1.6243902892136632,-1.3691411261018471,2.0191627008018473,3.3355011253302926,0.4136241354606473,-0.30734932712649593,-1.0019056427780726,0.05626441164718681,0.3035025392501865,0.49394824520014496,0.2721752152169414,-1.7443912202150862,1.9874020809109945,-0.39321007855038753,-1.4251591064715454,0.36991634506443677,-1.3027300799723673,-5.21948170735257,-4.167732091635556,3.8493358795556767,-2.2966657776680224,0.9530410914460866
100,0.5917179522327037,1.2840903804295298,0.6562175082718386,1.6764028649015759,0.19195504177435457,-0.05063315578415336,-0.446379653347822,-3.1280353331954704,-3.8448409428523855,1.311540917494659,-0.7785872992192214,2.5283986294157943,4.980867897805752,-0.5787965769293881,0.39915347886301555,0.9390525133476654,1.05408845052913,1.5597020447445606,1.0207108575532762,-0.5688906398326091,-0.5208469074085402,-1.2784395137504845,1.1306571431107284,-2.0181598935157297,1.7802880807850823,0.16602121413733412,2.496593302123774,-0.016228177740974143,0.37190076037698355,0.7792015350044152,0.37439494963782205,0.5260197937180775,0.2558291516368443,0.3644366434060953,0.6572294863535042,-1.3288461877199538,-1.5974192777755487,-1.364842373022359,1.9826097743843196,3.1312058378253047,0.3325490514572337,-0.37817097537649147,-0.9527837446221258,0.13782793582285569,0.2946927998714592,0.481503066607819,0.2633088766950745,-1.6592986435801578,1.8345991386791667,-0.3804016787765079,-1.4169403907688454,0.3331837266543361,-1.2948680564166795,-5.131047372793842,-4.3016225439226075,3.9623700083963476,-2.2451790884493024,0.9371017599189543
200,0.6272000730978246,1.2675000492046582,0.6572993986665441,1.806742323957251,0.17899063643513738,-0.02678527446425371,-0.4873075340646683,-3.0695754626763203,-3.817650440463113,1.3418523196319747,-0.8232118958344606,2.4763803300520153,4.936270199312199,-0.588276621141577,0.4443064663015878,0.8917238819863217,1.0696100207477677,1.5237641879147474,1.006979157347921,-0.539200222634652,-0.5178599126640442,-1.2630782430852514,1.1822500764138855,-2.0111907932296527,1.774873950677816,0.1672410781877447,2.4890958119909574,0.013178407210970288,0.37731236825552206,0.7511289384022741,0.37208370957163733,0.5022861756813062,0.2734460280282672,0.3612628372924347,0.6547424407823423,-1.3525732281203764,-1.5780085482034985,-1.348063434456211,1.9370030746475209,3.146404057989768,0.41074209490247887,-0.3819965752620721,-0.9791550138787554,0.07063706151356942,0.29176705002241077,0.491821777993481,0.2661634678694151,-1.686933363515049,1.9313152861890508,-0.3741065565503949,-1.4105330264451188,0.31329712958678246,-1.2929699502051346,-5.183501158047037,-4.3498252188884825,3.9380345708827043,-2.306229457715644,0.941298659625385
300,0.661622391133098,1.2630649002676193,0.6637274364022767,1.8090244012489576,0.19517809347986506,0.029767388778915417,-0.5121910982344124,-3.0379678329989077,-3.8030136356366104,1.3429132648286648,-0.8326662550781333,2.4456306560772005,4.979513663817856,-0.5440282425907121,0.43025206295901647,0.933929943684634,1.0357425068448758,1.5212451191912157,1.0108892887275474,-0.5518885992110899,-0.5194414484049803,-1.2730778131972629,1.187868303414406,-2.0237456045232536,1.839071530255221,0.22103851686551118,2.4685066530474313,-0.05038312930643772,0.3687470782128114,0.7807196815201806,0.372330244823463,0.493279694486624,0.2680348601808723,0.3620220462886754,0.6201365343616105,-1.3042785809554676,-1.5795112931162087,-1.33802937781637,1.970687240545223,3.332018324209566,0.37358084055351065,-0.3639505086877975,-0.9648705848967705,0.12413708640844037,0.2937892623609632,0.4749079989551175,0.26504179671973876,-1.702035453254665,1.892335536052963,-0.38063860567053875,-1.4212077970181418,0.3256896043844543,-1.2873059700028975,-5.027189947184305,-4.298888113391258,3.8748729357293668,-2.267992622712669,0.9263889034977724
400,0.6637350500996948,1.251782054429559,0.6628970148449946,1.8047084189211737,0.16083222555992635,-0.05108701476348629,-0.5664823656329372,-3.1338074831217897,-3.8461156674440606,1.3020469142842899,-0.8385491753616555,2.515533865591449,4.985408918341392,-0.5591501378963686,0.445015768117824,0.9288562701752137,1.0899598854941677,1.480468874260935,1.0282871809518344,-0.5641198794388773,-0.5268578668109063,-1.2819617448747407,1.2096345561693014,-2.0136526687152934,1.8398710696990852,0.18175711249986537,2.540102258242888,-0.02488193240984804,0.37790984372387854,0.7909792942707059,0.3806366922524766,0.5184186070090089,0.2640694631009208,0.35445976059047013,0.6581008817332542,-1.2360504863737352,-1.6088931659834682,-1.3508924062075232,2.0173989821991003,3.216767383259019,0.3546796903225804,-0.3160585882169735,-0.9428653884946453,0.14322556552816748,0.2899584083916523,0.4696263289402138,0.26550932316446135,-1.6819501551789415,1.8381456295165783,-0.37123796005670845,-1.4438948357574826,0.2645032943428038,-1.297261638974119,-5.254685006523574,-4.142952172693196,3.9882071727115456,-2.2754687846875337,0.9390751824977966
500,0.65860441394867,1.2634583429175335,0.6605008461967979,1.8019014727106748,0.1682519477421798,-0.021166674843377583,-0.5349077003152252,-3.1817206395719833,-3.875218246861042,1.2127786579123885,-0.9032638801768464,2.7364362004349045,5.092291652912617,-0.5507225248213798,0.44676270930773465,0.9470700211110261,1.0668581618020183,1.4152465827759262,0.9983412034118876,-0.5865644662179389,-0.5294427931178683,-1.252389846732989,1.2572168637825691,-2.0299808316829204,1.738710667289703,0.13868754598901692,2.5966723152193225,0.09527816005295199,0.38445482072742737,0.7696113736520943,0.36915908451170143,0.4754693975673928,0.2709219479664917,0.3476695481335112,0.5894763651323234,-1.1772164127694846,-1.6212558146797247,-1.3561066257146357,2.0096313355831947,3.277840603477349,0.36871582651665546,-0.23475493647402473,-0.9409586091667346,0.20678941875718856,0.29701151487374794,0.45717129700972525,0.26800801419362286,-1.718348929208854,1.8184268890313444,-0.37565296883059407,-1.4233244975334975,0.3351168364938417,-1.287870946848008,-5.317258086275194,-4.176994760405093,3.981388010086665,-2.236381414994602,0.9359192142826627
600,0.636722296575724,1.2481129273514402,0.6878940825923663,1.802809858070548,0.1811628845490355,-0.028613471700493193,-0.49842592529301855,-3.1720164277196625,-3.850715480759071,1.2846130239922924,-0.8755536056500494,2.8024188647035095,5.0943110451767355,-0.5751914535502827,0.4554200834064285,0.9710572792519793,1.0855198712925846,1.4258817547230211,0.991088645926783,-0.5600106114739799,-0.5323578731488047,-1.2479039546908581,1.2598348640220973,-2.0377258176194486,1.6743221527935193,0.08511717070699117,2.5984568041704024,0.004962899292988021,0.3764924861589277,0.7634874156082,0.36417139683062816,0.5128689768233761,0.27958904558275743,0.3431697519075686,0.669071724383678,-1.2684588113503765,-1.630150487695235,-1.3428175390245451,2.066097489830867,3.2987134289882447,0.37120166708657804,-0.3193255737241575,-0.9269356687221468,0.21419313330444345,0.2975153140330201,0.46476780710890153,0.2645520183493853,-1.7077323251637742,1.8190440531134746,-0.3879381574656182,-1.444918852519812,0.30109454843196615,-1.2787638362253133,-5.30560997836876,-4.13903928900975,3.978629005410441,-2.257464963902405,0.9331654355626238
700,0.6432145244307595,1.2727895688449147,0.676574963995914,1.7036548641765137,0.16576396498251958,-0.04036285125751095,-0.48973797804385494,-3.1814337100214973,-3.896290090201821,1.2436783081167209,-0.9134214725379022,2.888000240481864,4.98344695342485,-0.5651849738963698,0.4973482310937299,0.9606785367475286,1.0701503426176717,1.4142332133365663,0.9863143288698238,-0.5790173192527038,-0.5445537246531607,-1.2776383566020744,1.1826940634405683,-2.0542075449624724,1.5787850704643984,0.08464088882990975,2.685152718612874,0.24158144564001596,0.37307093455882595,0.7569870977258956,0.3604279753837366,0.47087065058008704,0.2588301811884411,0.34611977724877846,0.6915932934980282,-1.1939993943857043,-1.6404748774979356,-1.340495108016271,2.097891692972547,3.0789484009657233,0.27568818726803357,-0.37481600337683224,-0.8841690729861014,0.2949029789841658,0.2962844072476795,0.4674568659505642,0.2571830298816692,-1.7338832768710704,1.8418019285854033,-0.3752435403815544,-1.4353929175960767,0.28300256505916616,-1.2647902617901368,-5.353450848312255,-4.111809732890158,4.002652767240811,-2.189366314883981,0.9308174868758324
800,0.6326605768174387,1.2888110853333845,0.6665497679144503,1.6915958369384816,0.12365641710307242,-0.1004924121165137,-0.4876546082698547,-3.1998459657160105,-3.875032607947377,1.3600699530379277,-0.8701719192448585,2.6562813967376218,5.091425654900618,-0.5772301512820767,0.4945262066698688,0.9322366039235487,1.0652144810056643,1.4098941542274968,0.990497988716328,-0.5613185836958947,-0.5314507176341314,-1.2586603677922648,1.2494449894300725,-2.0313208981062565,1.644698335664184,0.10461510837347593,2.656579346782126,-0.028843799709402495,0.3699168580875554,0.7370176074152229,0.3546323637496328,0.4521387550175775,0.27473769878306314,0.33887868804768534,0.611996619290527,-1.2406737125681668,-1.6166421197183816,-1.3559724889928364,2.059115511851855,3.3934935188887545,0.4001950836026907,-0.25975355370202646,-0.9434595281187679,0.21449617485671552,0.29543412085681087,0.4944397327195562,0.26815638307855366,-1.7284933574249746,1.841786628796069,-0.3870710887679795,-1.3994985494042766,0.3150038407791243,-1.2938621870251459,-5.366601292707564,-4.211229040039521,4.043009353494036,-2.2371068300716708,0.9357473023640821
900,0.6604399055787044,1.253486306951678,0.6614706181997629,1.784084990302298,0.16522795517997443,-0.052342244324687044,-0.5265253672850898,-3.214401643991983,-3.8908579330307407,1.33282542401089,-0.8873460651471935,2.779547881584497,5.077167079887409,-0.5617306904643049,0.45434584478570433,0.9492167182248261,1.0433277671640435,1.4099301542791256,0.9897334244334594,-0.567713903470691,-0.5325138163576799,-1.2770517474201306,1.2481225778775682,-2.035247531817041,1.6265899794853564,0.11909051596404725,2.64624598086263,0.07999504005325223,0.38477329110958824,0.7457456220970801,0.36046972711057185,0.5078089452598642,0.2741194263672816,0.3440114932152941,0.6301962586794888,-1.242802701814331,-1.635351281489735,-1.3421496394883852,2.050183794255366,3.1966252400520117,0.2899465934693676,-0.2812617860584763,-0.9293787477889303,0.13970761152921882,0.2981507121590049,0.4622567392349288,0.2669069665972283,-1.7092145499921525,1.847523489104036,-0.372882533457764,-1.4376952745467784,0.31987944618228087,-1.2764444892459705,-5.33390784958802,-4.22257409296297,3.9881934127261225,-2.2257548163606904,0.9369598282368857
