,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.017866413883562398,-0.06482964165912912,-0.022223371997433832,-0.09326052320956373,-0.07766443138199929,-0.06221182930940349,0.015064841803659756,1.2446185106813583,0.4787588291811328,0.7233483964147532,-0.11410966700914364,-0.20535614445085698,-0.24433322783259664,-0.02824055381458369,0.004077381624977886,-0.05920248244562895,-0.05186181608336164,-0.04108261373055807,-0.13605394993867354,-0.08002598538820578,0.5821002430508022,0.4873453563106768,0.5175475211089123,0.32666553199900844,-0.12062892604179043,-0.018676484329304785,-0.10024260457610636,0.04029771587755848,1.5958606260204174e-05,-0.12259291671845127,-0.17970514342252675,0.06714795636194734,0.02897693643547212,0.009422977714379565,0.9647275284403933,-0.002248224178388688,0.2374716353833649,0.03160846746145665,-0.4437591053031396,0.017593546356310018,0.12261764755095644,0.4474860467642037,0.0617266618272843,0.0935804319387057,-0.021427039532278126,0.001953531138552715,0.004957858835908687,-0.14306551112883822,-0.3331223191685485,-0.1354004529231617,0.16442664006946708,-1.0502199746034593,0.06181851427047613,-0.17698372021420822,-0.37108109239670023,1.1791174767986468,-0.06448628989866928,-0.021631336309527856
CESM2,0.011248208129504205,-0.07256028944710467,-0.08597902489476389,-0.026701305016391515,-0.14352168280179262,-0.006534625222142308,-0.09065285924102041,-0.6761929396948926,-0.2528027635147599,0.1508683662490388,-0.471282116969121,0.027222217271055508,0.08703480205574306,-0.035754531694612735,-0.048894125346440415,-0.06540347023758487,-0.12484715319933458,-0.10824446460476453,-0.13409203482998833,0.04602789459253799,0.24296823488400518,0.35858240620273724,0.6567754911539789,0.26341290031529935,0.09165218308452187,0.012809033003711431,-0.03869698669370627,0.10455541204120952,-0.00946082073384039,-0.12055253975623188,-0.07755502573850623,0.14903196592453805,0.028641439174838024,0.05554141854331484,1.4591987557709172,-0.19794687958952503,0.10331160357261272,0.2445474719971706,-0.2662972929531714,0.09402330512810164,0.01040410914532029,0.05706228812552491,0.012497946672907382,0.06547942091701804,-0.010984330210884831,-0.026090040649235206,0.056685622468975294,-0.13777266832522306,0.17848060608482577,-0.12047970435081766,-0.026259781314411586,-0.8884585901794643,0.0060992057130986954,0.0846745729337718,-0.14829127964691952,0.19150899566916657,0.16450377148323722,-0.006304580351247294
EC-Earth3-LR,-0.020744749557968886,-0.04003743219657481,-0.055108845839059874,-0.12355947724816863,-0.2106533935829176,0.04718670700126949,0.014064065706374211,-0.41851432233348324,0.13272701061532263,0.14593729813536183,-0.5554879697455233,-0.15564658550190535,-0.031715718248968204,-0.040276325353944424,-0.09247027720448878,-0.02548803922525304,-0.03418858817559125,-0.14139792856676084,-0.14825440160484712,-0.07825187121075879,0.12889793683420472,0.7772815284841079,0.4056616967302486,0.4155187773773362,0.06423911817889964,0.028718327628088375,-0.04976985095128023,-0.0653761043297938,-0.0056740133011463035,-0.0989656281533757,-0.026090695948173277,0.07878537723393944,0.0017953879503665837,0.041645148616877396,0.7417203403679031,-0.03500646588989205,0.21897313751236291,0.7530279744042699,-0.41716448816947993,0.16534266163848527,0.08424809856188702,0.03088094725335256,0.048017777587911,0.029565220212120845,-0.01367801230057126,-0.0183876093573764,0.044908494401625115,-0.07214138574932716,0.07295597950703439,-0.12089038405442586,-0.011665441828485286,-0.9020121041874409,0.013823456482853571,0.6532746370130319,0.9692428070082434,-0.1181532819486855,0.06673423955150941,-0.02781742707244954
FGOALS-f3-L,-0.018704186226471242,-0.09101102209210561,-0.037398711786609265,-0.12421383879837022,-0.11595274583794139,-0.03810509850284704,0.008765376804693133,-0.463609712354247,-0.2758067959276687,0.15255420588876734,-0.31148177299774904,-0.16765557481848217,0.05067206013673584,-0.1329786862712766,-0.058065642366303696,-0.06869735777453763,-0.14504579220951394,-0.14139213534212527,-0.12574663690851362,0.04368343355159949,0.13440291609036753,0.8582585962503796,0.5094539543713609,0.5654793945838816,0.06510775613112012,0.0024945989121770698,0.04796795931249541,0.17607213403461214,-0.0058812056486088485,-0.12802677169387094,-0.094605724879959,0.10012518602234415,0.01125386194397314,0.015660652353151106,0.8590579227867262,-0.07831992588181168,0.1949944838893799,1.047811962459415,-0.12208066461961976,0.1333285277219266,0.011484703331848055,0.03430785023082273,0.05909928968494388,0.06325317234516309,-0.016308661814346637,-0.05805984382695001,0.04595316830315838,-0.23220967443848833,0.14001205827797053,-0.10385119713462776,0.020716545733252392,-1.179051877297499,-0.012926661103987418,1.0981082711087709,-0.15867658139950278,0.12252873860624491,0.16867540186698513,-0.025847008058297465
FGOALS-g3,-0.042537849603657626,-0.08804411749191801,-0.010816999952361388,-0.1982581912320367,-0.051848696321846556,0.21993351831459787,0.25404291719993977,0.3838699265621317,-0.5325400423421451,1.067453929033603,-0.3268578580722317,-0.21216975385294315,-0.20938787468826137,-0.024408945582572558,0.02803029065489497,-0.07478832388627249,-0.1851396230318319,-0.05232944006146879,-0.011523686553107561,-0.01323925186728874,0.055030206234165165,1.0428751260389122,0.9782033098936308,0.9070617782200915,0.09582913985907635,-0.002522864828172436,0.06591521117506909,0.257005843490036,-0.08610024011132232,-0.023195182263893433,-0.005154840466669666,0.05818476562223286,-0.002725097468388428,-0.008871826592443328,1.4227042399283467,0.06983885839842542,0.23079548784032997,0.6205378339860292,0.03359706530808221,0.06284083265569776,-0.004475014698182985,0.07049256511949745,-0.04551119767394954,0.007325912051842516,-0.01586923908695689,-0.025676974330401368,-0.010318358325947918,-0.26993793722530535,-0.21102763918079107,-0.01834356153944742,-0.11804703616403624,-1.1279282661563046,0.030867718299458603,1.6288637885245292,0.08819520306796895,-0.48442368866081115,0.1677558458403704,-0.03972327101502951
GISS-E2-1-G,-0.04735349724655609,-0.1284422343451072,-0.08593050025275474,-0.1692664241756196,-0.19863890928485906,0.04778062729952605,-0.05408506122342953,-0.30622137710444686,-0.34716409276962884,0.39538871394364317,-0.4437056516024545,-0.10006202980483737,0.048666244956520416,-0.11570630863744365,-0.015786890763597305,-0.03299464232101193,-0.07885828247542696,-0.12912558484562578,-0.19759305668451316,-0.009182865973375337,0.12163247935886606,1.2000943274017633,0.5193363482460717,0.45838892973478357,0.10489201587317686,0.015086928146173925,0.06174791057584309,0.13291455532599014,-0.06854287637321266,-0.16107850297097845,-0.05367582302316678,0.2601371093191026,0.001194014861630855,-0.05427012758845207,0.7893220322385418,0.5001449188421473,0.14808679700163985,0.9809400264248901,-0.4570549527615756,0.16354781612340852,0.05936718660541116,0.07492784600600136,0.011387123395118388,0.030900876239029536,-0.021668703669288025,-0.05403487301078682,0.06164789907354936,-0.1682740222497599,-0.03741281935724067,-0.04232716030689345,-0.08777451496348487,-1.050650670647189,-0.008344695985901672,0.9505220720106446,0.34981313010914655,-0.04137385795221669,0.08729540133084299,-0.03125279351446923
INM-CM4-8,-0.009619398122133006,-0.03495716108369733,-0.02595851709884189,-0.06991213712039607,-0.10024763893561896,0.08588133876443713,-0.05255403491901104,0.5915428909984941,0.12340402516457864,0.33006194349673906,-0.4390159321568022,-0.07523446949712492,0.1374181385170617,0.021925897382136097,-0.030650578992606304,-0.07445864350374913,-0.1337274880016422,-0.0657214659631688,-0.08659328404657579,0.042048809129796,0.37774105874956365,1.4715577478516966,0.3463689125786473,0.2528838131242894,0.3436478971169649,0.1249386522042754,0.10330063669922053,0.005312364512740803,0.026797639767058398,-0.10979800146479125,-0.2166262946882772,0.07866858298062374,0.07198923100522768,0.005822907102946778,0.2464698435293316,-0.3152207512756964,0.3706961320828833,0.09322779875758391,-0.45767333283786904,0.20539697878121915,-0.024213252007954836,0.12979635068874307,-0.006851810483286678,0.05371912612861642,-0.0033130079130232392,-0.05596224548234591,0.036593414250952944,-0.288432366077581,-0.24958644700999275,-0.09226065336534614,0.14585104066692098,-0.444559689997117,-0.018747218623973085,-0.1326733427563107,-1.7317881061687654,1.0563662598164296,0.09294114604081556,-0.009073009882017992
IPSL-CM6A-LR,0.046050223514126215,-0.06654026653743504,-0.03293631700752946,-0.08561626250223546,-0.09278450612693118,0.08242667559032937,0.3111716394858332,0.07280338300977236,0.07791504213851322,0.28195001951769866,-0.2103665769534624,-0.10882345315804987,0.06337150250414209,-0.033021526124684175,-0.013358516842229152,-0.04673102149774635,-0.21186152350339377,-0.15498649575564402,-0.10034804835647619,-0.01886078285897407,0.19745185922716968,0.8964329728725063,0.6211190620127621,0.5319895939188747,0.13769134586868284,0.0623950021551086,0.0803366626239932,0.08731150875677408,0.00022912307684195985,-0.09231455422754939,-0.20100703050987176,0.1389467801034981,0.009011331450615816,0.009176375207465878,0.3145664581800279,0.09179361424422816,0.23581478036955744,0.5179431963169018,-0.19254663209560988,0.025121693566742685,0.027690723686102828,0.024337796147987017,0.055202140956036726,0.04541362830573382,-0.010733423523483825,-0.04457086483926007,0.049992898431455025,-0.17334692868357174,-0.30066504175884506,-0.0854094505530735,-0.03498528556102744,-0.6954369642494865,0.0572287316300414,-0.02721462670550321,-0.727648309748942,0.29554619450367414,0.12187232562139977,-0.040340349769435284
MIROC-ES2L,-0.04363574606298451,-0.0777037702521546,-0.031611485232613055,-0.1083139301016655,0.01721715362352625,0.3128760929530549,-0.06500008405905283,-0.6541916506852417,-0.35395823537605686,0.5733436070470758,-0.5442141660684946,-0.15966707897542406,0.06675182417239084,-0.1780184353152461,-0.07095884486056786,-0.07504969987242772,-0.11604588446965905,-0.19632975489415322,-0.08609642729711814,-0.06693060764993716,0.21737571364321948,1.6458700696017605,0.8886569372567962,0.3840638284237985,0.13408271251257822,-0.019928505248016093,-0.15846633661263818,-0.003057068517117022,-0.007868954405673154,-0.0725048478055493,-0.11884272255521669,0.2366393144628462,0.12391530710219784,0.03195942762000501,0.5810749806702158,-0.008376400432056364,0.09987897045218587,0.12225197314383579,-0.03450456487975974,-0.07785858145401083,-0.0331064275041146,-0.035716052529618125,-0.006983014478236558,0.0882737309286292,0.013985095792956034,-0.06833537983392961,0.03696539625012412,-0.016478240773381697,-0.28576703343622306,-0.024354573794604522,-0.08223097474501792,-1.2665571800090238,-0.00037705425843681604,0.06425417666541888,-0.200632222523847,0.3935183638504093,0.1079459981560921,-0.039169562702072926
MPI-ESM1-2-LR,-0.028257539405442945,-0.08824531295384114,-0.061504025048221826,-0.17518317298794409,-0.1978611672956392,0.1906445980098013,0.004155773402164002,0.402198689232785,0.05632723118272819,0.4051527328450556,-0.12810707470543567,-0.1219700861859947,-0.23027084407875956,-0.07026917307832495,-0.21768887417122848,-0.08840927979635907,-0.07228686766260894,-0.21279730103368957,-0.18589711933499692,-0.005188993779394667,0.3795632649834861,1.2287909909445704,0.4437332526957556,0.5039353612856797,-0.04821590284549601,-0.10899429088586715,-0.05116190352950927,-0.12560935589986472,0.011795297435324242,-0.1741984416324562,-0.1744155184829781,0.16875540661147423,-0.008937189706204812,0.06030095430385577,1.0902855647409857,0.17575765765932597,0.2429323401233333,0.4156850259885849,-0.395584608428112,0.38440929907383836,0.05616720794122243,0.45573574885658863,0.1392888195493381,0.20033371486261095,-0.010951901829613647,-0.019215611017045112,0.037664219245549246,-0.1462820946752084,-0.5440031106674211,-0.17253289591794263,0.21499115991341958,-1.0366874460022948,-0.019010524848605843,0.08579293685514412,-0.07783268698033578,1.3400885844810426,0.06347146055271943,-0.031806017750971416
