,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.040628955,-0.071335614,-0.056717657,-0.10097577,-0.040604226,-0.019182602,0.02803728,0.9298147,-0.030788546,0.8450963,-0.28285557,-0.27179366,-0.24433325,-0.04789657,-0.017677572,-0.11313201,-0.111503795,-0.040082965,-0.13605393,-0.13719794,0.5759263,0.8007579,0.5247474,0.3108924,-0.120466426,-0.13650075,-0.10840579,0.01935023,0.014629343,-0.1225929,-0.17970516,0.076792754,0.04443347,0.009422977,0.96472746,-0.021763265,0.20473574,0.21980503,-0.14166881,0.19870795,0.07599661,0.30922017,0.09371243,-0.061002802,-0.010288574,0.02842776,-0.0067555844,,-0.6030352,0.8536004,0.2158042,,,,,,,-0.088101916
CESM2,0.030781249,-0.08798774,-0.15077029,-0.027929483,-0.1269329,-0.010503214,-0.036881242,-0.87037617,-0.25031504,0.11686332,-0.42974648,0.107891746,0.087034814,-0.04774526,-0.03059411,-0.05662094,-0.18931057,-0.11218401,-0.13409202,0.003747132,0.25569993,0.8295997,0.6797519,0.27827024,0.14228715,0.031383026,-0.04906528,-0.024685057,-0.05074465,-0.120552525,-0.07755502,0.15066564,0.018509114,0.05554141,1.4591987,-0.009590356,0.06936895,0.3241567,0.024267338,0.06841646,-0.013385797,0.004917708,0.030193213,0.013032632,-0.006704854,-0.019975077,-0.05423119,,0.15202898,-0.027634937,0.07282738,,,,,,,0.06338851
EC-Earth3-LR,0.017751168,-0.033438515,-0.09359394,-0.12609276,-0.18676236,-0.036754873,0.046309765,-0.3169719,-0.006729296,0.07781235,-0.43941244,-0.07595311,-0.03171572,-0.053024348,-0.11332544,-0.056505293,-0.036339533,-0.15330513,-0.14825438,-0.083934814,0.13095121,1.1646961,0.40978497,0.43584383,-0.023200246,-0.012911984,-0.052521933,-0.058907647,-0.047368426,-0.09896562,-0.026090695,0.06688558,0.014767435,0.041645143,0.7417203,0.11523031,0.1574044,0.74226576,0.06605174,0.14888805,0.06881424,0.04295072,0.020622334,0.040832344,-0.013940508,-0.0027938145,0.024851127,,0.31231728,0.10958422,-0.14432459,,,,,,,0.078719504
FGOALS-f3-L,-0.01645729,-0.09987518,-0.06327387,-0.12317396,-0.104807064,-0.050922796,0.033341285,-0.5136851,-0.38451332,-0.013092222,-0.25380144,-0.04196719,0.050672065,-0.10432532,-0.04680834,-0.038904704,-0.19640617,-0.14128678,-0.12574662,-0.006278735,0.13742967,1.4329135,0.5282944,0.59203166,0.009469397,0.0154953,0.009741195,0.024532987,-0.019458782,-0.12802675,-0.09460573,0.045132488,0.006873626,0.015660651,0.85905796,0.04261576,0.13541557,1.0831875,-0.004984804,0.047163695,-0.008559864,0.006803408,0.03982177,0.053356875,-0.015395438,-0.09446314,0.0124961,,0.6157284,0.08368453,-0.02974693,,,,,,,0.01767818
FGOALS-g3,0.0016614523,-0.07850428,-0.018771645,-0.20020406,-0.03949871,0.31912825,0.38572875,1.3660606,-0.3006241,1.383785,0.2077439,-0.069995195,-0.2093879,0.010561439,0.031012245,-0.058319174,-0.2149395,-0.051658306,-0.011523683,-0.038913373,0.029659376,1.3827665,0.99752736,0.94141734,0.120747335,-0.056345403,0.049214,0.31209624,-0.09277071,-0.023195177,-0.00515484,0.12355068,-0.021211026,-0.008871826,1.4227042,0.53660834,0.13728519,0.63561565,0.4491966,0.040960886,-0.029137913,0.04051317,-0.008954841,0.04048912,-0.012102285,-0.028475426,-0.07993624,,0.13193852,0.23957162,-0.26295358,,,,,,,-0.011766553
GISS-E2-1-G,-0.046252888,-0.13055284,-0.1306832,-0.16202745,-0.15224664,0.008713741,-0.006054704,-0.3102661,-0.50715107,0.40888,-0.24734895,-0.009507324,0.04866625,-0.12741265,-0.009182273,-0.044623494,-0.14706038,-0.14070903,-0.19759305,-0.04816029,0.12660187,1.3753818,0.5256412,0.47595024,-0.0062207053,0.0028428005,0.0045486833,0.019617125,-0.11653244,-0.16107847,-0.053675815,0.21958621,-0.002388125,-0.054270122,0.789322,0.3305216,0.0889593,0.89929396,-0.29164267,0.07907314,0.038295027,0.020184975,-0.0104645,-0.024561742,-0.021321867,-0.07221918,0.043749046,,0.50357753,-0.11308114,0.099158175,,,,,,,0.0047137453
INM-CM4-8,0.011766448,-0.04127517,-0.036507063,-0.084389955,-0.08153408,0.17512538,-0.056373592,0.20622921,-0.17525108,0.44871467,-0.37479603,-0.0464637,0.13741814,0.026962431,0.008202228,-0.044217385,-0.1905138,-0.076353505,-0.08659328,-0.024346767,0.38269535,1.6793971,0.34889773,0.2562212,0.15209222,0.1356238,0.09458469,-0.10156388,0.012043688,-0.109797984,-0.21662627,0.009230469,0.07241065,0.005822908,0.24646986,-0.1472796,0.36666095,0.39400163,-0.7930238,0.06281269,-0.038054097,0.060477115,-0.009539956,0.025880635,-0.0036534101,-0.079587914,-0.027795712,,-2.023317,0.36946085,-0.07184986,,,,,,,-0.16825369
IPSL-CM6A-LR,0.0639425,-0.054765303,-0.043514274,-0.0878735,-0.06551782,0.116625935,0.47820908,0.064069234,0.13914019,0.47707185,-0.15238868,-0.06168478,0.06337151,-0.0035400232,0.0035356528,-0.054557312,-0.28137246,-0.15276699,-0.10034804,-0.028259927,0.20142773,1.5845575,0.6386586,0.56592315,0.112652466,0.024334565,0.06908078,0.06940914,-0.009700644,-0.092314534,-0.20100702,0.079447754,0.014108316,0.009176374,0.31456646,0.31080726,0.20817733,0.7063881,-0.19184417,0.04256106,-0.0031112658,-0.018315833,0.046943713,0.042034075,-0.0066134846,-0.052740082,-0.016391577,,-0.7010876,0.24430694,-0.09277791,,,,,,,-0.03399851
MIROC-ES2L,-0.028097404,-0.07659874,-0.022206381,-0.10456696,0.042793907,0.4640011,0.027162628,-0.51268035,-0.21836336,0.49603915,-0.41016185,-0.089203805,0.06675183,-0.08115319,-0.06444634,-0.066999674,-0.15635028,-0.20368072,-0.08609642,-0.10288488,0.22595036,2.014043,0.91219735,0.377733,0.1615118,-0.010671878,-0.13546126,-0.033111054,-0.033416856,-0.07250483,-0.118842736,0.15084895,0.13980569,0.031959422,0.5810749,0.123403735,0.06624367,0.2771501,0.20123173,-0.016233653,-0.07577392,-0.0944157,0.008979128,0.098105505,0.005185093,-0.062364027,-0.0025321937,,-0.40978497,-0.12935081,-0.12722702,,,,,,,-0.09313682
MPI-ESM1-2-LR,-0.017279975,-0.091626376,-0.09077764,-0.18585481,-0.16686375,0.13320728,0.022105293,0.23955053,-0.31811583,0.5410102,-0.21468447,-0.06439287,-0.23027086,-0.06715891,-0.21401288,-0.09959384,-0.1288966,-0.22642075,-0.1858971,-0.08095635,0.3814516,1.5236037,0.4568822,0.5224136,-0.100532174,-0.1212546,-0.031286005,-0.073294476,-0.0064772605,-0.17419842,-0.17441551,0.12088236,-0.0032786585,0.060300946,1.0902855,0.29568732,0.19324099,0.5143242,0.007113168,0.15079546,0.035552192,0.21313299,0.10376787,0.0818505,-0.0043769768,-0.011696591,-0.011214799,,-2.0445898,0.57464176,-0.0013545285,,,,,,,-0.0489293
