,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.9094667713301567,0.49683790095050306,0.6971143831646156,-0.8679677775889599,-0.2642030821198978,1.4352123599882793,-0.06140800967279228,2.5223091402500923,-2.221519811909981,0.7023557422946836,-0.3444529474009072,-2.513995388206273,-1.766629601624865,0.13049263853624973,-0.42220906361962185,1.02141138126665,0.1504066468108883,-0.8481936669528936,-0.6693221306309962,-0.8500852021439089,-0.19950698134767597,5.493848947514179,1.912258507656707,0.7203501616372499,-1.7820348525412328,-1.997606130327053,-1.7777896690434472,-2.6885340825757122,0.5553773701821253,-0.35637455463833695,0.20546917088436067,1.180547116798375,-0.48456054000290394,0.02832717442001563,1.8533483709949639,3.6920106526855303,-0.44313334816340494,2.6218097439190315,4.285882922112228,-2.9648126738743703,-0.8427005735911272,-1.6736557059460928,-0.3347944897030115,0.4228884314983952,0.7100869752640045,1.2197846405613404,0.7287209246602244,0.3165622855266445,0.46060245870397604,-0.8233041586534021,-1.1544426928993974,0.7788923818312007,-2.6760879560972066,-2.7863082922022837,3.306286738402085,-2.2575719735105446,-4.007950809911531,1.1069965922225569
100,0.8934576827781917,0.49160153669866485,0.6752564242065341,-0.8944945819416465,-0.30993359498097994,1.370519706573819,-0.08200596820831964,2.5200237808891752,-2.196820063276758,0.6899984380918405,-0.37117940304333696,-2.505068672944998,-1.7812397148636843,0.12351943170824274,-0.3902399536541576,1.0272360754452372,0.13771031113454052,-0.8374861933342261,-0.6454443528012281,-0.8611080359097788,-0.18936918830297797,5.572635543222355,1.9531466127748096,0.7158436065940628,-1.7267227022719547,-1.9880160020998885,-1.783818014649106,-2.7373457569583044,0.5648436288906571,-0.37100851419626285,0.1859797828828435,1.2056467707046084,-0.49576289724488615,0.02812989698705864,1.8801883779489785,3.766075716731297,-0.4405534004459456,2.647185263124182,4.155458926722134,-2.9193103563137304,-0.8313063952856763,-1.7189115578568481,-0.37634022039633563,0.5051514121948081,0.7114033626728604,1.2194422116587114,0.7185472917166247,0.33264422545398775,0.39778284526160357,-0.8209941566292396,-1.1162993008839366,0.7174187206310819,-2.6883904061093546,-2.867480226162523,3.3090901635940466,-2.002041394567563,-4.021324652517465,1.100333568077225
200,0.9067567919352428,0.490481298710512,0.6774528481188585,-0.8570302926002149,-0.33977664801872715,1.3757109135591419,-0.1008681014967642,2.5759032862018336,-2.1987909810013306,0.696314534925978,-0.28943129326128464,-2.532226337559704,-1.7713483358569027,0.16646589826234406,-0.434340262117961,1.011928137091274,0.1382475558344932,-0.8725251406263227,-0.6922438451963701,-0.8604870600022868,-0.20036292285851992,5.4556744292728485,1.9371636809619093,0.7196733684444914,-1.7260192328102755,-1.9759456903848738,-1.7553567747563474,-2.6812618639856423,0.5769241185382632,-0.3729394709222998,0.2573454848095923,1.1205831510281787,-0.4887436598619595,0.019087044589385364,1.8722139259270736,3.7041910761000656,-0.4426165623152817,2.6797109622350623,4.271331782799614,-2.792448162955816,-0.8364964402538323,-1.6766497536736114,-0.3217776313376263,0.4287859150956038,0.6907965280134911,1.1923385697131323,0.7275277763534562,0.2741400972884254,0.35124120271793513,-0.7971340961474693,-1.1393025407403445,0.8063913452315211,-2.6492418469316363,-2.691750679076689,3.766361763879621,-2.1110642439656804,-4.010474406030352,1.1022608069681186
300,0.8669436911237437,0.476797497044176,0.685958187790529,-0.8744848818597598,-0.33428829113091574,1.299879345282291,-0.05994054415435232,2.5683797442443215,-2.209626140507738,0.6966533160847357,-0.32842551610328613,-2.51672692745968,-1.7368309503007413,0.1811171136312705,-0.41074380073349775,0.9562777552391272,0.1286939073862768,-0.8766392666765103,-0.6287388546342727,-0.8436766734532944,-0.18907898772769013,5.525209254201999,1.9220516912198666,0.7283212569643817,-1.7101901455125221,-1.984404110321215,-1.684328603489824,-2.586399271292897,0.5531417029413086,-0.35277806209124063,0.20730326575072772,1.1553698828733423,-0.4910303356635279,0.03033762838516737,1.8712315171203626,3.6941670309760157,-0.4300395567095581,2.5200403716435877,4.179889381383085,-2.942287631089875,-0.884207347120441,-1.6682877185938096,-0.37234150623544804,0.4395517707667945,0.6981283803182288,1.208552761630168,0.7139499908438831,0.3091465131510937,0.37809621355315887,-0.7931609372078566,-1.1050600011205212,0.8093542892096349,-2.6539997045550057,-2.8003274644365104,3.255875550564618,-2.087885320243724,-3.963849998486392,1.0947846678536892
400,0.8842048802043914,0.47779108056819397,0.6766367606358871,-0.8712297894659348,-0.25907852907461015,1.3888785914662218,-0.06560711048371817,2.3321882457241614,-2.1814530148125186,0.6861525825572813,-0.2586827673602049,-2.4782065735202816,-1.771652354883509,0.1425057263978048,-0.445338843097752,1.0076361654836814,0.12432788481490106,-0.8528640384662614,-0.6158724678023881,-0.8573449880923882,-0.19684920441220885,5.421432759030093,1.8809016485083394,0.7414622079651499,-1.7477985557185056,-1.9801832586088333,-1.766102160056287,-2.704018558816686,0.5370113086917258,-0.3697208501688678,0.19056039560308086,1.1894420632730265,-0.49555481583369093,0.01726300219986007,1.8701003054519454,3.6903535334131843,-0.4378693234040168,2.6392190102109194,4.179649993979674,-2.80714916864558,-0.8163349396329517,-1.7772557919452059,-0.33625431645282444,0.47600172704504584,0.7187560868128108,1.173502826737371,0.7106923912607978,0.3170154788860748,0.40109763942502846,-0.7923466900849649,-1.120811052037625,0.7728462519062281,-2.668794153672911,-2.7506008018358448,3.5175474676023577,-2.1840038806965256,-3.9738195030466232,1.084861190017188
500,0.9075665412806904,0.4712842698962364,0.6730847113855533,-0.8584073835623959,-0.2947649832251692,1.373664040989665,-0.09943440635846189,2.270880111929268,-2.245528012293145,0.6575026219200517,-0.3524600173732168,-2.4956678182314116,-1.77050196718319,0.13159625785528764,-0.42042310835827257,0.9950800754842346,0.12636455408734978,-0.8626649491343875,-0.6087278099611952,-0.8631029634567836,-0.19766383907576554,5.4595872451633385,1.9092314486567417,0.7622637555819339,-1.7777799711316278,-1.9737843037011642,-1.750312291453256,-2.6425278671707666,0.5286022184845934,-0.3634169727240134,0.2263277925828308,1.17820848460555,-0.48855202355446337,0.018423663485662566,1.8996618879222398,3.7325369991569346,-0.4472048166985278,2.733161819409677,4.205405875264089,-2.812305076142563,-0.8368780537535753,-1.7585701783405236,-0.34747885046850735,0.4127222674144716,0.7072251460200129,1.1927895834945157,0.7127133785112055,0.2861346971374038,0.4492837476432206,-0.8170697588712392,-1.1277337849017266,0.758999238120631,-2.659499682502603,-2.7813001833296016,3.641592215545322,-2.1511883181816542,-3.9351042631147766,1.0865033365629864
600,0.914227147626105,0.45353817631549853,0.6791385203247248,-0.8568195682845537,-0.29379580506607567,1.4270611152022237,-0.0914921660204749,2.539475838655022,-2.209144104520666,0.7361816072675695,-0.2944702942413088,-2.4999419792070023,-1.7694125779197802,0.16751765025350634,-0.4144426985850016,1.0052514423161436,0.09821045243008719,-0.8728040951281367,-0.6211695558297027,-0.846655363267235,-0.19747332752468544,5.393768425284942,1.849613074397839,0.6974505722248489,-1.715957561676389,-1.9871271731126532,-1.7291571364029665,-2.6506361967602423,0.5320117652791493,-0.3648650035452711,0.1859968256099277,1.1890716231332408,-0.4904039049031408,0.029636640570449,1.9187725146708692,3.675717847736631,-0.4430333950522323,2.6083003618833325,4.173981327267934,-3.043336564542293,-0.886283611138061,-1.5851248803401652,-0.37451933305301427,0.4490128297212876,0.6989399294817102,1.2117335405868805,0.7266968689846188,0.30146499879382876,0.43465386663919686,-0.8335907790576579,-1.1397490490086544,0.7722550435639916,-2.631034891600607,-2.7906345773336687,3.2983747354168296,-1.9621344607988989,-3.961636529089948,1.0927449841118546
700,0.903934539644027,0.4947976118561344,0.6637806922742228,-0.8698328670521187,-0.3058261362677301,1.4127815975255154,-0.048717459359678486,2.6246461851329332,-2.049615661381878,0.7492315601677387,-0.2775919977039081,-2.514152580857311,-1.7702620763225838,0.13940852427349917,-0.4212645945562095,0.9905839188310989,0.09672833932449006,-0.8583824999147387,-0.6255082106264613,-0.8615661710490953,-0.20456629563708661,5.597868198184352,1.837455059304848,0.7068566899875223,-1.7815449638393566,-2.0141477479632117,-1.7555339890576587,-2.6682806804098176,0.5275462416768415,-0.3521514672898882,0.23262408451749728,1.1441492965114115,-0.4747273241583393,0.018863054374811682,1.9369924768180986,3.725137521681481,-0.44102270039385644,2.6903979631095583,4.177961495831095,-2.8214977822262077,-0.8320111032623747,-1.599006258196913,-0.3444075850278403,0.47118999453316435,0.706441984053758,1.2026169772749542,0.7266715866755595,0.2485415492826527,0.34997250704092014,-0.831002268490543,-1.1226270450954325,0.8186245942371567,-2.6759516180472436,-2.856835213104763,3.485884994672999,-2.002202249663323,-3.8959281343849086,1.0924623503702076
800,0.8753361743998596,0.469981008370674,0.6829480307480188,-0.8747992736445378,-0.2967644107910201,1.3363446571172082,-0.05548042405403717,2.2678909439989345,-2.252541816820369,0.6912548258452643,-0.36224090770940026,-2.4970382854389657,-1.7543483295208706,0.1839524307048782,-0.41546589397976824,0.9665770795741346,0.12832594344562587,-0.8918070642275421,-0.6035383442738056,-0.8616769667741052,-0.19609261586843457,5.480176353208747,1.880623844660228,0.7104118109679134,-1.7318584888988715,-1.9918699391820653,-1.7691247196716953,-2.710794565504874,0.5254503580374098,-0.38282851253983224,0.18720331624269732,1.2253757718179619,-0.4907499482908127,0.028218545815474283,1.8698013949702714,3.83125513526431,-0.4454590508664538,2.7080877325373205,4.231259681865893,-2.839063320188648,-0.822895890511101,-1.6407442141755852,-0.3619262717642974,0.4261099224859019,0.699882602548784,1.2056813496926095,0.7129876401317713,0.26364533478994334,0.4505434135011403,-0.8193547032186546,-1.1320082106157536,0.7839601083298144,-2.6279430347293125,-2.7623117538568467,3.5677022792523903,-2.173057867309155,-3.969642988843383,1.087666572777372
900,0.8935934936420943,0.47908330924024056,0.6749029858578817,-0.8912306763541091,-0.3113098671127128,1.4193966068665405,-0.07360259748192423,2.5843819635531737,-2.3179066372192505,0.7760344941525622,-0.23460771015184134,-2.4733760510057348,-1.7416404547705142,0.1940256087025391,-0.39361220178872897,0.9883667297217813,0.11301894657813287,-0.8746870333983062,-0.6166946658011692,-0.8401794204905736,-0.21013949816308966,5.4262336516867755,1.8430755707779662,0.7299765693116809,-1.6915648087776185,-1.9470920056766823,-1.7283697880935822,-2.6252935316588215,0.5210257638328604,-0.3858659829469042,0.17760391538824694,1.181849996013886,-0.48250501246972616,0.028617284074403296,1.8962711166095625,3.803388632359422,-0.4350051537543343,2.587193417745731,4.143567730083134,-2.8986763536053757,-0.8822935704190196,-1.7014518301868198,-0.36985089707089475,0.47045270851009763,0.7018957982750417,1.1925876616580458,0.7125100175663134,0.30463677591030164,0.38682719818392775,-0.8329857071519637,-1.159163949713382,0.8001546824256681,-2.6590556125607026,-2.769967694579356,3.192146311849726,-2.010255072633606,-3.951672050778905,1.0914869066581092
