,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.7679127,0.40628442,0.44179514,-0.82936263,-0.104379945,0.9770488,0.5257353,0.5375435,-0.34118557,0.30817053,-0.087236546,-1.7841566,-1.7550949,1.4399172,-0.16103677,1.6815283,-0.016459174,-0.85731816,-0.722341,-0.71455294,0.08888674,5.0134783,2.177395,1.2383468,-0.8311079,-1.200918,-1.2829312,-2.1265202,0.26284596,-0.35743403,0.23279108,0.86576116,-0.42126718,-0.021339966,2.2609231,3.0380354,-0.13577405,2.8518586,3.3824923,-1.6326238,-0.24108174,-0.12617052,0.12421994,2.8677757,0.34941897,1.150412,0.5777786,,,,,,,,,,,
100,0.7546548,0.39223593,0.40706676,-0.8548672,-0.1521973,0.94245994,0.49098516,0.5093725,-0.20880115,0.30480543,-0.11529879,-1.8098942,-1.7704705,1.4313662,-0.12679276,1.7345961,0.008285253,-0.8502433,-0.70521,-0.7116064,0.094947375,5.0971293,2.2220001,1.2367691,-0.8138908,-1.1953208,-1.2930782,-2.1611125,0.2712155,-0.37802154,0.2155038,0.87558424,-0.432008,-0.018426467,2.2744215,3.1348736,-0.13398245,2.8918588,3.2956827,-1.616201,-0.19732143,-0.13920774,0.1107569,2.981788,0.3518174,1.1362581,0.48845994,,,,,,,,,,,
200,0.7740619,0.39803436,0.4059984,-0.8143717,-0.18942523,0.887668,0.47837454,0.52970606,-0.3173257,0.3322623,-0.04729112,-1.859137,-1.7530907,1.4907589,-0.167454,1.6955599,-0.018688615,-0.87948835,-0.758422,-0.7226333,0.0891598,4.9416456,2.1899838,1.2439117,-0.8217887,-1.196732,-1.264492,-2.1349652,0.2956251,-0.36968982,0.28835744,0.8074545,-0.42897534,-0.03061955,2.2849212,3.0332177,-0.13350315,2.8828154,3.4639258,-1.4716415,-0.20909333,-0.13477248,0.12266943,2.8265352,0.33831435,1.1125011,0.5490647,,,,,,,,,,,
300,0.7160083,0.3814156,0.41877347,-0.8303981,-0.1823553,0.84162164,0.5490649,0.5709599,-0.30871868,0.30197868,-0.06906929,-1.8502427,-1.7224447,1.4913684,-0.13766108,1.6435838,-0.0412486,-0.892611,-0.68921286,-0.711856,0.092077784,4.9832172,2.188498,1.2391183,-0.84140414,-1.2026137,-1.2353429,-2.071647,0.2618722,-0.35851398,0.23611172,0.8409382,-0.4322642,-0.015639056,2.2676568,3.0467575,-0.1291593,2.7543764,3.2817028,-1.5884628,-0.2798824,-0.18102476,0.1118819,2.8554363,0.34317926,1.1190509,0.4950065,,,,,,,,,,,
400,0.7506066,0.37969148,0.4096402,-0.8247564,-0.1010855,0.9462153,0.5255964,0.42584407,-0.28230035,0.30757958,-0.0012818589,-1.8212249,-1.7612501,1.4454039,-0.1742752,1.6821921,-0.009336448,-0.86700606,-0.66598606,-0.7264816,0.09059427,4.882996,2.1393456,1.2631111,-0.8537764,-1.1880436,-1.2562172,-2.1130888,0.2476172,-0.37917757,0.2192623,0.8515869,-0.4383428,-0.032001916,2.2755697,3.0139794,-0.13350822,2.8386047,3.3325045,-1.4676272,-0.17318688,-0.15741432,0.114542015,2.9238508,0.35575342,1.076952,0.50719,,,,,,,,,,,
500,0.7587658,0.3789027,0.3978314,-0.81156915,-0.1336845,0.9691001,0.51159024,0.38630837,-0.2798772,0.27694193,-0.060990024,-1.8587712,-1.7532747,1.4628823,-0.15893458,1.7013714,-0.017293446,-0.87851083,-0.66277933,-0.73562783,0.084520504,4.934668,2.1710603,1.2916431,-0.84293336,-1.178525,-1.2708738,-2.0962706,0.2377628,-0.37115365,0.256889,0.8604417,-0.4299953,-0.035159253,2.3154886,3.1462228,-0.13324071,2.9329126,3.3216424,-1.5183556,-0.22894959,-0.15071742,0.119721785,2.8530111,0.34656805,1.0952077,0.53969944,,,,,,,,,,,
600,0.7789173,0.35217664,0.40976104,-0.8150094,-0.13148192,0.9865312,0.50831753,0.49450582,-0.33533144,0.3614972,-0.035296362,-1.8398348,-1.7535595,1.4825878,-0.14736313,1.6849043,-0.054522775,-0.88583773,-0.67839867,-0.7169934,0.08827737,4.852861,2.1285055,1.2133137,-0.8317397,-1.1927768,-1.248512,-2.1199358,0.23425816,-0.37285525,0.21188198,0.8632113,-0.4323839,-0.020519605,2.3382978,3.0255423,-0.13126582,2.8226848,3.2769985,-1.7378457,-0.29477447,-0.0967003,0.09591908,2.8356268,0.34470356,1.128794,0.5730716,,,,,,,,,,,
700,0.7629607,0.40128264,0.38206202,-0.82713777,-0.15298733,0.97739583,0.5352853,0.58144414,-0.25261748,0.3938095,-0.026965532,-1.8733749,-1.7489337,1.4660246,-0.15247187,1.6868184,-0.058727387,-0.87100226,-0.6785152,-0.7258575,0.08451021,5.0450025,2.1073084,1.2238663,-0.8726082,-1.2098225,-1.2722726,-2.1168516,0.22853416,-0.35617548,0.25967342,0.81451327,-0.41559768,-0.031299457,2.3619533,3.140525,-0.13239558,2.8935044,3.3329837,-1.6221507,-0.25454527,-0.08973928,0.12975554,2.858754,0.34812695,1.1099582,0.54753315,,,,,,,,,,,
800,0.72239375,0.3786818,0.4122025,-0.8352554,-0.13714817,0.90899575,0.5410534,0.46119174,-0.3539164,0.3048529,-0.093124986,-1.8210043,-1.7371529,1.4824004,-0.15595712,1.6450647,-0.009680253,-0.9128036,-0.66704816,-0.72786033,0.08495907,4.956984,2.1634629,1.2311265,-0.82579327,-1.2027214,-1.2769728,-2.1814668,0.23625803,-0.39484844,0.2154161,0.9165791,-0.43073243,-0.028922454,2.2811677,3.1544118,-0.13344596,2.9134517,3.395493,-1.5377071,-0.20881008,-0.08539292,0.1283262,2.916671,0.34311926,1.1270686,0.5125645,,,,,,,,,,,
900,0.7478325,0.39399272,0.4029434,-0.8461091,-0.15037557,0.9522832,0.50603604,0.5313203,-0.30872166,0.40295598,0.015356326,-1.8147563,-1.7292883,1.4798561,-0.12714806,1.6721117,-0.030938378,-0.88602495,-0.66885865,-0.7167574,0.07146705,4.853161,2.1026561,1.247675,-0.85140175,-1.1586709,-1.2669995,-2.1106336,0.22163323,-0.3931555,0.20412248,0.8502064,-0.42420086,-0.016458044,2.3007963,3.1445794,-0.12886417,2.819922,3.3363307,-1.5735964,-0.2753862,-0.17032059,0.09416366,2.7769065,0.345992,1.1069074,0.54583275,,,,,,,,,,,
