,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.035077660896903715,-0.00025115515574237644,0.013837008060602781,0.0730824368397183,-0.276455995066985,-0.22541786206191158,-0.011814664368858564,0.3746290058036299,0.5477591073105655,0.07605556047823858,0.5552383447912735,0.010072233409365708,-0.0036892391022879008,0.06021670323872267,-0.09555140224826715,-0.02353513230560315,-0.020227673891100136,0.0029710180983932824,-0.030538856413006313,0.08112987214801014,0.40241719335330445,0.28317276998735663,0.07042218856927043,0.27995157032159207,0.16465050711735446,-0.001545808627905877,-0.11253625741356835,-0.0021140021594990904,0.013696191773767543,-0.08351345857016933,-0.023630299194371148,-0.08580877751093491,0.01040410126864903,-0.003456942550803997,0.3720460740265975,-0.15504292972131117,0.14415411459677038,0.09845092367496734,-0.14343725675584568,0.20037384559155139,0.13510264206465422,0.34133454271388397,0.031505075825050494,-0.00947032383084892,-0.019053224446466423,0.018611640095356624,-0.02474432516877989,-0.04866846457307784,-0.3573652793510554,-0.06787012694811227,0.06354915987572617,-0.27306530761486564,0.047889846499238234,0.05985177996087029,0.19131945801428782,0.6119389847012445,0.13812186448131214,-0.033253080246845944
CESM2,0.05394244967825723,-0.0320948548108776,-0.02566371838536822,0.05878915409044356,-0.12778315222923645,-0.17226127547607595,0.004774784308514345,-0.06362985228858661,-0.10516726599930935,0.01154377012051958,-0.13199549575251185,-0.24128963010485532,-0.36569719825216407,-0.01719595873646542,-0.14587541925739558,-0.02258223281407205,-0.0004230151196535968,-0.09207510197740917,-0.06875547064602745,0.03911762611422493,0.14844675609239266,0.31841465424507764,0.21194722335184735,0.152642176135009,-0.10797568332924214,-0.07933377054917808,-0.28580610707779314,0.03716902355285636,0.013338178278254722,-0.030267039057645582,-0.0030595890663905677,0.023716659539387463,-0.07364238688168782,-0.01959594724073925,0.4264410493183257,-0.15474769117358753,0.02967548352596495,0.14064200765580828,0.029253308877967305,0.12016118097212243,-0.006758682747005368,-0.011846912107233933,0.033954513475701296,-0.012392468218533324,-0.00881209301729127,-0.02006128353798176,0.011148472815472533,0.007719797655722774,-0.19164798561017793,-0.047308690751550114,0.006447374367411947,-0.18820086241961317,-0.006827613609830951,0.0572034640509114,0.03847584612511846,0.16125874852516217,0.09756437629970433,0.0033210393437878762
EC-Earth3-LR,0.10918338537900028,0.006504135879840825,0.01646062474534954,-0.0050666508848677926,-0.09115489091601293,-0.05369583742063942,0.1285724028151294,-0.03856486337693769,0.14203493938940107,-0.23168641357345499,0.0034190657037928523,-0.08660911937236836,-0.28644913167260955,-0.019397648441609926,-0.19250157961062758,-0.010310112620860514,0.10585427011779108,0.02567462526807588,0.015547110987446591,0.07411315145858136,0.13794599119619827,0.5224241810480159,0.31188285776840163,0.5687993101822377,0.21641097659689074,0.05402391357110022,-0.09994565621766127,-0.07087546432898277,0.05714960807913795,0.035196357439902355,0.04597322291156264,0.02377247822031114,0.05778059463491044,0.03345228400508683,0.2574639147702793,-0.08968766431555959,0.14827263743939387,0.2956129194339615,-0.16122154526577057,0.1559438386045035,-0.114101348708935,-0.022413132748901547,-0.05884969492300156,-0.017099423367541944,-0.012120120475607855,-0.02191604359418198,0.09011970817210353,0.04464181127920619,-0.04588796447055578,-0.09176668032950007,0.06236863904872084,-0.25565372009787285,-0.03014785941701452,0.2686954771592137,0.2363003539585292,-0.1776369202602852,-0.009775702883240395,-0.027692029698104047
FGOALS-f3-L,-0.013759237753191529,-0.04266470598821249,-0.034968685168709136,0.006300236487507872,-0.04591696960968303,-0.0593736928080662,0.22946509674495572,-0.19499450255406564,-0.08451517643127358,-0.30790187758061616,-0.2619984241467541,-0.1208385197655566,-0.19406152516114825,-0.01568939581525134,-0.17286836283681709,-0.007607274869340542,-0.01853296270841208,-0.02370262512577007,-0.03888889246612019,0.05968246745638499,0.12033019898730046,0.35929945992752127,0.08445207231325935,0.42931740091680887,0.1112894574562286,-0.06544917787542105,-0.1170049234804313,-0.014438136131302228,-0.009616693427452045,-0.028577599074545733,-0.03188379500381673,-0.049814289859093336,-0.02369348268753522,-0.006494498279063484,0.2210605801676403,-0.07603724053939014,0.06043000367825454,0.2983591235673668,-0.11245817166753477,-0.009560868098432882,-0.03089330606382119,-0.08356761262651154,0.02018927112935445,0.04653552055940497,-0.023677615881532117,-0.05075095487365842,0.001287726754044695,-0.05592476687834565,-0.1048926586962211,-0.015152770529895686,0.005256414477361676,-0.32392622049067166,-0.031200947340872743,0.31799026907990346,-0.22343013105334195,0.10797479476563175,0.09897316197255966,-0.04442500585223809
FGOALS-g3,0.011240012484409093,-0.12628934988308593,-0.02201366578597907,-0.23660799097877702,-0.294266111130629,-0.26303550558842,0.023910569726846825,-0.11906348303954704,-0.18847410012384141,-0.05882306074427062,-1.1470785280137978,-0.40426460234726513,-0.29660485763468464,0.011873656932341081,-0.31247280500902397,-0.040287204749212276,-0.20234458437202626,-0.2540401119127881,-0.14904847534404325,-0.042643222984333554,-0.002990404145079571,0.1156643729752708,-0.28801285834505275,0.3298670662823147,-0.3179651605492341,-0.12234471075577395,-0.29788671717733106,0.19545368737345,-0.06273700788600199,-0.11337474177678537,-0.15780589832140893,-0.09449974847400733,-0.09727325340528446,-0.03922626997266372,0.3341459298219824,-0.20734187403741608,0.04721642489755859,0.04674593972957145,-0.17750264657231535,0.06416571944665535,-0.1310629975765398,-0.06528285410792789,-0.07687614044336384,-0.06237109440656041,-0.013549718766547718,-0.02380999298415319,-0.014160632180961115,-0.09516763242583748,-0.3904453544156454,0.019925983205364386,-0.041187261195954096,-0.6744832094629785,-0.004966571782754232,0.3249356711698589,-0.2813311052104363,-0.30199959842576235,0.13804631152180669,-0.03825479001251283
GISS-E2-1-G,0.004616273728003834,-0.050721780260362476,-0.03435479970670941,0.08660313756951651,-0.04128735891705873,0.008154543535249338,0.2012485455007588,-0.08534167383263869,-0.14614533706782942,-0.2996392356168882,-0.22564466988193554,-0.10201110486945845,-0.18339732501134684,-0.07697318581445395,-0.17912661340121294,-0.0327970247444842,-0.012045056312316841,0.0279666496460382,-0.047323349256589646,0.06503771846003972,0.12611700676267706,0.41542852811816666,0.24417376372963753,0.2501549839034381,0.37060215919014194,0.04733074818091771,0.002313642504900682,0.04650310701451775,-0.015450866801148247,-0.05501723365366791,-0.024336937402795907,0.0027580067969964336,-0.03352142530486095,0.012113371867946454,0.2396137261461548,-0.026784669912123155,0.034136273442278896,0.2063050167905212,-0.19466813353008333,0.0014375485260274719,-0.06903873824852987,-0.02312905455842544,-0.03492218359874846,-0.013490158954852165,-0.035717089501480746,-0.06251961247573608,0.017542496151606014,-0.030942327763993617,-0.1941189796269235,0.004913515242537573,-0.0509978108169547,-0.25250798398201396,0.04625899627022043,0.0653535107935483,-0.08515089346647473,0.059868857798416705,0.05282425621538789,-0.0504225641897494
INM-CM4-8,0.008173217084299389,0.008727591070121093,-0.003325091148491211,-0.014104697874241698,-0.010571028959438634,0.010337802964635271,-0.06828648536798472,0.5118994562923893,0.1138154953514268,0.16319205849823887,-0.2516656501813389,-0.0066444460555808845,-0.2961652791011543,-0.026086350782826166,-0.15521382182390162,0.005578131754907483,-0.03982442256372133,0.025518248996058635,-0.0014817544029412444,0.15640314154792817,0.2902265073897921,0.9332263340454444,0.3890271692550716,0.4779114367697453,0.1476753703489496,-0.19154802123988018,-0.334809829675493,-0.2606589878030091,0.026039577641628012,-0.026595695581276668,-0.038840275879809635,-0.02742121439977732,0.12439591517385475,0.043797902650542404,0.05801794646057758,-0.07420511326206977,0.25457467854084737,-0.01245704550760579,-0.36066985153754083,0.2736348952055886,-0.0993899397097329,0.0024497208536265374,-0.05197329138905686,0.0017971094980277437,-0.009576448552370989,-0.08786638837554035,0.017172127818069684,-0.15316018066984455,-0.2030265961350993,-0.03645977474331617,0.08607854825788373,-0.10138652234709282,0.0347460384843709,0.1759315768143949,-1.2124582058055176,0.7510370502982304,0.05793757897140217,-0.02855698836976184
IPSL-CM6A-LR,-0.013976062372201151,-0.0006402782417465674,-0.03528797512835066,0.04099052026091711,-0.09996363909794526,-0.09416612117984617,0.2056469651685613,0.11265038927148281,0.14016386401948036,-0.08796949220577585,0.08385378976301112,-0.2893380753458544,-0.24074486991477728,0.006055835750447529,-0.16841504059636628,-0.014957300443770713,-0.04930328494452712,-0.0488073847719152,-0.059365865901063686,0.09373429767361853,0.1920137184951728,0.3559179043939003,0.20260586391485813,0.3768459498959295,0.03004818693016719,-0.02279216034070036,-0.14339682760783576,-0.07036466920595023,0.01647490165802432,-0.1078887629776923,-0.05978370820148535,-0.03307351125464903,0.012788252661788374,0.03874907333872225,0.1014891014909363,-0.003924949557168533,0.17285379265857342,0.17497770976038177,-0.2527722775428019,-0.01280332630703081,-0.1028304281794384,-0.06749286330805557,-0.005445000064598412,0.004965006560862819,-0.006603525362812446,-0.04079516126929992,0.0015285440425918293,0.0006905322121986505,-0.273602176457419,-0.04835825058773937,0.01835953862211826,-0.17867839440901925,-0.020248252659581793,0.04716317709600012,-0.3179615694730507,0.3174937671063405,0.13479961782947167,-0.03121354436561006
MIROC-ES2L,-0.04366233630225918,-0.017104938213835158,-0.01389565114764445,0.02904643156540567,0.08960745668569471,0.0687285233307809,0.18137108914026676,-0.17444263974898547,-0.23080311676786006,0.19726814284461236,-0.47677775680664586,-0.24427843913762715,-0.1758815702351609,-0.08641533265378519,-0.03294558548987601,-0.04836319063744313,0.0025085039486340633,-0.0002567528789702883,-0.061043310186548294,0.032683805143632595,0.15518581821825222,0.552081549513184,0.24786105068635073,0.1768508652570729,0.17008752845431288,0.08257242192633643,-0.11159099803183782,0.13056119067015226,0.007971793491744579,-0.03765813087681349,-0.057381597563263186,-0.028827844604670905,-0.1280861998057494,-0.114144906770177,0.12093236532326276,-0.17503362445391668,0.06330710212723405,-0.010851203666486793,-0.060257623153673834,0.1639280560837498,-0.041462909114631186,-0.02637987378574401,-0.032601347103201665,0.03378741149137039,-0.037236105016893735,-0.07029826745422765,-0.00042557568462149283,0.14050108217861224,-0.49574787808217063,-0.01728204877158648,-0.07651316466202868,-0.3743713971549687,-0.01431017577114693,-0.1877725038286114,-0.11393195888683778,0.26637464331494676,0.07900649996533975,-0.03834996050906414
MPI-ESM1-2-LR,-0.024637193549452558,-0.030854288337912674,-0.026388710122739016,0.03760759673171511,-0.08310688060581714,-0.05207435832944747,0.12360228326990552,0.1909350507354504,0.1984954503049293,-0.12452376387491895,0.07290325362163134,-0.13003596726512776,-0.43933906801941286,-0.020556647270666806,-0.3233658568549619,-0.0655612137346369,-0.010173472995129225,-0.019891281044962503,-0.0595066030930568,0.0830037369064341,0.32645436029955427,0.8929732920163949,0.45042277856825064,0.2988834034192432,0.03558764484288925,0.1302512534191672,-0.10391334906205171,-0.05796829095033965,0.03008031860215881,-0.07323805985587824,-0.03727395301855721,0.0038653637686030386,0.06027306977979751,0.03140702056744357,0.44019014720456834,-0.005190022769669332,0.14961862437518866,0.2935601611591912,-0.056540376419664876,0.3445291318995637,0.06707750144629468,0.27419068738497915,0.05679451668052889,0.01982338954030995,-0.008098269187213115,-0.023578050794121883,0.005715665414659697,-0.008285016035273568,-0.5296836986384011,-0.03160001433368811,0.05352431903103551,-0.147311334082092,0.0443088783727772,-0.027788446574728523,-0.05981929749569701,0.4880717127186914,0.07950031352211379,-0.029048982900977443
