,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,1.5734163515207056,1.6649174942728415,1.3200212231205966,1.8282929328495,2.2485876490185404,3.3355325138082312,1.6013263211143038,3.975365439041805,2.2544413800966385,5.483022817848022,3.6764940153206704,3.705659765258748,5.577683786321016,1.6782785379865501,3.116271084600093,2.2093901878962776,1.968329932667735,1.8722200153873307,1.2118697769692612,1.5544968359180187,0.3114584202354376,4.868421923449918,5.77917549059446,2.0788175616353084,2.914422265186976,2.250607356506866,3.6255295113519397,3.4412901115544927,0.913197991327455,1.1450937316135987,1.4181126540326185,1.7470463864563603,0.8807100406964983,0.5879768780750116,2.1955042177915205,4.261545920767888,0.13848752260240424,1.9376136071516827,8.934856943179673,5.417055714782871,1.6767452123219462,2.666978787182332,1.5724551555253659,3.35236768017137,0.7571627230595338,1.1536344526506628,0.7734255963268769,2.800862919860767,4.7326364423303255,3.241243290031154,2.3712882522040264,5.091153785074286,1.7354012076324534,1.3233379458569525,5.220600814357368,5.820128851156651,2.0733655594064953,2.7057361437084633
100,1.577858856005504,1.6561392251328273,1.3250796523089357,1.8423381687593299,2.222422410691547,3.3422059118868814,1.5571409284270588,4.056607148085263,2.2790809864285673,5.46391654554879,3.6994953807678863,3.696201161970962,5.618684028201656,1.67749631803809,3.1623057680956954,2.218691833444009,1.9966208023454128,1.8664440308126056,1.2238246735511755,1.5557764540626235,0.31074980963297805,4.863071077160469,5.748200944938233,2.0790857537537337,2.8863320778829507,2.240454073213808,3.643605942334188,3.4473831730451256,0.9308394061249704,1.124627874364126,1.4182331411259936,1.7653631715546168,0.8938868709688369,0.5950581037336979,2.185536101769161,4.296779059475431,0.14380294820903713,1.9867219762892967,8.885152202309682,5.5061155905160835,1.6464410997098748,2.711312266025352,1.58040824177527,3.3794110753889877,0.7591190104860233,1.1434923824419914,0.8084495221907563,2.8122525430185905,4.664704784062107,3.2328930740329134,2.3894779877841295,5.073310995185485,1.7457173759621252,1.316167920970981,5.263072998461898,5.9100971417609,2.0653860033452784,2.7042512734767397
200,1.5687297002019494,1.6497039408018743,1.313647771574323,1.839593525503922,2.2272616013892788,3.3178662934246503,1.5584420735537,3.961621190618801,2.2554681847449776,5.423908726421424,3.669716055081155,3.8416626350097283,5.580319600680919,1.6678598700636231,3.1083929840161986,2.2133687481278232,1.96981765196301,1.8558159304165762,1.1926369312195384,1.556990586858968,0.3015540741018632,4.791015239913631,5.7717968605556695,2.120270732152194,2.9683068053883703,2.288937694861446,3.6071961759050004,3.3743452571407144,0.9157536835012772,1.121747946940974,1.4244721810283405,1.7144740259763611,0.9116184533496784,0.5854390986161437,2.2104807443708028,4.272442991739062,0.1535708626471144,1.9506733024546001,8.930568198758182,5.518025144411292,1.6884012779699888,2.6814531251430997,1.595973589395386,3.3439623500181277,0.7443626348106556,1.1390951837478704,0.7682832875930647,2.7931965690960645,4.651270598119742,3.2459211518521127,2.3683262126781,5.132386907750494,1.753572585997527,1.3708029727981712,5.118607807877141,5.832538088947521,2.054503121654327,2.691359672910814
300,1.547418482682527,1.6457351915601546,1.3127548785648133,1.8391050539400233,2.2224517887061834,3.288661384764065,1.556894175581849,4.035913045178037,2.264433882537332,5.378315732538164,3.7327159356785793,3.8463599267659596,5.513740776525443,1.698812611694195,3.1076718734112196,2.2016884288439464,1.9680787386311684,1.86357999538221,1.2082083172412759,1.5529713570749675,0.31900026134398457,4.850287884785113,5.739431067814793,2.0537761463960034,2.9385700033265327,2.304928927693894,3.66421695614636,3.511553932777772,0.9041358177304234,1.1261658156016967,1.4055737073206673,1.7220315044951218,0.8830578470550844,0.5616976610511583,2.1495699224775686,4.293111383555619,0.14208247980407376,1.9168103708071613,8.812023853712244,5.436453858582523,1.6084465196999562,2.710894904575761,1.5702193291927702,3.3023259394297533,0.748236860673665,1.1370315751522193,0.7674796284901803,2.8047647360777512,4.632511196961951,3.2418697628942086,2.377199839291007,5.103108153523701,1.7680625279625402,1.2953492269012692,5.241089193511815,5.819277602904544,2.1048253123742375,2.6869747097609826
400,1.5663704550564874,1.6537618243755907,1.314647742030753,1.8516466626563515,2.242695579266288,3.300177472502659,1.5954901267731945,4.013927661516736,2.315437137556315,5.416549977418867,3.6691841013672986,3.848324726451422,5.557791620916231,1.6653163147506609,3.1284667068444714,2.209695349167691,1.9935241105568073,1.8686181585221862,1.2125788280703633,1.533034746101593,0.30854921618571146,4.847220098348832,5.754642196885159,2.1065735189074437,2.9495608996234752,2.3097824503768716,3.6541715173744747,3.433065639537729,0.9180193265617945,1.1355251481594808,1.4154023812781502,1.74101572284266,0.902010498778322,0.5766805812584227,2.1636729335117963,4.254961160434448,0.14876772022227008,1.917314264257461,8.88061494725268,5.412562211405496,1.5558804896973448,2.682308888068225,1.5687198250633874,3.371299032425043,0.7550502045505476,1.128403804853374,0.7812336071543889,2.8097201308923285,4.6819157746058115,3.2346422764645593,2.389639690923676,5.058139785842334,1.75129688081138,1.3424032668010972,5.071891053232778,5.841243823258876,2.08801268113882,2.686885721456979
500,1.5769867014085195,1.6515934246604616,1.3234562719358374,1.8440347093650205,2.2097649972948346,3.3286535391051775,1.5687823477963643,3.9030431438594175,2.249906384669545,5.363348075330978,3.6311213786365086,3.8718993736857312,5.550880353979236,1.6809980959484696,3.1067322214437962,2.2131419632790617,2.000147580318331,1.8208284381207998,1.1940632967647034,1.5462982546357473,0.2941499004333721,4.823483525245266,5.748778705173354,2.080302971458399,2.9029277921506607,2.2621640843658577,3.6370600994232913,3.394297522679861,0.9196990549235152,1.126541691479028,1.4217873028398118,1.7301971797082791,0.9062668328356731,0.5787727197775773,2.2010521898929545,4.319433814706507,0.14568016713399806,1.9865344270694638,8.861417727181465,5.543896683222815,1.7261644898776036,2.7545995863685233,1.58824298433472,3.3351359843649937,0.7453808804853304,1.135807007288155,0.8029852672272724,2.810910743831057,4.695386319558056,3.2319189180270858,2.371061688485175,5.101988064714827,1.7627696256890293,1.3163614406186377,5.358891879977932,5.755408274690585,2.0675036857235347,2.6888361152113207
600,1.5660175843122313,1.6375802502043597,1.3173797087678365,1.8588757477141293,2.233216113335094,3.324848283240102,1.5602858367808552,4.004767428837547,2.273423089483353,5.390107903678814,3.706971460338711,3.9055982457049194,5.611429418230524,1.704160253143314,3.100562071280445,2.2203445180986376,1.9794655161443784,1.830666892593008,1.218729931606174,1.5362738340566024,0.3113689905659945,4.790357899297572,5.723406487583227,2.0781785406865616,2.9280132793926885,2.2813222217262696,3.609442961999295,3.463393786019676,0.9164002832665707,1.1440295817602824,1.405570349162242,1.721195157110597,0.8985942384643087,0.591904528952284,2.188358090481991,4.240591146473423,0.14324051892766865,1.962266616564613,8.835961286621052,5.415734365928164,1.6686645574387495,2.6603404625914955,1.5644808338612974,3.3247751131864187,0.7473280976365247,1.1379576969713683,0.7810810006024539,2.8025934795724927,4.661008211647135,3.236751718771728,2.350763295308687,5.0964322592378,1.760353328107278,1.3310979753655612,5.207958411397483,5.898972920829114,2.0867318420478247,2.688275599935542
700,1.562536652879607,1.6447426161729308,1.3099348736891618,1.8414503491689496,2.206692754828993,3.286106080375285,1.5406401252316255,4.085470243309008,2.316244200586971,5.34497728374977,3.7139936989481233,3.907509282614446,5.5601385002469845,1.6881472295119562,3.0986424657060834,2.2084096715124586,1.9763302148372335,1.8344222633383473,1.1832459339840404,1.565181608448387,0.28921552706810855,4.87770544127197,5.716646100387728,2.0288643060171556,2.8665435722293346,2.311428357504279,3.6421289284213323,3.39432927399656,0.9069586019218381,1.1525843520353944,1.419961393725049,1.7116569069477203,0.8661569785797073,0.5651113494281217,2.191194849880289,4.322374442979359,0.13865090998730376,1.975734808303052,8.824911650839192,5.696013647135674,1.7261863093168202,2.7077894283596944,1.5892402705471127,3.3574357164313464,0.7489548539410041,1.1403469543820381,0.789319001750718,2.793766241427284,4.621055665295035,3.2146687380714702,2.3779468078279917,5.145691188885315,1.7660656614741554,1.2352434025359755,5.346520357105037,5.780350458691085,2.129889123409642,2.688505940141186
800,1.5810973274736302,1.6453214226752546,1.3081955349986374,1.845209933962884,2.241426617066894,3.3113640107737625,1.5973725564640604,3.959043664572007,2.2733675838268064,5.30389160657321,3.6515511336986832,3.8421913725122097,5.5957431676290215,1.6869498094439,3.126023136928465,2.204065301065328,1.9878503291242735,1.8570707687610528,1.219002391893807,1.5534241843526388,0.3052294569325934,4.87524701499097,5.739258144334399,2.072102323816005,2.898329678741887,2.2607129503375205,3.60493929662778,3.4532524566618625,0.9134635015936399,1.138820115869222,1.4097637643095535,1.7435410645780858,0.908069118270478,0.5861783893126365,2.1705331563765555,4.3105699190593105,0.15139150764987808,1.965789932248532,8.812763229127617,5.539932501435915,1.686656202482844,2.669806047113543,1.5680468434162336,3.3493885944738553,0.7460898608318776,1.1449346661668054,0.7946820087954577,2.8069800317135325,4.664689840399197,3.241289199772071,2.3670354832104876,5.093236513353876,1.7585703847743954,1.3444433466571761,5.239570218099371,5.836343800738424,2.080189270517182,2.6883465370238366
900,1.547524914444905,1.63397182033095,1.3052619786119146,1.8652714216582058,2.2146292527501115,3.3721624939077546,1.6032093320928065,3.9235526480435667,2.1977225312828903,5.446261681263645,3.765519604989633,3.741136485503734,5.550646685440919,1.717799935117708,3.1341369104369887,2.2055777909031056,1.9841837154014625,1.821787885775319,1.1915126244253778,1.535962738563586,0.292547359071757,4.792931072498217,5.627481890355702,2.062042769836427,2.961607725020739,2.208806126395342,3.680858252163861,3.5201404082227437,0.9048466093450861,1.13118064269398,1.3931497593233866,1.7252985156053315,0.8801298894698779,0.5843935847295844,2.188185420640907,4.269695296076045,0.14258738336703033,1.9187090112626441,8.855492292773077,5.548473356018372,1.6147598678735664,2.719722131360141,1.558511008512817,3.343021983957352,0.7486881706505499,1.1362432322080793,0.7700401669369918,2.830070894450257,4.623293987227656,3.2335198950323942,2.325704389995518,5.119180531715574,1.74620119853504,1.2817281167962857,5.118711364577671,5.810023459912131,2.0899176059113316,2.6809768017549787
