,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,1.1530483910966112,1.7022550801050846,1.4329955940989854,1.6762861540743363,2.1052647244914486,2.8705794388896333,1.5774552752425544,2.834494296957071,2.338663890598869,5.720567514195049,3.584723461888047,3.7279649547742957,5.450672166194506,2.0401933965366217,2.961028265127918,3.029614407576577,1.8247819225642588,1.804290024342743,1.2144713020884172,1.38064235769039,0.3201951193584686,4.225011088289482,5.661320871975705,2.3510410068583742,2.9698288069221506,2.9245796846673895,3.428035401577497,3.0529256074151987,0.9593375352291325,1.102303087947657,1.420742568627409,1.5488623498451557,0.8402392458303911,0.5536682206650235,2.0071187979111182,3.456966447650086,0.10345193443269789,1.8748186826811064,7.685160331615645,3.040130798330437,1.5660235382874237,2.2852263651925537,1.193738512106377,3.872569575379135,0.3406842401988098,1.0182201297278137,1.5297078916955076,1.1994165182113647,6.510801315307617,3.047689437866211,3.3408949375152592,,,,,3.990785837173462,,3.849583625793457
100,1.1668910651645354,1.694679809077213,1.430909359781273,1.690028144795659,2.073688943881322,2.8793900427575814,1.5248242337114721,2.8776801006241532,2.351066251313929,5.715974464171486,3.615040760893308,3.725451340233972,5.507785920295297,2.0266701013204327,3.0094535147356316,3.0421658912432,1.8367864824055549,1.7994318384833967,1.2291961935262699,1.3789541379565307,0.31894436566084133,4.218237911080189,5.638533503883824,2.357291479787144,2.949536099427556,2.927329347095561,3.443468793547177,3.068125541921683,0.9745149464214843,1.0838424151926256,1.4195551560112207,1.5643783453750157,0.8526842584178337,0.5613344664133496,2.0019912824731763,3.4857415266042358,0.10559026429317471,1.9249982337439484,7.623875482694778,3.053086822684886,1.5405688062659182,2.3060925348207095,1.213975702882763,3.9091068087148715,0.33965783466608523,0.9999852578330716,1.6705982645161055,1.228200078010559,6.071744441986084,3.2477805614471436,3.3542308807373047,,,,,4.034322738647461,,3.827725410461426
200,1.1494830564683283,1.6888144142664254,1.4197313498391173,1.6889234593288465,2.0843143859349476,2.8652760187689332,1.529886032541773,2.8110897683052403,2.335357366079752,5.662654633640848,3.5786462853326593,3.8576003494022557,5.476006362911108,2.0107375696699847,2.9423834229560497,3.0445498712773307,1.8200235715690414,1.788708077468479,1.2000416175074202,1.3821560529478643,0.3081046440762548,4.127989073267685,5.65176085747815,2.3914855666832207,3.0078522394956524,2.9605661089483166,3.4169314072959507,3.0195827475899817,0.9634287382453104,1.0789164108596705,1.4251503074112655,1.5225565949631288,0.8719751756373547,0.550708087387642,2.0190336452109943,3.457725400773514,0.1140479058615682,1.8847850908362853,7.701268553143946,3.035951881391874,1.5812316440494723,2.302709223063903,1.222010409259298,3.866626157592761,0.3351790763749436,1.0005801825855516,1.5425206864743404,1.1980936527252197,6.290775299072266,3.174698829650879,3.359100580215454,,,,,4.005046367645264,,3.84140944480896
300,1.1286264387211296,1.6844451264500546,1.4159149215784315,1.6808842191938098,2.0862637701708526,2.8180128579973616,1.5466412449997107,2.882071654342046,2.3756251433696205,5.684846584627328,3.6559989091693588,3.8612841190655782,5.402814750532537,2.047664198425017,2.9432165832476898,3.0371460608981806,1.8233873982497821,1.796394409689317,1.2145044252606276,1.377357546988036,0.32764891053416556,4.210396012893096,5.626128231796507,2.3280230980771957,2.9888388808295594,3.002396681403235,3.448187593338044,3.1098886160210375,0.9464640444302963,1.0849381658609767,1.40761715693795,1.5158042735379722,0.8419692633387337,0.5312999989735694,1.9598474986160264,3.4443002567639565,0.10721250622856357,1.8475829275610247,7.560864577135006,2.9963075802287866,1.508814083968542,2.3244254622036835,1.2006402973029977,3.8078753836871035,0.3365645212740051,1.0019187554879179,1.5626475511836797,1.206733763217926,5.941439151763916,3.226421594619751,3.3377010822296143,,,,,4.009453296661377,,3.837768316268921
400,1.1529453686357338,1.6953131024887627,1.4173341124966452,1.6979598659754955,2.1012277566996693,2.8405845331227106,1.5691395586627586,2.8591030237495767,2.431372878455168,5.660375535674543,3.5790331788871876,3.86671232697743,5.4527357045637315,2.008396706743043,2.954385370095543,3.044002588863442,1.8486600113797143,1.7998345401856362,1.2175282894112698,1.359786145713919,0.315920807149668,4.203792974806259,5.6452356937188775,2.378689831712185,2.989910536666766,3.0160801136088313,3.4566734399367665,3.0513517489029196,0.9624137328556965,1.0946744016481493,1.417158746546214,1.5307632080734175,0.8611344815866017,0.5409437087263775,1.9793982225323112,3.431307032773475,0.11154526496230403,1.8553411305852026,7.62046643217545,2.921172401815108,1.4457210754164462,2.273675643179312,1.1548661986414206,3.877406812513656,0.34028505306617207,0.9806175932883648,1.5957990992952686,1.183794617652893,6.359065055847168,3.3117220401763916,3.360599279403687,,,,,4.000208377838135,,3.8442409038543706
500,1.1579130442646306,1.694437591541118,1.4273139867439237,1.6855276305842417,2.070273217575503,2.8715633833387417,1.54935273883884,2.761890797836138,2.367120234726181,5.630661169298676,3.548828771264923,3.888356497546813,5.442417907782227,2.035314013894861,2.944123266672089,3.0485654998472467,1.8419835996014569,1.7557927559770006,1.201364076394193,1.3608909022868125,0.3003754008511968,4.158969615803527,5.632124117253448,2.3519079477805755,2.9670278840555357,2.9533997919691664,3.4548000650664026,3.069365376331367,0.962063866659109,1.083382090529643,1.4236347197050105,1.5280595120049512,0.8681849307100161,0.5485630742807622,2.0073057036794357,3.4954387375371914,0.1049216858713206,1.9176034402634194,7.629213915083396,3.0680308092969963,1.6145997910437604,2.3688485440869598,1.2245543026718937,3.8448376154571093,0.3370515060455074,0.9922247652153631,1.6774517571814866,1.1946848034858704,6.222382068634033,3.2863354682922363,3.386762142181396,,,,,4.02498197555542,,3.8236560821533203
600,1.1478019191913644,1.6800753588226343,1.4189292137270737,1.6958090869606128,2.0934760689192804,2.8691486071326526,1.5459373633432336,2.8466135091993405,2.3755448856377797,5.669495780791161,3.618434730553647,3.9151543201903256,5.506424940804928,2.056999737542021,2.9459339722412565,3.0667910002333234,1.8332260359063173,1.7626892708801805,1.2251872891901046,1.3640798043068834,0.3185383573883165,4.138191286148056,5.615834084714479,2.3515913799747747,2.9854868677883655,2.9672110397116067,3.419120250455428,3.0732545031503817,0.9579468823527805,1.103766462746805,1.4083505269332481,1.5260582701812953,0.8588234222491355,0.5547725806192089,2.005969371561061,3.427124260708963,0.10713314385214871,1.8972790697298603,7.548657397991017,3.0075901832458984,1.5570765663345243,2.2788200644093686,1.1835315036382776,3.836592549781529,0.33867113277353167,1.000666347685647,1.5825721462275097,1.211813747882843,6.142227649688721,3.1382896900177,3.3503336906433105,,,,,3.9962351322174072,,3.805341482162475
700,1.1428252295157584,1.6882656634130355,1.4160522126556416,1.6816701099614733,2.070059770296222,2.8389983848806835,1.5222025097539036,2.9012991376053283,2.4145974813034723,5.642318692794632,3.6364787786273616,3.9090994729280766,5.457485712359304,2.036596320302996,2.9248385273229656,3.04349187252821,1.8173443217951324,1.7669725151062405,1.1899113221332949,1.3775983391379045,0.2949979406647213,4.20952765624482,5.601898288150123,2.305814775078959,2.9326356538920035,3.007442998190085,3.444013169785819,3.063056553732561,0.9499576579398905,1.109115929892495,1.4231667854806818,1.5157575609309908,0.827787948539962,0.5340178618246838,1.9946630825578313,3.4883162607330185,0.10336180385615,1.9112010418992644,7.590780141065973,3.17303979471508,1.6066621349422396,2.306036136566556,1.2252679159315853,3.8887128943576506,0.338403861360678,0.996417741694819,1.639951892069297,1.180055558681488,5.72150182723999,3.594162702560425,3.2808156013488774,,,,,3.857116460800171,,3.850937128067017
800,1.1472061199063328,1.685178394012673,1.4125891029429056,1.6876360089855245,2.1027900663429575,2.8546022977586207,1.5819928184235992,2.8202064617756215,2.382368101331284,5.594103307901402,3.5683859887841045,3.8482677424748,5.489135304719498,2.0332598415097545,2.975752211949944,3.028262716532113,1.8328963499167652,1.78859879314817,1.2244938155358045,1.3692579983209008,0.312355290632872,4.222700655280715,5.629284781959289,2.3443427342658083,2.95238584576696,2.933371373103799,3.403739545017046,3.0826459255878147,0.9562579442211507,1.0988891855552252,1.412136805409686,1.5474426609990546,0.8702742505285469,0.549418332241948,1.9889013136371025,3.484874417699729,0.11008064854806185,1.903981623974642,7.611033643504523,3.0687533585601106,1.5704423332565884,2.2773248046767853,1.192997118285711,3.8806170386838255,0.3361257317123107,1.0053338826978047,1.6296595297731833,1.1905443668365479,6.26837158203125,3.263716459274292,3.3797359466552734,,,,,4.136045932769775,,3.8119068145751953
900,1.1213278396928645,1.677578946197605,1.4166712890731186,1.7130623517688512,2.0718617782885578,2.902355139178209,1.5775510715194299,2.7873481344562268,2.304176794617002,5.740074593861383,3.673502776791903,3.773571706410193,5.444532454222106,2.0553725158806166,2.972848518059818,3.038383676128975,1.8354834395276156,1.7526714383396391,1.1962958730075182,1.3579114651280713,0.29886427183958797,4.127402694276213,5.527910032010627,2.330156512758314,3.015348199490282,2.895280554292969,3.4861089498689175,3.1303438924791296,0.9466687604300714,1.0909356021054546,1.3960664196948047,1.5167005232894955,0.8403658538961,0.550963938381109,1.997185380944329,3.458154108170616,0.10526781933322173,1.8598773898839618,7.61529261055629,3.1028862423550834,1.5067813261988487,2.3012914091469288,1.170329968318637,3.836345875737338,0.33793474832424814,0.9997418570803753,1.5261622150409522,1.1916687488555908,5.959501266479492,3.264387369155884,3.3607254028320312,,,,,3.879565954208374,,3.7920212745666504
