,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.7772897588328924,1.477971187371839,1.1723374182482162,1.456587843166261,2.2621263583254367,2.2771889181963534,1.773765530749955,1.6438072845612879,1.2430434026100556,5.303631577345755,3.309758046961734,2.652353131052253,4.457387748446832,2.414445686930046,2.3706592942628433,2.925862786734306,1.4529036755595257,1.579571728710288,1.1610897796662722,0.6277788242569979,0.23315279863607333,4.204576136555139,5.246844668187566,2.586474839585294,3.0436859596026844,2.771335702935158,3.414777312698511,2.010303194256757,0.7018610281411565,0.971482330432301,1.002021984620907,1.325234636033079,0.4171724630788962,0.9825267458812542,1.5777830834792743,3.5687900529853396,0.7784293959414242,2.347438417617373,6.823848650567025,2.9605523159762215,1.2729210061894676,1.4382033839027064,0.696732463338037,2.946482875697085,0.3961060589056346,0.9888788821265244,0.490418150889127,,7.399518803159509,,,,,,,,,
100,0.7569937378209531,1.4300436157415037,1.1550994506675507,1.4630580640935416,2.2382572085340002,2.282123120803673,1.8640507315933526,1.7401316754265332,1.4214863142569811,5.158660638742519,3.2344200884461074,2.62762154141009,4.430812714280018,2.415796962557959,2.3387429948834804,2.9583926012479442,1.3955693208510307,1.6098428359835097,1.1694481334008766,0.6459423635033825,0.2160170549955524,4.058667213197925,5.118488137923629,2.544520710317692,3.012479598536434,2.7692628769997523,3.3851950258630037,2.0680829721358567,0.6683686882054979,0.9569447406933927,0.9780184058863604,1.2834301693452757,0.42254999520807335,0.9557989425213365,1.5963563268676255,3.4920857096129234,0.7330945493396392,2.2983532876737622,6.693289036008902,2.858684417992999,1.1682896726065195,1.3814343393410362,0.6877408797707348,2.9332365838431627,0.39280397391010824,0.9595794369283156,0.45287372572033746,,7.449458455263712,,,,,,,,,
200,0.7672879599493316,1.426485106764495,1.1625005072748948,1.4968956446731987,2.2257615994848994,2.277758347621434,1.8757774940815664,1.7831124654604142,1.5380243382878689,5.275313727752701,3.348010570459199,2.5625597560666713,4.383007033994476,2.383547332244225,2.312155956012081,2.899290778998646,1.4039238647178556,1.6217391601169389,1.1583282270365138,0.6713668957652885,0.21967151507571633,4.110163376109655,5.119834639105174,2.5135418567183025,2.963925021156313,2.7898422051067158,3.3721620530375027,2.0427947523683163,0.6695843593880534,0.9486009144635649,0.9784427222542598,1.2626428616746086,0.42374785979791585,0.9761442756668731,1.5469114108828477,3.4589299020117754,0.7029499461671503,2.2115240938339173,6.679598824604676,2.9356848362065113,1.2077963142029198,1.4013986360631638,0.6795109555106771,2.9206939377938523,0.3881835987436487,0.9632567631209727,0.4636059856011343,,7.388350338744325,,,,,,,,,
300,0.7891129788351097,1.4198320625562812,1.1529125235723856,1.5095502236181164,2.210206867177481,2.291063243077227,1.836082625852053,1.8849384074885778,1.5499719268063927,5.261329968756838,3.281014622875386,2.548586242852727,4.381109420538501,2.4088380107391694,2.338331855321861,2.924091673762223,1.4197878235735863,1.6101834727659696,1.1728533906631367,0.6725349446833019,0.2371120513194576,4.152906222228786,5.145172450689742,2.5187220849832856,2.994720393540492,2.7963377571932573,3.3925104650767226,2.0560601197729134,0.6718987014585149,0.9709985713634678,0.9865495550562412,1.2779446926454567,0.43093410109598984,0.9798027178794882,1.553041024709352,3.492728321012116,0.7280800726598899,2.2594634132865776,6.683535077102466,2.9413305699690153,1.1913745598443168,1.3598445376609962,0.6823052308198682,2.929533292810267,0.3847943865763941,0.9636482399141406,0.4821745243077657,,7.39794121811164,,,,,,,,,
400,0.7998197413223048,1.4128263531368048,1.1553528234861645,1.5191381271716846,2.2265619414678945,2.294161559570073,1.8345968234924486,1.8400211283765266,1.4701473446621094,5.282333810752711,3.4016680335128946,2.6107017866555213,4.385036212101658,2.427377104112536,2.310009135806399,2.957438409954427,1.447025280333595,1.6033941656804356,1.1781822333553653,0.6654012947427866,0.21915319278844195,4.129157242449951,5.1961201384713105,2.571021107936032,3.015780937322593,2.7907322434309556,3.4241295138415904,2.126712561588319,0.67771786202224,0.9718446384882621,0.9898785101010903,1.2864139293947348,0.4475452956891037,0.9869188568285195,1.603383874987631,3.6211288603675014,0.8061294756252341,2.354117722906012,6.822814045419848,2.919206225930409,1.1524745912554504,1.4051012838660586,0.6798330224263406,2.920231244366191,0.3922467494796196,0.9495510657539177,0.47845768946785944,,7.465471548824879,,,,,,,,,
500,0.7795188225357228,1.420431165873963,1.160835860655893,1.51274245853456,2.2222671591261944,2.2964052954503718,1.8340082854532633,1.7912714408986676,1.3988798855280038,5.2050398067246135,3.3711442153058613,2.7369127132535565,4.474809310741628,2.4122164168496267,2.3670174380543014,2.9724868247041103,1.448167056791946,1.6040879652637037,1.1631634851473005,0.6666007936329696,0.23250969352310732,4.21238986102199,5.3074451942946155,2.583733980133086,2.993057693104719,2.782880196993974,3.467959557881509,2.2903160523361796,0.691207426537048,0.9489026569327625,0.9888749653042733,1.289873653954399,0.4398957499159919,1.0132626154937272,1.5397975859747084,3.773400240347908,0.8252013999092178,2.346990205501304,6.853681004397704,3.0645134690219384,1.205038191259638,1.447336316959897,0.702487926955131,2.9430555026729706,0.3882920389184485,0.9393327457412333,0.47748516180945444,,7.498960645157833,,,,,,,,,
600,0.7702734536996962,1.4200500487332672,1.1657382556195865,1.5155924541613246,2.2391771069262254,2.317770016252575,1.8379639933932246,1.7668613578745471,1.3514228839994757,5.284433905285813,3.512669056949379,2.7536746354871253,4.522803903637861,2.4303261100254883,2.369729930851906,2.987410075268825,1.4399856749002427,1.58032643720045,1.150344107417956,0.6619908360488624,0.22595335903816252,4.1710000777650365,5.30355654184537,2.564122185172165,2.9698090021239496,2.763303511082275,3.507373593011725,2.197309638091668,0.6830608083328114,0.9504580048822245,0.9882881953183328,1.285889175476747,0.4479465147006437,1.0280413388502323,1.5884887784130812,3.7429802939843784,0.8457510509053968,2.357757867037093,6.854203179804618,3.0568066729755623,1.2090258144711954,1.4465342993320456,0.7173924523861996,2.936425512991661,0.39199213635497954,0.9531041358472613,0.49110565214505186,,7.444187981027435,,,,,,,,,
700,0.7492996382014995,1.4195348970841015,1.1582823708183885,1.4980203182039977,2.21179876777656,2.3177295120170442,1.850415521784116,1.7241000362115306,1.3648607364302734,5.22905961607727,3.474559069473742,2.825486563026663,4.464504978168375,2.4381870888413277,2.3677797103113236,2.9799675379204316,1.4175284685554794,1.5806966431885114,1.146198077393695,0.6581325612449833,0.241169856721999,4.181422731240569,5.272631963221123,2.5720329922162812,2.89758223897153,2.7470356361328863,3.4945420649165797,2.271301971993533,0.6760681172331953,0.9423494780428386,0.9804144827939677,1.266881432651628,0.43797670420268114,0.9957894623483139,1.5698937005728801,3.7466742705161495,0.8281051109229673,2.36378705253896,6.85504775927334,2.9491952607490193,1.16701858589163,1.4214947252869619,0.7074597717386999,2.983725466125688,0.3938580584829141,0.9547788570032546,0.4795952051495079,,7.509286675197184,,,,,,,,,
800,0.7655412260684854,1.4252319456764002,1.1632344475679024,1.4745331242917976,2.214005425405697,2.30192825357606,1.8736953381003814,1.7443918953865776,1.3660704439644178,5.324654806955705,3.526599214033073,2.717382528588205,4.460409054713821,2.4453510559656793,2.35321831794432,2.9856833950019275,1.42106011287516,1.5524079783768319,1.136687750825769,0.6652432559147545,0.21724431954516,4.142367200927119,5.272248390797254,2.532864609182565,2.9473838702130117,2.761903825480515,3.5005697374451206,2.1686454392395675,0.6863218352209696,0.9383974290190794,0.9880280695860141,1.2647406539968722,0.4489549436863471,1.0295204474639974,1.5622542507537207,3.746915331728451,0.83735373093903,2.3939821945268687,6.855095769102032,3.125243489654105,1.205314798560399,1.4792213818367403,0.6934702479206045,2.936124978141153,0.39135671200821126,0.953688138864841,0.48383977144794693,,7.482005214009937,,,,,,,,,
900,0.7679560814679176,1.4181443113707015,1.1609733094917813,1.524921621878486,2.235363363038686,2.3186398078982626,1.8592421876798337,1.7991713870141435,1.4367787855462666,5.2870995052860215,3.4743546734082025,2.7857876365178056,4.466177932269051,2.445706209276079,2.356855305102404,2.9652263062039412,1.411556756983892,1.5729126649744707,1.1538277356345796,0.6613700999589842,0.22636798081847517,4.191026037090952,5.291758937280709,2.5414128138169785,2.925200554369788,2.7375853350051824,3.500537994835356,2.2407102856433756,0.6842528412821395,0.9419653199985126,0.9848829719231158,1.2847025195878718,0.4533497518129472,1.0080713156624428,1.558312189027679,3.7277223569156623,0.8330365805863776,2.3333793212683385,6.805302400033888,2.9870763244842955,1.1681809609357734,1.4736832960273527,0.7086240286917095,2.9307414760517307,0.3916390876726985,0.9490708923440994,0.4850178243032133,,7.470467028329268,,,,,,,,,
