,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.018314255,-0.06359505,-0.00484024,0.1375586,-0.14237769,-0.14012556,-0.22540706,0.18995278,0.2753422,-0.22546862,0.41589028,-0.6915154,-0.3013306,0.12832716,-0.21707134,0.053135492,-0.018599143,-0.07939548,-0.011065437,-0.035010897,0.0047044684,-0.048361108,-0.6443978,-0.04023794,0.10926523,-0.2396219,-0.35605538,-0.22714254,-0.032013685,-0.042013824,-0.020258497,-0.16253236,-0.24172169,-0.047124043,-0.21414521,-0.122575566,-0.036806833,0.00490355,-0.008222214,-0.5421005,-0.052003633,0.22757591,0.11465204,0.087345414,0.0069045196,0.040317483,-0.12408625,,-2.6772926,0.25914717,-0.12882252,,,,,,,-0.10544006
CESM2,0.044704355,-0.016515031,-0.032568783,0.12532829,-0.058179174,-0.07063394,-0.07347049,0.25101855,0.11106789,-0.3007311,0.4585582,-0.8134002,-0.9882639,-0.00075243955,-0.40676984,0.06663007,0.04082763,-0.04453532,0.011109298,0.012233133,-0.0017792981,-0.053236492,-0.4466243,-0.26855665,-0.8374644,-0.14796643,-0.57044524,0.22969544,-0.009389922,0.03052451,0.005694648,-0.02934191,-0.2028715,-0.040484942,-0.24911052,-0.22468942,-0.022693433,-0.115473524,-0.14712092,0.04429931,-0.10924737,-0.20042665,-0.058496922,0.1287796,0.009065916,-0.012913111,0.038445607,,-1.0522819,0.6632703,-0.25707218,,,,,,,-0.009357073
EC-Earth3-LR,0.11555662,-0.029547317,-0.016840978,0.059510317,-0.009053579,-0.033453602,0.0013413349,0.06928576,0.19681008,-0.7208068,0.14958899,0.09859001,-0.5244919,-0.08165448,-0.37394634,0.024234053,-0.007347229,-0.021541059,0.042226147,0.07622015,0.0030369204,-0.014454039,-0.20064956,-0.015044366,-0.124998316,0.17079909,-0.32725093,-0.5881352,-0.0050253896,0.046328574,-0.0066394066,-0.031977393,-0.08063922,-0.019545242,-0.12417813,-0.13977568,2.6538626e-05,-0.0758732,-0.26165676,-0.13183022,-0.1446861,0.19618335,0.040765353,-0.090006754,0.012140662,-0.0064584045,0.13972028,,-0.1724985,0.57014567,-0.2711901,,,,,,,-0.08583099
FGOALS-f3-L,-0.016016552,-0.035462134,-0.043734226,0.019274961,0.0030216954,-0.05713048,0.32761267,0.10098188,0.3141436,-0.69166875,-0.30938318,-0.2301996,-0.61916244,0.083556205,-0.27866125,0.036152672,0.031038271,-0.005581728,-0.018617429,0.05662554,0.015286527,-0.06905368,-0.5180573,0.006584942,-0.49674308,-0.3313854,-0.5171306,-0.5375583,-0.03938497,0.004108812,-0.034965932,-0.086908124,-0.18176,-0.019781368,-0.19318706,-0.07955526,-0.057541784,-0.07822639,-0.23664065,-0.30748752,-0.115419164,-0.24926387,-0.022567295,0.18224569,0.006664982,0.03144795,-0.008055055,,0.2516303,0.04403631,-0.047549084,,,,,,,0.015852928
FGOALS-g3,0.024813853,-0.017794939,-0.007927266,-0.13978656,-0.026904913,-0.11518921,0.20978317,-0.11990034,-0.11296749,-1.2589912,-1.2772803,-0.70085377,-0.67662346,0.02729487,-0.6768178,-0.07790642,-0.036692116,-0.048462298,-0.010544385,0.02711189,0.0040696976,-0.10529966,-0.9583907,-0.19008845,-1.1147748,-0.6654931,-1.1905965,-0.1717382,-0.03407441,-0.011462118,-0.02769606,-0.04130648,-0.21232519,-0.023612987,-0.23496284,-0.10371719,-0.0836611,-0.14502765,0.053767193,0.10342493,-0.2387302,-0.24607316,-0.07816091,-0.097223155,0.006262175,0.0035458677,-0.02602598,,1.7786582,0.39618963,0.022872135,,,,,,,-0.11020334
GISS-E2-1-G,0.018879017,-0.03929791,-0.05461431,0.14299655,-0.04471339,-0.13376878,0.2973668,0.12845705,0.19856484,-1.0800407,-0.43958512,0.037261084,-0.5313686,-0.049656097,-0.3484496,0.041473433,-0.007269094,-0.05784379,-0.043500487,0.04406967,0.008542751,-0.09703355,-0.3392591,-0.15839635,-0.14867191,-0.1129301,-0.25293306,-0.16075061,-0.039805725,-0.045980766,-0.052198227,-0.065080516,-0.20243013,-0.03662876,-0.09397391,-0.1583547,-0.060589936,-0.07133406,-0.1252435,-0.40499723,-0.23251472,-0.18976337,-0.012633076,0.022293285,-0.010054523,-0.0081965905,0.063347735,,0.37337825,0.17989677,-0.07327624,,,,,,,-0.044379383
INM-CM4-8,0.022540882,0.0069146845,-0.054066796,-0.106752664,-0.0905855,-0.11749659,0.02945318,0.06353456,-0.17019768,-0.85692674,-0.2747268,-0.16488764,-0.7012185,-0.34794843,-0.3995918,0.0143738715,0.005563017,-0.012133492,-0.022020208,0.061094046,0.006398349,-0.11732277,-0.14099221,-0.26372546,-0.313523,-0.9127903,-1.3314543,-0.8387868,-0.013100793,-0.045165706,-0.03841727,-0.09633501,-0.06012049,-0.044838168,-0.0009688401,-0.21324567,-0.009907473,0.061795887,-0.5035544,-0.43983468,-0.17243937,-0.2963325,0.019827839,0.06519619,0.002921327,-0.007900747,0.037042234,,0.7134329,0.06443506,-0.03828079,,,,,,,-0.06223537
IPSL-CM6A-LR,-0.042489715,0.018325973,-0.049881913,-0.046513814,-0.11202716,-0.15126714,-0.033209726,-0.010894994,0.0850315,-0.3703267,-0.059586775,-0.4121656,-0.44881377,-0.11570844,-0.47395977,0.035560273,-0.021569913,-0.038126808,-0.009130493,-0.027099462,-0.00021685344,-0.14323302,-0.42707708,-0.22932988,-0.59178245,-0.17954454,-0.51403844,-0.56863594,-0.035045628,-0.026502104,-0.034194488,-0.122157246,-0.18619072,-0.018382791,-0.13535936,-0.068593346,-0.03341918,-0.015828097,-0.49043924,-0.84662527,-0.35119835,-0.28461328,0.0097537665,0.03202533,0.0044294563,0.00083421246,-0.042314608,,-0.5964222,0.2170283,-0.06982857,,,,,,,-0.009733329
MIROC-ES2L,-0.030825427,0.043190826,-0.04008898,-0.027919825,-0.049392387,-0.07030965,0.059969213,-0.011917201,-0.06948909,-0.078039356,-0.38608456,-0.8159232,-1.0231518,-0.03499182,-0.23460373,-0.012452157,-0.05603169,0.0086627165,-0.06753299,0.04934745,-0.008905907,-0.12624697,-0.7129654,-0.528142,-0.33211887,0.004905277,-0.44872025,0.028871225,-0.039137967,-0.049069013,-0.060915485,-0.101451315,-0.34886855,-0.12620874,-0.20970903,-0.24000725,-0.070910454,-0.13265343,0.03135005,-0.93806785,-0.3097174,-0.46049678,0.016333591,-0.0211692,-0.009980368,0.007965204,0.017188879,,-1.1022651,-0.051260658,-0.013647904,,,,,,,-0.017161557
MPI-ESM1-2-LR,-0.035699997,-0.025545554,-0.046332095,0.0570136,-0.07236879,-0.07647333,-0.022045836,0.04967665,0.17999075,-0.59885085,-0.29307032,-0.4364066,-1.1613245,0.021038275,-0.5157096,-0.037643924,-0.05929523,-0.082237504,-0.0743336,0.064540215,0.007820219,-0.047772035,-0.24721429,-0.037972756,-0.11213726,0.11130895,-0.46127406,-0.33417845,-0.030510757,-0.072531946,-0.051940452,-0.07866184,-0.09722994,-0.041559096,-0.14405563,-0.19705212,0.0058962116,0.009245629,-0.3322882,-0.11785076,-0.0017501499,0.19338171,0.071642645,0.05093168,0.006309137,-0.008760092,0.019256534,,-0.4857602,0.98186404,-0.1488617,,,,,,,-0.09666235
