,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,1.0679662,1.2281075,0.87723744,2.5668147,1.5534359,2.5561957,0.83984953,0.6090677,0.36146262,5.1185627,3.2246199,8.808622,10.518893,2.8832343,5.0728474,2.6435504,1.9686754,1.9908925,1.2305024,2.0691245,0.028382272,0.4380684,3.8238997,0.51645744,4.4646287,5.392785,7.393913,7.530253,0.44422287,0.78489095,0.42159948,0.815109,1.0373456,0.21135974,0.8371223,1.2094988,0.060741127,0.3236417,7.679476,9.4873495,3.3219905,3.7814193,1.2518641,5.049516,0.2979632,0.7437037,1.7408392,,,,,,,,,,,
100,1.0813621,1.228844,0.89072853,2.570789,1.5715581,2.5668566,0.8349447,0.6105601,0.3959897,5.0567927,3.271742,8.603241,10.560884,2.8870223,5.217933,2.6561852,1.9769706,2.0127954,1.2627676,2.0789418,0.02991933,0.4359747,3.7306373,0.5244246,4.4942055,5.4586773,7.4440584,7.6516523,0.44480994,0.769335,0.41844395,0.83253765,1.100724,0.22214071,0.8306475,1.2370809,0.066396154,0.30296808,7.6981416,9.543657,3.206536,3.7560182,1.1940864,5.096378,0.29559466,0.73451364,2.0372415,,,,,,,,,,,
200,1.0704211,1.2328502,0.8595297,2.506228,1.5177876,2.5026526,0.8612622,0.5761988,0.39448997,4.860775,3.0847754,9.141042,10.520537,2.8375802,5.068678,2.641649,1.9444494,1.923635,1.1821445,2.1296926,0.033886813,0.44905764,3.895206,0.5876245,4.48939,5.565281,7.36232,7.229783,0.431746,0.74990237,0.40885913,0.80743146,1.1680267,0.22973067,0.8630916,1.2478476,0.08613658,0.30335003,7.654847,9.469098,3.269307,3.7314239,1.243949,4.946774,0.2974135,0.7498436,1.8857635,,,,,,,,,,,
300,1.0513883,1.2216383,0.8377428,2.544464,1.5473465,2.5654128,0.7841658,0.60086906,0.35339883,5.1086035,3.2971294,8.963778,10.412888,2.9436998,5.0439277,2.6505675,1.9916416,2.0250566,1.2261528,2.0382302,0.02633268,0.3990995,3.658314,0.45687622,4.497159,5.5359206,7.382841,7.770137,0.42422676,0.7596876,0.40950358,0.77594495,1.0481664,0.21032484,0.7933141,1.229159,0.06619927,0.31268156,7.5818033,9.313412,3.2341652,3.7702534,1.2420182,5.1155796,0.29830983,0.76659346,1.9019468,,,,,,,,,,,
400,1.0787816,1.2585624,0.86541516,2.5418549,1.523606,2.4916785,0.86672515,0.6051892,0.4234734,4.982972,3.1303213,9.093447,10.369186,2.8155007,5.073491,2.6454813,1.977631,1.9549147,1.1974345,2.0713236,0.032442827,0.43442884,3.8009808,0.5448012,4.545277,5.531429,7.465987,7.545637,0.44741052,0.7559005,0.4143257,0.8219871,1.0929993,0.22552475,0.85354596,1.2398052,0.07399112,0.29620123,7.657125,9.452761,3.1052675,3.63368,1.1483786,4.898606,0.2991284,0.7271264,1.904079,,,,,,,,,,,
500,1.0978907,1.2373607,0.87451845,2.5156848,1.5107441,2.4840527,0.8521526,0.58544433,0.39208946,4.8989234,3.1792097,9.14754,10.544657,2.921143,5.031648,2.6501882,1.9669704,1.9193873,1.1911849,2.0699608,0.033260208,0.45776635,3.8451257,0.51302314,4.365679,5.427087,7.467777,7.5619397,0.4404683,0.7471591,0.41116285,0.797228,1.1515276,0.22357903,0.9057047,1.2438676,0.06972042,0.33352426,7.594531,9.420952,3.3423657,3.728325,1.2353172,4.976711,0.29710922,0.7490075,2.0443711,,,,,,,,,,,
600,1.0499722,1.2258809,0.85889083,2.5964723,1.557146,2.513267,0.8267958,0.59838235,0.3766462,4.83362,3.0918515,9.277674,10.492047,2.9644856,5.066508,2.6902983,1.9994388,1.9181784,1.2040527,2.0313454,0.03347725,0.4398899,3.7366025,0.49691597,4.469949,5.551077,7.3218317,7.535231,0.4437269,0.76513016,0.4117266,0.7949231,1.0898924,0.22196147,0.8104493,1.226957,0.06872789,0.3118946,7.6381016,9.234243,3.403718,3.6375208,1.2555784,4.9208655,0.303443,0.7418723,1.8895572,,,,,,,,,,,
700,1.0407298,1.2135813,0.8620324,2.59021,1.572075,2.5410779,0.79496545,0.59198517,0.36250868,4.8875003,3.2112815,9.193187,10.495683,2.9408572,5.038626,2.64757,1.9496154,1.8706046,1.1783473,2.1000297,0.029484827,0.42083606,3.7509718,0.49825937,4.392084,5.5766573,7.4219112,7.722722,0.42853695,0.78301543,0.41685662,0.78272825,1.0691537,0.21477647,0.75492597,1.2126827,0.075652696,0.28511173,7.5614476,9.7443,3.4186826,3.789266,1.2890564,5.0491266,0.29708618,0.7433056,2.0283272,,,,,,,,,,,
800,1.0855637,1.213147,0.85278255,2.5745285,1.5712761,2.5429397,0.83159226,0.5955384,0.34889337,4.9513817,3.1876843,9.070819,10.521717,2.8762624,5.065662,2.628297,1.948666,1.9996611,1.234321,2.0889332,0.029363709,0.4119426,3.7248747,0.48511776,4.412386,5.417323,7.3092656,7.8772683,0.43771634,0.75798976,0.41518882,0.7988728,1.0825552,0.21356122,0.8484939,1.2337041,0.067332536,0.32687873,7.5166535,9.486432,3.3058681,3.6916378,1.2010651,4.963828,0.2992008,0.7531812,1.9943862,,,,,,,,,,,
900,1.0387558,1.1941984,0.84567714,2.5682187,1.56492,2.6262126,0.846577,0.5937645,0.36946705,5.092585,3.2051096,8.807133,10.325511,2.906304,5.1559377,2.6305246,1.9586946,1.932845,1.1774224,2.0675268,0.028238775,0.41719565,3.6722937,0.52340853,4.57406,5.3699856,7.520525,7.6667037,0.43187737,0.7592092,0.4067047,0.8019156,1.0555944,0.21249194,0.8102751,1.2195313,0.061963845,0.29354787,7.640501,9.623547,3.3020327,3.9008186,1.2032444,4.954773,0.29848617,0.7506628,1.7695969,,,,,,,,,,,
