,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.7286087906394695,1.5035345263808968,0.7713517688954633,2.3607490281768304,1.3854596252405884,2.448094603341007,1.8636626353429027,0.5913412395337898,0.9409158244592218,4.46977422800895,1.8285849620414576,5.933290365981166,9.36388823936408,2.3583073798714262,3.938510085660825,2.139428429532272,1.602040270079912,2.111119606940255,1.2216898877036622,1.1312042468586947,0.018143835189829195,1.0993337610531029,4.46358452817387,0.3985071736486604,5.1793689788503405,3.572610991355073,6.507099689676644,3.864822903517867,0.40686453329312766,0.8974274009941948,0.4526937479449467,0.7512576395786748,0.8176029024616739,0.697377942489241,1.1162158755973908,2.8888030586688473,0.06364275320959446,0.5185367484939571,6.448650846703048,7.95971005884624,3.0409205513529045,3.181846773400308,0.8394429189158849,2.7163165166067214,0.6466279903475436,0.9124298510527072,0.2932893370352536,3.0431933440034227,5.858979156125227,2.567111688235788,2.3489681073302635,4.247768280272059,1.4999065178993118,1.6565708529058185,0.8997813987647603,8.154998720152973,1.7959475706231944,1.8889903526982224
100,0.6907550183388074,1.4329456101067337,0.7418910377907441,2.3571698718615823,1.4113455883816288,2.518802322673915,1.9884185324212862,0.6379074278713323,0.9927604460550145,4.382962630605624,1.8109313752507605,5.833717524254646,9.259013892102649,2.3140334672845677,3.8588885426966226,2.1619845608028707,1.4906004637976644,2.1851812599964227,1.2232234464805942,1.1579589016816298,0.017338300155722994,1.0653628440913148,4.204678544770608,0.3373121180275774,5.1443258136940395,3.5543219417219274,6.463070735277365,3.976085941787018,0.38611849887709065,0.8805283895354157,0.4313300746707866,0.7434236395047404,0.813278612492851,0.6783551442068191,1.114378564453629,2.864171253023281,0.06264766238405159,0.5073008133261847,6.402786729376731,7.698145352166057,2.80625896257511,3.033251114141895,0.8509753910636676,2.743216482792608,0.6376709747984775,0.9060256540895604,0.28200906617454435,3.0477977655716657,5.679272694509437,2.57096582463733,2.3573612237930845,4.201052215507366,1.4971962164783579,1.645733574173625,0.8982559644038375,8.269626586006764,1.8426455639905006,1.879903492504277
200,0.7189216977461683,1.4241128291238907,0.7451608696473594,2.497314582773727,1.3991506538511544,2.534398043643261,1.9567576620452616,0.6646318444516267,1.0285835204859166,4.428340917857352,1.8188008281142827,5.749277709642253,9.207185135534665,2.297851750751319,3.8549524493937413,2.1169755826743755,1.497845797231678,2.1491829873475847,1.2086810537460686,1.1940825017342285,0.01763411764111502,1.0880497853384719,4.2504896080545045,0.3285468340630256,5.113094546644783,3.557745950413673,6.4359788517507965,3.9771454637282964,0.39121673253925915,0.8491298381478154,0.4273378542147305,0.7170799918579397,0.8307285147479665,0.6721305125703952,1.1182764619299144,2.8173121619738817,0.06228339022160608,0.50474697613086,6.341237647871421,7.741057754788219,2.9458933095108817,3.057872098223347,0.8379804986651046,2.700182245946779,0.6339428011004891,0.9155544219702297,0.2850647635017441,3.0230987181531854,5.769633023890959,2.581430964662904,2.3941600264929783,4.163262337172907,1.471155204686217,1.6735477155421614,0.8301198461878888,8.243695736287814,1.7992904549182671,1.879212800998927
300,0.7642967210322378,1.4126610787496774,0.7559165903263982,2.4953484850052856,1.409777751790579,2.5547504189836383,1.9123631297424462,0.7068168594989948,1.0365353927183578,4.415035828934567,1.8090310249705457,5.707136782237588,9.224817653909481,2.33536566334786,3.867561634582142,2.1598198839141327,1.5530627383175135,2.143236332259906,1.2137918382850041,1.1737533564443632,0.019637393497782284,1.06847929635623,4.2442766710367446,0.33714731336671405,5.185108691523104,3.6108084441945905,6.415163398196636,3.942141213822477,0.38358108407987895,0.8819344927212365,0.42935117052643157,0.7222734182655701,0.8211345252848948,0.675240828087221,1.0921260767958139,2.873299778228094,0.06525051886347465,0.5345888176230372,6.387786038194657,7.902167166375297,2.9381850348135035,3.026076080140797,0.8317909960470068,2.7258959834668706,0.6328794444100337,0.900566740842998,0.28516328481228626,3.025882195225292,5.718499558153679,2.5788754723723235,2.3969612104700455,4.170281865754145,1.470991945125753,1.726219532172014,0.9289653554157652,8.182020190074178,1.8205702006089395,1.8652990758377537
400,0.7647600797357651,1.403338996338901,0.7567723892258041,2.497113888872102,1.3963069193754412,2.5504797346724053,1.8598197351974217,0.6700663989090418,1.0236513894579324,4.374809107444968,1.8549899926856477,5.823323270575502,9.242674839635256,2.3441313971228572,3.898507297721798,2.153433815954432,1.6125427312920158,2.1129242705050486,1.2321039123457298,1.1684940435512348,0.01985313589060745,1.0867901085512655,4.320363065680745,0.3705893943902767,5.213188629750794,3.583611025387286,6.502204686844084,3.9666033201716484,0.392435535410606,0.8946506031221678,0.4400642969278812,0.7405252752594012,0.8269052936414902,0.6657924489696999,1.124186787303501,2.969321483956515,0.06057044106742912,0.5441875918977668,6.472043468032001,7.763724152400715,2.8293641898305064,3.087544580201018,0.8456293578846086,2.7252407362025437,0.6319947183064241,0.8941483259609188,0.285008507928878,3.053765774923681,5.666608511077852,2.58265998780711,2.4056638037717857,4.157308744266694,1.4864186548168403,1.615917022313269,1.041213434076397,8.284935182223537,1.8211289913532227,1.8750527374873132
500,0.7476971729366986,1.4143679773336189,0.7538226095397281,2.508139155413482,1.4045818699303907,2.5173633703453135,1.8810560690925064,0.6328338545943593,0.9812886619319588,4.275272514274078,1.795069184134108,6.134138060001268,9.341300202139205,2.3322387608732793,3.9340791106532023,2.160037445290552,1.5626066654449204,2.0344230753129016,1.2048990744256172,1.1388684340999158,0.019989992104984217,1.1539205426762196,4.418008671481371,0.3588011207678017,5.147036198058925,3.544815026334811,6.607383402816625,4.086112989826115,0.399151182815173,0.8736361278613491,0.42935675266558077,0.6995408161530147,0.8347258499246171,0.6548917528292099,1.0490118178707628,3.0501476824841536,0.0693501485764189,0.5764107566358344,6.471699688371023,7.82047404269695,2.899049183260784,3.18339429764082,0.8575234299988811,2.7561596955222507,0.6345513924012065,0.879181971095816,0.28764208162593546,3.022010616080992,5.647503455175627,2.5785692597345125,2.391224186139424,4.300306344587156,1.520976807083847,1.686057495443183,1.1201381619612434,8.302660447886845,1.842241875467194,1.8677229109458522
600,0.7196926912330962,1.3991001378350425,0.7784145374554358,2.5043122931187893,1.4211982229447007,2.5410088478674555,1.9160351151523902,0.6485915538080775,1.0018587764989217,4.375973319759709,1.8767337239110313,6.207332589509246,9.347348117880312,2.3313186908327626,3.9270607845270877,2.1997594613307174,1.540057344471847,2.037831940780724,1.1931071974111473,1.1608135662127212,0.0192159739841173,1.1542975174754602,4.439118970453516,0.36088044530106916,5.0709786832277075,3.4739027385294614,6.620699877869856,3.9483728618763645,0.3920991631425161,0.8643538841798957,0.4204501536460202,0.7309125246982853,0.8469172214189972,0.6561025255675456,1.1346072811753272,2.9925390064860986,0.06769510493078985,0.588672512432523,6.539420861923437,7.874174536324351,2.9204820432221563,3.102028503275855,0.8698738116916606,2.7889678692446047,0.6376738051081517,0.8874269866133812,0.2851670398911359,3.0230437570036455,5.663371032508259,2.5685766884331485,2.3694028063726815,4.297826860458157,1.5160744610830512,1.646031475924571,1.1182892094984418,8.299180268932218,1.8266664385736258,1.8662347234863068
700,0.7167750434781165,1.4278247741103909,0.7625823518432417,2.4010319067128387,1.407776684757455,2.512558137041488,1.938299269436399,0.6547605385102143,0.9693336519721526,4.324775307781878,1.811934857824899,6.301830613584156,9.24579845799222,2.3289634710574947,3.986294413236336,2.171375178688656,1.4951754099688752,2.027777437214472,1.1919336882623215,1.154592903598563,0.020160975585090463,1.1320758578028982,4.359444413074358,0.3255000808105362,4.94855728105205,3.458127720804999,6.69386777695243,4.207429333207495,0.38843865177002374,0.8578245902331363,0.4183718579538117,0.6850108295704688,0.8200435128532639,0.643627941779707,1.1512851368501664,3.017694100571024,0.05849088189607365,0.6007550730782409,6.549550434975927,7.633080761881069,2.742652464979574,3.038264123479885,0.8896319228824019,2.8450806354810667,0.6363569863168945,0.8940349023613475,0.2779024207089251,2.9911835689432418,5.700645888856195,2.5605703967392266,2.3443951035245703,4.2577647571860116,1.52931442081814,1.6401982357560094,1.1465331664269516,8.332475096294672,1.8709366156138219,1.863091521696843
800,0.713774836795037,1.4372675976439346,0.7512636860519799,2.388178814682377,1.376291311636376,2.498004969931682,1.946450565871426,0.6364299219883214,0.9754684637635893,4.470000551562515,1.8648815623058461,6.039636916500468,9.355973878568937,2.3292662977354595,3.9689385000637354,2.1646982004110695,1.527557746319392,2.024405062060368,1.1939474480336678,1.167711377296631,0.021190952302938642,1.1573150034821214,4.419065803828168,0.33896198233498004,5.024740782656089,3.479959618637677,6.696590079909618,3.9407250651850156,0.38525498299648686,0.8393069537933671,0.41227193749689817,0.668481250967434,0.8385252197501937,0.6447018360182671,1.0663376476575093,3.006753007034754,0.0700561031061115,0.5838003357447562,6.538889075899565,7.957637728626374,2.9890957510706055,3.194560695816266,0.8488554789525306,2.7638941018119354,0.6351429552573614,0.913899908135166,0.28889277684488956,2.997192715374027,5.6881167725462305,2.5711405651939767,2.3588221048622313,4.29666782942713,1.5110081776531623,1.6042765119071658,1.0713377670457367,8.385187617528336,1.8435119009525132,1.864703997661738
900,0.7534111060968309,1.401772296747406,0.7455614741453046,2.4850195938773103,1.4130574753482719,2.4990018960530076,1.894575299388569,0.6472272323422734,0.9982670061521565,4.427462827576727,1.8357995283900825,6.186767900763197,9.317269226006918,2.340772922853882,3.9244076101680765,2.162297850870961,1.5088293439896925,2.0231902865691977,1.191664806690744,1.1677163681801723,0.01874644356877463,1.145356014775688,4.416191326565785,0.3624343589246264,4.9979948894646915,3.5073868550281424,6.642260925157495,4.01248598175702,0.40026457876034005,0.8464414567402073,0.41853676347901275,0.7204083223697321,0.8426540941632225,0.6492709584514559,1.0890652590551575,2.9791276851640727,0.0728391220487551,0.5839745384384215,6.525724375803309,7.751258170913312,2.790145105247856,3.1852306748795884,0.8721606209093841,2.7502474407330384,0.6371646455631504,0.8866366343742899,0.2872915074628226,3.0043605978098347,5.708080951643274,2.580661668344619,2.3500230316019954,4.311173035789979,1.5156627584884146,1.65135923753131,1.0745564854947598,8.314895679098838,1.8402839092570056,1.8642056162014073
