,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.036439847,0.13567702,0.06917342,0.09619866,-0.39174744,-0.013151942,0.038811825,1.2093506,-0.14883456,0.9396118,0.35333246,-0.0039709536,0.0245427,0.027158158,0.025623862,-0.14930332,0.090883754,0.25172904,0.060850017,0.07890823,1.0470778,0.95124066,0.61019087,0.41893625,0.01726474,0.018159738,-0.07678337,-0.080837496,0.15991452,-0.080661796,-0.030620523,0.16722995,0.13063969,0.08160255,1.0726559,-0.017162338,0.3868999,0.07205787,-0.119608276,0.10313458,0.10506225,0.4668294,0.04976133,-0.12831879,-0.009320559,0.031198142,-0.018669209,,-0.65062493,0.5323675,0.11521956,,,,,,,-0.06476354
CESM2,0.08829832,-0.035538767,-0.053793356,-0.013400291,-0.22543728,-0.32381773,0.0029025867,-0.80851597,-0.2739573,0.23091027,-0.33263737,-0.03364247,-0.006176042,-0.035144124,-0.081168726,-0.07039197,-0.1045743,-0.27687755,-0.22651358,-0.030438503,0.44763374,1.1695466,0.84929764,0.46823543,0.14197822,-0.0049828803,-0.08930324,-0.04672801,0.09994119,-0.14450411,0.044395324,0.23070575,0.015185094,0.06743892,1.7869093,-0.09011205,0.08149726,0.36862585,-0.05230394,-0.03279251,-0.015398593,-0.018620502,0.022868386,-0.096033365,-0.0064154267,-0.019964125,-0.022237001,,0.109546214,-0.13423929,-0.17457761,,,,,,,-0.1202075
EC-Earth3-LR,0.08480139,0.06648086,0.049978565,-0.045099583,-0.13116677,0.098989524,0.15403245,-0.3033471,0.065494016,0.21434873,-0.34125757,-0.05613556,-0.042124968,-0.05110514,-0.13263038,-0.067538895,0.177193,0.018773898,-0.024658624,0.0059660864,0.3710945,1.6620492,0.6368266,0.91333014,0.13830963,-0.029027944,-0.07523357,-0.08276743,0.14500636,0.022344362,0.1631554,0.22468628,0.12964816,0.16873333,0.98503786,0.2500744,0.27783114,0.88083094,-0.01027219,-0.03562957,-0.054645266,-0.08441906,-0.05337484,-0.015767705,-0.013337207,-0.002286494,0.13582984,,0.2711975,0.009679704,-0.18924566,,,,,,,-0.027836302
FGOALS-f3-L,0.028195761,-0.09706176,-0.021598144,-0.12046498,-0.10893024,-0.04462443,0.10338033,-0.55956584,-0.4394078,0.001461408,-0.23137128,-0.06535187,-0.0030233006,-0.09559878,-0.0808831,-0.042432904,-0.19202586,-0.13599555,-0.104539216,-0.00030018808,0.30535635,1.6522973,0.71463156,0.9244135,0.0016134958,-0.011140602,-0.051245283,-0.07160959,0.023220077,-0.08264047,-0.06494315,0.075065754,0.043779623,0.03797221,0.95511883,0.023177775,0.18526626,1.1007899,-0.11655921,-0.041468784,-0.0386479,-0.029830968,-0.00034824928,-0.023733694,-0.016491123,-0.094667345,0.019634537,,0.3471098,-0.07614052,-0.18075609,,,,,,,-0.11849189
FGOALS-g3,0.035836842,-0.36895183,-0.17541954,-0.60313994,-0.6522331,-0.4723559,-0.009557664,0.64729613,-0.52494645,0.75787795,-0.7614177,-0.12198949,-0.13720246,-0.0014284716,-0.10410161,-0.06755954,-0.71017975,-0.64897984,-0.35548934,-0.26353365,-0.008850887,0.90328,0.31951398,0.93465585,-0.13511853,0.002093198,-0.06307902,0.040060245,-0.24782133,-0.31026798,-0.47957456,-0.2230037,-0.09929258,-0.039633714,1.5541196,-0.16719322,0.13796543,0.5429947,-0.2922582,-0.09811866,-0.14810494,-0.09192048,-0.11123172,-0.083543934,-0.012135939,-0.028858509,-0.06903351,,-0.14545007,-0.024306562,-0.46426803,,,,,,,-0.015985971
GISS-E2-1-G,-0.04478952,-0.06258132,-0.09769906,-0.14036942,-0.05322684,0.14622036,0.13422258,-0.30827266,-0.53771925,0.4145195,-0.3138753,-0.027322616,-0.020603823,-0.1856632,-0.11186311,-0.08655603,-0.054931488,0.06925289,-0.095861666,0.0015308495,0.31293792,1.4242593,0.7328765,0.7253213,0.14997417,0.03213063,-0.016989786,-0.06630489,-0.012247013,-0.15459839,-0.016751723,0.28684902,0.011156745,-0.026041714,0.8743524,0.38656026,0.07988907,1.0404911,-0.34384963,-0.022096094,-0.028532194,-0.011873375,-0.052626938,-0.078373194,-0.02644785,-0.080364585,0.030774053,,0.41813606,-0.21938376,-0.02600816,,,,,,,-0.060111724
INM-CM4-8,0.04013041,0.13153598,0.12917256,-0.10364359,0.06358469,0.37826094,-0.20907377,0.6500576,-0.17949454,0.5594667,-0.30010417,-0.025552921,0.047577657,-0.010593715,-0.100554556,-0.041147757,-0.059199076,0.009703234,0.073242694,0.052041415,0.68593836,2.2592938,0.6876858,0.59763074,0.2615201,0.031137817,-0.062527515,-0.22323182,0.17587689,-0.0137594445,-0.043179996,0.2138442,0.24302845,0.17056918,0.3028631,0.055571634,0.6981778,0.58828163,-0.63806736,0.04798017,-0.06973529,0.08432142,-0.04221857,-0.016709078,-0.005037905,-0.0879394,-0.03479575,,-1.9713529,0.17191994,-0.19726864,,,,,,,-0.08737257
IPSL-CM6A-LR,0.07130738,0.030666985,-0.05135329,0.08884245,0.0032715914,0.23075692,0.8125553,0.1085478,0.0736796,0.52494955,0.028362755,-0.013038944,0.03268473,0.006658204,-0.05300749,-0.06932086,-0.23403797,-0.20599923,-0.15268593,0.16374159,0.47040316,1.599193,0.72791755,0.76248276,0.10896159,0.03407816,0.029591072,0.014070845,0.09743319,-0.34284666,-0.1798036,0.22407009,0.13185574,0.1823174,0.46451816,0.43564802,0.42978233,0.73956686,-0.1664234,-0.05220173,-0.030789265,-0.026726723,0.04092486,-0.038695913,-0.006641351,-0.052410536,-0.018705908,,-0.7181244,0.13476677,-0.16745748,,,,,,,-0.09503156
MIROC-ES2L,-0.032775998,-0.028306888,0.01613472,0.027220516,0.39787722,0.57960767,0.50602907,-0.6502095,-0.29091758,0.5365565,-0.5088099,-0.036081623,0.049322613,-0.1355922,-0.05947487,-0.06290283,-0.13015741,-0.1704427,-0.08178394,-0.03250848,0.41314074,1.991223,0.9254332,0.49199712,0.21968251,0.013410229,-0.093415625,-0.033128917,0.109959394,-0.032978658,-0.06837479,0.20624563,-0.026897287,-0.027516585,0.6522549,0.19889611,0.15983424,0.22250532,0.18791878,-0.10144187,-0.10465392,-0.13716757,-0.0059831496,0.017677888,-0.012964767,-0.05615148,0.0049290997,,-0.48199746,-0.25175497,-0.30187777,,,,,,,-0.25994098
MPI-ESM1-2-LR,-0.011994836,0.029152472,0.024186127,-0.031029806,0.010055998,0.39024565,0.17011216,0.4258947,-0.42826977,0.5672264,0.06865615,-0.09344893,-0.23940836,-0.07715091,-0.3136011,-0.1653909,0.017261205,0.01380392,-0.013974461,0.038875367,0.81394565,2.0782678,0.76949555,0.7510327,0.0058261952,0.0012422972,-0.06787478,-0.1422878,0.14429215,-0.037582465,0.009070734,0.25606692,0.15000859,0.22512022,1.2971674,0.46427053,0.40701264,0.69726574,-0.02273189,0.047304213,0.114878915,0.33733723,0.18860093,-0.037304655,-0.004881757,-0.012712301,-0.028981723,,-2.3693943,0.16572678,-0.07332285,,,,,,,-0.038651954
MRI-ESM2-0,0.060103267,0.044007007,-0.013738316,-0.054672893,-0.22851163,0.31411391,0.27167293,0.11717951,-0.09373178,0.25534123,-0.21897967,-0.07965589,-0.09623925,-0.0394239,-0.17573951,-0.07772932,0.04858186,0.025635805,-0.20230427,0.063692756,0.45031783,1.45416,0.85323805,0.847011,0.19522835,-0.028339222,-0.06542069,-0.039872315,0.08414332,-0.06331388,0.107473716,0.28141156,0.049484704,0.09115014,1.5467693,0.65443945,0.19724992,0.5767303,0.12273071,-0.02070245,0.038239766,0.05299356,0.0431059,-0.11629264,-0.00493295,0.01777575,-0.007654509,,1.7115628,-0.07355332,-0.117564104,,,,,,,-0.060252644
NorESM1-F,-0.0065362323,0.051974013,0.033604454,-0.000624586,0.0059309904,0.02125713,0.12384055,-0.49336985,-0.22680598,0.36282358,-0.34212986,-0.04277629,0.003986222,0.010117792,0.023847476,-0.07800814,-0.08984822,-0.05478369,-0.051220376,0.05887127,0.5139043,0.963982,0.842874,0.5499451,0.11847929,0.04042123,0.02226675,0.09338433,0.09729478,-0.035109464,0.08446283,0.109570704,0.22338304,0.07681237,1.870567,-0.088023975,0.40725487,0.453871,-0.0744167,-0.06651871,-0.1307123,-0.06582151,-0.034054603,-0.10543908,-0.019729221,-0.023878612,-0.045739476,,-0.58463895,0.064342834,-0.10877156,,,,,,,-0.0475863
