,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,1.2031934,2.3199944,2.0949857,0.94155943,2.257351,3.3913887,2.591275,3.5548022,1.6737728,3.6583555,2.9686117,0.13571486,0.5766881,2.4223263,1.3479195,2.5005467,1.8988979,1.5741898,1.2650338,0.8434506,0.74662447,8.502359,5.833214,3.541967,0.7231169,0.54918545,0.59354573,0.52622515,1.7752904,1.6589986,2.9259055,2.6159182,0.3154418,0.9679821,4.6052647,6.415881,0.06891573,4.8685713,7.43598,1.4039745,0.8961588,1.0381249,1.0461783,4.4283795,0.35585767,1.1388258,1.0618569,,,,,,,,,,,
100,1.1999502,2.3195512,2.074374,0.9192527,2.1976483,3.3503947,2.4991183,3.5264785,1.7378072,3.6447005,2.9492574,0.14528179,0.5668583,2.3960571,1.3799685,2.55221,1.9124823,1.575727,1.2905835,0.85505307,0.75712645,8.564271,5.8674088,3.569144,0.7442136,0.56659883,0.59140015,0.46300808,1.7985715,1.6109095,2.9165337,2.644011,0.3146642,0.9684763,4.624837,6.498262,0.07420378,4.930867,7.3438354,1.3919718,0.8991099,1.0115241,1.030225,4.544638,0.3582365,1.1244248,1.0404433,,,,,,,,,,,
200,1.2106209,2.313292,2.055445,0.98445994,2.176813,3.3049068,2.5058956,3.520809,1.7105337,3.6644497,3.0649617,0.14687522,0.59206796,2.4596941,1.3329433,2.5144818,1.8878305,1.5523791,1.2152143,0.86469,0.73972434,8.417958,5.830192,3.5752788,0.7576373,0.5793403,0.6061356,0.50614643,1.8024601,1.6268574,2.966585,2.5590377,0.3370807,0.93831265,4.63052,6.4113536,0.076911815,4.935507,7.4992766,1.5430206,0.9164621,1.0473523,1.0478209,4.384978,0.3448215,1.1010488,1.0413575,,,,,,,,,,,
300,1.1584083,2.3041594,2.0659714,0.9636485,2.202342,3.2563722,2.6185472,3.5855858,1.7612352,3.6220336,3.0201921,0.1483145,0.5864176,2.4484968,1.3584343,2.4553235,1.8696389,1.5283862,1.3092726,0.85859615,0.76823133,8.465871,5.82552,3.5511882,0.7747566,0.58877325,0.63709694,0.54807764,1.7764995,1.6555576,2.92308,2.5823708,0.3140798,0.94373596,4.5967574,6.411257,0.08322108,4.7631836,7.3220396,1.4060037,0.7439862,0.9844498,1.0100601,4.38438,0.34969312,1.1067672,1.0114127,,,,,,,,,,,
400,1.1977103,2.315389,2.06718,0.96349424,2.2661276,3.3579886,2.5803187,3.4302738,1.7902669,3.6305435,3.1042933,0.16339567,0.5709157,2.404139,1.3124307,2.5073674,1.9044844,1.5703942,1.3311992,0.8271194,0.734753,8.369867,5.7893195,3.5866458,0.73817253,0.58341086,0.6260963,0.51448673,1.7737318,1.6549397,2.9169028,2.5941365,0.32565987,0.9257384,4.590033,6.379922,0.08093153,4.8737187,7.367011,1.5032338,0.87413335,1.0065292,1.0160472,4.4675527,0.36197692,1.0662614,1.0237646,,,,,,,,,,,
500,1.1990395,2.321645,2.0598004,0.9804463,2.2268133,3.3897095,2.5504143,3.3265154,1.7959483,3.5855496,3.0024886,0.1609252,0.57290626,2.4368734,1.3357852,2.5205755,1.909039,1.5432475,1.3242728,0.8206321,0.7120032,8.407999,5.8043,3.5908103,0.7344074,0.5905643,0.6055101,0.5287657,1.7622637,1.6495107,2.9599257,2.6130304,0.3247765,0.92736256,4.6517777,6.528189,0.0839777,4.9965124,7.3594413,1.516008,0.90923584,1.0403215,1.0556444,4.3990917,0.35288084,1.0840089,1.0620662,,,,,,,,,,,
600,1.218998,2.2838612,2.0686216,0.9785612,2.2497756,3.413182,2.5619707,3.50019,1.653365,3.68738,3.083539,0.1561223,0.5914223,2.4582005,1.3496081,2.492659,1.858472,1.5388234,1.3196751,0.8652575,0.7405175,8.338452,5.76255,3.5279086,0.7532718,0.5660399,0.615369,0.50227493,1.7649654,1.6895803,2.9156232,2.6160815,0.33479062,0.9773217,4.6575456,6.3988023,0.08129362,4.872836,7.3138623,1.2934265,0.7975234,1.0320444,0.98716724,4.381221,0.3504365,1.1172962,1.0854515,,,,,,,,,,,
700,1.2059836,2.3285413,2.0539415,0.9749482,2.2302024,3.401859,2.5808039,3.593445,1.8997599,3.713631,3.0970373,0.14832978,0.56403714,2.4128711,1.3308891,2.4928555,1.8759977,1.5636797,1.2721285,0.85037833,0.7049834,8.527838,5.7491198,3.5317035,0.7101905,0.5719553,0.6069942,0.50431085,1.764926,1.6929014,2.958795,2.5770025,0.31766057,0.92504257,4.6896462,6.515933,0.07806951,4.951711,7.377951,1.4381491,0.8800342,1.0777991,1.0397081,4.415054,0.3543204,1.0986831,1.0626088,,,,,,,,,,,
800,1.1667228,2.3208377,2.0639067,0.9491966,2.2358356,3.3276546,2.6170552,3.4507053,1.6609251,3.6330593,2.9722095,0.14375332,0.5830901,2.4520118,1.3421698,2.4563348,1.9046673,1.52277,1.3220317,0.8388336,0.7133973,8.432124,5.7965465,3.5408788,0.7402139,0.5624357,0.5937315,0.49012187,1.7744753,1.6400177,2.923654,2.6632495,0.33358064,0.9696908,4.5878577,6.516105,0.07454085,4.9564977,7.4263372,1.4785354,0.88910127,1.0632446,1.0223856,4.481819,0.349278,1.1160421,1.0423218,,,,,,,,,,,
900,1.1838508,2.3308969,2.0635505,0.9869052,2.2301202,3.3741379,2.585516,3.5112815,1.6582938,3.7262912,3.1690714,0.16414131,0.62381274,2.445731,1.3578864,2.4787617,1.8736882,1.5324547,1.3340414,0.8376482,0.68273723,8.322886,5.7317705,3.5574012,0.7559793,0.5710222,0.61410576,0.52470064,1.7480531,1.6676153,2.9005723,2.5906813,0.33792138,0.9707213,4.6105723,6.501522,0.08168678,4.8384867,7.3615365,1.4385682,0.7802835,0.9884848,0.97869426,4.3081098,0.3521176,1.0948013,1.029345,,,,,,,,,,,
