,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,1.0533554105117273,1.5634014650961505,1.383609949090112,0.7779926938158512,3.6073989222266776,2.8013020040565704,2.415035876218567,4.276610353313804,1.4407188621970695,4.1977338436760006,3.439332674228739,0.5959422259190487,0.17251868548581006,1.74219352909733,0.9858185763085242,2.557218786048731,1.322986840564763,1.1008458765778184,1.08772831060508,0.33150739572792465,0.9454534465914569,7.420492744503464,4.6168874724298785,3.3359026901908653,0.9159269832568504,0.6155766950307054,1.2961528552346309,1.6028246220562676,1.0396336665018453,0.9846566123825993,1.6349353473512673,2.274181047512151,0.15689634724574952,1.0246373244138056,2.4131152689378075,5.062723605905596,1.789136046049465,5.120049409208966,7.863480720813453,1.609689694940713,0.576205420805392,1.3755167941230617,2.1154419713199015,3.257265695900151,0.5919404227575888,1.0627830425674591,0.708616794340558,2.9436100901644546,4.150933709484881,3.198567965660541,1.268553401204185,5.090222668278133,1.730695025075219,3.0840640834806705,10.196631061207599,5.512550103383959,1.9283979383521106,2.6720105952696116
100,1.0388357427378139,1.5329436894676478,1.3914490149118373,0.7545044428701615,3.5168395490866393,2.797558462205842,2.471178023846771,4.3603128313622035,1.5867051093801356,4.173880145133609,3.393726321468313,0.5968003198837989,0.18425926213391872,1.8121700351609078,0.9708964083262954,2.5915528716513756,1.306652429543701,1.1185784125932197,1.1032198505773207,0.3302265600491332,0.8858627383092145,7.263926287736584,4.55323340404846,3.3872515776543093,0.8933841428566324,0.66536153017685,1.3210116302637414,1.6297131910271212,1.0044567474079025,0.9639495286011917,1.6401175291802996,2.2496292422883344,0.1667585348010707,0.9758655664859864,2.455374219318129,4.942924274136702,1.7282195910370584,5.084931844993915,7.759009939841812,1.5416076288071998,0.5280522921424862,1.2484028749109617,2.1577935706907447,3.2462452289409787,0.5893256033620108,1.0370627869892994,0.6846829277339402,2.953613614339714,4.167392275341521,3.180198039835503,1.2831191192684166,4.944521792631847,1.718175484067231,3.0588732007987702,10.013866175126681,5.472746559297559,1.9836524801021593,2.624217687682616
200,1.0144254660026297,1.5287689118980545,1.3772833289067596,0.7779245117487367,3.5346310338953892,2.768465570089859,2.5058435339407215,4.406736710652829,1.6735500251040445,4.121428099227094,3.52262013955243,0.5867466772938211,0.17032440096192494,1.7740550689411874,0.9532513274774104,2.5560639419044304,1.3411449011703005,1.1396256416996273,1.0845716773267224,0.3404359148278526,0.8914372712674539,7.310242969084791,4.5006118470838885,3.3390644756355154,0.8890704529175465,0.615495634458195,1.2709741278417743,1.5831519001073695,0.993607335580555,0.9485654508568281,1.633081791056091,2.224281814805538,0.16115792360364545,1.0157200984639354,2.352177562066345,4.969453398374984,1.6563087429174606,4.822159543009521,7.737590913133927,1.503245427022872,0.5343105647315742,1.3039804599984146,2.1538126415934142,3.2571565488721874,0.582009608789311,1.045784383626185,0.683165966234076,2.9563682158439555,4.130328088950396,3.178844759116656,1.2868534201901174,5.061279507575481,1.7163102613826025,3.026399341848028,9.761046784000545,5.457615553712106,1.9686373417961605,2.6343348712068235
300,1.048101506198364,1.5418790999825158,1.380534458049638,0.7652223344467188,3.481783457262661,2.802469169126869,2.459411246671901,4.464546919853234,1.6655450772143072,4.089907957691483,3.4415979261044605,0.5837119572606906,0.17898294405130277,1.7804319567567926,0.9807086701866179,2.5747126435916,1.3557094999933348,1.1048821081771547,1.118634083819987,0.35483648622890207,0.9490429627519718,7.390134998137471,4.564698685086039,3.316323981541655,0.892289765033735,0.6359060797680604,1.3177871066353215,1.7182957437867505,1.0098206211001508,0.9868772678272509,1.6486741080453764,2.211408043053668,0.17781008581317556,1.0120228171574166,2.4082604199993556,4.971246644229589,1.678230378936163,4.928539591326795,7.716769976129653,1.535595362716687,0.5482627903359694,1.2944659679298656,2.114582534516049,3.130338149796693,0.5695289186423588,1.0596856452279817,0.6907662297940803,2.9687725515688133,4.162026452071237,3.176751299876941,1.3000347928898788,4.940786684933295,1.7344547662348389,3.0907163615217317,9.926815103607499,5.434265342899596,1.96777931591293,2.631147679568956
400,1.050832916553538,1.5396364126449618,1.3832757304985321,0.7723854946858051,3.5222282982612363,2.8111605256065944,2.473989612541287,4.471204752972271,1.675521098174365,4.110881807185422,3.5546513566996567,0.5725760457164805,0.18305661698053177,1.8035202044459877,0.9903418996566025,2.550325003355555,1.3603346118963218,1.1672417076035662,1.1515543982082999,0.3588996251110121,0.8750644315521148,7.334885184807687,4.555593017089842,3.3120784151266256,0.8994170491866584,0.636029672660894,1.305196819310721,1.6738044800975211,1.0043369013200691,0.9951059768033083,1.6460253307506183,2.281289373300325,0.19522532434563147,1.020158414946153,2.5193751889524543,4.969555550068122,1.83667883882434,5.18629629034639,7.68292545928148,1.5236092256357088,0.5459644980870906,1.3574103870193848,2.1396464455765822,3.2502773425097975,0.5862239301314393,1.0304691527528855,0.6899281115584105,2.9644670487711764,4.100870953404839,3.183924915278253,1.3040770873636898,4.956653314542958,1.7342127845210662,3.1543958356921524,10.323160077372167,5.56126580749274,1.9860096736088513,2.622073534391664
500,1.026151921247661,1.5429855661366514,1.3786931275627878,0.8098458150723576,3.5219928154224567,2.8532884170654023,2.5282842386984736,4.520250810074828,1.6151800186134206,4.122973624785089,3.489629816809169,0.5921484263294841,0.20262185876775923,1.8101214729773905,1.0174796285619945,2.5610000902490917,1.3785286212701666,1.2118909270153282,1.121130577843101,0.38273571259889566,0.9252541625944332,7.526047613038869,4.760376634304485,3.405079089724475,0.893876652476592,0.6429786442690434,1.3059824968533387,1.6902240763887022,1.0328329417071682,0.9767779308898332,1.667628513598598,2.289019575740023,0.18347866093091506,1.0908484890051804,2.348277303986445,5.1780363470862,1.8508110586364925,5.027234485618897,7.66598928693887,1.4999812417821152,0.5428117679115846,1.3669407650731356,2.1628250993596794,3.268161917861515,0.5819057550033866,1.0361628992152996,0.6960562527331948,2.9500802475357935,4.15657802641969,3.177895598252783,1.2940614437307407,5.035191033537908,1.7318889018691113,3.0834274314499517,10.303812555816297,5.475142274853361,2.0117903228251266,2.6315849590448326
600,1.0381850758156832,1.532405641306835,1.3872622165925836,0.7945672074722058,3.544308867685749,2.856922914898784,2.5225425091095004,4.451147182721973,1.5700174597459677,4.121407661712919,3.6058302106254616,0.6237494993873196,0.19445202408171108,1.7831718709094704,1.0005389494494734,2.582491677242354,1.3518049274321926,1.2158909045745645,1.1034703406407076,0.38663050927334935,0.9117189537822338,7.485962129506052,4.750627512192367,3.34054750638266,0.8963563409394615,0.6500037176996083,1.3595596994255397,1.660680049431092,1.0087990767776067,0.9837420710501528,1.66512273887524,2.271819050776831,0.19127474207056858,1.1242294927134804,2.4065896260968165,5.141923663836838,1.8671798715080044,5.077173593651233,7.656418854409815,1.5179766447675922,0.5627038146154185,1.3796555607634584,2.2164208932381424,3.247989611046578,0.5880854504210302,1.0280202716344897,0.6907896834816247,2.9492253898096292,4.144387152662408,3.178567323394295,1.2713172936829142,5.1557358237608115,1.7258497654059537,3.135582881395192,10.418612877599697,5.52893751543297,1.987654527080485,2.6253056105146046
700,1.0217304151656759,1.5397895465567222,1.3812704050718607,0.7918933594166627,3.502406834771322,2.8378918268746127,2.553784915003583,4.406614235342875,1.5558213680545752,4.1174644780719944,3.5918663607008807,0.6025016327193027,0.20334982793803955,1.8282014045927175,1.0042737330327056,2.572397110948818,1.3363404339768106,1.1747812128866622,1.1127456454406202,0.37564599360569095,0.9268937421091132,7.50426198164703,4.751294332715091,3.3568695760142306,0.9030366545271332,0.6622497096334012,1.3189221579645256,1.635500607413916,1.0026738467826826,0.9826377915129064,1.6483284818484074,2.289631028565479,0.17468835924986498,1.0937514171996336,2.3450584740662967,5.130214070346039,1.834753827118932,5.049098476524487,7.628270056427315,1.5577908970045937,0.532516930614862,1.370207415217501,2.167065228258952,3.2189214275870675,0.5826887529152439,1.023976092927296,0.6898059328202663,2.9548496069370027,4.114839694861906,3.1962641958838227,1.2683063921110567,5.127708135998198,1.7461482312557628,3.0347981973272375,10.359373973437567,5.475013246145823,1.9895023085878285,2.6107208934805795
800,1.0306547377405333,1.5278504775769512,1.3794372078479262,0.8041649377825575,3.5024031416704005,2.854850427536129,2.5503975487979176,4.470448973531675,1.5395314456702904,4.1682056040818365,3.6480278762661205,0.5905738505154319,0.1875216279946735,1.8185622453710604,0.9898517237867811,2.571010989127755,1.3373548498614645,1.1630306225185272,1.0865434694077543,0.37894269701868155,0.8747187159777177,7.467992577629022,4.732895060596749,3.3191157244819363,0.909694534838119,0.6469827333950823,1.3334272878383735,1.676726889547924,1.0230304030340809,0.96309278906437,1.6713815666097391,2.2757923705228245,0.1811720192549858,1.1058674033024636,2.384338307234512,5.128525192343481,1.848867473988617,5.154671287268635,7.629992742830708,1.5232492611487534,0.5254250090308642,1.3699395463941335,2.2013739958827934,3.2755761391143783,0.5895293232322438,1.024699682082024,0.6896226181589121,2.9509048220071055,4.142294277110124,3.174654849376549,1.263364956734981,5.123635619791037,1.7440407769520792,3.0246110291092156,10.39371509028488,5.448463169399084,2.02388554155264,2.6197159786495723
900,1.0196472844007027,1.5394059830388869,1.3946226219185107,0.7912273140460043,3.5104220233192085,2.8426939268254743,2.543080756035485,4.491951768341181,1.6122374715581977,4.213055568778277,3.5870723769139548,0.6021971168272184,0.19733955236435757,1.8375155780112264,1.0260710613305961,2.5641581282450687,1.3367497822810537,1.219065835100649,1.120186984174025,0.37197184591896887,0.8797665172326077,7.501805232398004,4.735852025369516,3.32650833517215,0.8943908827309377,0.6612334624508364,1.3096490779165375,1.5700666943591077,1.0078032690328789,0.9661305374166722,1.6695254062841507,2.295419066892514,0.1844861364428864,1.0946839590454744,2.3532823448699074,5.089227582745917,1.8159661755185161,5.015611774586243,7.647652984036192,1.5186952260367774,0.5354462493140344,1.3664661234031759,2.1939631636763237,3.297772089316022,0.584241743387472,1.0367294540942007,0.6966360180344017,2.945610455853966,4.185449294856349,3.1785036318740785,1.2774010411235694,5.066374710840308,1.7401921653348964,3.0201869025291948,10.25640087245979,5.431052920615227,1.9902070656472608,2.605242358205491
