,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,0.9222133376897049,1.516295391625071,1.4633854852188326,0.8112884672128718,3.699376169286351,2.7138140442582688,2.2653915720929514,2.747361670178895,1.7866006336408842,3.7717249095053162,3.291392324632346,0.3672783185070528,0.17251868548581006,1.473801196399274,0.8068532681995663,2.8689117647129243,1.4113458259735436,1.1252140034852578,1.08772831060508,0.34906070567302777,0.989392584335661,7.379951187475788,4.608679033098481,3.2991775482570853,0.6036445775507637,0.4183453753934278,0.8915400354880514,1.0464085453537726,1.1414813395888253,0.9846566123825993,1.6349353473512673,2.242550207420643,0.13238344079165562,1.0246373244138056,2.4131152689378075,5.630675054125058,1.754496679088192,4.868172144297825,8.05448077392165,0.28582838222167145,0.561797603728422,1.0058955148966782,1.0494872391160892,3.1131140416042293,0.34720101295295897,0.9143325450548823,0.6377310618065608,1.2990346487712034,6.793788458487153,1.9138555444442316,2.326979703839944,,,,,5.584345040123993,,3.236922433079705
100,0.9051854267245791,1.4845578683983112,1.470489511387783,0.7811792886095594,3.6026223771567745,2.6931774060560314,2.343845790321894,2.8999628843131404,1.9896204158822552,3.723416138458346,3.224357698488599,0.3629975157337336,0.18425926213391872,1.5303042385631753,0.7900627798623266,2.932103645049543,1.3925511403730235,1.1424965626282846,1.1032198505773207,0.3520695225389818,0.9279981361484905,7.195551955138083,4.5491530720986795,3.3599250997859733,0.6034177922130889,0.4876765810183642,0.9159523399375412,1.0751781407176657,1.0940172212335475,0.9639495286011917,1.6401175291802996,2.1806873611334194,0.14288209324697715,0.9758655664859864,2.455374219318129,5.508166606180961,1.6932832727762521,4.8463114925993915,7.920239805995624,0.27164509212592847,0.5094080271719832,0.8960676649923376,1.0374406007252248,3.139637459452675,0.3463385521685801,0.8722681989165468,0.6065788759573608,1.3291354410047826,7.085237731359966,1.8584072904559434,2.3773410002183697,,,,,5.454959723202547,,3.084574421041025
200,0.8866476516424335,1.472159697971988,1.4667019632672613,0.8112071609606026,3.616336089394808,2.657494097377646,2.390640099890767,2.999518986967402,2.122257871900614,3.713061818275299,3.351266329542493,0.34636895179284044,0.17032440096192494,1.4798911363470038,0.7836982765591776,2.8688572833243935,1.4404327664850292,1.1613896911896535,1.0845716773267224,0.3639506588726302,0.9289791204870875,7.239732523277747,4.498831607517194,3.2941799065472446,0.5792902268623573,0.4321147749939562,0.8802742684418733,1.0450419374904578,1.0874053730007571,0.9485654508568281,1.633081791056091,2.146947601922605,0.1404301311576746,1.0157200984639354,2.352177562066345,5.515532122403276,1.6034777554384638,4.595499027769174,7.902393336437853,0.2618626106206287,0.519290236130749,0.9445433137919996,1.0394383276352372,3.1408052715884054,0.34625165339907293,0.8873506072063876,0.6288712305536938,1.2542273199336564,6.893657118342826,1.9825582455723634,2.323957214238442,,,,,5.342283379172922,,3.1286507453258885
300,0.9104961777582671,1.4882870157945802,1.4613048342109634,0.800447044599684,3.5638277341205438,2.6652049739456776,2.321298678364664,3.04371190543676,2.0553734423488006,3.665685546160819,3.2583851626567237,0.3499516422892041,0.17898294405130277,1.503556057212192,0.80850915961618,2.895744368328878,1.4502477492760213,1.12844464586712,1.118634083819987,0.3789245238326161,0.9934667374112127,7.369033071169439,4.562021163420147,3.27357147800276,0.5785535916340467,0.4538018973056214,0.9106557039866002,1.1537961399578691,1.1031587079376957,0.9868772678272509,1.6486741080453764,2.1294439081826417,0.15759975355514091,1.0120228171574166,2.4082604199993556,5.526546108964604,1.6294698130786862,4.697926023956474,7.865602146281279,0.25687053452505537,0.531138834204114,0.9392155833814565,1.0408166177492184,3.0118681612767726,0.3349601933357613,0.9146937166283989,0.6370211270231166,1.3444046368895426,6.834679019468416,1.8136275457436568,2.3930370374922987,,,,,5.36130925619776,,3.2169792722882344
400,0.915858165134357,1.480039646973385,1.467839829974263,0.8031974978889868,3.5953862365223883,2.6817004534455253,2.3314408517034586,3.065326612226144,2.0814988051621284,3.7400852264772015,3.3819737880472074,0.34444514004107535,0.18305661698053177,1.5292805358758612,0.8118070593657399,2.876220856995314,1.4633880019755272,1.1917969069623984,1.1515543982082999,0.38124091587791,0.9133901892168907,7.27973003340253,4.5509611774766325,3.2824408397552074,0.5988137273082341,0.4414622123752336,0.8866020365467695,1.1344223744458148,1.0976053624887703,0.9951059768033083,1.6460253307506183,2.1958709213334155,0.169298750162153,1.020158414946153,2.5193751889524543,5.603311790811991,1.8146884260466651,4.931798520799566,7.883928718176178,0.2879060146857562,0.5232119126918171,0.9866247275453388,1.0498127336512524,3.1281680509345002,0.35031164305892837,0.8849472444943834,0.6293679762531789,1.2946793299860728,6.928340199593403,1.9060248291680182,2.2938311201562946,,,,,5.548765230740399,,3.098060831277036
500,0.8947977732152245,1.4853394863918794,1.4640124409936457,0.8538888055623965,3.5929374165391934,2.7149841570522377,2.4013307153461603,3.0626361189137157,2.042706639512278,3.6975084875907434,3.344213718154364,0.35627386374870357,0.20262185876775923,1.5424999774536345,0.8393110933794214,2.88841766329517,1.485255621772186,1.2378388711611368,1.121130577843101,0.4086435769041611,0.9718937112602538,7.503514355960582,4.748342436585492,3.394734829611391,0.6048520108275115,0.4442128581079718,0.8862763155879005,1.1655571862870984,1.1342965232838162,0.9767779308898332,1.667628513598598,2.229245349546677,0.15841802291830653,1.0908484890051804,2.348277303986445,5.847719965208145,1.8324832255770327,4.776757042942844,7.863136152839947,0.26925455038372936,0.5219190549562865,0.9930690684498141,1.0770629579819788,3.094736722864271,0.3429798599370171,0.8831211840401165,0.6186850536795668,1.3373332181159725,7.117264182610839,1.9698692085512448,2.35390496962109,,,,,5.413839071840107,,3.1418283524630657
600,0.9050147761584116,1.4845865588377438,1.4798032654271551,0.8303388832048485,3.614886151207137,2.7057252027781025,2.3824197408962338,3.005493128650544,1.9720599856095091,3.6974564161536603,3.492200410887754,0.37408307667884116,0.19445202408171108,1.5100138919139983,0.8170962016415518,2.9368341775742683,1.4495030334115755,1.242543597338272,1.1034703406407076,0.4095701408009017,0.9572286081449422,7.496011890281695,4.741178104484954,3.3216722214518213,0.5991515728993703,0.45362876752365494,0.932456084939563,1.107767934801075,1.10540583908999,0.9837420710501528,1.66512273887524,2.1849425257546202,0.16659848142971562,1.1242294927134804,2.4065896260968165,5.78841293731213,1.8441408555070196,4.81122853460857,7.814057059767581,0.27071677825614077,0.5457029949059437,1.0174382122906829,1.1213187663916189,3.099201963023106,0.3497457597181459,0.8847523641096838,0.6470593811964478,1.3251181260936313,6.904407029513106,1.8852527603030467,2.4150706127307715,,,,,5.4645499367203465,,3.168857156437685
700,0.8771623238351124,1.4907853994737723,1.465096459975366,0.8271908806530704,3.577805585388807,2.7204179997822058,2.434570983417502,2.962676856053282,1.9896042330154657,3.6863775779266836,3.494019042027677,0.35727832014533567,0.20334982793803955,1.561149994997273,0.822726977623522,2.9086549164592146,1.4358898346472762,1.2036606402733203,1.1127456454406202,0.4007363806314205,0.9709773913947175,7.490632283287604,4.740482327571281,3.349000265728011,0.5866366992747817,0.47722418649205384,0.9071009191314172,1.1015200815894757,1.0983596061860974,0.9826377915129064,1.6483284818484074,2.1787497406183802,0.14993472545338332,1.0937514171996336,2.3450584740662967,5.790390920363199,1.8187042742116855,4.80794141868418,7.793508481170756,0.26073570317323985,0.5122349283683703,0.9902119904504406,1.070400484065737,3.080242683956131,0.34609352815998096,0.8746419409131441,0.6389825691083441,1.3166697716258509,6.844861614217761,1.960209044682415,2.3699630621352865,,,,,5.251832034259028,,3.1286985237848257
800,0.8897516674766394,1.475303452562069,1.4710567169667217,0.8377926265076723,3.5706521394312154,2.7450602346613158,2.43050042297102,3.0000076689305386,1.9532205899322972,3.7287699033047224,3.536143747571317,0.34938230766617684,0.1875216279946735,1.5294234589487936,0.8025234373746655,2.9163925788904677,1.4372973097728283,1.191715641651766,1.0865434694077543,0.402793029883113,0.9166588228110494,7.44575989905909,4.7242448213242065,3.3074111298568325,0.6050963133054305,0.45637796203189646,0.9158528098462339,1.1461987368527637,1.126694058379312,0.96309278906437,1.6713815666097391,2.204528202017259,0.153578217384809,1.1058674033024636,2.384338307234512,5.810169669015305,1.8316182459390065,4.909411270335339,7.780740940671574,0.25483433584357057,0.4990128539913411,0.9835851546559248,1.0753188194700096,3.1299044488740924,0.3499575908171209,0.8650987913580436,0.6180163014649134,1.3010912276646012,6.914051749138835,1.9827204710054502,2.3427507682854842,,,,,5.426358805811452,,3.1340155529212774
900,0.8848064277000205,1.493560204854124,1.4942415354338667,0.8245266947689661,3.586622083047949,2.7145134055708366,2.4214184174769393,3.056602964119336,2.062285909603692,3.7808039682217447,3.478014461604584,0.35871808822857415,0.19733955236435757,1.5571169265298366,0.835078747742295,2.8971541712756457,1.430960046824675,1.2476479267105427,1.120186984174025,0.39206675909781075,0.921823586085777,7.459636094095313,4.7234951750353265,3.3172811193191643,0.582805384374538,0.473870772505655,0.9089027337473259,1.0348504150183815,1.1030517620891411,0.9661305374166722,1.6695254062841507,2.211343281641444,0.15743875542620459,1.0946839590454744,2.3532823448699074,5.752046621285312,1.7943117145738332,4.759420601660852,7.83881121376425,0.2693343033925964,0.51503827590922,0.9801696693603891,1.0811912970922495,3.159491762046919,0.34777666107901956,0.8989584086386211,0.6476393589591359,1.3123532539368765,7.084169446389268,1.891248041374638,2.3651659336600854,,,,,5.385436438258017,,3.07320709502938
