,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.6228007243042363,-0.792619341394813,-0.7026731168290361,-0.29413939586457544,0.2763892609894992,-0.15914897901626537,-0.6678102451840281,-0.7406642229825784,-0.3724728866215393,-0.6058396257997701,-0.9159364929442327,-0.47191691008703257,-0.5736853040172729,-0.6093810654909341,-0.3549641887517113,-0.28933217401866307,-0.645912594702609,-0.7002428205812831,-0.5561521808506875,-0.6099000266270856,-1.2461626083996937,-1.5884407939261753,-1.0754972050814888,-1.166674814331425,-0.5865574290479394,-0.5245629140350321,-0.3617205311955748,-0.41700665883930016,-0.3213817239080246,-0.16798960276991523,0.004156646660736181,-0.9480651244958805,-0.6603485534125498,-0.6469358917588895,-1.2037452661797767,-0.868774753496519,-1.1912232091804984,-1.2228915967457947,-0.409654352192777,-0.5123624072400165,-0.48510556666496957,-0.5426390182669776,0.05286196695732003,-0.08109852326723802,0.0037234643250455366,0.9438539417334132,-0.6438848189284838,-0.4750012408030941,-0.6858707455607658,-0.34955698159990595,-0.22555523117307988,-0.4738634287766322,-0.35669641264858215,-0.3946388786511557,-0.4064755529985034,-0.31711486824169155,-0.29358273285802333,-0.04623208131289048
CESM2,0.6791313631849187,-0.183341467099252,0.3042994526651571,-0.1245088430884146,-0.2731855901730037,-0.05215481154721375,-0.24476180346846976,-0.22852108097554105,-0.14658040569100206,-0.24133473358882943,-0.08592823904056637,-0.06367385142042027,0.2790363646159572,-0.24928862565411225,-0.04858170538692971,-0.04170570861112417,0.2580421905781016,0.5387598347870871,0.25570478992547596,0.2654495292605222,-0.4342239381663402,-0.9330024378210552,-0.623393535266154,-0.6772352523452339,-0.32344706646668175,-0.1128811409612024,-0.04976212090458567,-0.3373313353352141,0.20649850583972765,-0.15681755955538806,0.04322895475997685,-0.0266536705134981,-0.07812742130703257,-0.29839700016957105,-0.6855190199080605,-0.23186525806940328,-0.29685851131964053,-1.0987141145774442,-0.2989426358682928,-0.16092804502309188,-0.1491898076724784,-0.10505236764806669,0.02135055404057522,-0.15665895554158296,0.18343798330076855,0.23646225928773437,0.5607556767042438,-0.13755176991262172,-0.3327410840855718,-0.18437342383817787,-0.08891431305417523,-0.380933990352692,-0.22404304948277384,-0.40303935251839834,-0.4849245115936911,-0.29156846739750464,-0.2207387577000157,0.08859317120607024
EC-Earth3-LR,1.994358042190157,0.24385990351338743,0.9117442901120163,0.09291825690995108,-0.12331199281346017,-0.010299841406983647,-0.34308620018698976,-0.1982625544803573,-0.04035862906916091,-0.24586751171473928,-0.24604524036815878,-0.2146601928578171,0.05286537610232546,-0.22304033405873086,-0.010592049811787258,-0.043990701241006985,1.674947732569314,0.7189707331645412,0.5279864168581723,0.32799089575044205,-0.3032000598081913,-1.265060853016794,-0.9710288792187546,-1.1947778456021452,-0.4639517427173303,-0.19750677939194003,-0.12962287181163917,-0.24844027950787292,1.0148578938330182,0.15048066995958903,0.31333709827273293,0.6055080396744597,-0.11007925355126115,-0.036411442654284025,-0.40795365155900476,-0.198016134802788,-0.35502687264794397,-0.9889219949282693,-0.34447237401819486,-0.13151034139847742,0.02555706965080075,-0.18077955951386576,-0.21138851991176597,-0.2642727498577429,-0.10510923219879215,0.18994859133588432,1.7762895781000445,-0.023347375949041748,-0.24341086575948673,-0.26181884318761556,0.33766535227605105,-0.3404912599697297,-0.26919171472773484,-0.4010216094276691,-0.6498479409040757,-0.3683315231250975,-0.2617366099739167,-0.0720990094441681
FGOALS-f3-L,0.14800116588915257,-0.29754305679467763,-0.25210992141068245,-0.2199139810440989,-0.4983247046993686,-0.4452073522538906,-0.5021277266394986,-0.40568353389988293,-0.34270290466769543,-0.3958076170198482,-0.34352014703302153,-0.5031661844863984,-0.2433189053168763,-0.2706018485740472,-0.23458755771953405,-0.191695037334597,-0.04556835931187273,0.10703187602572392,-0.2403597103722251,-0.17270327568926577,-0.6885354974943059,-1.0567442847995796,-0.9332403194139538,-1.2048179180361969,-0.5105241403029045,-0.467390543851072,-0.3603392039785197,-0.4065330762390247,-0.050706435928988346,-0.5302520402337647,-0.4122238297781513,-0.4861367373024262,-0.4721535958404531,-0.6044701142764675,-1.1055955292638104,-0.6855874270181982,-0.6782597468702465,-1.138928301293103,-0.5023261787988583,-0.28977677799481055,-0.3928242824956305,-0.32589440349915677,-0.40423776734918754,-0.3411922724997786,-0.1682385104031663,-0.5189541331024772,0.28687904350389626,-0.37091341553178003,-0.4126250906224502,-0.2546575389527376,-0.2318254124983771,-0.6005753608938702,-0.43032086044190954,-0.5722171092512568,-0.7074731828838787,-0.45851399366998713,-0.3528920939398807,-0.22740945170596594
FGOALS-g3,0.4373077921168211,-0.04138264070754175,0.5969360873098901,0.27133766258354025,0.1262350994085016,0.06224352021887998,-0.19503376191322921,-0.4349997781187592,-0.42896222332393397,-0.051115567587745075,0.6504887922791346,-0.1565686344357828,0.3621219036013706,-0.27606551145781527,0.32150682880140025,-0.22447735944223177,-0.05082693164433811,0.7054043571033117,-0.09099005468311788,0.2493124107198103,-0.49595210320739247,-0.832782874215914,-0.1601523539301983,-0.9772738614718772,-0.1333204322384034,-0.24166721253521092,-0.07420474945502456,-0.3301548116344461,0.3636959152567124,-0.2614678392863048,0.3945294095841158,0.19289492793459964,-0.22674066805940243,-0.3397904525352002,-0.4061913075056556,-0.37076969457883113,-0.6068047348183077,-1.11736862142972,-0.37729294673752045,-0.20196749831999083,0.04159960373786832,-0.11199378976141788,-0.04486024238111857,-0.2682445233323448,-0.05683341559851706,-0.03615837483256298,0.10103906709522358,-0.43090600805531076,-0.45878651331795434,-0.23806207898649612,-0.1766862920693581,-0.6618193200606224,-0.28408381567309504,-0.8435162407400779,-0.6601088916055327,-0.45707837181142913,-0.3156874568072048,-0.13382950781979516
GISS-E2-1-G,0.1844566370315932,0.04538984488432453,0.11471331615932139,0.13505308315237263,-0.3429707889198172,-0.3191634550447613,-0.4615054754167119,-0.4737674522058393,-0.36108692079411236,-0.4319278799683507,-0.32654436157377037,-0.4580727409286117,-0.2824175182732549,-0.36974184388894743,-0.14143655485246515,-0.4543627850347818,0.28327281224133477,-0.049921860548666264,-0.024261656304178914,-0.26597135140004446,-0.9865248202906073,-1.0439994997046667,-1.0785022612523738,-1.2576995418953585,-0.70170238795462,-0.5299836507493342,-0.487357037329242,-0.4546204546885488,0.7334378355492596,-0.0658525952260729,-0.1458829818779862,-0.14901813532269897,-0.55424828458256,-0.4558799040128067,-0.9805827230582218,-0.6322736235185625,-0.8911786883898994,-1.3193986534818607,-0.46815517428944486,-0.2871594086762596,-0.2563253889599892,-0.34782790697396515,-0.4217286778135204,-0.42372854438260144,-0.5667074188712957,-0.5710698344891662,0.6817259587507544,-0.3217483750738897,-0.4283137730069357,-0.35563675366469477,-0.19694446499626048,-0.4796467238176673,-0.37435970265446666,-0.7457448874079086,-0.7379445084341764,-0.5304904339327382,-0.4127794015018785,-0.46829384465350493
INM-CM4-8,0.46880869653141527,-0.36595620867201883,-0.21287929269191688,-0.5839293428691352,-0.563280198193525,-0.4878669707511606,-0.38637578653346194,-0.4422835345780121,-0.21566800260890967,-0.31817910266841876,-0.11513446519965727,-0.24690889106168457,-0.10432668436486739,-0.44111879467920123,-0.282423587863164,-0.2947415277846815,0.08460884051229903,-0.017672242228179723,-0.45726768840025483,-0.09719955679487119,-0.4043997789371974,-1.031927602342223,-0.7602291370203805,-0.8336581731067857,-0.2970087067344595,-0.13623928702347748,-0.055767715977764365,-0.2894211574797143,-0.20681927626401642,-0.5040850988735974,-0.645803892772356,-0.6579119860519936,-0.3937266539976682,-0.34942411368072246,-0.9768549276121478,-0.6039109278680107,-0.7571053878068195,-0.8583194421269147,-0.3761830665133563,-0.2395802740227059,-0.21391575518260791,-0.17008680366903559,-0.15679208516343054,-0.21067097076504707,0.02883951526847346,-0.4126321613081284,0.17057086421484363,-0.3126587808750547,-0.4006922472615697,-0.31331742033715465,-0.13804698632060464,-0.3588957949499973,-0.32552843945390897,-0.3272806674436335,-0.44036098139207924,-0.2501575878144294,-0.20741325422871001,-0.16126584780714473
IPSL-CM6A-LR,-0.0723321284290554,-0.3486312228453905,-0.28167693548771194,-0.1664266627822453,-0.34064752765733813,-0.37434229160031873,-0.4806588639071612,-0.4485769849173818,-0.2502887134785672,-0.4878733501236802,-0.43808723037702024,-0.35983393663792507,-0.2727330209044214,-0.37185212385848254,-0.27877862153847044,-0.2500804847795409,-0.15623501686090172,0.07058651032828317,-0.2617501525829702,-0.15391972462291528,-0.5480790644214473,-0.912465785194626,-0.7547789383907184,-0.9531724129078237,-0.42614637132249317,-0.4322587936788948,-0.346027278656421,-0.40273858851742095,-0.05799179051466452,-0.1507024049354433,-0.2029040033948077,-0.6572927524010008,-0.31999308818073857,-0.18388605494061985,-0.9179446919497942,-0.7089703693431715,-0.6472599595222238,-0.9834613677487092,-0.47079597396703726,-0.2766226886012578,-0.18609914861287355,-0.2586368557209412,-0.234091126191325,-0.266416949755888,0.056594112494890055,-0.06378687101047484,0.0942368292512217,-0.2691743298210024,-0.5070625656765164,-0.3129658856335146,-0.18000699514093726,-0.4302291171148135,-0.41168206169089044,-0.5475956273178797,-0.6537367520047601,-0.40577280208316824,-0.3014283486290559,-0.07626524478051758
MIROC-ES2L,-0.015585367680014938,-0.4275127360752332,-0.44778663990264517,-0.332122270047605,-0.9932070789248941,-0.6909019423142643,-0.7768690174954547,-0.49903820269402965,-0.36599409030730723,-0.6119688387105715,-0.165616207209051,-0.4697217244809436,-0.4084335469458085,-0.549283964811787,-0.49964767816683375,-0.3401236555360747,-0.18013521963311074,-0.04149826602012505,-0.29167698463121366,-0.16740808738810806,-1.1003728667964014,-1.0678944429052226,-1.0527516593828603,-1.226099086966653,-0.6706860171127141,-0.48743021091464916,-0.37027413777746665,-0.41196658810710685,0.029215564746875384,-0.6943522214185993,-0.530173386105366,-0.529124444069004,-0.42265696925208196,-0.7234415686197196,-1.05264689124911,-0.9924042503129104,-1.1350187129554568,-1.150710307892389,-0.6149574738006823,-0.47043555567629514,-0.3665329990469148,-0.39449763329154997,-0.36782813470625075,-0.35061839108448317,-0.4468137485850204,-0.3617704522235065,-0.00047511270462594686,-0.39979567853190123,-0.6146068340559497,-0.3753067759758679,-0.2886225701349388,-0.6654698605355511,-0.47493070151328887,-0.7705479130856983,-0.6453740412962025,-0.4997099588506336,-0.3809423851299086,-0.3364301794381245
MPI-ESM1-2-LR,0.03172756536471774,-0.5529036373645194,-0.3814788160285141,-0.09201966639062208,-0.07372258464335543,-0.4047111017854991,-0.4528851964429861,-0.584480980092353,-0.32859898965037104,-0.4660718489668791,-0.5090458346330385,-0.38152319605672125,-0.06825605155229277,-0.46097137283650785,0.12461495719875632,-0.2684074387066988,-0.07234828368005035,-0.048637369368813604,-0.10130302884859282,-0.28770685319291595,-1.1010480133953768,-1.9235076100442665,-1.3697791175476814,-1.263644686972617,-0.5834987666464492,-0.29523190095937824,-0.35585148834063407,-0.4007978433342309,0.015659292320228405,-0.21801412836748427,-0.17818143157843527,-0.512457413222548,-0.4834570509054771,-0.490056860410781,-1.0039007052575286,-0.7352772041464538,-0.893453984985684,-1.4404920509004322,-0.4425057284977291,-0.17442653421287793,-0.28414027070205256,-0.3215015830030992,-0.04341748133601512,-0.045139091843969185,-0.10241475063276952,0.22716214746485025,0.06341991684825832,-0.4077603421581227,-0.5819091500548701,-0.30345293081387065,-0.23015079748756684,-0.42974205208824906,-0.288654039605664,-0.4926445265926316,-0.5626763857956641,-0.3966854131880856,-0.32822022594318717,-0.051471738978731925
