,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-12.366542028185457,-5.634541094728496,-7.9062752089374,8.521084333879012,14.780435813488516,12.212946263618349,21.891607725609198,28.0024063809603,27.324147222413654,24.460570594911072,29.064662093845705,25.791320020691145,23.67656109143365,15.274022906403053,20.670244260495576,8.61405719197303,4.367389791070213,8.499960536277467,2.8651425049451387,16.82954634136483,28.833638998422867,27.356585520134185,25.979373459659683,27.91882485167741,25.892696543771773,21.441186288652915,22.43770218189908,26.572981524391032,-13.59920327392517,-1.0110434706875413,-5.422710831880187,-5.63671794229119,14.423016934172885,6.78591722229011,-2.018339380048073,15.26210219596185,28.617127484370297,26.787764568190337,28.795338700853943,28.26678612245851,23.691609735429576,21.9106890363752,16.15325315316505,16.067170811075258,-33.60620493853325,-21.355165135037005,-16.511124979568706,18.80143857354646,27.283148498083175,19.104866360233306,18.939702527102572,27.676057504768348,19.516473188515565,27.125345549048657,28.49565519187223,28.518935368313713,22.78806885039169,3.7851355460389082
100,-11.947743054834016,-5.456266200104409,-7.644083255779024,8.493728447593904,14.764885374115272,12.258615472704376,21.97326189803412,27.977510974264472,27.47508473731406,24.398614972349993,29.038869958070784,25.751355123622638,23.623336514111774,15.235586916546412,20.58252508845292,8.553486256240038,4.71606035992232,8.521213787182347,2.94933807174324,16.842106464377373,28.856798658042734,27.338670276652856,25.927170582069177,27.918427803064194,25.82660763790945,21.3923559095378,22.391209300757225,26.53535369359262,-13.279133086788788,-0.863067817294647,-5.391823421865159,-5.418810790536004,14.498284712401816,6.845140293333258,-1.891451070745451,15.263712297321304,28.56839122584246,26.65846904778637,28.76717742745397,28.265246453363467,23.81515307067684,21.875077214669847,16.205526643639903,16.097932586033213,-33.574457481781494,-21.45202522265619,-15.675972131916291,18.827648846987284,27.20481345178831,19.07156533125858,19.05853491312729,27.65550624604289,19.528906581062746,27.112436628852382,28.451466704137488,28.511417479934106,22.76700828227445,3.78546625654709
200,-12.477168884488904,-5.776361458481327,-8.164234355521781,8.311635415463526,14.67429322372398,12.048276721565612,21.80104664675585,27.909976181515265,27.252444540024136,24.298354088335195,28.86203933913315,25.539534407736554,23.444437558660564,15.156831900578982,20.510942699502394,8.45757351734554,4.209187731065863,8.271866941950325,2.504539203257991,16.692934378999333,28.715405237688184,27.339016543955413,25.85735892919977,27.660135940323173,25.637389579683976,21.309590555445745,22.33136070166419,26.537936193629516,-13.836857244210128,-1.3110405871844182,-5.597249381096068,-5.788077596624095,14.169737019151558,6.662428314124695,-2.1669063972687224,15.144139152892288,28.450705001765858,26.575811064448132,28.694791096682746,28.18774874857993,23.56344019664987,21.750492982155823,16.080326625182597,16.00808339655752,-33.78896938224739,-21.561190585571104,-16.61289802896664,18.74910249118733,27.158832930069337,19.01974145875352,18.8721247830363,27.627363585624224,19.463327524675922,27.05982538921816,28.363034903008316,28.431338331570437,22.707110083669942,3.6276677696271244
300,-12.531632429910204,-5.769303427305576,-8.170398157761067,8.391703246204314,14.647658154085478,12.021223579283848,21.65308955843005,27.812978915984868,27.20209255568273,24.183448044955316,28.698272152401195,25.4575530795521,23.406492086242366,15.10272061099604,20.480594482069314,8.391064359262657,4.18452422245565,8.319897450914826,2.591890068615132,16.66221553551864,28.5828089817155,27.16790861215686,25.741996781685888,27.693599565648505,25.617974234329232,21.167696990158607,22.204237006229107,26.436646978237217,-13.963840488195238,-1.2396955493648902,-5.712123469401518,-5.990732995264211,14.16789596223247,6.662910346304422,-2.111660671967914,15.092827756472312,28.358103875335054,26.581531500504774,28.639215509624066,28.08717218112082,23.652802677040395,21.72505503147997,16.08416791858796,15.851890808135515,-33.71330162010142,-21.537779694902277,-16.653401320557577,18.630237967195637,27.063607447165758,18.970120160167962,18.84763655616003,27.57501296953726,19.422697049567876,26.966447661959183,28.35838985372877,28.389215055958438,22.67492693604038,3.646975833534437
400,-12.256255519737298,-5.653473642018599,-7.916170572744217,8.478523341767213,14.648029111958031,12.077457524958067,21.758178141698618,27.88641949060588,27.286901952438033,24.336347618823684,28.876764376468532,25.619495679066777,23.53068037864137,15.217764308875585,20.537967207162286,8.526371329128349,4.494643871881486,8.417742919855643,2.749181725672958,16.794609052084656,28.7318175713753,27.282304899768487,25.866492628553544,27.718423129742742,25.70821603389465,21.26143107134917,22.328816103102575,26.50677259137852,-13.540768232799245,-1.0402145588419156,-5.438044871521819,-5.610366422317843,14.208012004028252,6.7358036480401235,-2.1317805693320127,15.176792713430654,28.437333939642073,26.621930491371995,28.710286701972436,28.257160614067594,23.830000988365185,21.849632691970896,16.10815078303007,15.93908052321419,-33.65214971111541,-21.559018228682373,-16.37744174588104,18.772003052909536,27.175702827191895,19.028733346514514,18.95863468014731,27.60679666934101,19.46539240332318,27.067315044380113,28.382189478647902,28.45987253745243,22.698615162033622,3.6921650691492225
500,-12.284074516954739,-5.539758132533774,-7.868992660627071,8.445915714426443,14.762697019117441,12.19389316525666,21.88350206327514,27.87920745862584,27.242810936565782,24.300883600085456,28.8876937167745,25.535400588037366,23.482050829199363,15.120714784042585,20.566186129800307,8.477059346220832,4.748791295613564,8.430298019458398,2.8066135167455086,16.722043644141525,28.717072707231967,27.31137024300469,25.85906129745965,27.737274752573164,25.713260240674188,21.31597775271088,22.319405571796477,26.47867124693095,-13.378575554779479,-0.9884143788675115,-5.499699976549345,-5.758012472385283,14.279076044890772,6.7373078684709995,-2.057195699549574,15.227418125334523,28.448136822177926,26.503379781619362,28.68984661919484,28.16364827446774,23.469492595459595,21.68943919384693,16.001320849862257,15.896970016107025,-33.77090755903918,-21.56544154406417,-15.920816849597458,18.757317711808074,27.13368932285443,19.019775627477703,18.972637845351976,27.589991121126367,19.483051854443534,27.03884243877106,28.37451226356056,28.401616098417463,22.674447042551805,3.637243111386774
600,-12.443534628390912,-5.71252616235501,-8.077053892358462,8.421727535005955,14.673991538116912,12.069550525946239,21.735010982035103,27.816583985633667,27.180597199701783,24.232513522366805,28.671649473695755,25.474287356408436,23.370764409853724,15.099084643262083,20.46581370651103,8.476808423480264,4.404989037966131,8.409376112409072,2.6296152557993375,16.67879073994371,28.606696690543767,27.203316326521335,25.760632891973945,27.636518380035135,25.613608324508036,21.2039286703849,22.201596453597553,26.362564022924943,-13.578935700958985,-1.0271680413577204,-5.456593930053045,-5.919040123119631,14.10196785335295,6.598681011443104,-2.174227667842426,15.11032559532508,28.373784885342847,26.453685471794355,28.648204956787566,28.069578578393614,23.531005729015583,21.717576620278397,16.067584831117866,15.91269398790483,-33.811763892910754,-21.498056372735466,-16.32101545991683,18.661118316667196,27.1097212813498,18.973376273038568,18.835595478211538,27.55633312741902,19.42194180867013,26.981023318989944,28.335000922255592,28.38309677273531,22.64901274659091,3.6453152681062604
700,-12.262686517782539,-5.7578646030381035,-7.815752873055914,8.342796915929503,14.65214279867367,12.097342939195517,21.817333457969983,27.794824636642662,27.20941768214376,24.155692287959823,28.642747635709128,25.411004983951162,23.397104425486184,15.032133469586753,20.51502393484861,8.456802929699725,4.598381840310333,8.39949948397438,2.5438631545716786,16.78859046946269,28.707014653681068,27.174377328595344,25.77050855704816,27.806995360187763,25.689971279362414,21.21709999351761,22.25327182453088,26.471005294999095,-13.848979372376595,-1.3535872150315105,-5.603287513979914,-6.012220601298523,14.143285250765405,6.641205343347486,-2.0008063762987502,15.14006183623374,28.422409068748113,26.369814799565365,28.660825538812823,28.102804290477376,23.50327734720908,21.724264267312503,16.1351867006082,15.973948527410226,-33.68290962837,-21.376960357724222,-16.355318724918725,18.674204509113814,26.993161710910872,18.959494934881075,18.907285036052027,27.582762795048374,19.49653033855371,26.949635920053748,28.339318805711137,28.369467830031233,22.711137039611007,3.6934928326453376
800,-12.19434946367724,-5.528519374144774,-8.011167232742705,8.434197641717317,14.73557551063539,12.197372359457763,21.77705355992874,27.829971546784257,27.205889570192813,24.31075399286235,28.897624222447007,25.54305989566456,23.50726877003685,15.163149113812315,20.477932436131663,8.516965180849434,4.602028665170196,8.501413885227915,2.8041854749025883,16.818522107285357,28.71505411229236,27.233430408641887,25.846354783254473,27.752775020100295,25.73489569876144,21.31555646168376,22.318113231146455,26.512258318945815,-13.486711721175297,-1.080410558423047,-5.531105848975099,-5.773767104720544,14.226691636365262,6.668163480357259,-2.1514212691984413,15.154666774933709,28.473957962228056,26.53828775981064,28.690842246616047,28.16195089259292,23.540930406717283,21.748767736645004,16.070170181066327,15.959821546428563,-33.80411673211391,-21.494837543425014,-15.982293369016784,18.739008716834523,27.149971927445574,19.010798871911106,18.93453587277854,27.605847323056413,19.47173767809988,27.031319960894955,28.381879323120458,28.4233542925896,22.72345325247514,3.666619379300896
900,-12.723925496235625,-5.787409825352093,-8.232225846342448,8.26391637056795,14.601344644019685,11.995453805437375,21.680528158818195,27.76188810382335,27.091138754146517,24.129791241592297,28.504855063651235,25.50064023317658,23.30076265516425,15.057140016681402,20.465607210181872,8.451933809661055,4.294429633717711,8.348028757174625,2.52410247038457,16.621887213929334,28.55051652055266,27.152384929057725,25.70313070704666,27.57422114825115,25.499533185276707,21.187706010256967,22.19769464959711,26.412411566216633,-13.775052120724089,-1.2267480291492547,-5.717048102698175,-5.965378050412369,14.057850133563393,6.4851177327758345,-2.1848491434414745,14.99691919017376,28.28996768852091,26.414651328555912,28.60547276014153,28.068986864320962,23.604644068095038,21.65815632045206,16.08718280709246,15.900601733040796,-33.70379522495755,-21.552244787730725,-16.523954011401976,18.637960970999334,27.052792185466778,18.978823904136718,18.678278361935877,27.492398139678865,19.42638149778059,26.90788102828131,28.3120154109931,28.340079822843215,22.65536250870919,3.657599043796253
