,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-22.278197350077107,-11.074561539683717,-10.465456942017417,4.399073069326918,9.060585120827524,7.829284027564342,16.52626357916545,24.30645336461259,24.175689697265625,21.31802545250685,24.345266484716312,23.3933463121673,21.919343492463057,11.679213957373678,16.60460823203281,6.055189192340879,-7.2584271369126645,3.6749220802783675,-2.52010949113896,13.992171237323332,22.427847277048187,23.245399823291386,21.315200199687617,22.58144868896887,20.373709950707433,17.86762082995145,17.685261559997794,23.12832459554188,-21.310616644339763,-5.366343250489296,-11.36745614602752,-16.303393084950304,11.127466194019346,-0.38311780233161824,-0.9379644042887232,10.004332578771594,21.886940868642537,20.87636315065351,24.406455906763938,25.197298614004616,21.19308481926496,18.438708153547196,14.542002643782938,10.484681972809158,-37.01283925741609,-23.575964992318056,-21.826324462890625,,26.257264052461284,,,,,,,,,
100,-22.719247246419933,-11.902250583072698,-11.436784343962858,3.8273032038566845,8.486154270540293,7.155707734307101,15.969382454196294,24.021115910167318,23.853973388671875,21.04145480269575,23.92573515589251,23.010123889577443,21.497074013929705,11.357365804136906,16.306794117007914,5.7711473505647986,-8.543180770936946,2.9589984767688473,-3.3895442516592356,13.576475201695006,21.964307996152062,22.918631196067313,20.958772325087068,22.243051625400593,20.005517085963913,17.428803849404858,17.34368876096907,22.81898147980766,-22.33704208175149,-6.109984709290554,-12.231307010245386,-17.205475358122087,10.714752328180765,-0.8452810229890786,-1.498875843582412,9.487990013433661,21.532077860158918,20.485387118904352,24.08571318726266,25.01705642382758,20.976357716822932,18.188920891255325,14.180275511841543,10.205441610778404,-37.313793568905716,-24.12292526792356,-23.336296081542965,,25.96728667292945,,,,,,,,,
200,-22.355085799447565,-11.569941545153942,-11.413840880239096,3.8568707761811023,8.368225974542632,6.954084197232417,15.720738258594137,23.92615340776157,23.785491943359375,20.997686911789614,23.777914709848364,23.040369114735864,21.438378479839766,11.29300718247767,16.181542833347848,5.695992734613292,-8.520180965016776,2.930330319036376,-3.2954326782113164,13.513676496173488,21.921452435120408,22.805965871107535,20.848228123610067,22.124234946766293,19.899840792857287,17.29087513144047,17.165315547735972,22.7658389733553,-22.312910340602187,-6.233841395621817,-12.380114228579744,-17.335868182358176,10.526675429220939,-1.0567105019632843,-1.5389905628970852,9.382718202906219,21.4268776434287,20.519993389028382,23.99734844400425,24.919115982514807,20.824647215104047,18.026000635230066,14.171267226735505,10.122611231411597,-37.3986850864337,-24.107878605196404,-23.503906249999996,,25.89799335241615,,,,,,,,,
300,-22.11016071798578,-11.853131646731306,-11.359371297199917,3.774746801914279,8.436087254074073,7.171436724948029,15.964422906917719,23.983160684471667,23.8189697265625,21.022768266859046,23.82262294712952,23.084227828994635,21.491223757810328,11.305273451424894,16.21093306075327,5.739218424659872,-7.678149212500424,3.2048681454713117,-3.0583827215885866,13.586967830340928,21.898776450580627,22.7879640611065,20.821888032133828,22.052529705283163,19.874290634859545,17.312722159006615,17.22623631488847,22.739697236916186,-22.311348800360037,-5.94529021361295,-12.2285593237339,-17.204396710534095,10.638397059502562,-0.8961592291717706,-1.4166092734949518,9.517457621519561,21.454216752035848,20.593976859968883,23.986809710858058,24.847776216428834,20.77099393446746,18.13720120956614,14.079078914005546,10.019829383566927,-37.53804811903794,-24.060859655682474,-23.075569152832035,,25.875035761770896,,,,,,,,,
400,-22.166646829642392,-11.804322148296263,-11.15753773751046,3.9730039792045027,8.637194904534248,7.322949009817368,16.087104302923628,23.952703086845933,23.873931884765625,20.947655652940647,23.77566157700157,23.146215019048217,21.550342644829875,11.247183680980553,16.327986469423323,5.671476142412808,-7.451220998634147,3.4158797097496567,-2.7722716582527074,13.583773257840567,21.85946234626174,22.904485804639812,20.910163270129242,22.053299709764854,19.932394259548865,17.406875524941228,17.250227725359423,22.79588801912005,-21.949324974846345,-5.75800838502222,-12.016902702681161,-17.07318817992026,10.668192503583747,-0.9489218600834168,-1.7367163307892863,9.60656884864073,21.49901958776358,20.44354946148992,24.067724338731107,25.075396389875923,21.01095401461792,18.119655473662394,14.154265628809071,10.096173592219156,-37.50624917912024,-24.1996255560191,-22.945945739746094,,25.90158026645211,,,,,,,,,
500,-22.528585519622865,-11.823269954141804,-10.99088570606653,3.9434489702649818,8.741631452251179,7.455536921565386,16.162833016946557,23.950454580326568,23.901214599609375,20.951620618451074,23.89509023835394,23.15654095461192,21.550649129552742,11.123209956152591,16.347039910207915,5.527101660594415,-7.47484558946338,3.414441009372296,-2.5970874896491964,13.61498377514193,21.915624757998422,23.014718674879838,20.94678126178675,22.003492669957534,20.032901106830497,17.601604859603448,17.32236041176914,22.83023658709066,-21.998706462700127,-5.604560343474802,-11.852336216340673,-17.053609545345765,10.61336394809383,-1.0771041417999643,-1.908931714992481,9.67471093674086,21.47775748456599,20.493812088618686,24.07581272699434,25.03756439154736,20.992824632152235,18.01171846748108,14.204351522996939,10.10497634741602,-37.75416200449769,-24.21771746745829,-23.34536743164062,,25.876275402078978,,,,,,,,,
600,-22.87913452019808,-11.90119577379802,-11.240209539002903,3.94450077555585,8.773916393218393,7.396356837537733,16.116724960978914,23.961183166603984,23.87066650390625,20.938148155477293,23.79174827809598,23.163389709497885,21.52281590596721,11.176466625123508,16.342676661471728,5.554457498357975,-7.870367097727358,3.2226409609990956,-2.8829429285499164,13.522143410219927,21.817026500926133,23.098030346855552,20.98377530809234,21.978020363433068,19.998210693990412,17.565122758903954,17.348425884545318,22.897092031649514,-21.928485989576647,-5.785717674587575,-12.133156034684209,-17.00001067567954,10.553859345782147,-1.1454753404051021,-2.0201599248567272,9.590064582949248,21.51373797307583,20.451464443557725,24.088874381421476,25.2182757405741,21.114483768484977,18.14403654208086,14.168960956677479,10.075518771621457,-37.65031222274991,-24.048676256694478,-23.047752380371094,,25.884347233273875,,,,,,,,,
700,-23.36691264496062,-11.812026913990447,-11.261658315850848,3.9170086385353224,8.693894974426623,7.354153132954525,16.046743935645107,23.934887571518622,23.81793212890625,20.919580477667637,23.7553053862054,23.102788005337544,21.58619310668788,11.14899871203265,16.33869796153001,5.4815617388374385,-8.257898573492712,2.96176218255599,-3.0204446408906755,13.405451757225904,21.752589312878786,23.023554778341055,20.956726531967004,21.934505745682454,20.03331066564691,17.607284712088827,17.30191118032336,22.81267813282099,-21.932968066234746,-5.895428313271302,-12.08783865283653,-17.325510529147326,10.403859417111086,-1.255631123487561,-2.0450522983000368,9.510101861380544,21.36692487487348,20.366320252102504,24.056073068143473,25.26330067785101,21.140602023205464,18.206423082032444,14.11683930640824,10.015565217831693,-37.63061412831769,-24.073022337620547,-23.243858337402347,,25.8639179801509,,,,,,,,,
800,-23.001333684036865,-11.921892913409764,-11.183281609283144,3.8692657319813413,8.699170528525313,7.4076646414303,16.049981404742486,23.930013004507753,23.8118896484375,20.91163303476806,23.801684320298683,23.203628472883775,21.593143580006917,11.150309554247645,16.398369918709683,5.514137123367389,-8.039180005084345,3.1063388971173818,-2.9879975764207396,13.48358845291288,21.773263852018637,23.04325345893929,20.976771568721688,22.018788631705583,20.02945653500385,17.63391283343492,17.363898525644068,22.95288673007381,-21.94816989831132,-5.883124531380984,-12.042272950265842,-17.150918701912204,10.473440093061898,-1.2022803507538442,-2.024277608959377,9.575187308108182,21.3990374981004,20.39986812001279,24.06620585477798,25.111743111360905,21.0222111748716,17.96301196994403,14.231678804483861,10.08877564495697,-37.653179381145755,-24.104890644310775,-23.075592041015625,,25.885046440444537,,,,,,,,,
900,-22.943804055095676,-11.928518004352034,-11.385712371631017,3.7796831886626063,8.664947571890798,7.268155070748736,16.043981837455267,23.919003776588085,23.787322998046875,20.92996136354324,23.80228245709579,23.116231367404094,21.514816189790235,11.154074598407165,16.347168948672454,5.488927072541308,-7.999987843729245,3.129253729067227,-3.0538308373335097,13.431265151812791,21.76311454674668,22.984818307984067,20.930428218891638,21.92800177662998,19.994165192813373,17.658810570598657,17.277247006537298,22.776212267274136,-21.793018505793526,-6.042637802316509,-12.126947186281217,-17.044270118983764,10.367480672833038,-1.2517825389876807,-2.0120942624504847,9.550586544180545,21.382442606557852,20.480713904790477,24.0530435673547,25.206117552649598,21.08065783920937,18.030568319800988,14.133668525100115,10.002897048801733,-37.6627129410761,-24.105561465507986,-22.902801513671875,,25.853733211895708,,,,,,,,,
