,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-1.0608423,-1.323575,-0.793363,-0.4869997,-0.22795692,-0.35135502,-0.9905268,-1.167061,-0.727307,-0.98185796,-1.3733815,-0.67402667,-0.84215313,-1.0468395,-0.68216455,-0.63281494,-0.6737179,-1.2093126,-1.1913644,-1.020822,-1.7355952,-3.1310048,-2.0095015,-2.0239017,-1.217962,-0.9222468,-0.7225475,-0.66408217,-0.7161177,-0.681939,-0.31029764,-1.5778021,-1.5992583,-2.002351,-2.1639507,-1.603214,-2.0930128,-2.2779765,-0.6254381,-1.0792378,-1.2388432,-1.373449,-0.5391597,0.028420072,-0.5037723,-0.0323985,-2.022959,,-0.30185512,-0.27206025,-0.1075114,,,,,,,-0.04222111
CESM2,0.22380958,-0.6847875,-0.34244117,-0.961998,-0.98598117,-0.79804534,-0.57576096,-0.4205806,-0.20256712,-0.64272696,-0.49125826,-0.2500177,-0.31195256,-0.4864097,-0.36242855,-0.2076666,0.33722243,0.15820402,-0.113563254,-0.36392367,-1.1269025,-1.578337,-0.95147717,-1.1523427,-0.5613474,-0.43902642,-0.25790355,-0.5063793,0.08067889,-0.53165025,-0.5288838,-0.38334742,-1.256952,-1.4744354,-0.7407083,-1.1194098,-1.3840839,-1.8023254,-0.6282525,-0.6779986,-0.95452535,-0.6568979,-0.55611295,-0.27452138,-0.38629824,-0.35557836,0.8256283,,-0.18659058,-0.03257175,-0.42012563,,,,,,,0.08508165
EC-Earth3-LR,1.4817591,-0.23882975,0.34675214,-0.7527013,-0.6818441,-0.08770907,-0.92102414,-0.47987643,-0.29363638,-0.51481366,-0.69954526,-0.5636445,-0.4280319,-0.5327663,-0.25729677,-0.2796883,1.3819433,0.45550862,0.0222585,-0.3091092,-1.1637591,-1.8934927,-1.1630999,-1.3074712,-0.6661638,-0.54064375,-0.47447664,-0.34229466,0.3542392,-0.2569166,-0.31580228,0.19658259,-1.0021585,-1.1280644,-1.0297431,-0.8896123,-1.1834576,-1.6416516,-0.5555753,-0.49001262,-0.7832024,-1.0035434,-0.66075027,-0.25423026,-0.6085012,-0.23070197,2.5151443,,-0.10436563,-0.15396504,0.4710577,,,,,,,-0.13629887
FGOALS-f3-L,-0.47326428,-0.8356032,-1.1324034,-0.7949654,-1.1516815,-0.9378257,-0.725636,-0.5769024,-0.41063747,-0.6642991,-0.66434664,-0.709488,-0.6048897,-0.59952646,-0.5705712,-0.20093554,-0.3474691,-0.2366952,-1.0084006,-0.596851,-1.243079,-1.5893639,-1.0976552,-1.5660641,-0.7299866,-0.5577878,-0.5077894,-0.4771387,-0.6288229,-1.2845584,-1.2191526,-0.84200764,-1.5262376,-1.8093743,-2.1629794,-1.4545007,-1.5038543,-1.814671,-0.7293702,-0.53581184,-0.92057794,-0.6729909,-0.796108,-0.34099227,-0.5359781,-0.40537664,0.05611923,,-0.30873618,-0.2499593,-0.67266846,,,,,,,0.024536131
FGOALS-g3,-0.28803426,-1.0418739,-0.94585216,-0.7734515,-1.1050456,-0.8570597,-0.71943295,-0.16447237,-0.33415726,0.06624177,0.77095413,0.116293535,0.4909535,-0.24176802,0.5478019,-0.033465624,-0.6965726,-0.4551087,-0.94831514,-0.633318,-1.3400792,-1.8316901,-0.50947726,-1.6702497,-0.14331488,0.028877335,0.219329,-0.18603957,-0.31132147,-1.0507073,-0.6616242,-0.1942037,-1.4769226,-1.734498,-2.173928,-1.4919192,-1.5482079,-1.7613461,-0.33855385,-0.006745334,-0.24433781,-0.0064576003,-0.19197932,-0.011890067,-0.42671397,-0.39730996,-0.20928092,,-0.1290585,-0.18783468,0.3071523,,,,,,,0.13539328
GISS-E2-1-G,-0.34540102,-0.44759938,-0.727891,-0.10279317,-0.7546913,-0.7434189,-0.7645911,-0.7059542,-0.39259303,-0.54496473,-0.5817151,-0.6363462,-0.5280648,-0.56425416,-0.3473343,-0.5211455,0.20738563,-0.26857004,-0.25657365,-0.7573703,-1.6175687,-1.6099833,-1.2186816,-1.5284865,-0.8707838,-0.7434037,-0.7395253,-0.5518347,0.6388468,-0.5906964,-0.940666,-0.5158634,-1.3811831,-1.4313625,-1.682058,-1.4022539,-1.7294786,-2.0246508,-0.64451647,-0.3033204,-0.65469974,-0.69780856,-0.76835436,-0.38570789,-0.8308385,-0.5639175,1.1864536,,-0.3099009,-0.32066754,-0.582746,,,,,,,-0.32919008
INM-CM4-8,-0.10749434,-0.75758594,-1.1739696,-1.1958932,-1.3702881,-1.33342,-0.8661956,-0.58465034,-0.42882574,-0.40267286,-0.38156953,-0.475682,-0.47212508,-0.6562261,-0.55135095,-0.39145812,-0.1870645,-0.46216547,-0.69691974,-0.71152145,-1.3269019,-1.5430288,-1.3685027,-1.6787426,-0.8601185,-0.37340498,-0.42045236,-0.4732268,-0.40422446,-0.9371711,-1.210197,-1.1481221,-1.4456954,-1.3931623,-1.8149116,-1.5403026,-1.9234246,-1.4714636,-0.6047838,-0.42185885,-0.8097998,-0.6335307,-0.63921523,-0.39365032,-0.8026355,-0.74085724,0.42202255,,-0.20856595,-0.20523953,-0.6126007,,,,,,,0.14752197
IPSL-CM6A-LR,-0.8764299,-0.97848266,-1.3093642,-0.6888856,-0.9479594,-0.88080007,-0.6983177,-0.59652114,-0.4927992,-0.56894606,-0.6306718,-0.53877395,-0.63199687,-0.5713306,-0.6142779,-0.43502027,-0.8108396,-0.64250064,-1.043536,-0.88793033,-1.4707077,-1.5781395,-0.9985624,-1.4958447,-0.4605591,-0.64875543,-0.577807,-0.4383217,-0.9370138,-1.0781621,-1.1914066,-1.5720325,-1.418527,-1.6265503,-2.0500786,-1.6243633,-1.7195883,-1.7596806,-0.6436726,-0.40592092,-0.7174505,-0.67373466,-0.55758446,-0.36234826,-0.7285475,-0.6048101,-0.16120745,,-0.43560475,-0.2332863,-0.7186955,,,,,,,0.08587849
MIROC-ES2L,-0.20238453,-0.80637634,-1.1745996,-0.81371194,-1.3133073,-1.1611503,-1.0761586,-0.7745822,-0.44736186,-0.75470537,-0.5098179,-0.71341455,-0.7713136,-1.0480479,-1.0004166,-0.634093,-0.7108173,-0.5529035,-0.83894634,-0.70866996,-1.9212391,-1.5568951,-1.7362838,-1.7202985,-1.1982393,-0.94849193,-0.8902818,-0.59270555,-0.6085323,-1.5069761,-1.4342879,-1.1190184,-1.6171447,-2.3848207,-1.817458,-1.7809922,-2.2282002,-1.7116708,-0.93507314,-0.37310442,-0.6969624,-0.71410424,-0.66208935,-0.15498151,-1.0203747,-0.37103945,0.8237749,,-0.1210771,-0.5594054,-0.52446884,,,,,,,0.005694614
MPI-ESM1-2-LR,-0.33546588,-1.0463445,-1.1650671,-0.71351707,-0.5970599,-0.74344504,-0.6063987,-0.8203043,-0.47708577,-0.5377404,-0.8848667,-0.5664985,-0.42484307,-0.5930662,-0.010650283,-0.4076464,-0.4480048,-0.6184442,-0.7817285,-0.87745786,-1.5790597,-3.4326024,-2.1074238,-1.7092587,-0.8720691,-0.74030584,-0.6367077,-0.5119768,-0.53995603,-1.1121541,-1.2326101,-0.9660412,-1.4183391,-1.8315262,-1.7761326,-1.5794338,-1.6417649,-2.3898575,-0.84857666,-0.701549,-1.0765513,-1.1971359,-0.6267945,0.3499989,-0.5884831,-0.3667015,0.65992117,,-0.14690821,0.08844056,-0.68001413,,,,,,,0.1426331
