,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-22.884981362998527,-22.082232247160515,-24.367226504921554,-3.36433635748684,0.34785307810619037,2.023854672906948,14.271286731366631,26.17166061299683,26.073965830691662,24.490935765543576,29.317694205860768,25.851585630310947,24.435150400778642,18.213583220111786,26.546910329731407,12.142277287570725,-2.5425984617300466,-4.1856011465344185,-16.078655920808963,9.66910825715359,19.338062679372943,26.608378105942123,25.79471655964402,26.87152946883606,26.14852728664737,24.273882849790102,24.981971003422384,28.188577679157603,-35.46286944532676,-22.43959359733914,-28.458617021437448,-21.63055966145934,0.3830089566084938,-12.540369368500956,-13.358175538453684,6.523095264998697,18.97656696968665,19.493758873714363,28.144235627157286,29.89842011073678,30.579564968132566,26.844284416124477,20.11882659379541,17.99258350877017,-18.544455907701803,-7.965793084674544,-33.12600641310035,17.45119007400638,27.014456837462266,20.31425618469933,17.640163338575682,28.141429828307132,20.759374141273202,26.201360993373783,27.503440661377187,28.584687017594998,24.05248311112957,6.028329488503054
100,-22.278945820624873,-21.78296502660016,-23.961319701817462,-3.3150449895481,0.28447793542775934,2.1173041103474213,14.282707710003034,26.16367086434408,26.21662110097536,24.412543932790467,29.28099251757993,25.809255765891336,24.365503242656587,18.20063267052172,26.508461433466504,12.051330237443057,-2.2165430497222474,-4.359566252326681,-16.08432775911223,9.634005706855564,19.343089073676232,26.587842265570327,25.756968417369897,26.882149024762867,26.064470542017425,24.187178056055867,24.943273747450245,28.12496685955547,-34.88853512461328,-22.420381110586398,-28.744683166578824,-21.20777457524259,0.6550845959245526,-12.456393306331362,-13.204629569231642,6.489916312881705,18.952689227549108,19.421794662571205,28.105832283056298,29.881280263226422,30.701700003712105,26.748577700266317,20.158627241674328,18.013668950524288,-18.52045321976524,-7.98283867466498,-31.327624408704523,17.511949370671605,26.932002607211402,20.28496361781325,17.734500170068994,28.109808298530655,20.799300172567804,26.211556683862884,27.41934347629863,28.575337354168656,24.00917701436871,6.036811956307527
200,-23.21846655785147,-22.29340362404401,-24.89334762449972,-3.5794578709412983,0.07493792840538264,1.7649820991869847,14.13097636785358,26.089338729308984,25.99447809478053,24.403345691270008,29.22438017834344,25.649236568175755,24.340937793603196,18.07753452797206,26.430331294536078,11.948871000939155,-2.7607133338778156,-4.71944963346319,-17.058426595519325,9.536785863116416,19.360728354747167,26.62671922748845,25.720844441488254,26.685424604137033,25.887626993846688,24.161730035791507,24.957289606509264,28.218463577317188,-35.7433200730204,-23.148435816593416,-28.751963351585037,-21.79236782584855,0.1517201827564085,-12.542954811137616,-13.495145957475788,6.440419559335799,18.934160234437517,19.395750915139736,28.039481992186417,29.789099278704768,30.43608153216657,26.68065347043564,20.053927279167294,17.94436884524228,-18.562111346828956,-7.9761084258073565,-33.08794160609652,17.395761196960468,26.91346909060916,20.229936663606477,17.595080024215964,28.116078128134244,20.725208163631457,26.1786442095679,27.327020230087143,28.52820318993107,23.9978144263906,5.959622824188296
300,-23.289469347253497,-22.092741599775888,-25.0355437835144,-3.381828363213649,0.2594203118569085,1.7805591779862708,14.113314723606658,25.991078780679054,25.946321783751173,24.230070071523098,28.917026724746915,25.559679855143486,24.193185649777075,18.0530558294235,26.36629060142087,11.935295091852774,-2.807106512496282,-4.478544388018117,-16.494510831025583,9.483036486732056,19.074557017645034,26.355475457237993,25.528682012924016,26.586175061428598,25.898026617156496,23.969209383310186,24.739411409256167,28.033010849538112,-35.83955080350134,-22.721372596325015,-28.894557036274197,-22.33594251712036,0.10073436975276732,-12.76699640585847,-13.582503103466163,6.377918754270265,18.648345487950053,19.194679233586402,28.049343148169598,29.790914023903525,30.48744572656051,26.596114669310076,20.075026078038896,17.791157587179807,-18.566703135508256,-7.957412255756361,-32.89542302702668,17.327779102793567,26.801027999049243,20.197179157577725,17.554547169305696,28.07308469678101,20.677455490473278,26.05677550650101,27.370033483155733,28.45293475299255,23.948368079326297,5.943167867123144
400,-22.712500508706402,-22.17740496838876,-24.645078041075443,-3.308486112572252,0.15939727593099273,1.814056071857084,14.155893967766444,26.019872371791237,26.045440076725022,24.400365720068535,29.176375482897285,25.68241631586375,24.387205445006234,18.15258648052287,26.452630192622046,12.05736615760716,-2.281559931117614,-4.550424855518557,-16.58746124873599,9.581292710087943,19.26671811128042,26.57160798230951,25.714286674227562,26.669598959400364,25.986640542531358,24.130647943532402,24.908756000668987,28.17397598618566,-35.35056058809397,-22.81125250954285,-28.597202175262282,-21.444705076196584,0.14208295218824793,-12.594117324767735,-13.572920467421138,6.457970565568591,18.827712202304518,19.395827157902016,28.065130746754683,29.90319163057961,30.72901316845859,26.85894146366477,20.159588401955496,17.893024017369473,-18.484675592812426,-7.957147203182745,-32.56946443022312,17.44655213264706,26.913518328035906,20.255493412910727,17.66597750909818,28.09353719583657,20.724641607441384,26.198002215039253,27.374834008992668,28.56389514654988,23.980516174798815,5.9887790760557404
500,-22.75343538846206,-21.932832170496265,-24.473789203659557,-3.3417449082638595,0.49060873740103583,2.011823914887296,14.302214780716993,26.029922963330513,25.992822229676253,24.36167932536774,29.18491911632633,25.627980306908494,24.303322050181368,18.08011918267716,26.531525406853927,12.041561202707147,-1.993973775542476,-4.442437232921155,-16.480453413536754,9.4794782864852,19.307994690368155,26.689042822721166,25.843220954144954,26.8429703858277,26.072154747192716,24.193624637444938,24.94138183953751,28.158872540452084,-35.070016658544766,-22.556684789747443,-28.639270985910297,-21.960652639301514,0.3018779558931497,-12.45902783661596,-13.195866574098334,6.576641676197947,18.947878297125705,19.37647495514425,28.093258003097787,29.817751231619205,30.441837079812576,26.650921289469483,20.011812613129887,17.83085263239407,-18.50208045976394,-7.979268855864427,-31.718955222539705,17.442362441069474,26.87055844379795,20.252784858356232,17.675567241847258,28.11648126323951,20.769702694408853,26.184018987192573,27.398247621859543,28.519941521493074,23.969770763373447,5.963458206049025
600,-23.082596163893076,-22.062807721961864,-24.79513299031949,-3.2678086780806788,0.32720763731050856,1.7795891139545863,14.118481430336288,25.982055465266544,25.952556132491722,24.318284807744877,29.036918606956434,25.511035383664282,24.244542326119458,18.053087827662715,26.473711896373963,11.983622192799121,-2.3796993123201746,-4.3677647068914185,-16.58752541482391,9.512835432926385,19.216869330868043,26.467992109986007,25.59584748185428,26.613112012000872,25.927597656826098,24.013670886368143,24.775812426310097,28.042069782986744,-35.32379283078686,-22.485726409124023,-28.55022763252024,-22.11217278511894,0.04014268724286864,-12.696336647306861,-13.472244465213626,6.390352371833757,18.76993717678159,19.202391351245296,28.058225759754794,29.79450205074054,30.343912955233165,26.690808728899043,20.064330594425858,17.83824732183179,-18.453505785024934,-7.936962193114168,-32.534032712957455,17.353326363086026,26.84432297744314,20.21743951153228,17.547674800061802,28.053403337486294,20.711943800009905,26.106711853517243,27.333197248899857,28.474635533657693,23.95308572609328,5.983625976594775
700,-22.86534813648755,-22.03638943893957,-24.23919321210376,-3.402411089109175,0.336586972406358,1.9885240815790812,14.221787945282953,25.990341619006326,25.988364383626106,24.2524281091971,28.918331909064825,25.494420893788952,24.205157704405458,18.036068663703837,26.44957879319819,12.026910327224108,-2.2051479006351045,-4.572035847061893,-17.152282151604222,9.655675880059427,19.218161205857164,26.445487101493725,25.625726123271086,26.865015507202614,26.096846728183422,24.048050165331073,24.86495681485783,28.120915153020857,-35.997918622086935,-23.07250249221075,-28.77935161467585,-22.469966923051008,-0.047767554319046154,-12.667157288143574,-13.122438094234202,6.462696224404601,18.88500860179322,19.134692668063796,28.079746246182616,29.772887756355292,30.423055940795834,26.662166863199303,20.11679896619689,17.88401761503202,-18.482419110770817,-7.938987424135066,-32.49050043653436,17.353531109447257,26.741039100862697,20.203284836288063,17.61405496778941,28.099933019881817,20.797734253073134,26.095940687596958,27.352227736786986,28.472422074932116,24.015621297504214,6.0004947954236485
800,-22.570994604700555,-21.809714781603642,-24.55667592048049,-3.4335780650560976,0.31071341168536276,1.9836586313884474,14.205498314286533,26.00688995293109,25.955041119166903,24.388675193739626,29.206422997168417,25.62613946823986,24.34044902334228,18.124205413586186,26.400215673907237,12.035576767654645,-2.2093819136316912,-4.3513719620299165,-16.32917923289173,9.648378421495837,19.246239822487237,26.547948486237786,25.751153924615636,26.751523006416846,26.06321415456716,24.209735215026367,24.96291501711212,28.170326347405368,-35.359459980978926,-22.76299544073482,-28.828278893002413,-21.92750750006731,0.23597655496177783,-12.787265721818033,-13.529152996164495,6.44975969836408,18.866968942415134,19.334152443137977,28.104369322492392,29.83170902461751,30.476457551437786,26.72716497398123,20.072279792226848,17.89933094197317,-18.517372929950074,-7.913590335479636,-31.89329118570612,17.434977268252812,26.89384967658179,20.274720747278902,17.653534936076603,28.14337101416523,20.773625668238598,26.157679372399244,27.42122580786634,28.553976687548605,24.040864811699446,5.9919720099771725
900,-23.37361155946539,-22.23492588400489,-24.94040963265275,-3.6088295583387784,0.05547150950459468,1.7833215948563774,14.16006484564346,25.96653080923752,25.879908144078257,24.187653679001926,28.863482965733095,25.629356057074904,24.200876424234472,18.005837527281155,26.39513568360564,11.979443236545183,-2.653040887155674,-4.485890803017775,-16.83260634191408,9.430438786312717,19.03808565365418,26.373063377923522,25.507666226321863,26.52117264659367,25.766018162505485,24.030609396356866,24.785270122571674,28.077273398383348,-35.740091604630095,-22.679893195506455,-28.828524514543528,-22.041996405844124,-0.02972790056879759,-12.931557490339959,-13.510425623664451,6.218495457823242,18.63343631741523,19.127514976105303,28.023273303449976,29.780100484525228,30.578011649317983,26.650033538267316,20.123836251897462,17.852291711901007,-18.500357217454702,-7.921185929221358,-32.944941459530845,17.327826002389227,26.79709146602095,20.239696823951324,17.42993656782489,27.972135911223138,20.74158158693832,26.05346206540886,27.351848535776497,28.45754501254042,23.961258033535316,5.991626920146598
