,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-33.166257610791945,-23.924594826888097,-28.701196484805124,-4.650508897684574,0.19059533838389486,1.1987725222727517,12.056763626613998,22.80455067837773,22.074660056376835,22.467313469223047,23.97356484533799,24.109742285619888,22.435221696877157,17.144175218323866,21.6092115988971,9.357462480585593,-16.179025378710733,-4.518080297915021,-16.925400186493704,7.310010242262584,14.825169118354324,22.252250475513826,20.87643562142015,21.01689524437643,22.132663170125095,20.788371043508597,21.192406465555578,25.209302682909115,-37.94536620265029,-21.431252813878086,-29.69563628200575,-30.623633313941955,-0.5999269036632501,-13.860657838573935,-12.874080314058228,4.032783181553358,13.747743177633641,15.92975912826593,24.939806426560036,26.80595152786464,27.22853049744131,23.597784561504838,15.372215003997077,15.192973539285829,-15.352722440182331,-7.117707608584688,-39.226056214290395,14.437956104409036,25.422324092754746,18.667532306820785,11.764348480761415,25.55231929761909,17.8194800252951,23.8333102428703,24.12938880090743,26.06467909302393,21.707694932984268,3.927185503348054
100,-33.66795079598364,-25.100698359697763,-29.946990549376604,-5.224437741934701,-0.7256547466429644,0.22495558176823413,11.58964906629991,22.587940310707133,21.868565881034904,22.18969804454485,23.575700076022354,23.71920395965887,22.099294528324027,16.76017787526331,21.277349013657297,8.979124597240986,-18.147336234032966,-5.417627998615915,-17.986251666651537,7.163322392297099,14.594565201670225,21.888876208462936,20.49765896671709,20.5559527025848,21.80377716555214,20.33672082268656,20.86474855258859,24.902101509851548,-39.20994035099164,-22.184444922804246,-30.779030675301094,-30.99117588547659,-0.7249499356401424,-14.4133926918256,-13.47686210788211,3.331077637215201,13.384374471943552,15.47282849689839,24.614602408090974,26.605502618286174,27.15486358830975,23.395099291148153,15.099498002536478,15.005211451417573,-15.609044944625179,-7.367544330760058,-40.57890371172738,14.046097376440294,25.131084289657224,18.420378165048195,11.429227407157308,25.227500276770055,17.46217824183547,23.510521716411134,23.90209350565407,25.78809373442022,21.441517453861792,3.7545710187054926
200,-33.197817115132494,-24.521174266167844,-29.537919611716465,-4.759732796538736,-0.5901601830812886,0.21456962073010014,11.403761070383956,22.488003081952854,21.813082475598964,22.133886924306974,23.400753655600145,23.710763452105493,22.026619812751132,16.737284121669333,21.205329575239748,8.976960826438617,-17.898167572877053,-5.465786046171911,-17.926357655328484,7.003336794210188,14.487432724826517,21.76716141941486,20.371351160318746,20.464716433390898,21.708478333027276,20.23733652697345,20.75373676169844,24.843221287230442,-39.06389457756609,-22.61783516641016,-31.02311847070519,-31.42084102416221,-0.9346058090115152,-14.584693162453185,-13.519024246929314,3.2810709987097817,13.382532518034454,15.420622991034296,24.52979081672184,26.4888456293941,26.931180209105836,23.20784410780424,15.050511715783417,14.909882637530316,-15.798650304316224,-7.470310258438351,-40.395112940931746,13.977646237624807,25.09334349271782,18.323262502325225,11.602451307883033,25.112032171943188,17.427508807133957,23.41676074360583,23.805719056363195,25.692931304471877,21.368116073339696,3.706305689775165
300,-32.688417977676345,-25.003854103079025,-29.418906911843738,-5.035106975354936,-0.6039969101337123,0.6180277599265162,11.54776651918277,22.61460025436597,21.959076174631168,22.105815852742108,23.415092751675164,23.771216228499302,22.03704286734963,16.752907753188897,21.287519180356604,9.07661248933563,-16.672734117708625,-5.204045934014646,-17.943882804439927,7.109163028114809,14.48966173349408,21.749752487190307,20.342227164738137,20.384461477548438,21.6682663400186,20.251032351646792,20.78213815954456,24.811292721086957,-39.21657201844083,-21.991634132567594,-30.66051762312521,-31.1927579355148,-0.8280324958774894,-14.382384545173293,-13.466802813276644,3.4452702335881242,13.364134522912257,15.578170014372317,24.52064177251875,26.424680538833172,26.862950427382234,23.34139783115067,14.966147961536773,14.818630206204311,-15.81885505170377,-7.448628878874725,-40.393255043488544,14.03967334954773,25.05315712700133,18.345396218207302,11.765146943192201,25.111820647713646,17.43913179126393,23.53480462525273,23.756952301871806,25.70491495698256,21.35202992691227,3.7047904169532297
400,-32.807417493461635,-25.126084136379667,-29.300267717328353,-4.822766356812838,-0.32029563700464314,0.6646681381955035,11.715569527157232,22.601320259873194,21.92446914269248,22.078861431479474,23.408941524152468,23.84686063009112,22.063530700478715,16.6753986457489,21.321805897296507,8.926607404193955,-16.61019134024312,-4.8970449288460856,-17.52402091563958,7.161847074952325,14.404451733487017,21.907831016598887,20.453737200242248,20.506154901458647,21.743646136004728,20.348155468804183,20.803590099109663,24.908358576654052,-38.92034341955515,-21.724131652401095,-30.145267140055882,-30.946114228319587,-0.7329344305406224,-14.372983906280783,-13.66873200564612,3.5659415541494295,13.442904878451207,15.434717525356337,24.63837281572015,26.555343363208195,27.14668074160135,23.35090213234534,15.042986160262354,14.930970087260967,-15.839022494103885,-7.53777105677556,-40.235447496121814,14.097759363885498,25.088621666589006,18.36025825989565,11.843607556289248,25.194378387875393,17.455319741531994,23.527895588446427,24.05316275196889,25.78762193744759,21.411403442114146,3.709749037604392
500,-33.43572010885674,-25.240666794042365,-29.250397765662616,-4.669191408615635,-0.024496426206499583,0.9110197535440936,11.81196926275111,22.618554368221805,21.886305682809265,22.097963717956382,23.517238038986868,23.8614468822667,22.02023566873046,16.58299685284718,21.355281405848174,8.871473088181252,-16.83229362754038,-5.1966888885378095,-17.396704743454723,6.995781928306878,14.406873388748297,22.191790743989003,20.560518259863663,20.510505220779553,21.78294288846036,20.49069052217729,20.84291265322139,25.03267612607161,-38.97658673107468,-21.387566647721098,-29.886095563828057,-31.25253665522523,-0.9259586229428657,-14.66349389524366,-14.189622723201232,3.531228889894291,13.44698645618075,15.450658533104496,24.62512508126956,26.495084637416813,27.074292535371633,23.223944988446938,15.144224603212185,15.029415240078581,-15.947226292057959,-7.5909058071137725,-40.55940019933894,14.088469141316535,25.076036736577556,18.336338942840335,11.73798956733239,25.282409012171808,17.487340950722132,23.558660362301907,24.1187133941534,25.786996259525154,21.436718340832165,3.6889458640550297
600,-33.72482220844311,-25.248870219494837,-29.331530560879116,-4.716604004823716,-0.14584060968638854,0.7563302170013244,11.793187915409781,22.621539234731515,21.851283372245202,22.143872635823392,23.468316902512438,23.861062780525078,22.016360539701544,16.605315276726866,21.340712843820846,8.824953406078142,-17.535047211958148,-5.33246937343702,-17.949654380876915,6.946723707819211,14.364264490716117,22.234026062618128,20.59887107353551,20.47922063423143,21.769578243145276,20.5063201472537,20.896385681755035,25.067295795578257,-38.82556035987287,-22.016402333347138,-30.718988948242043,-31.062162935966466,-1.0138641648020024,-14.705908219434454,-13.970248032942534,3.3504409807978095,13.44180478901347,15.453977671267648,24.651969077368285,26.536079463498123,27.139111757849395,23.3774780321315,15.072073710869425,14.989193557452008,-15.800546927905122,-7.4015690615525,-40.170394341183496,14.087483648010817,25.110165417298987,18.387945460442786,11.659424701613139,25.30520488321398,17.476138180346293,23.567490125406604,24.208361810238124,25.80057250821383,21.43178209869883,3.736473765628455
700,-34.53230687775684,-25.100481228612924,-29.843019861846273,-4.995038947213584,-0.33297851790833827,0.7003822812665597,11.627227859354875,22.605177958307905,21.83244268531957,22.127124313171457,23.437116425037328,23.828147021517047,22.05462897855581,16.617460040823815,21.323677855449375,8.801380288940338,-18.416294034202487,-5.930473202964462,-18.050302537272813,6.718779596106536,14.251407483820756,22.196907464948794,20.635040344625896,20.471928217093613,21.889570577188945,20.481203280562028,20.86028623443644,25.030353847154178,-39.06926533990962,-22.029450480696013,-30.248687158616345,-31.654690851898266,-1.1722528466123399,-14.850091495829242,-14.092419191346563,3.375808891359926,13.33360948012836,15.36942377464697,24.64374503566813,26.579944139852238,27.232086722975346,23.33916679166974,15.070122808428696,14.936450470694336,-15.819545384070798,-7.425895842096882,-40.6513224909131,13.989034215359522,25.1050072332905,18.358645136601993,11.406781079348884,25.297193120996898,17.40608097418206,23.449632215593386,24.19069698815044,25.796502654494287,21.388165341590927,3.7147267357039038
800,-34.23956768241185,-24.89048494684126,-29.654016243210464,-4.832103595133475,-0.32912249833795576,0.6133081527390621,11.613434013294656,22.564750220131728,21.793783112155026,22.141291378516726,23.497563531545243,23.93371276705392,22.069515754930595,16.590677199136948,21.37701538376593,8.795093276704655,-17.907109362293227,-5.7393814993896015,-17.820792441043118,6.759584181279239,14.333655898838018,22.230591442912626,20.638619785127908,20.602740434117077,21.845963574168884,20.562689068181065,20.947060498127737,25.14573072473288,-39.07389583313033,-21.911433885848865,-30.479367069167093,-31.649232360156535,-1.0229968135871725,-14.814311775857112,-14.157109512008523,3.3339515323849755,13.469197802150893,15.442307592122031,24.639464781458692,26.44765641928207,26.98762236234614,23.150166087378974,15.14842215442362,15.02556431408795,-15.795490371105535,-7.344823067106839,-40.321012720551224,13.986304547046661,25.111146404776434,18.372438990925826,11.469183267478837,25.308965301162143,17.47679783843045,23.53016934343957,24.174274500704495,25.814630281261802,21.471856229044498,3.7137962263825592
900,-33.614978482598666,-25.333167038074517,-29.908656684961326,-4.978736380373562,-0.23391651451243078,0.6728801305992637,11.677712333065674,22.566306246279186,21.80524358071757,22.13467412304377,23.46173428927902,23.847071025266338,22.011063455823837,16.643953553505494,21.38465518019764,8.875763342097585,-17.640279439948674,-5.779442969460065,-18.28436432940903,6.796130586633978,14.334495751267953,22.185081687295796,20.610728886195762,20.429542950989333,21.848595060005714,20.54329242307439,20.86398214640483,25.03055904257897,-38.95189016242833,-22.401372885978756,-30.51005915819196,-31.321947873183007,-1.2514204569131575,-14.965012824420226,-14.147796696771831,3.386165238942332,13.342556555275804,15.503456750521455,24.637271629560296,26.56871822186573,27.136562644283575,23.237774313496804,15.051491171451257,14.953597784064476,-15.858585340634226,-7.4325478146914294,-40.25603036913371,14.059092317699148,25.10923033215899,18.364088247425492,11.439540903381632,25.30645502259779,17.473273694111604,23.507133786534595,24.21818118148191,25.793729315248694,21.4288707633112,3.6858869760483874
