,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,0.09691068019151172,-0.0086116559674474,-0.28468847516686274,0.2961372282268047,1.4574234284863614,0.4017947444522211,-0.15739135181154906,-0.3980604237036505,-0.15788735371159776,-0.2413119889745794,-0.6692095906364322,-0.42918275981962273,-0.24890393729189975,-0.5787585482676197,-0.30358665672721347,-0.4559249140833737,0.0044154697767404905,-0.026431941738151613,0.5273147855648381,0.13815531403291614,-0.8244179588305397,-0.8996126695818087,-0.41093621417651355,-0.3366318846465301,-0.10009266269215818,-0.5092261194655783,-0.25975429762326213,-0.3564263781089252,0.09934735005189614,1.1554970571196392,1.1396688625919298,-0.1897619395659381,0.8687563370908287,1.3295672576014061,-0.24263190761025405,-0.4640403343200183,-0.39240365638126423,-0.23458871421520985,-0.32937963970937856,-0.45274159811558545,-0.014529754405738471,-0.30753596043785036,0.036581658844430036,-0.15849923065073798,-0.00654734621241608,1.2005887964526736,-0.014612756305531565,-0.35420005110833525,-0.5574614441293493,-0.3861708153353358,-0.12647170897658333,-0.3488032980213733,-0.5031967791829465,-0.13185704648674723,-0.1315918352671825,-0.06895929316856284,-0.36252142407192756,-0.17470908143497646
CESM2,1.2616415488862065,0.8846799791184394,1.2674591999757583,1.290508726045635,1.2468178121667033,1.2884807171798767,0.13557633182386372,-0.06822220732185673,-0.12719547950494775,0.08900435817802366,0.17778385499151403,0.03076824793002203,0.7031123024108611,-0.23870449106516178,0.07872789910140293,-0.18204710161022097,0.7413677694568056,1.992320238725036,2.0377162559549653,1.2537032520782174,0.4085616655453392,-0.7543106828350213,-0.4104674600920815,-0.3702525382052633,-0.15163578555382357,-0.029570381219392962,0.0365467511242465,-0.349882282391366,0.7160405425273826,1.7272732520678862,2.061525372974027,1.0018885196497684,1.5418701663595549,1.7843980066440444,-0.22170159396499556,0.5368888040553826,0.7717642924339551,-0.7124628025257901,-0.291586957990662,-0.17647720248532422,0.1641468385780098,0.034269864542601704,0.006854607397715023,-0.19999917035817497,-0.07535458765238068,-0.09845307738202745,0.312512663024731,-0.0694813419974088,-0.17386450320345678,-0.2514175040009777,0.08498145869913049,-0.42496699668825355,-0.2674435763713113,-0.3753978240483502,-0.3531875245915308,-0.26512932149135415,-0.25427974485291543,-0.05540274015127612
EC-Earth3-LR,2.1014627223742526,1.1252703209986026,1.6633921993369134,1.2176766744370993,1.0210926357012475,0.6492423100880886,0.27419221521675197,0.053280027321116606,0.07256875959310373,0.025517194761227546,0.1659798172305236,-0.07703596327462704,0.2577663655180274,-0.1684873407315182,0.04234214542633862,-0.23344955952526153,1.815709674034211,1.499943089287198,1.602056944896737,1.1016800943308804,0.3707286001796763,-1.1710000650834056,-0.9498221738944842,-1.1426708088810364,-0.3308123408743094,-0.10829838169824686,-0.013517685130354591,-0.24450595036652342,1.3349907633970906,1.3363316856525997,1.6914991220189886,1.2056079543556255,1.2786442066429653,1.7851535909932785,0.3791857561311326,0.5250455751565651,0.4973729793908262,-0.4600482835779593,-0.294742725327367,-0.11140437921380275,0.4002508932892171,0.07389100056258367,-0.19963149137706013,-0.34095751611017977,-0.10193827465657607,0.06302549557642469,1.7677045229251884,0.17994523743487595,-0.16160043102226848,-0.2877389476192142,0.5367586609986651,-0.28712933751231384,-0.3027126573728187,-0.2798279518041696,-0.4958483196691959,-0.2639628173619689,-0.3016307305366867,-0.14719945902400244
FGOALS-f3-L,0.9439097432418618,0.8187550353210075,0.8844237795022702,0.9044004395878718,0.5609738228299802,0.2889938938305495,-0.16033958936171613,-0.29019729243427433,-0.28679409353429614,-0.1889844859115484,-0.1324631316473586,-0.4525248485980546,-0.021136534702473567,-0.3352376473071803,-0.161676138978974,-0.5062428010506757,0.6547378231091839,1.3491000964883118,1.3698014673916044,0.6129337971395596,0.06912082541173908,-1.0189345469695976,-0.9095651132406478,-1.1492386044620666,-0.3419142442300365,-0.49099054146503773,-0.31807806509293113,-0.4586644682205833,0.782289958944007,1.1649276575436724,1.6708529604839213,0.45127600902078513,1.1027414250667942,1.6370246253576721,-0.010320383579905317,-0.014974078641466396,0.14714193366801367,-0.8235453503249954,-0.5094762338677382,-0.2909351161631508,0.001202063759041115,-0.2773459665559892,-0.3710853157918303,-0.47945342046281186,-0.5280560154902363,-1.1324759098959976,0.3364208321596435,-0.34116783134277273,-0.4282794955694763,-0.36990740802042393,-0.09498596704838781,-0.6497507884388254,-0.5108614954262841,-0.545938582860223,-0.6015151636339757,-0.45431049518974254,-0.4349032380281873,-0.4496808362821223
FGOALS-g3,1.5659688596963586,1.7460005977639474,2.561565460237492,2.288782742162793,2.1939782205119505,1.48782133299076,0.5298155748763199,-0.5396742446301491,-0.4011315564892707,-0.03549662648567941,0.654183980483885,-0.40189474613114573,-0.20116919629923102,-0.4179244702553894,0.019541065965187218,-0.49882887579862245,1.3585772251295256,3.303901982465904,2.1601946869528876,1.5881502916490047,0.577191654004187,-0.5222104446039487,-0.052827740033576466,-0.7024528815212219,0.005280666579661972,-0.5569460100660685,-0.267663651036326,-0.40923964932525897,1.8853749974535121,2.3637335623903986,3.487660630537492,1.6773653053579578,1.7433161481725776,2.321199873105994,1.7837414412768509,0.7645730047148662,0.427501575220549,-0.9030201957541832,-0.44872977994900753,-0.3509843549097198,0.2028695008398424,-0.23131131321738477,-0.16049727464057853,-0.43121654581797425,-0.3876172386232688,-0.265607383653054,0.9423816784029608,-0.3975225088523146,-0.4785186431068815,-0.3511782768882413,-0.10201299012627334,-0.7419194313793841,-0.40524171166479983,-0.9012014226507197,-0.6866033081562296,-0.49506454917256865,-0.4141284730583162,-0.33760832267086244
GISS-E2-1-G,0.675790646191014,1.2959915611680317,1.6181965172614483,1.1162008820435805,0.7820633249276839,0.47276731016164336,-0.003122471999308333,-0.2928585982263149,-0.310615648715694,-0.24565639806030007,0.0265030419279796,-0.43143450630340774,-0.07025587577628659,-0.43958879872302953,-0.16452711735967945,-0.6277250529644788,0.8077148733295599,0.9214393285711867,1.1758104448583089,0.4284846983249549,-0.42283952039984074,-1.089338609615026,-1.1298813622206676,-1.2482354164293505,-0.5574037333596323,-0.5618026325446372,-0.37170804361300935,-0.48195293890791135,1.209198643830884,1.3527556780500807,1.4450189849277844,0.7967483955478407,0.7709205477551225,1.2800690012299227,-0.01835075733859342,0.2431442979238693,-0.006288336350244464,-1.0575708605361407,-0.446815221552471,-0.3227999170243961,0.027915452734069295,-0.33141043470548454,-0.40959434722605276,-0.5617548054126665,-0.9997689438445054,-1.261241330622186,0.386546616225993,-0.17438557138001934,-0.40863534539102203,-0.43807099045660813,-0.08565418013914723,-0.5789513820407262,-0.4929994376113481,-0.72717845422557,-0.6659312567103954,-0.5275412268017992,-0.5048146819465057,-0.7313306878866043
INM-CM4-8,1.1574291185720262,0.7702003985920358,0.9876632514961307,0.4880604642396705,0.5607326795179493,0.32261019515824324,0.28315468301504515,-0.381513207416872,-0.1564000673305464,-0.22691006799842994,-0.005450227789034283,-0.269237472350152,0.1309598569471788,-0.4753567826579172,-0.2630848335943194,-0.4425529646569769,0.6283183271186166,1.454100747816145,0.8835580480314001,0.9868351719460631,0.27919973639662765,-0.9848388837269079,-0.5020953048013986,-0.307414348770874,0.0015918147007643157,-0.02723452345375163,0.21814015410506896,-0.2516051625184391,0.5507877671712692,1.3567352558933061,1.403442521811489,0.4566648107930173,0.9374721715624351,1.550958211392495,0.0445006957446689,-0.08739133594818728,-0.09755565209615137,-0.6240543603643932,-0.34380874701735353,-0.21721888892725946,-0.05595677719714986,-0.09662877492584998,-0.17933004338439948,-0.24688225837188554,-0.29241211019775737,-0.7731976164276056,0.5287460309912597,-0.2284801944357739,-0.48597833822300085,-0.42350549603950677,0.005814680422777718,-0.46367973534454887,-0.42940321578524954,-0.31576479535539054,-0.4615228193940847,-0.3015446018373096,-0.3138117910729887,-0.35103247295305307
IPSL-CM6A-LR,0.9052971512463249,0.8752675642112758,1.044931242090212,0.926575541785384,0.9131959443815829,0.514941401995689,-0.2741635764729553,-0.37078591164691554,-0.21803589198735018,-0.4004324475741506,-0.28787369723754974,-0.3572589813407282,-0.04569640197218706,-0.35331470061541065,-0.21256229258935752,-0.2979903021925112,0.7362510588739565,1.7327147014368276,1.315766479715562,0.853459861073406,0.3061275371200341,-0.7455597320315231,-0.6123652207471129,-0.6399277738046283,-0.28404667327836697,-0.4216396819639504,-0.31447857288695596,-0.4454809466720842,0.8676964573469242,2.1427473331619575,2.0214074345533306,0.5773662909842626,1.0994946715122564,2.2141576140987476,0.31315620877845207,-0.16413395132726818,0.2672309119329308,-0.5129204047522481,-0.4343421921434917,-0.2856182820316916,-0.014197140629891277,-0.259022140881312,-0.31649229105991605,-0.31420238646168447,-0.23364518153497602,-0.3306980439619004,0.23502336641053775,-0.12384386536960225,-0.48676325388276925,-0.36608048867648546,0.09881331785405804,-0.49704580147707783,-0.4796860125490808,-0.4372978031643545,-0.45523655395472035,-0.30855305162595803,-0.4043827416839538,-0.26228603184515514
MIROC-ES2L,0.5175696933229197,0.5831421089975541,0.6814106354230932,0.5886513805966083,-0.23596011957428076,-0.016737058634957412,-0.5255195191168536,-0.07674868784632168,-0.27007397652981385,-0.3979748087447923,0.20969256589439508,-0.48905968776359376,0.0926325912702199,-0.5096264740422163,-0.3066984554868679,-0.49661931107562235,0.6206797341475287,1.1590946388257126,0.8797308489001953,0.724377049668883,-0.37097884967088207,-1.093012224629108,-0.7480323616841601,-1.053180438231633,-0.46353700914728957,-0.4198253324676154,-0.34210394392009424,-0.4671470989985318,0.7847478342492618,0.8795534919922691,1.3424269987419943,0.15962743933006365,1.0666498299728657,1.7144929466289605,0.06371958279508766,-0.4069910753709902,-0.31007055269968065,-0.7649712500298951,-0.4544974938065463,-0.4051591904444944,0.0019803341856255052,-0.27395354313142184,-0.39094569517611444,-0.5081918408927576,-1.0004664688565323,-0.9557268324766968,0.24291617217364725,-0.3684083215948507,-0.4886461577090144,-0.4393306191234912,-0.23455863963767332,-0.8261439435343138,-0.5790737791882022,-0.5539539569935927,-0.4914473831034305,-0.3853269457553727,-0.4579997789920625,-0.42437003798283446
MPI-ESM1-2-LR,0.7926493376836259,0.5759571325051768,0.6886080433436589,0.9859124970154206,0.9107668956510547,0.28338251176806456,0.06891547630832041,-0.34950154343895196,-0.20387014746514148,-0.18889029181601685,-0.166050250407521,-0.30515302321954635,0.1799602168497173,-0.5403888659904563,0.11058117174171792,-0.43389983443627694,0.5899893286783566,1.0111595052823494,1.1718783865532576,0.6525518502362069,-0.4942969199031585,-1.3810003386675225,-0.9210472899035741,-1.048434147202779,-0.3569795612522254,-0.21362869754879488,-0.27415634259277555,-0.44921707930353233,0.6197216503992871,1.4890657063990533,1.8294410323682007,0.35933218993566274,1.0307687989127865,1.5023929285192985,-0.053112546803927595,-0.11180737035824291,-0.25983333402295344,-0.6204255909171786,-0.296091764038012,-0.13150884799153692,0.14585452376721594,-0.020040757021631876,-0.06681322569926573,-0.292480381910546,-0.23955008472324374,0.20852278737089092,0.26982809129163254,-0.3521137276318728,-0.45884855183379536,-0.36808102113963637,-0.08717854665771828,-0.3868321935074816,-0.4253789614124028,-0.29076728156426745,-0.09818795769069048,-0.24042251530264638,-0.38188500835277445,-0.1457801470312966
