,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,0.36861628,0.0171724,-0.23678572,0.3580221,1.578924,0.75473523,0.06548173,-0.5109018,-0.16686366,-0.07952562,-0.7497792,-0.4760202,-0.24890396,-0.58116263,-0.2541055,-0.5146112,0.19468366,-0.031671718,0.5273147,0.19978344,-0.90130854,-1.0945175,-0.40791175,-0.3056249,-0.17828183,-0.47861665,-0.20562519,-0.3375448,0.12428408,1.155497,1.1396688,0.14638324,0.90809655,1.3295671,-0.24263188,-0.31928834,-0.39602983,-0.23976691,-0.22790167,-0.26813948,0.02954263,-0.28893402,0.046827774,-0.12365066,0.019201446,0.8730177,-0.09193786,,-0.32155046,-0.23669334,-0.31755927,,,,,,,-0.37869495
CESM2,1.5169984,1.0610136,1.467441,1.4626575,1.3491092,1.833664,0.26232022,0.005597217,-0.04999014,0.099571526,0.24491684,0.23195656,0.7031123,-0.15918677,0.18889652,-0.23090602,0.9415433,2.1174078,2.0377162,1.4549452,0.45653546,-0.915116,-0.4079211,-0.38031816,-0.051810242,0.1600319,0.18980989,-0.3277749,0.93926096,1.727273,2.0615253,1.4021078,1.5757492,1.7843978,-0.22170159,0.93166226,0.89740914,-0.76488626,-0.2000979,0.11324768,0.20419247,0.1884246,0.09015769,-0.21925792,-0.1364876,-0.027899548,0.65003216,,-0.27311507,-0.39172927,0.8939491,,,,,,,-0.12583193
EC-Earth3-LR,2.1368964,1.1711265,1.6895857,1.3149185,1.0841684,0.7830344,0.34349647,0.17910588,0.0766813,0.045112025,0.16890301,-0.019860355,0.2577664,-0.10347402,0.13357265,-0.3402013,1.7191179,1.5556031,1.6020567,1.1825637,0.39264363,-1.5261,-0.9596221,-1.1983114,-0.3738012,0.07342292,0.07639988,-0.17632535,1.4563745,1.3363315,1.691499,1.3983479,1.2940062,1.7851534,0.37918577,0.7208008,0.628998,-0.47140858,-0.22392794,0.28295723,0.4627174,0.2545467,0.050155852,-0.34162202,-0.082802534,-0.04561457,2.2617638,,-0.24895677,-0.36002216,1.2305138,,,,,,,-0.27754346
FGOALS-f3-L,1.2945312,0.96986735,1.0621068,1.0130529,0.6277241,0.48970118,-0.15110321,-0.23446973,-0.21821314,-0.17541964,-0.08578142,-0.39089328,-0.021136535,-0.33332962,-0.08238912,-0.62169385,0.9556941,1.4090744,1.3698014,0.7479356,0.0831158,-1.2181319,-0.91000336,-1.2073286,-0.29744735,-0.4106821,-0.22540483,-0.39580476,1.0233953,1.1649275,1.6708529,0.89008415,1.111507,1.6370245,-0.01032039,0.2711237,0.26564243,-0.8584306,-0.47436902,-0.03282367,0.033603817,-0.18806943,-0.28497428,-0.49691713,-0.40636355,-0.8992626,0.4513857,,-0.5140788,-0.4210917,-0.07911173,,,,,,,-0.2896525
FGOALS-g3,1.9211749,2.0557137,2.8381906,2.61149,2.3875382,2.0826547,0.8491947,-0.26890704,-0.148205,0.105484836,0.8221963,-0.33652893,-0.20116921,-0.39453405,0.11016972,-0.60130495,2.0456982,3.4741254,2.1601946,1.8385264,0.6569691,-0.32470837,0.013972606,-0.6653621,0.15954053,-0.44886032,-0.137047,-0.2002168,2.3518295,2.3637333,3.487661,2.4582264,1.772869,2.3211997,1.7837414,1.3690784,0.59033686,-0.90746707,-0.105595425,-0.12842691,0.23780252,-0.09470993,-0.014823199,-0.4474192,-0.3737933,-0.3174052,0.7282506,,-0.3407991,-0.52571535,1.3890613,,,,,,,-0.12384265
GISS-E2-1-G,0.80101526,1.4142479,1.8144974,1.2024744,0.85526234,0.6404411,0.041795198,-0.20940113,-0.19937643,-0.14246008,0.087002255,-0.37261766,-0.07025588,-0.42478627,-0.12048756,-0.63719016,1.0785562,0.990833,1.1758103,0.45705968,-0.4431183,-1.2218554,-1.146385,-1.2982963,-0.6029282,-0.48855153,-0.3055542,-0.4391861,1.6016499,1.3527554,1.445019,1.2288814,0.8016972,1.2800688,-0.018350746,0.5347805,0.07450746,-1.0964875,-0.38251126,-0.07030895,0.06885062,-0.25695112,-0.29043388,-0.57275033,-0.95676476,-1.259957,0.577419,,-0.47130916,-0.50323755,0.35353586,,,,,,,-0.41947606
INM-CM4-8,1.5535988,0.8354184,1.1346818,0.5571707,0.60498524,0.5007698,0.5694173,-0.38602737,-0.19652891,-0.012379386,0.012460227,-0.23336326,0.13095987,-0.4194401,-0.22356433,-0.4948274,0.7589672,1.5178857,0.883558,1.1176951,0.30919302,-1.2074349,-0.48605278,-0.30439013,0.100063436,0.24163802,0.40046084,-0.20640464,0.65297806,1.356735,1.4034423,0.7710221,0.98060566,1.5509582,0.04450069,0.016685432,-0.07004389,-0.64098704,-0.29361305,-0.12107138,-0.05857724,-0.039693937,-0.081112854,-0.27082825,-0.20501795,-0.77759016,0.3161737,,-0.45936683,-0.2055956,0.31252155,,,,,,,-0.111824036
IPSL-CM6A-LR,1.1909049,1.0010469,1.284682,1.0399513,1.0017862,0.7341256,-0.2882691,-0.30673587,-0.20931278,-0.352214,-0.29855236,-0.32826614,-0.045696404,-0.3586377,-0.13404067,-0.33480078,0.9118338,1.8026597,1.3157665,0.8371452,0.33736342,-0.80309063,-0.60312873,-0.6699352,-0.2652524,-0.29894915,-0.22705981,-0.39558628,1.0833377,2.142747,2.0214074,0.9371279,1.1356173,2.2141573,0.31315622,-0.06494333,0.31605718,-0.5158819,-0.40647927,-0.0876007,0.014755429,-0.20842862,-0.27520132,-0.31811866,-0.2644374,-0.38225403,0.3604,,-0.3952713,-0.33300617,0.74332994,,,,,,,-0.10123377
MIROC-ES2L,0.53209645,0.6605777,0.7807283,0.65370846,-0.23994455,0.042486396,-0.6657679,0.1557545,-0.19933988,-0.26185116,0.3025376,-0.377388,0.09263259,-0.4482524,-0.2522321,-0.53537387,0.7815364,1.2306157,0.87973076,0.7509111,-0.3716169,-1.1542808,-0.7472481,-1.0403547,-0.45453584,-0.29798427,-0.25211486,-0.37023705,0.980452,0.87955326,1.342427,0.54273957,1.1231,1.7144928,0.06371959,-0.13376388,-0.2177051,-0.79748684,-0.42006823,-0.068965465,0.040647417,-0.13371484,-0.29497164,-0.44786867,-0.91251427,-0.91743743,0.52936876,,-0.40742925,-0.4620179,-0.087872714,,,,,,,-0.165325
MPI-ESM1-2-LR,0.96724516,0.700306,0.81815046,1.1050885,0.9776853,0.46172753,0.1430528,-0.3577252,-0.18893065,0.13305509,-0.1244819,-0.2009204,0.17996024,-0.47957346,0.26072478,-0.5020184,0.8033717,1.0699694,1.1718782,0.76243883,-0.5361859,-1.7920985,-0.9554357,-1.089301,-0.38740745,-0.23562068,-0.169431,-0.3435861,0.7781455,1.4890654,1.829441,0.7051833,1.0535057,1.5023928,-0.053112548,0.024912944,-0.22864598,-0.69017464,-0.18428688,0.2826853,0.18906981,0.08651448,-0.05016553,-0.3019205,-0.21365772,0.06628163,0.43544546,,-0.40804854,-0.27524468,0.23005177,,,,,,,-0.13805257
