,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-0.4429770992344658,9.804180469557997,7.087009010967324,22.236467051134685,29.812365227661633,22.463508569367622,28.918167154081644,29.119079679686227,28.36343843314101,23.970563514764653,27.9485067364884,24.093789991160616,21.159072890049057,12.26791396703624,14.525104011904721,5.53482320351055,11.74846135713282,22.622732167450273,21.48426034579481,25.236641402333415,36.641882955217625,26.27821866973533,25.228300277413233,27.78062473884157,25.094726909482674,17.31669944326224,18.291975686621143,24.588005352714102,6.288040579263722,20.760620584958517,18.249148508576727,9.60099555414184,28.994197103889707,25.885406562370825,8.71130453228219,23.385931594779436,36.82293308320432,31.068799231337366,28.918017962880434,25.96493344598562,15.59771574551582,16.247987780238955,12.21945984402679,14.380057575397736,-44.225405507969526,-31.768880757410123,-0.0947393809705691,20.059156470947602,27.31261181533608,17.979337911898586,20.25452327773313,27.04918156468403,18.287996563828404,27.747154576348205,28.743356799974194,28.062255889326554,21.516034058577954,1.7367342229530682
100,-0.2241344532387842,9.870070044645763,7.17920780391926,22.166904787390138,29.861721550459762,22.58080451914688,29.049095767819125,29.099299691218242,28.502908540259217,23.93408658276285,27.88870010021699,24.04281280646165,21.110640196562784,12.231237948874009,14.451691685371301,5.516763245521956,11.906833404206303,22.538065990760646,21.603726580277883,25.249988891234807,36.61932770446427,26.215546677627458,25.12452182290612,27.721774830499182,24.981992544622564,17.321765003023906,18.252138238829,24.585150883272817,6.3682542769711805,21.188060712215727,18.35106131554685,9.69302359078601,29.056608040113517,25.948457325207276,8.616541731035246,23.384962895089092,36.79573330947374,30.969289009161407,28.88594426943493,25.98035471514697,15.648957323207078,16.22923708230561,12.25760028498492,14.432482821907161,-44.160947690406765,-31.785339441419488,0.05088264086604889,20.054398414863844,27.244608619464792,17.94381008814339,20.402510035152304,27.014386021510287,18.277591526812603,27.73635639465618,28.738907171167643,28.084194665458288,21.51664402260592,1.7169262712448106
200,-0.5291893716814432,9.711554609289193,6.932226098321999,21.99554526494881,29.773824630512305,22.33065825393973,28.838538699848826,29.03646314180795,28.30145772494891,23.711324260112658,27.5844443839194,23.811826925401597,20.818206734112366,12.121744805266678,14.33315817122758,5.396899643603773,11.617673319142291,22.44998879919667,21.594935232588327,24.99930168350076,36.47189631156655,26.199592492713563,25.04937844831075,27.51489275388482,24.828394349539245,17.18261217195483,18.178933955870974,24.53732958774084,6.205664999220064,20.53392218832302,17.970000352985053,9.493737541392193,28.662198987542883,25.68321689822693,8.507530382307804,23.24785432676839,36.66879957274698,30.847542184589315,28.82228735178553,25.896506345153156,15.45557158916458,16.067305451880298,12.168669484201171,14.291438259960747,-44.44703491798583,-32.18020285993591,-0.11796215741054304,20.01036780231319,27.173752475925525,17.895816973737876,20.16622386906024,26.958688388311128,18.2238169530435,27.66909177345576,28.644222073297154,27.965623207781,21.41521808264357,1.4810023468681508
300,-0.5747783045269753,9.726023221042654,6.924773812517954,21.930833222735032,29.589855030129673,22.3276406648687,28.557293483065536,28.938723260670066,28.211222752882936,23.68565240718796,27.54856547589528,23.73186387891853,20.946149627839716,12.108075840613802,14.379600949411401,5.323036913049363,11.606456192663746,22.511491202020355,21.298496395417505,25.02354826577211,36.33487649466434,26.1029474703152,24.970847000061095,27.56544057003134,24.732972655682357,17.09161155085499,18.100000468164858,24.496948923387812,6.207411115205662,20.695869932490282,18.153345816171154,9.39635732150961,28.72126048213561,25.763558770966714,8.483451070515594,23.17506606117781,36.556831473447374,30.890769940722002,28.720880123187126,25.754702515646475,15.603812572002123,16.057176351963975,12.145703315197819,14.184826267612824,-44.39700937564074,-32.2253918734993,-0.09617111101526002,19.84239315207719,27.09205342339974,17.839099376352948,20.14980745762251,26.90087453981041,18.18405262133621,27.579685631250438,28.60018741887349,27.948010991432017,21.391225025315496,1.5292855883842074
400,-0.3627749405255875,9.870599463881787,7.055183562115786,22.049650514945007,29.65725348839956,22.360494861409588,28.78726911376654,29.05124280186888,28.29917661251931,23.768839114359533,27.59182020457364,23.86270516236356,20.874861879910352,12.232888444025921,14.316424623125195,5.4853709704721,11.720162033164005,22.37444058085455,21.345240188971573,25.154023261203857,36.48361203695929,26.185459496464233,25.064029855252283,27.57263271434983,24.838099773628823,17.08734909624932,18.164075754787355,24.50518094723363,6.287465989294616,20.88345181578399,18.241297004130196,9.456306900890599,28.809185419777283,25.874266363711136,8.520836817922229,23.257967942545807,36.67324761968601,30.89334980306087,28.82106783339964,25.932229727165986,15.562496125848838,16.05048734681489,12.090366167901623,14.255965279398229,-44.27535430390421,-32.478331282120244,-0.04882046286780829,20.011749457464965,27.192937652559834,17.8974282262692,20.260959989456072,26.95083475337398,18.224051054112632,27.653940796086864,28.6366186525214,27.985308988835644,21.420486374288096,1.568091543657839
500,-0.5003927581424127,9.919426313200375,7.067522258688864,22.013229747203773,29.721912410775335,22.494518060377438,28.897092113957655,29.034419996743377,28.24852074220116,23.771493748884662,27.64160884145253,23.783308392282084,20.900719250476776,12.129772073313147,14.407449012863195,5.380841366512529,11.86117454678911,22.44969831092587,21.495389735135188,25.12822605127137,36.44093998376145,26.159899981729982,25.011964689748392,27.531004368416,24.821712398002354,17.17154514905144,18.118735092141044,24.46994757878539,6.297939575534338,20.93340082278382,18.206949563527882,9.566735870986731,28.853818836452735,25.82081667106934,8.500731796526784,23.302219704048714,36.607332800045356,30.725308197831957,28.75398175731224,25.838553555255523,15.425342488150436,15.995566308036796,12.068358919209969,14.209719256720058,-44.47001472630893,-32.281608389089705,0.02682039059807165,19.97450980340567,27.155405016005645,17.881888244702406,20.277361640533925,26.906681082772575,18.22065243488789,27.611251365574518,28.58752259934708,27.91816682275285,21.37770454316462,1.4906015602685807
600,-0.5275004720861324,9.792249044829035,7.0114337458868,22.071944802850865,29.517330138815765,22.304061501823558,28.728244605043297,28.935002516300266,28.196154285423365,23.672230625330876,27.43548489857432,23.772523845600276,20.80887415338164,12.076961726034897,14.249279146318237,5.422000474421893,11.73653371081475,22.555648360541124,21.419388709850075,25.013454557159424,36.379787756103845,26.122624471546505,24.967653666148195,27.471740878699368,24.71594592207588,17.0821198228873,18.048350064273833,24.350943378391722,6.312062036145529,20.82189480885052,18.152836984748152,9.402639284055159,28.71758394168006,25.67983151943602,8.401650401657207,23.215528958580965,36.592247216766616,30.778655174427254,28.723658090613934,25.690548486471442,15.430513050115806,15.996688950730828,12.109914387560154,14.227262315616594,-44.73066577248362,-32.05997416343765,-0.030107784091115922,19.8727531602744,27.13144458996166,17.828462556320854,20.123466845998344,26.889492112673647,18.158970566355,27.57293445541881,28.592667529551772,27.921937261737312,21.35701592904955,1.4906538415470514
700,-0.36091718703780407,9.801453532732353,7.119105404163646,21.917729719539622,29.586175406182406,22.33407381780098,28.786841471441527,28.913428762172465,28.203462702539724,23.606300189103393,27.41102025659007,23.66254041823515,20.84784420787301,11.970970229597784,14.280943562970714,5.363976088138248,11.873846707068584,22.510341271134013,21.47646100038827,25.104150287537962,36.48355665310272,26.056783529102113,24.938852254978144,27.541107534523952,24.730474278834677,17.067416061114734,18.027063102467025,24.45566483127044,6.340025110597635,20.783209481761844,18.282507448596107,9.461549965056221,28.852200946411948,25.870416164156957,8.416345084221764,23.18329344237398,36.582104816130794,30.688118278672615,28.730217626674406,25.744798537367878,15.415451902907352,16.018557203911858,12.18330389572186,14.312031358574384,-44.44551362427534,-31.949997128292665,-0.04363983773526827,19.888863415806746,27.019572356598626,17.816024235177345,20.191775395656393,26.908844230522735,18.22212172519191,27.53625685048394,28.59246660850702,27.90436802148212,21.417045284025004,1.5775575556255557
800,-0.3912808686323145,9.910654811518736,7.016961534443247,22.058630352760797,29.619263011342973,22.45775268458828,28.717157090934517,28.94386831634193,28.209777422651975,23.77456616547422,27.706377667090038,23.84685206577988,21.016542772894994,12.153948339537264,14.322714926608265,5.451167388637407,11.781869875934218,22.489529437556655,21.480826514221892,25.219167009181977,36.53359860787197,26.15085104018371,25.028411013928675,27.57079036990347,24.84813424989604,17.108262100884637,18.0685309885895,24.489364074175842,6.381424265976448,21.015968123113108,18.225452581375382,9.470875662745149,28.845419326850873,25.82814643031123,8.573811953965913,23.215289345866005,36.681192842843785,30.781161104413194,28.74481800114303,25.787430483535264,15.397994473730996,16.04535661323725,12.10353549589667,14.272354261836481,-44.57764135212896,-32.09754103481615,0.019879138460100827,19.940097599137665,27.16252780429231,17.856265431772734,20.223310526493176,26.90885075390006,18.2002726329625,27.59322317332358,28.5789992858521,27.928528436535434,21.416786800368566,1.5227916094236054
900,-0.6834886613587252,9.81904460362809,6.948056321229056,21.82756215005413,29.557056409814557,22.22354618656372,28.62998213545045,28.861880519474212,28.08028174520785,23.580990658215374,27.229998899184928,23.75429133415916,20.71911777588108,12.012362789645694,14.215457618386381,5.361617369444281,11.59424653516322,22.337648955388815,21.354537813937533,24.99467479874034,36.403531940198434,26.09546802512613,24.92909983043189,27.42100224153713,24.60469705798136,17.05898941355075,18.041220554113366,24.39310392781203,6.245455334635896,20.849377491166834,18.136833970503808,9.344699807632312,28.72495254666733,25.665230432843305,8.424655388848114,23.09063197454377,36.512671797077886,30.750614182150525,28.67348136591608,25.681807065382976,15.419876159801843,15.915673502652032,12.102270897177771,14.207309628540655,-44.580033151057876,-32.34244063917101,-0.09144349796805076,19.84304732010005,27.07325243577549,17.817238486001145,19.92674639770246,26.83522497568346,18.142966357313927,27.4933071729191,28.539213652182696,27.876345979908088,21.353418532560994,1.4985261011146482
