,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-3.844481,11.81272,10.8404255,22.813023,29.851522,22.829254,29.696682,28.727509,38.70816,21.519136,27.922552,23.743849,21.159075,5.0637937,12.830421,2.1535954,13.809477,23.182348,21.484262,27.240467,37.88382,25.731295,25.001516,27.84267,23.847292,14.9955225,15.65254,22.769062,10.537144,20.76062,18.249147,12.654969,29.466427,25.885408,8.711305,23.32737,38.576633,31.734327,26.539625,24.294733,14.406998,12.131783,9.571387,4.14898,-53.602604,-36.604454,2.841444,,,,,,,,,,,
100,-3.638597,11.877792,10.921149,22.73057,29.903645,22.932041,29.91504,28.651417,38.676025,21.493258,27.830767,23.684029,21.110641,5.038463,12.752461,2.1608722,13.66667,23.084202,21.60373,27.238506,37.852627,25.665348,24.895153,27.774273,23.691488,15.017773,15.599128,22.77517,10.6138525,21.188063,18.351059,12.725582,29.529919,25.94846,8.616542,23.322577,38.573673,31.610474,26.529894,24.360975,14.457017,12.109698,9.567509,4.2050915,-53.527023,-36.659435,3.5625732,,,,,,,,,,,
200,-3.970613,11.687084,10.670446,22.559387,29.817524,22.708931,29.670942,28.685963,38.778534,21.26447,27.529575,23.412077,20.818209,4.8959155,12.630149,1.9960736,13.586553,23.008688,21.594938,26.922407,37.702923,25.660042,24.815802,27.537024,23.488789,14.807092,15.520492,22.731194,10.43357,20.533924,17.97,12.553914,29.112547,25.683216,8.50753,23.1952,38.445354,31.476902,26.438526,24.194735,14.25454,11.923917,9.453754,3.9394672,-53.72447,-37.078167,2.755138,,,,,,,,,,,
300,-4.028157,11.713559,10.65524,22.484015,29.624372,22.686497,29.312716,28.507286,38.247284,21.233047,27.496479,23.33159,20.94615,4.920968,12.677174,1.819346,13.600741,23.074211,21.2985,27.021523,37.55936,25.54564,24.736643,27.607233,23.357473,14.663424,15.423571,22.650581,10.458375,20.695871,18.153345,12.463885,29.190168,25.76356,8.483451,23.116032,38.28279,31.548746,26.332905,24.091618,14.436857,11.95063,9.506594,3.9190962,-53.743923,-37.142723,2.8761804,,,,,,,,,,,
400,-3.7610607,11.883453,10.799358,22.606878,29.691582,22.708496,29.587988,28.666183,38.695465,21.278664,27.534925,23.470657,20.874863,5.0753555,12.604884,2.150019,13.609351,22.913795,21.345242,27.156929,37.71302,25.650496,24.832865,27.602604,23.489063,14.711016,15.50974,22.671377,10.53385,20.883453,18.241295,12.48699,29.278767,25.874266,8.520837,23.218843,38.446445,31.545755,26.46197,24.303885,14.378286,11.871098,9.434637,3.9742606,-53.64232,-37.408882,3.0260293,,,,,,,,,,,
500,-3.9323683,11.921665,10.818962,22.571781,29.7607,22.817636,29.69516,28.78412,38.105225,21.291506,27.599129,23.387775,20.90072,4.866068,12.714397,1.921068,13.71932,22.991728,21.495392,27.152885,37.66978,25.617651,24.778234,27.575453,23.532558,14.784781,15.459364,22.649431,10.486318,20.933403,18.20695,12.625057,29.325571,25.820818,8.500731,23.254864,38.367706,31.341162,26.372759,24.147726,14.218915,11.810128,9.357679,3.9327338,-53.795513,-37.18228,3.268238,,,,,,,,,,,
600,-3.901397,11.79442,10.762995,22.647861,29.548033,22.633972,29.53135,28.516775,38.664734,21.180944,27.412098,23.378714,20.808876,4.8316746,12.541853,2.0320303,13.717766,23.110493,21.419394,26.981049,37.60666,25.578913,24.735544,27.50603,23.387104,14.668222,15.392672,22.475536,10.5649805,20.821898,18.152836,12.506787,29.18394,25.67983,8.401651,23.18583,38.336693,31.408617,26.343616,23.943382,14.2307,11.8470125,9.422305,3.9478397,-54.064087,-36.963818,3.052316,,,,,,,,,,,
700,-3.786368,11.8136215,10.887025,22.480968,29.624496,22.71609,29.621435,28.48811,38.022552,21.149529,27.363632,23.244303,20.847843,4.761373,12.550898,1.8780315,13.78226,23.063225,21.476463,27.063946,37.71753,25.476423,24.704466,27.590963,23.417143,14.617422,15.339637,22.602098,10.643191,20.783213,18.282507,12.591851,29.3372,25.870415,8.416345,23.158892,38.327408,31.299423,26.349377,23.975645,14.213498,11.880965,9.470586,3.9966614,-53.79154,-36.91962,3.136325,,,,,,,,,,,
800,-3.82935,11.917937,10.794823,22.621725,29.656244,22.784899,29.473303,28.451672,38.428802,21.345398,27.670963,23.467886,21.016544,4.9728727,12.630825,2.0136988,13.642121,23.033852,21.48083,27.235647,37.77409,25.609594,24.798113,27.615656,23.53827,14.690278,15.38763,22.600174,10.635923,21.01597,18.22545,12.515781,29.309446,25.828148,8.5738125,23.20694,38.475353,31.413004,26.365255,24.097479,14.198368,11.919617,9.428132,4.0511,-53.927135,-37.036922,3.2752721,,,,,,,,,,,
900,-4.0988173,11.818287,10.7154255,22.377932,29.597132,22.61429,29.340792,28.461739,38.44632,21.073574,27.15764,23.367043,20.719118,4.785628,12.482359,1.9599628,13.522009,22.872236,21.35454,26.99083,37.651855,25.55778,24.697546,27.45019,23.206167,14.697884,15.372099,22.487255,10.475301,20.84938,18.136833,12.403334,29.200933,25.665232,8.424656,23.082666,38.269047,31.391373,26.276106,23.994379,14.2340355,11.748159,9.419801,3.949824,-53.912308,-37.218285,2.7021036,,,,,,,,,,,
