,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-6.531937101442707,1.3341633372584163,3.232361245409869,14.874304987955036,20.067626629064726,18.51616586465896,24.606668984236432,25.09166070262417,24.16325721522975,21.536574171433134,23.849229874534032,21.402010476556296,19.73244972653847,10.47250392378423,11.633996118604594,2.9295943019234856,3.3560766735883116,13.00904368108436,11.86936870766238,21.592540140354167,28.453620313848617,24.03238018520527,21.252258367993033,23.80226646298419,20.031928222768865,14.068433739981009,14.821210101698648,20.8510798783273,-1.9150242042464594,10.946643383392054,6.8524970139628705,1.9246705787692457,23.470448992333477,12.92168198904966,10.667674091607603,20.74612663015962,29.09414870656705,25.178897243624927,25.85740887340194,23.164944020750653,13.578919762276968,13.974297380800484,9.24234459190071,11.054676075268693,-39.30765607249327,-29.06320680787642,-3.0575897332004605,18.72332299047953,24.386795203839927,15.476790114550134,15.601489857823898,24.513305450021843,14.414254432356076,25.7188866610312,26.573406813515987,25.308959064145142,18.522210389658404,-2.57571692929525
100,-7.088684426595589,0.7349920416969827,2.6520953789858024,14.314010610944472,19.7034842478528,18.039448246010068,24.056043802659033,24.792736922723027,23.93580790623609,21.282624379033884,23.449446579791047,21.010000528009446,19.212554218226654,10.297585553820443,11.433397425537311,2.682609082298812,2.763310784427059,12.429686265866817,11.168141247195974,21.06325813298574,27.99027388136918,23.738242798009715,20.89835149308152,23.49999922321408,19.688812000214327,13.563345583284892,14.462101059210566,20.575274700219257,-2.3944412685663563,10.284871796033467,6.020721055500307,1.1503091333162359,22.824181377808227,12.485353607999755,10.141938406834358,20.330581158387652,28.622459679539666,24.78989452820783,25.57945453916268,22.903230580757437,13.376102960763703,13.635623948402639,8.955339863065742,10.668944023428878,-39.61520874408511,-29.595559596574454,-3.7384548343741844,18.348410263414788,24.12694741203853,15.224636090468318,15.268351284289272,24.176446516050827,14.122603782381189,25.414917925772137,26.27690446784052,25.043003487744887,18.270423914962564,-2.894791744018891
200,-7.1244533948929165,0.8250558902479914,2.54982788696641,14.208877565931171,19.484210982484054,17.804807598835612,23.894171971374533,24.731356605528408,23.898780173065976,21.213674922306897,23.362090569456548,21.061135634490313,19.174862540594166,10.177090743211126,11.306899348152989,2.6063474222586396,2.740287840296005,12.34176203581892,11.364829442485897,20.892853328076313,27.898860214618914,23.665540621583105,20.80929173665755,23.409650412698902,19.57221882419513,13.46068999299221,14.278890749722043,20.49650464448322,-2.403605744631853,10.28057057837527,5.893848020917377,0.9774315023601924,22.65688738069914,12.179295892899201,10.174816069351685,20.187601328861,28.537958194194392,24.88411775395161,25.49789267718463,22.79824471004267,13.283609214965226,13.554041273128261,8.935079782471847,10.625456670392401,-39.578778729833935,-29.50974607417048,-3.8820965256214177,18.24749900094935,24.034821453113594,15.139509612557006,15.373710657038917,24.12458064178067,14.04201413069706,25.305434882080284,26.208473969113882,24.954378951539297,18.226374116439942,-2.95900882222999
300,-6.968682750819015,0.8325471932076498,2.6995596899889014,14.410507872150438,19.67923732989995,17.956540718067682,24.081413747829508,24.73811793129808,23.946702660067537,21.25828706206668,23.36377976732506,21.03919073211092,19.212364026828325,10.153533810063669,11.243195843914275,2.6103484011295075,3.259920865908323,12.68998612497296,11.64655393558875,21.084515645284736,27.890021828223407,23.61368681711179,20.74446623162805,23.369520109734875,19.53850756303964,13.46117451139081,14.306448507012998,20.46480478061418,-2.2910749931765735,10.525259885065807,6.113712612263685,1.1560774101019946,22.77296356890286,12.389440430568206,10.271896831544677,20.266113152488018,28.59711101800184,24.87552034877321,25.485373877292755,22.80177889054615,13.199892081899092,13.586477354690718,8.850339259685512,10.573183215154911,-39.975914184468046,-29.379434784357905,-3.7708109455688033,18.30563884083562,24.04999458596733,15.13099823380043,15.505029928419123,24.070433129982412,14.050249716551535,25.319743776102058,26.172543598144387,24.916110134102883,18.184654470775627,-3.0218743871582348
400,-6.9184014193566945,0.9535039143912291,2.903875181927441,14.369688485580596,19.74301616594622,18.079208980124516,24.125836226681255,24.717644161960298,23.976862445058106,21.181381852909535,23.388907144679912,21.142912193228728,19.474770731362856,10.13085673920879,11.441748965123967,2.533717863540677,3.486852943857762,12.750304572456937,12.03115486588989,21.03221302747952,27.90627879091009,23.705207793740115,20.895212332379685,23.323886724547744,19.620256543790994,13.617978978134685,14.385765792728208,20.531443258228848,-2.2000024857958964,10.672145858853238,6.056853304892772,1.0920591912748043,22.827422637552832,12.23451086981809,9.731429849073157,20.354461832849772,28.610624825742974,24.67934159915074,25.50645766280561,22.888633703499554,13.396684748437657,13.520323837654825,8.904572160769122,10.58585377628792,-39.69545466887738,-29.50925025671204,-3.6483388218383204,18.34263156909501,24.027530339626804,15.134173645290627,15.543478485804103,24.12525009264042,14.066723350397924,25.369765131482083,26.221317000469654,24.98622537097888,18.20499721659067,-3.0449087006028934
500,-7.156751938496644,0.996574069475834,2.9968283698301095,14.44218406206709,19.844649683374602,18.106894852070162,24.181438866984987,24.697659699922013,23.92940222333229,21.17753235850243,23.454063755370715,21.12999829818885,19.5759526126935,10.035770168809973,11.464814769295863,2.461205869946014,3.434921761378022,13.039991729792144,12.325409409669332,21.187779714726336,27.97048810266772,23.657483875328435,20.919614335750445,23.32003903697842,19.75253221775233,13.770735753991278,14.468830880747005,20.60370000972566,-2.172186235964919,10.926634762267378,6.2565311996323345,1.3455844591812887,22.926505082568372,12.126330471644597,9.845688042734482,20.411930955667096,28.59899124924502,24.7792113256635,25.50850038116689,22.92926909792345,13.363346897111494,13.487467313412628,8.904874883242755,10.628723197516896,-39.98627615876512,-29.50750485342758,-3.5983118553136046,18.319233542804685,24.000290462530707,15.121378535408148,15.484994453900532,24.118006322167002,14.07509872339568,25.356340712913426,26.229287357764793,24.987147990348394,18.23246822435901,-3.0668577388903917
600,-7.203923483826413,0.937602100635448,2.700820752968334,14.44291999384816,19.844740751051344,17.994157475961597,24.154473678244305,24.69361414852729,23.878292388616707,21.146270533243456,23.36936911548747,21.17415622557556,19.529684591390236,10.136922722977319,11.459606088444174,2.5364648199772812,3.261270661436491,12.852860880158811,12.23389338455836,21.024275015405777,27.950684635906736,23.72036001310577,20.942199322641557,23.27725681494992,19.69943676001039,13.663999133451785,14.456625739857023,20.637495839347324,-2.159499489691192,10.790042389955527,6.025373007087438,1.2105849919715466,22.831847917114647,12.009729270506906,9.529428707753853,20.38212803374982,28.621305192857925,24.71182241666713,25.516701611831603,23.122280023870143,13.681164971013418,13.725398540026243,8.981914052295684,10.648423207589857,-39.9320834810214,-29.5862408799618,-3.5750282692994273,18.280720151769103,24.045045398222594,15.14070177627466,15.403771332032582,24.172104944353865,14.067171660088848,25.380079061056296,26.231080810882432,24.957267731368315,18.200931551988884,-3.024723761915807
700,-7.423763885120352,0.8953076298770026,2.694690255869321,14.41593522090498,19.824787805644835,18.04553861691771,24.08380370547136,24.65548401032637,23.830474702311502,21.121265312685114,23.34922910092643,21.12054320506291,19.65570460530924,10.038456823455231,11.468526993131094,2.3344478373603383,3.043727832485878,12.751428890231779,11.932741746793827,21.035561713368523,27.895262585270327,23.664547083687264,20.900174219186667,23.238446910733224,19.66377894887221,13.73689844636687,14.420609731855878,20.563737853978402,-1.9974039332433735,10.736010469981583,6.171107781446923,1.095767196488708,22.736073030248736,12.107155348849357,9.692013190891236,20.345998092146832,28.54809189606353,24.726805262958845,25.487168708342935,23.061870471575073,13.524963885964619,13.617934206028117,8.871025875219033,10.53420907035893,-39.96042663467004,-29.608846956696745,-3.604404112196614,18.21868372245005,24.015032722772254,15.091412619230088,15.230410925664243,24.115774496036995,14.013325138400035,25.329806837735664,26.204185497256038,24.931124804695965,18.171421445995904,-3.0947521159081557
800,-7.27635559635846,0.8428774616147603,2.783815545754064,14.326966998044531,19.82442732726783,18.072015704758986,24.08487392079686,24.656091740581566,23.841078740640327,21.13204102235507,23.395664284775602,21.198924567802784,19.636474490431844,10.077485215836717,11.502033805166482,2.5262357518832323,3.121974845146392,12.838617694637916,12.015199520225563,21.098875853103653,27.878357699766656,23.670413547286554,20.92894923451719,23.287585721785547,19.719877375486163,13.70785812529826,14.456495510451054,20.622295897577377,-2.017772263248912,10.791020231358623,6.276485579577993,1.3622463695909752,22.845909405523237,12.07700107975544,9.603514202000362,20.392397061120136,28.53815570124046,24.734398443249678,25.50581050159711,23.014426246805872,13.573449889991311,13.572024618178611,8.922581979424285,10.606287039304156,-39.87546876317979,-29.625176474797843,-3.473816039501129,18.244873024612673,24.020098334738897,15.116472811505913,15.257699419099806,24.124643783310436,14.054716856664998,25.32795516824253,26.205657827475648,24.952645388668973,18.225124691071453,-3.1071213033463914
900,-7.361676693566048,0.8940354293354623,2.6646572202689938,14.195052947150904,19.81757692671251,17.931099947981163,24.036653975627853,24.638374413726268,23.831330728233667,21.132223611605962,23.39767605650113,21.120519716192927,19.55460257148947,10.057327999087558,11.481292097156514,2.3406542852414542,3.17201817075115,12.716365079251496,11.993816861433025,20.895483575293266,27.84539717053185,23.63777245990982,20.87255306849792,23.245139125834594,19.604460528772822,13.816855740817985,14.386567691672315,20.481358016742437,-1.8834869702735,10.720873885326235,6.032427751587081,1.2161435233264568,22.703850129888764,12.092611527859649,9.692244347948641,20.384122911340558,28.526837666859123,24.77662451032257,25.45510979669773,22.949790065092838,13.370345836108866,13.486918988603195,8.839585089762316,10.50587764987922,-39.84117982995264,-29.486288955348176,-3.484198397058878,18.244014838444347,24.026448704262407,15.105189857545124,15.223461155687476,24.086143216533547,14.0364426493067,25.291742223247088,26.17659026014908,24.894839557622532,18.14929659614528,-3.057719256151289
