,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
0,-8.563796148846825,1.2986527564814405,4.119443846419159,14.031169997939301,18.602939350740474,16.912377617031172,24.39713932673962,25.281865642237793,24.558481069493467,21.457345122840646,23.7874667516579,20.66681075058548,18.897844704410048,9.247875457103957,10.358492793098579,2.7464693729901866,4.523738662624539,12.654259153141416,11.404583942200967,21.47897778974123,28.57647450487264,23.594874254061608,21.119870771863685,23.062198558579468,18.075004737482924,13.447050396987244,14.294744706901866,20.271731044939543,-1.1546605329007316,10.876691345862206,6.596621080365562,1.1930064611339615,23.012639649196544,13.234570084604565,11.024747111418552,18.735443116056132,29.324935175824148,24.908415774440723,25.02295784371813,20.240637345557776,12.209944408648834,12.204628778492827,8.820171672874165,8.91871026335952,-47.135878999535336,-34.12503406131337,-3.226869889561088,-1.995472192764282,25.639041900634766,21.255096435546875,6.858951091766358,,,,,25.968341827392578,,0.6389187574386597
100,-9.1712294172339,0.6558174375683099,3.470641812736474,13.446173602297852,18.19400186503236,16.44663105918794,23.781904739382167,24.92785813888972,24.29684840882093,21.149383259931916,23.38093893888634,20.24645462758965,18.379656204855124,9.051841553119257,10.164579556111171,2.5574424233425,3.7547464291426604,12.044168922372968,10.707518398174013,20.9244628808737,28.13750510998365,23.311041780914703,20.757309053829662,22.76923841736964,17.673467257841285,12.94261830274227,13.93209669667897,19.96974830162961,-1.6784250627507438,10.214457245614081,5.759752695365395,0.3247703099104814,22.359447403608126,12.751373139408575,10.501263519223219,18.281699284646052,28.837383398183242,24.486026167993817,24.73261678443511,20.10096674936222,12.001811697519072,11.871859979014369,8.533173859460383,8.539688158015828,-47.506527253942295,-34.854051257424835,-3.9416213883366593,-2.276431679725647,25.36011505126953,20.908721923828125,6.171355247497558,,,,,25.675556182861328,,0.4687442481517792
200,-9.168998863712972,0.7608649002634129,3.3643948395527183,13.38426803820194,17.962069374142988,16.150026099599856,23.572313804763525,24.867895104162034,24.23965743100909,21.133736974280975,23.276253040234323,20.310718975128207,18.332430747617128,8.954285299948154,10.047813338276143,2.4335236001301195,3.799681876651432,11.982742746962222,10.914738111542459,20.751844898576298,28.02802180722101,23.23304532741863,20.669729100478634,22.67995938082626,17.537650578696383,12.802304707851711,13.71925646382177,19.895434885693163,-1.6761941391357014,10.237797547413248,5.6392937779936645,0.16295270378897406,22.189446814464603,12.463615034577812,10.490173206208729,18.124492587429447,28.753940536196374,24.621397740692153,24.65349186667102,19.97904869120952,11.920103444587879,11.764284873034034,8.533044250082943,8.477968300520532,-47.42164292855582,-34.72727112590695,-4.09989365505907,-2.2838364839553833,25.26089859008789,20.897979736328125,6.215909004211426,,,,,25.5835018157959,,0.44649103283882136
300,-9.0474042419293,0.7609391539662032,3.4977256342420273,13.574564437584,18.202867393982384,16.321990231233336,23.841544621970712,24.870522531370266,24.27579471704708,21.183082004220477,23.276910218179033,20.29657166748849,18.367217791210507,8.90570071571343,9.952694535789002,2.4432017215793893,4.364705565873069,12.335924222422893,11.211954006109822,20.950602343964672,27.995477339552533,23.176310975190823,20.605894972095737,22.626006358694994,17.519188611133167,12.80888483409783,13.754298267406657,19.866773658848892,-1.5552946069561147,10.490166636245304,5.861512664893481,0.3321146337859306,22.30733516549458,12.671137477775538,10.60139194905118,18.230932510219176,28.819260395049092,24.603264071794303,24.645862808519418,19.960746104232847,11.820104634609642,11.843228581525626,8.377695920734626,8.404050532944265,-47.83176295557532,-34.48807977858516,-3.970234670362683,-2.261582374572754,25.254425048828125,20.82586669921875,6.354165554046632,,,,,25.53583335876465,,0.39672213792800903
400,-9.014511682044336,0.8969908172490018,3.7285168450191035,13.550130232546266,18.252671513050576,16.48386319159367,23.83852359018216,24.859213093731082,24.32923159133381,21.13349726050606,23.307524440433497,20.424970144975962,18.632775722883117,8.887151237177276,10.182404106218858,2.371041281731817,4.658380401664005,12.446101620338029,11.622604669680333,20.89285227652067,28.036445715051073,23.28354743151084,20.742697657128815,22.560042050967066,17.618182160081425,12.98637946431604,13.83728247947839,19.908824641103703,-1.473767533865274,10.666343142247083,5.801666650141792,0.23954238726090893,22.39655673459511,12.576910274838735,10.112228668331891,18.320141431184478,28.83024555937617,24.35973297547251,24.646741601136796,20.116347527612593,12.033157832890316,11.748114927002463,8.471166743341653,8.416856279645556,-47.602795696264316,-34.53371515963626,-3.813014802078347,-2.280211091041565,25.26309585571289,20.810363769531246,6.473201274871826,,,,,25.61359977722168,,0.4746932089328766
500,-9.289902823798739,0.9407493319118092,3.8307723949560213,13.620045635958412,18.335096717310343,16.512445169901753,23.931042324139575,24.833241086694333,24.301721994973928,21.12101495143717,23.392719156535883,20.41354318146616,18.74363039501517,8.767559665848676,10.176802268561866,2.2668040698095893,4.664475567351483,12.764195816055809,11.921970284632437,21.06323230311122,28.100851550443377,23.23419882057671,20.762249952134813,22.573693277472003,17.803149746935112,13.209544865846777,13.937983652957607,19.93592074154805,-1.4019449714232484,10.947012839012244,6.035585045793493,0.5085608362061088,22.467635440133648,12.466939194863876,10.203623628729478,18.408176923738466,28.82389051613182,24.485836557218033,24.63071244247358,20.114369987569056,11.996231766169968,11.689141075343311,8.421333819533338,8.433239814904836,-47.90042397420863,-34.639341975364204,-3.983313696689166,-2.245113492012024,25.254270553588867,20.857452392578125,6.545907497406006,,,,,25.592138290405273,,0.45971125364303594
600,-9.323487128018572,0.8830910755176051,3.533958593527384,13.614432411713569,18.332917159683678,16.3913193761254,23.90228665530597,24.82886912764547,24.24532143724278,21.09782930053617,23.28086379694777,20.452049243799753,18.69287268285836,8.851835165053958,10.18015522415502,2.383765946347026,4.506150361949551,12.590363730041243,11.819663298508827,20.88766246073027,28.08180417037055,23.31301774647517,20.78430013816887,22.518533435417684,17.7439335015767,13.085064370592882,13.927288018475647,20.040781077457716,-1.428857735710265,10.825268705851311,5.7896595205438075,0.40304355527853164,22.394239860318592,12.350002532316957,9.923799494969549,18.380880323186645,28.84586865044174,24.398714343326805,24.633649197978194,20.5184334539176,12.324093511189975,12.011456010771136,8.55529364497867,8.443771572322317,-47.933230189974466,-34.58687307533494,-3.743649676182321,-2.272019624710083,25.224517822265625,20.8673095703125,6.32866907119751,,,,,25.5892333984375,,0.6068145036697388
700,-9.569371273356253,0.838610272954125,3.5395790690289988,13.589537650753728,18.321278311750966,16.47013514547386,23.84075460739129,24.777260563908584,24.206051539733192,21.084666590743502,23.28424363363253,20.393613298078975,18.804338937898972,8.764761890052968,10.190474166622243,2.1866360731796544,4.288585445609592,12.455061606356105,11.516245258799445,20.90742395686335,28.02904732908237,23.248490326125747,20.74026656799414,22.485828405901128,17.706707826942573,13.193095192987439,13.889330659402367,19.93533961451641,-1.2158574977550016,10.727108969934433,5.945936013237739,0.3144856645138224,22.284458882491606,12.426657708307989,10.078128466467264,18.35524112589613,28.772527767881556,24.42098682870442,24.594202749951084,20.440735306098883,12.150673646435404,11.89068917382422,8.411762626491239,8.332555239018829,-47.90517820637709,-34.704092049591694,-3.814819629210426,-2.2973291873931885,25.20996856689453,20.828094482421875,6.209901809692382,,,,,25.571365356445312,,0.628472089767456
800,-9.39269483204168,0.7577560643366129,3.6359928578241627,13.481100443782031,18.32044960934861,16.50128583900503,23.863899204180022,24.77680782381136,24.208988690849683,21.08482871767363,23.322686539166686,20.496696565461683,18.793643139753254,8.813421554073159,10.224101082442768,2.33241946106375,4.336548376208673,12.525092628589906,11.603255123803821,20.983033036614103,28.01978932145058,23.256759630370958,20.769043075042994,22.540538092589195,17.780387545920416,13.157910517664678,13.934355600807452,20.037881480123563,-1.2521049018617647,10.789981115016811,6.0524047629331585,0.5880472512337992,22.416692593553865,12.408083298041774,9.998814149106684,18.408485075551884,28.758457336554113,24.43362839937488,24.61878674308569,20.29944868905091,12.226434633243832,11.807385950186205,8.524155069288327,8.402854150977044,-47.85720345899464,-34.89897730181987,-3.8748147283070957,-2.302129864692688,25.20989990234375,20.829132080078125,6.232579708099366,,,,,25.583446502685547,,0.4699419140815735
900,-9.519063201411031,0.8328668799489649,3.4981241634701474,13.336072169813901,18.272409090603666,16.355239715521883,23.748326874508642,24.764334592852794,24.205035948422797,21.082298804055256,23.324026676162866,20.402219300421088,18.73117968466179,8.778134558653484,10.209196232212868,2.1696393539443286,4.350002749251854,12.435818392898058,11.586364421290552,20.76427704177113,27.964556653509877,23.221899000159297,20.711653811072463,22.495443935487227,17.6415299664884,13.266949239702134,13.84570417461244,19.84833544093586,-1.1272955335560941,10.727329204624178,5.802135706417835,0.46948718400918527,22.28055753555074,12.399671664240692,10.080446636571336,18.387965122412353,28.748277900102707,24.492326233632344,24.575086482241584,20.227422534488035,12.003572348656528,11.718619234047662,8.400984847468544,8.290312023483942,-47.79068039811316,-34.54013781254018,-3.737091198709159,-2.196031928062439,25.19708251953125,20.793365478515625,6.027379989624024,,,,,25.52193832397461,,0.5025046467781067
