,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,1.163287,1.6341586,1.4145694,1.7800165,2.2018523,2.8340554,1.485428,2.301264,1.4236803,5.7583356,3.8551576,3.8194692,5.577684,2.2085958,3.145648,2.5631032,1.9410703,1.8456485,1.2118698,1.6348507,0.32333654,4.25092,5.7110686,2.3754067,2.8377817,2.9916537,3.400686,3.1025066,0.99600685,1.1450938,1.4181125,1.6109908,0.8837739,0.5879769,2.1955042,3.5934343,0.09051836,1.8260927,7.6984286,4.4605713,1.7216306,2.1122527,1.0626122,5.3035855,0.32970697,1.0168177
100,1.1761358,1.6255622,1.4166414,1.7930619,2.1705544,2.846165,1.43253,2.3190508,1.4373482,5.7301674,3.8823905,3.8270335,5.6186843,2.2047997,3.1998298,2.5818007,1.955239,1.8394909,1.2238247,1.6304632,0.32237065,4.246128,5.694807,2.3802397,2.8163397,2.9933095,3.412746,3.1211996,1.0118954,1.124628,1.418233,1.6250341,0.8969343,0.59505814,2.1855361,3.6248057,0.09302263,1.874841,7.6911683,4.4942837,1.6935593,2.1407344,1.0718179,5.34555,0.3283899,1.0004196
200,1.1580881,1.6197293,1.4034978,1.7918836,2.179532,2.826619,1.4428797,2.2548842,1.4186995,5.702596,3.8424058,3.94297,5.58032,2.1941173,3.1403055,2.5780485,1.9389913,1.8285342,1.192637,1.636596,0.31143183,4.1464624,5.696665,2.4160807,2.8757875,3.033267,3.3943753,3.0700314,1.0018206,1.1217481,1.424472,1.5798255,0.91546345,0.58543915,2.2104807,3.5914075,0.100240275,1.8359283,7.760594,4.4908075,1.7323126,2.144818,1.0835538,5.262599,0.32454786,0.9983475
300,1.1359155,1.615594,1.3998482,1.7878802,2.1772442,2.7841969,1.4577771,2.3203979,1.4691406,5.6979733,3.9173338,3.9496267,5.513741,2.228877,3.126771,2.5690768,1.9391048,1.8365089,1.2082084,1.6299402,0.3311238,4.23145,5.6739287,2.353177,2.8608294,3.0761511,3.4170294,3.1586018,0.98614585,1.1261657,1.4055735,1.577703,0.8862221,0.56169766,2.1495702,3.5816162,0.094738014,1.7943443,7.634782,4.415228,1.6521009,2.1421986,1.0633954,5.2425914,0.3259579,0.99897313
400,1.1607683,1.6253175,1.4018558,1.8029532,2.1927466,2.8025846,1.4715658,2.321287,1.5074201,5.6782146,3.844507,3.9524136,5.5577917,2.1757689,3.1498005,2.568393,1.9689387,1.8412303,1.2125789,1.6080697,0.31905305,4.226657,5.698603,2.4029648,2.857208,3.0785272,3.4336262,3.1088502,1.0015588,1.1355252,1.4154024,1.5947969,0.90497285,0.5766806,2.163673,3.5677376,0.09773284,1.8034986,7.6807055,4.3870177,1.5903753,2.0882106,1.0128285,5.3125043,0.3295182,0.9821961
500,1.1664022,1.623933,1.4105672,1.7931037,2.1668265,2.837257,1.4625161,2.2391906,1.4903753,5.6442037,3.8154638,3.974497,5.550881,2.2117515,3.1325831,2.569434,1.9657714,1.7937776,1.1940634,1.6096363,0.30347568,4.1763573,5.681119,2.3770633,2.834581,3.020328,3.4322932,3.1235282,1.000711,1.1265417,1.4217871,1.5859085,0.9110022,0.5787727,2.2010522,3.6324863,0.09174113,1.8659247,7.6846914,4.502572,1.774863,2.1933746,1.0919049,5.2531486,0.32653072,0.99105823
600,1.1559113,1.6088191,1.4029307,1.8054029,2.189281,2.8325386,1.4555504,2.2982101,1.467914,5.678316,3.882813,4.007193,5.6114297,2.243251,3.1381207,2.586555,1.9504261,1.8005072,1.21873,1.6121619,0.32222316,4.1586823,5.666681,2.376829,2.8539753,3.0393124,3.3936412,3.1131587,0.99821645,1.1440297,1.4055703,1.5846586,0.90121436,0.5919045,2.188358,3.5627117,0.093834706,1.8450704,7.6144557,4.385761,1.7116522,2.1068838,1.0477552,5.2289257,0.32789567,1.0003306
700,1.1526518,1.6168989,1.3990436,1.790002,2.1652572,2.8035908,1.4304149,2.3293812,1.5349913,5.6512504,3.8950288,3.997034,5.5601387,2.2144713,3.1138608,2.567018,1.9367034,1.8067479,1.1832459,1.6356052,0.29861096,4.229632,5.646624,2.3301196,2.807065,3.0793488,3.4159052,3.1356494,0.9890259,1.1525843,1.4199613,1.5723718,0.8678681,0.5651114,2.191195,3.6202047,0.09159543,1.8556807,7.673794,4.6242466,1.7732621,2.1328523,1.0892678,5.3167877,0.32835564,0.99539405
800,1.1562777,1.6159585,1.3934708,1.7940646,2.195209,2.8192308,1.4925737,2.3009763,1.4539481,5.5908566,3.83368,3.934376,5.595743,2.2082393,3.1636891,2.564473,1.9512081,1.8281142,1.2190024,1.6225836,0.31586254,4.242008,5.6797485,2.3674915,2.8232148,3.0007997,3.3779025,3.137652,0.9965963,1.1388202,1.4097637,1.6054986,0.9131981,0.58617836,2.1705334,3.6188834,0.09667219,1.8494108,7.6702394,4.5077257,1.7294841,2.1172764,1.0538841,5.3016906,0.32515696,1.0047889
900,1.1302502,1.6086963,1.3971269,1.8149333,2.1668653,2.8690398,1.4903761,2.25665,1.4169943,5.7844605,3.9392982,3.8626504,5.5506473,2.2449756,3.163455,2.5623028,1.9535785,1.7927135,1.1915127,1.6072491,0.30230474,4.1501613,5.58363,2.3560033,2.8859107,2.9534974,3.4599764,3.1925488,0.984142,1.1311806,1.3931496,1.5773919,0.8838909,0.5843936,2.1881852,3.594965,0.09270834,1.8098807,7.6966558,4.548099,1.6645755,2.1412513,1.026361,5.218459,0.3272472,0.99833924
1000,1.1469644,1.6163334,1.3964508,1.7702376,2.145056,2.7971206,1.3922113,2.3928246,1.52614,5.724131,3.925116,3.9230642,5.554955,2.2229314,3.133293,2.55611,1.928503,1.8444922,1.2397137,1.6231378,0.32306927,4.1911836,5.590245,2.3780572,2.8667321,3.0184565,3.3781335,3.1508038,0.982666,1.1573094,1.4203969,1.5974209,0.85065144,0.56739545,2.1687322,3.591156,0.09305975,1.8641592,7.7191772,4.5225005,1.6686257,2.1613507,1.0523695,5.1850758,0.3224905,0.9937811
1100,1.1434202,1.6136452,1.3924619,1.8086329,2.1681185,2.8429673,1.446951,2.3524199,1.5201545,5.729477,3.9421468,3.9609048,5.5308294,2.216295,3.1083076,2.5546155,1.93391,1.8043175,1.1786817,1.5817327,0.31175944,4.1962547,5.633077,2.3626504,2.84521,3.053478,3.4144526,3.0793602,0.9955676,1.1296905,1.3932927,1.5750669,0.88816065,0.5700758,2.1670382,3.5748484,0.09767459,1.8433895,7.640303,4.498457,1.7646017,2.1560056,1.0967214,5.2011805,0.32311907,0.9825347
1200,1.1352327,1.6207609,1.3933753,1.801515,2.1680748,2.8547466,1.4238195,2.3326142,1.5257657,5.6554923,3.9011824,3.9062905,5.573953,2.2385576,3.1427312,2.5494664,1.9530777,1.8258152,1.2319894,1.5952958,0.3101079,4.2214904,5.6244273,2.3650286,2.8799496,3.0054762,3.3932023,3.1380267,0.9921476,1.1446183,1.4097009,1.5863997,0.8652656,0.55850303,2.1897948,3.5880752,0.09487865,1.8307304,7.6456237,4.3183136,1.6305559,2.1018648,1.049757,5.27076,0.32363847,0.9823732
1300,1.1528244,1.60248,1.39828,1.8139907,2.174149,2.8430016,1.4028006,2.344881,1.5719984,5.63152,3.9736273,3.8983853,5.5698147,2.2375004,3.1403909,2.5441883,1.9639007,1.8108145,1.2028044,1.6111877,0.34701553,4.2994084,5.608825,2.3346736,2.799247,3.0158298,3.3656628,3.2020283,1.0019351,1.1245506,1.4023849,1.5807856,0.8916381,0.5818829,2.2372985,3.5583324,0.09570819,1.8541968,7.6369724,4.4966135,1.7328603,2.1245084,1.0791173,5.254407,0.3264235,0.99533224
1400,1.1233287,1.6155899,1.4012183,1.761728,2.1239815,2.7990847,1.4082792,2.3715255,1.5771813,5.6387043,3.9246752,3.9170825,5.568241,2.2285905,3.1267579,2.5460942,1.9759499,1.839255,1.2200265,1.6119658,0.3477863,4.3786883,5.6653237,2.3691592,2.8282335,2.9799714,3.396105,3.193939,1.0007463,1.1421043,1.3956811,1.6056651,0.8822012,0.58920664,2.192757,3.5829153,0.10304992,1.852707,7.637638,4.5552173,1.7316751,2.2171655,1.0834389,5.2453475,0.3247968,0.98599774
