,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,-0.003392993938177824,0.016574028879404068,0.006003438029438257,0.0523824468255043,-0.05121847614645958,0.0008876406354829669,-0.016564514487981796,0.08220348507165909,0.005686218850314617,0.09705747663974762,0.051729023456573486,0.04349467530846596,0.08995746076107025,-0.0035627372562885284,0.003040168434381485,-0.009878600016236305,0.013025890104472637,0.0402550995349884,0.013737800531089306,0.17476330697536469,0.3226194977760315,0.04656960070133209,0.06457088887691498,0.037950895726680756,0.01842449977993965,0.04234205186367035,-0.023758508265018463,-0.015543862245976925,0.018442148342728615,-0.023588713258504868,-0.0010117077035829425,0.011363676749169827,0.07133346796035767,0.036132995039224625,0.0369487963616848,-0.003088168101385236,0.19233115017414093,0.00038923026295378804,0.01178549975156784,0.09540827572345734,0.027549272403120995,0.08412761986255646,0.009855348616838455,-0.006971705239266157,0.005619221366941929,-0.0022004409693181515
CESM2,0.01781991869211197,-0.004649518057703972,-0.0056816088035702705,-0.0005662885960191488,-0.043017078191041946,-0.03012930601835251,-0.0033001066185534,-0.03247641399502754,-0.027212265878915787,0.017912093549966812,-0.0012465991312637925,0.0031670315656811,0.00207947613671422,-0.0027674618177115917,-0.030134152621030807,-0.008963769301772118,-0.011060782708227634,-0.0459538996219635,-0.04326162114739418,-0.014072020538151264,0.13965044915676117,0.05752669274806976,0.08290684223175049,0.04955245926976204,0.0594978854060173,0.018855052068829536,-0.03524482622742653,0.005767311900854111,0.013052821159362793,-0.026615431532263756,0.0041274456307291985,0.01855596899986267,0.010308312252163887,0.014124881476163864,0.06838943064212799,-0.00754281971603632,0.11793510615825653,0.0037224760744720697,-0.0015187980607151985,-0.0451534166932106,-0.010832006111741066,-0.003993906546384096,0.0061468034982681274,-0.005341038107872009,-0.0024963021278381348,-0.0036406677681952715
EC-Earth3-LR,0.026491880416870117,0.008324204944074154,0.009218801744282246,-0.003339579561725259,-0.015395347960293293,0.004699398297816515,0.0050032963044941425,-0.020721565932035446,0.016695315018296242,0.004495525266975164,-0.013969832099974155,-0.01433746051043272,-0.025271542370319366,-0.023670105263590813,-0.021372007206082344,-0.0057627735659480095,0.019056737422943115,-0.0003233222523704171,-0.006713383831083775,0.01935628615319729,0.28627562522888184,0.12657417356967926,0.05848604813218117,0.11679957062005997,0.06276273727416992,-0.028152460232377052,-0.037066347897052765,-0.033741146326065063,0.02182956039905548,0.00184285594150424,0.01945648528635502,0.02071034349501133,0.09069361537694931,0.05547341704368591,0.05383821204304695,0.013585862703621387,0.2996048927307129,0.060975365340709686,-0.0033666081726551056,-0.10152768343687057,-0.0825933963060379,-0.02476130798459053,-0.020513052120804787,-0.0008120597340166569,-0.001990968594327569,-0.00020142149878665805
FGOALS-f3-L,0.012210092507302761,-0.02754170447587967,-0.010576692409813404,-0.05340937525033951,-0.027776869013905525,-0.005315785761922598,0.015245167538523674,-0.0358077734708786,-0.04099506512284279,-0.0006391337956301868,-0.04930182918906212,-0.04127608239650726,0.003345925360918045,-0.0006916331476531923,-0.02997180074453354,-0.008508680388331413,-0.044880323112010956,-0.04664139077067375,-0.04963286966085434,0.04319952800869942,0.24543339014053345,0.11045908182859421,0.11769367754459381,0.17004278302192688,0.0424548014998436,-0.010200778022408485,-0.00936893466860056,0.007754776626825333,0.005010512191802263,-0.02870488353073597,-0.010512960143387318,0.00954329315572977,0.02561468631029129,0.018157947808504105,0.05115329846739769,-0.0023522754199802876,0.16134454309940338,0.042221736162900925,0.006504909135401249,-0.037579335272312164,-0.01516597718000412,-0.008167064748704433,0.0009965358767658472,-0.0010713591473177075,-0.009030014276504517,-0.015015832148492336
FGOALS-g3,0.006203852593898773,-0.05870174244046211,-0.03194855898618698,-0.10496276617050171,-0.09451769292354584,-0.04637599736452103,-0.031997211277484894,0.014418600127100945,-0.015407830476760864,-0.00046270506572909653,-0.0832354947924614,-0.06716874241828918,-0.09969782829284668,-0.005231375806033611,-0.03330043703317642,-0.007489555981010199,-0.11487231403589249,-0.12172797322273254,-0.09346982091665268,-0.0762871578335762,-0.011089971289038658,0.04471239075064659,0.0026899746153503656,0.0910603478550911,-0.03595979884266853,-0.0042047868482768536,-0.017447946593165398,0.005897520110011101,-0.05258893966674805,-0.06753562390804291,-0.060146089643239975,-0.02533872239291668,-0.056001126766204834,-0.026029298081994057,0.11210580915212631,-0.01352751161903143,0.10300079733133316,0.08093433082103729,0.0006692013703286648,-0.09951125830411911,-0.06080223247408867,-0.02092597261071205,-0.0185586865991354,-0.007837279699742794,-0.007089674007147551,-0.008765739388763905
GISS-E2-1-G,-0.002815337385982275,-0.006288965232670307,-0.017359720543026924,-0.04805134981870651,-0.003786541987210512,0.008944091387093067,0.014145120978355408,-0.02047676220536232,-0.04090581461787224,0.025724830105900764,-0.014831841923296452,-0.006168149411678314,-0.025245660915970802,-0.01444221381098032,-0.028563374653458595,-0.008989444002509117,-0.00524525623768568,0.007874584756791592,-0.012003464624285698,0.002349063754081726,0.1218952015042305,0.07503031194210052,0.07540655881166458,0.09415648132562637,0.034377727657556534,0.03123977780342102,-0.005473391618579626,-0.004702054429799318,-0.0012648208066821098,-0.03235790133476257,-0.0036925484891980886,0.026677433401346207,0.005711511243134737,0.004991433583199978,0.0424659438431263,0.018159853294491768,0.054072123020887375,0.08595800399780273,-0.006798515096306801,-0.025764841586351395,-0.017740244045853615,0.0009101806790567935,-0.008670227602124214,-0.004740001168102026,-0.017062898725271225,-0.014623717404901981
INM-CM4-8,0.014307963661849499,0.014525637030601501,0.01199882198125124,-0.027648447081446648,0.006326638162136078,0.023955771699547768,-0.026508940383791924,0.06915386021137238,-0.0361175611615181,0.023431595414876938,-0.008927439339458942,0.01248901803046465,0.017357639968395233,-0.037464920431375504,-0.06737935543060303,-0.004323093220591545,-0.006787996739149094,0.0074034384451806545,0.013741626404225826,0.04619678109884262,0.21146894991397858,0.13955940306186676,0.06750043481588364,0.03828699514269829,0.042166922241449356,0.03102259896695614,-0.013388178311288357,-0.025554118677973747,0.020609647035598755,-0.001377718523144722,-0.0019679549150168896,0.016680186614394188,0.05194999650120735,0.023394165560603142,0.005780498962849379,0.005507615394890308,0.15722203254699707,0.045054659247398376,-0.018308259546756744,0.019880956038832664,-0.013403186574578285,0.013824721798300743,-0.006990725174546242,-0.00032756818109191954,-0.002973651746287942,-0.018476055935025215
IPSL-CM6A-LR,0.013865328393876553,0.002479582093656063,-0.012028520926833153,0.01904589682817459,-0.0035110763274133205,0.00739958044141531,0.04827602952718735,0.0028599051292985678,0.013524742797017097,0.017825281247496605,0.00483825895935297,0.014288701117038727,0.0202613677829504,-0.007930729538202286,-0.028975021094083786,-0.010297001339495182,-0.029449352994561195,-0.029782475903630257,-0.02632928267121315,0.06114817410707474,0.2953769564628601,0.0768774151802063,0.0664249137043953,0.07318621873855591,0.07084644585847855,0.0699896439909935,0.032656364142894745,0.004963239189237356,0.011390422470867634,-0.05728569254279137,-0.01272181048989296,0.015773693099617958,0.05552076920866966,0.05067744106054306,0.02767881006002426,0.0230310820043087,0.2942545711994171,0.03507687523961067,-0.002250001300126314,-0.0110121238976717,-0.00849174614995718,-0.003048903541639447,0.009584816172719002,-0.00012361409608274698,-0.004216670989990234,-0.009394807741045952
MIROC-ES2L,-0.002638387493789196,-0.00390521134249866,-0.0011824367102235556,0.004721182398498058,0.03433427959680557,0.02741139754652977,0.04883667826652527,-0.04905981943011284,-0.04120351001620293,0.028699330985546112,-0.023003756999969482,0.0038679917342960835,0.0019449533428996801,-0.020853526890277863,-0.018298298120498657,-0.0074631390161812305,-0.012909413315355778,-0.017492420971393585,-0.015140190720558167,0.00030810400494374335,0.1827615350484848,0.06783845275640488,0.1020662784576416,0.049659281969070435,0.03893864527344704,0.015561102889478207,-0.017409173771739006,0.0007449600379914045,0.00830899365246296,-0.010985003784298897,-0.003250206122174859,0.012072021141648293,0.008582145906984806,-0.011780181899666786,0.03539117053151131,0.007294810842722654,0.13371849060058594,-0.005875380709767342,0.011451410129666328,-0.057702306658029556,-0.027121933177113533,-0.01667594537138939,-0.0005832631723023951,0.0025547787081450224,-0.006614011246711016,-0.008610988967120647
MPI-ESM1-2-LR,-0.0013266315218061209,0.0046610902063548565,0.003971325699239969,0.015244905836880207,-0.003984502982348204,0.02001981995999813,0.0033004661090672016,0.02839566580951214,-0.009246530011296272,0.03316487744450569,-0.031485870480537415,-0.07052842527627945,-0.11525773257017136,-0.04243338108062744,-0.06021087244153023,-0.022349948063492775,0.00437924824655056,0.004439808428287506,-0.0019419676391407847,0.11582130193710327,0.40198084712028503,0.12035366892814636,0.058890920132398605,0.10842598229646683,-0.014190008863806725,-0.024461140856146812,-0.05019395798444748,-0.038858894258737564,0.017337292432785034,-0.00736446026712656,0.005447333212941885,0.017845187336206436,0.12932172417640686,0.08440031111240387,0.05227780342102051,0.01918797194957733,0.29121139645576477,0.05675024166703224,0.011519077233970165,0.12593121826648712,0.11338932812213898,0.11950694769620895,0.05943647027015686,-0.00037366824108175933,0.0017172327497974038,-0.0074717202223837376
