,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,1.2681768,2.2895339,2.1190627,0.8743673,2.1631021,3.3188066,2.6057975,3.4519126,1.7360176,3.7660005,2.9514873,0.12831002,0.5750133,2.2054195,1.3427705,2.5994537,1.9243512,1.5764587,1.186891,0.817617,0.7733927,8.75408,6.154199,3.6585836,0.73911244,0.59207785,0.6007242,0.420161,1.7829,1.6192354,2.9527764,2.6929312,0.2980539,0.9310613,4.657215,6.61952,0.06370817,5.03144,7.6546106,1.7469414,1.1016444,1.2015682,1.0691966,5.3494916,0.34964246,1.1411359
100,1.2059833,2.3054028,2.097052,0.8688882,2.1464496,3.3737001,2.6140118,3.3798497,1.8098176,3.8536704,2.9545283,0.11590101,0.59716296,2.2357912,1.3586797,2.5548916,1.9782137,1.5142941,1.255421,0.79290557,0.81675947,8.7718,6.0811534,3.6707475,0.7108263,0.54475874,0.56091255,0.40950736,1.7739146,1.5943152,2.9226253,2.7214966,0.31931162,0.95174944,4.699697,6.721693,0.07071172,4.988928,7.591381,1.6341926,1.1460409,1.1886634,1.0897404,5.4050813,0.34991425,1.1427135
200,1.2446401,2.315418,2.0994961,0.85266924,2.19919,3.3848505,2.5595396,3.4458215,1.7838013,3.6917896,2.9712899,0.12089867,0.5390706,2.275833,1.3191564,2.5476527,1.9323881,1.5293244,1.1986961,0.82938284,0.78597564,8.749917,6.075703,3.6324425,0.70807034,0.54825467,0.5588192,0.4501699,1.7924457,1.5952806,2.9017293,2.6857383,0.30005383,0.9032032,4.7119594,6.627617,0.076455116,5.042512,7.709069,1.6327192,1.1031289,1.1932268,1.0585792,5.3249307,0.35293862,1.1356527
300,1.2082528,2.3054452,2.116795,0.8826955,2.18325,3.3733928,2.6234934,3.3664968,1.6949775,3.8093245,2.9399667,0.12694037,0.5646978,2.392778,1.3511238,2.5820644,1.9879814,1.5237734,1.2569606,0.7760263,0.7465933,8.582377,6.037378,3.6172545,0.6870161,0.5724354,0.56351703,0.457011,1.7752098,1.5822667,2.9273734,2.6731849,0.3194745,0.9616525,4.691368,6.6394553,0.07232177,4.9430656,7.628191,1.5673035,0.9383266,1.0555655,1.0157135,5.390827,0.3445945,1.1193892
400,1.2437074,2.294416,2.124923,0.9022123,2.2128563,3.4457693,2.7334194,3.395446,1.7287861,3.7543628,2.936972,0.13384017,0.54314005,2.243505,1.3448696,2.5668745,1.9429586,1.5079875,1.1637131,0.79577255,0.7696763,8.642751,6.033845,3.6356535,0.7213738,0.58056766,0.5866376,0.4480845,1.8100132,1.599241,2.915779,2.7136168,0.31678808,0.9375155,4.648596,6.663537,0.066050336,5.072174,7.558385,1.509875,1.0422374,1.1306852,1.1066926,5.411895,0.34331912,1.130946
500,1.2421286,2.3159757,2.10803,0.8935261,2.217995,3.294719,2.6053941,3.5804365,1.8069571,3.6924832,2.9334166,0.12413458,0.5480507,2.2390747,1.2856754,2.631177,1.9417119,1.5640525,1.1798662,0.86745733,0.8927808,8.904282,6.160283,3.6399379,0.7169021,0.5858301,0.58989036,0.4266774,1.787285,1.5874261,2.8806791,2.7175903,0.3209624,0.9422183,4.6641035,6.5892396,0.07147374,5.0383368,7.631617,1.7662503,1.2043687,1.166006,1.1075976,5.332325,0.35000595,1.145557
600,1.2309213,2.3481395,2.1230283,0.88280886,2.190727,3.334665,2.5483415,3.4784527,1.8385583,3.7507973,2.9614954,0.12294484,0.57239085,2.2898357,1.3570123,2.586275,1.9881473,1.5556201,1.2092474,0.8245917,0.7675926,8.641941,5.983762,3.5733218,0.68252105,0.5268118,0.5596774,0.44166526,1.8035092,1.6030843,2.9336126,2.6930804,0.30916035,0.9358793,4.6019926,6.6495523,0.06337805,4.956233,7.5440593,1.4026167,0.95876795,1.0802228,1.0610827,5.3576894,0.35437766,1.1292275
700,1.2330407,2.3126354,2.1125176,0.90579796,2.181728,3.3556292,2.5617046,3.5384662,1.6806097,3.742901,2.9183483,0.114485964,0.5546839,2.285918,1.3810802,2.5763242,1.9725842,1.5565865,1.2306333,0.8452119,0.7878458,8.6366415,6.031943,3.6289065,0.71105987,0.5631494,0.57992876,0.43377373,1.7843026,1.6184026,2.904244,2.6846566,0.31443363,0.9166048,4.6379333,6.608212,0.065959215,4.998947,7.5993843,1.5564127,0.9939816,1.0778542,1.0314355,5.4117146,0.35513538,1.1261784
800,1.2406635,2.3050356,2.1150107,0.9379532,2.2096138,3.3984773,2.6201491,3.5616207,1.7242584,3.6137524,2.8846357,0.1268807,0.5510473,2.3238585,1.3663589,2.5331044,1.9424859,1.5071462,1.2009721,0.847227,0.7548021,8.419782,5.885981,3.567402,0.65839314,0.5629497,0.5650181,0.41349283,1.7895061,1.6272925,2.9595668,2.6861584,0.31138432,0.9236584,4.605658,6.598955,0.060293008,4.898022,7.4853754,1.5463072,1.0076388,1.1064352,1.0655414,5.3486824,0.3534465,1.155718
900,1.2318591,2.3127687,2.1051857,0.9108613,2.2242422,3.383928,2.6005058,3.5238774,1.7767221,3.6862278,2.8726747,0.13147137,0.55546874,2.3549821,1.3388143,2.5337863,1.9359623,1.5640229,1.2360833,0.83933866,0.77003896,8.581906,5.9912777,3.6045008,0.69268805,0.58888626,0.58764905,0.44840205,1.7827269,1.6394608,2.9183502,2.6553066,0.3153292,0.9566535,4.547676,6.508794,0.060796045,4.73305,7.4636216,1.455352,0.82504165,1.0405978,0.96370155,5.310384,0.35635057,1.1651366
