,0,1,2,3,4,5
0,ARP,1,0.96,0.54,0.96,0.75
1,CAF,2,0.66,0.71,0.71,0.685
2,CAR,2,-0.76,0.3,0.3,-0.23
3,CAU,1,0.26,-0.35,0.26,-0.044999999999999984
4,CNA,22,0.07,0.04,0.07,0.05500000000000001
5,EAN,3,0.99,0.99,0.99,0.99
6,EAS,29,0.87,0.99,0.99,0.9299999999999999
7,EAU,1,0.24,0.63,0.63,0.435
8,ECA,11,0.98,0.89,0.98,0.935
9,EEU,2,0.79,0.93,0.93,0.8600000000000001
10,ENA,58,0.2,0.21,0.21,0.20500000000000002
11,ESAF,6,0.73,0.85,0.85,0.79
12,ESB,6,0.96,-0.09,0.96,0.435
13,GIC,10,-0.17,0.8,0.8,0.315
14,MED,41,0.82,0.96,0.96,0.8899999999999999
15,NAU,4,-0.05,0.49,0.49,0.22
16,NCA,19,0.33,0.53,0.53,0.43000000000000005
17,NEAF,11,0.98,0.83,0.98,0.905
18,NEN,38,-0.15,-0.24,-0.15,-0.195
19,NES,6,0.35,0.51,0.51,0.43
20,NEU,42,0.99,0.97,0.99,0.98
21,NSA,4,0.4,0.78,0.78,0.5900000000000001
22,NWN,38,-0.1,-0.38,-0.1,-0.24
23,NWS,11,0.15,-0.87,0.15,-0.36
24,NZ,9,0.98,0.99,0.99,0.985
25,RAR,2,0.92,0.9,0.92,0.91
26,SAH,15,0.96,0.95,0.96,0.955
27,SAM,7,-0.84,-0.67,-0.67,-0.755
28,SAS,7,0.23,0.98,0.98,0.605
29,SAU,17,0.66,0.89,0.89,0.775
30,SCA,15,-0.66,0.37,0.37,-0.14500000000000002
31,SEA,7,0.98,0.41,0.98,0.695
32,SEAF,18,0.96,0.44,0.96,0.7
33,SES,2,0.76,-0.32,0.76,0.22
34,SSA,4,0.23,0.66,0.66,0.445
35,SWS,2,-0.87,0.16,0.16,-0.355
36,TIB,11,1.0,0.97,1.0,0.985
37,WAF,2,0.23,0.95,0.95,0.59
38,WAN,1,0.9,0.95,0.95,0.925
39,WCA,11,0.98,0.86,0.98,0.9199999999999999
40,WCE,63,0.98,0.88,0.98,0.9299999999999999
41,WNA,84,0.28,-0.11,0.28,0.08500000000000002
42,WSAF,7,0.03,0.19,0.19,0.11
43,WSB,2,0.75,0.37,0.75,0.56
