,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
AWI-ESM-1-1-LR,0.3622213900089264,0.03443014249205589,-0.2206985503435135,0.32313990592956543,1.6213932037353516,0.6914091110229492,0.015651587396860123,-0.5822141766548157,-0.2549872398376465,-0.03971964120864868,-0.7347819805145264,-0.5119355320930481,-0.22919344902038574,-0.5692106485366821,-0.24777428805828094,-0.5103635191917419,0.22637015581130981,-0.05279922857880592,0.505207896232605,0.20977702736854553,-0.8592065572738647,-1.1767433881759644,-0.44081300497055054,-0.42021995782852173,-0.1682717204093933,-0.4746793210506439,-0.19881263375282288,-0.3060818016529083,0.12246893346309662,1.1756778955459595,1.065352201461792,0.19100245833396912,0.9683002233505249,1.3521134853363037,-0.15957088768482208,-0.27826109528541565,-0.43259838223457336,-0.24021294713020325,-0.16108299791812897,-0.24506594240665436,0.05201701074838638,-0.2650030255317688,0.0576680563390255,-0.09569016098976135,0.023853503167629242,0.8578593134880066
CESM2,1.527991771697998,1.1091572046279907,1.5358974933624268,1.4824912548065186,1.3241558074951172,1.8621190786361694,0.24077491462230682,0.03184282407164574,0.016074933111667633,0.1264578253030777,0.24256102740764618,0.24932120740413666,0.7035383582115173,-0.1520615518093109,0.2048514187335968,-0.2339976578950882,0.9535996317863464,2.1594624519348145,2.0075454711914062,1.6470285654067993,0.6243605017662048,-0.9848363995552063,-0.4391845166683197,-0.4134719967842102,-0.03741557151079178,0.16450196504592896,0.21217022836208344,-0.30796384811401367,0.9681238532066345,1.698758840560913,2.0455384254455566,1.4027557373046875,1.637930989265442,1.759909987449646,-0.10351509600877762,1.050657868385315,0.9034366607666016,-0.7860228419303894,-0.16760630905628204,0.13487282395362854,0.20791713893413544,0.19957570731639862,0.09941435605287552,-0.20823517441749573,-0.133779376745224,-0.03818879276514053
EC-Earth3-LR,2.1697723865509033,1.1864120960235596,1.741967797279358,1.3349177837371826,1.1123937368392944,0.8099950551986694,0.3269890546798706,0.24928270280361176,0.08048789948225021,0.04815511032938957,0.17048798501491547,-0.00042866900912486017,0.26593995094299316,-0.09747754037380219,0.12479712814092636,-0.3685709834098816,1.7077507972717285,1.5530543327331543,1.6224268674850464,1.2303050756454468,0.566280722618103,-1.6402486562728882,-0.993297815322876,-1.2989392280578613,-0.38527071475982666,0.0906713530421257,0.10123512148857117,-0.14834006130695343,1.4846798181533813,1.3616632223129272,1.691750168800354,1.426345705986023,1.3386242389678955,1.7917569875717163,0.4828591048717499,0.7530208230018616,0.6008027791976929,-0.47102609276771545,-0.16024133563041687,0.33610761165618896,0.46304434537887573,0.2597033977508545,0.04498707875609398,-0.32190969586372375,-0.07557709515094757,-0.05680214241147041
FGOALS-f3-L,1.3296138048171997,0.9983392357826233,1.0914294719696045,1.0362468957901,0.6367003917694092,0.4781607687473297,-0.15305083990097046,-0.21506890654563904,-0.19706137478351593,-0.16553106904029846,-0.07274926453828812,-0.37641364336013794,-0.01938220113515854,-0.355374813079834,-0.0835755467414856,-0.6486488580703735,0.981286883354187,1.3957674503326416,1.3705346584320068,0.803183376789093,0.24376408755779266,-1.2831155061721802,-0.9301336407661438,-1.2885130643844604,-0.29569095373153687,-0.41873329877853394,-0.20381873846054077,-0.3880341053009033,1.0402905941009521,1.173194408416748,1.6769505739212036,0.8989317417144775,1.1604509353637695,1.6167020797729492,0.10788130015134811,0.33274775743484497,0.2655668556690216,-0.8692741394042969,-0.46243247389793396,-0.03258261829614639,0.041193269193172455,-0.18570579588413239,-0.28367161750793457,-0.488650381565094,-0.40192127227783203,-0.8980712294578552
FGOALS-g3,1.9602080583572388,2.1192691326141357,2.8112685680389404,2.6588809490203857,2.4935967922210693,2.1580843925476074,0.8270723819732666,-0.19102726876735687,0.11447632312774658,0.14339323341846466,0.9237409830093384,-0.31512248516082764,-0.2006199061870575,-0.43489328026771545,0.12740963697433472,-0.637811005115509,2.2382760047912598,3.4658055305480957,2.150587320327759,1.9977405071258545,0.7029061913490295,-0.30195796489715576,0.020306941121816635,-0.6470765471458435,0.16079795360565186,-0.45454806089401245,-0.12075693905353546,-0.09845367074012756,2.4509637355804443,2.326125144958496,3.4745779037475586,2.4634647369384766,1.842879295349121,2.2719545364379883,1.850797414779663,1.5096224546432495,0.6409505009651184,-1.0140206813812256,0.011421260423958302,-0.07461950182914734,0.26064470410346985,-0.0648098960518837,-0.020403409376740456,-0.42269977927207947,-0.3604586720466614,-0.42093348503112793
GISS-E2-1-G,0.8314366340637207,1.4658726453781128,1.9807616472244263,1.211627721786499,0.8621918559074402,0.6503080725669861,0.05968444421887398,-0.2078249603509903,-0.12173185497522354,-0.12133162468671799,0.08113212883472443,-0.35318323969841003,-0.07678046822547913,-0.44519758224487305,-0.12384141981601715,-0.6328377723693848,1.1379705667495728,0.9460617303848267,1.1026184558868408,0.45036280155181885,-0.45944684743881226,-1.2094604969024658,-1.1449310779571533,-1.3166098594665527,-0.5993397235870361,-0.4956756830215454,-0.290696382522583,-0.4292824864387512,1.6771705150604248,1.3411650657653809,1.3796296119689941,1.2924540042877197,0.8062958121299744,1.2345271110534668,0.05744422599673271,0.5569127202033997,0.05181201547384262,-1.1692194938659668,-0.3580353558063507,-0.042871445417404175,0.08551663160324097,-0.24490365386009216,-0.27992698550224304,-0.5934276580810547,-0.941745936870575,-1.2588213682174683
INM-CM4-8,1.5989946126937866,0.851900041103363,1.2042299509048462,0.568483829498291,0.5944898128509521,0.5050530433654785,0.5473493337631226,-0.4019733965396881,-0.19887836277484894,0.050621308386325836,0.007304961793124676,-0.23675355315208435,0.14371642470359802,-0.423147976398468,-0.2067408561706543,-0.5136398673057556,0.8223376274108887,1.5008330345153809,0.8981010317802429,1.2076146602630615,0.5461552739143372,-1.3913811445236206,-0.527583658695221,-0.40432825684547424,0.09194059669971466,0.23872166872024536,0.4242112636566162,-0.191787987947464,0.6783837676048279,1.397613525390625,1.378860354423523,0.8316746354103088,1.0060256719589233,1.581038475036621,0.17255502939224243,0.06938779354095459,-0.016364844515919685,-0.6637638807296753,-0.2831260859966278,-0.09501933306455612,-0.06110578030347824,-0.0326058566570282,-0.07722372561693192,-0.24768292903900146,-0.1975661963224411,-0.7724882364273071
IPSL-CM6A-LR,1.2434190511703491,1.0446749925613403,1.3712830543518066,1.0715358257293701,1.003454327583313,0.7416425347328186,-0.28781893849372864,-0.2910674512386322,-0.2230360507965088,-0.31500375270843506,-0.3002954125404358,-0.3300977051258087,-0.0398050919175148,-0.3994075655937195,-0.1263125240802765,-0.3461633622646332,0.9653310775756836,1.7879564762115479,1.290402889251709,0.9324682354927063,0.41822320222854614,-0.8443924188613892,-0.6456939578056335,-0.7114167213439941,-0.27717718482017517,-0.27892807126045227,-0.22212906181812286,-0.3794790506362915,1.11110258102417,2.1906304359436035,1.9303464889526367,1.0367645025253296,1.131987452507019,2.24790096282959,0.5807372331619263,0.0031126397661864758,0.3095085620880127,-0.5330635905265808,-0.3940710127353668,-0.10594358295202255,0.023119870573282242,-0.2217789590358734,-0.271266907453537,-0.3245788812637329,-0.2633856236934662,-0.3903498649597168
MIROC-ES2L,0.5348090529441833,0.6601865291595459,0.8052423000335693,0.6603800654411316,-0.21180345118045807,0.06324545294046402,-0.6101070642471313,0.2780134975910187,-0.013185501098632812,-0.15928350389003754,0.30226778984069824,-0.3779619634151459,0.07622679322957993,-0.4368916451931,-0.23669706284999847,-0.5412282943725586,0.7719886302947998,1.2312833070755005,0.9097162485122681,0.7959303259849548,-0.3461275100708008,-1.1362767219543457,-0.7347412705421448,-1.1138601303100586,-0.46435344219207764,-0.3104679584503174,-0.2327125519514084,-0.3327310383319855,0.9829071164131165,0.9028845429420471,1.3491696119308472,0.5052413940429688,1.1834415197372437,1.7605232000350952,0.09518696367740631,-0.11777891218662262,-0.10466399788856506,-0.8086763024330139,-0.42097097635269165,-0.051328640431165695,0.044336460530757904,-0.10588598251342773,-0.3290388286113739,-0.4108113944530487,-0.9051773548126221,-0.8257011771202087
MPI-ESM1-2-LR,0.9716051816940308,0.7101110816001892,0.8636189699172974,1.108229160308838,1.0324811935424805,0.47120267152786255,0.1293766051530838,-0.3964964747428894,-0.2706552743911743,0.19108597934246063,-0.15689533948898315,-0.18193279206752777,0.20757435262203217,-0.48476898670196533,0.2616807520389557,-0.5049899816513062,0.8519432544708252,1.0789976119995117,1.1726540327072144,0.8532661199569702,-0.3600873053073883,-1.9516795873641968,-1.0545769929885864,-1.203956961631775,-0.406206339597702,-0.24694077670574188,-0.14488957822322845,-0.30335432291030884,0.7917066216468811,1.5043967962265015,1.766997218132019,0.7205416560173035,1.155717372894287,1.5342257022857666,0.08884696662425995,0.08630169183015823,-0.27439773082733154,-0.7158892154693604,-0.17127449810504913,0.32039767503738403,0.19115400314331055,0.11938311904668808,-0.0565502755343914,-0.26619651913642883,-0.20042653381824493,0.04228310286998749
