"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge","ageCtrlN","ageCtrlMax","ageCtrlMedian"
"1","Abhe.Mologni.2021","WEB6e660f3d",41.77,11.2,"NEAF","LakeDeposit","Stratigraphy","Shoreline","Shoreline (Lake Level)",121,11125,11004,93,100,"Annual","P-E","Other","positive",253.975,NA,374.529,358.244,373.875,10285.5,121,NA,NA,NA
"2","AchitNuur.Sun.2013","lcRHKtvc1HMQRltXv6E",104.8517,51.5836,"ESB","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,140,150,"Annual","P","Legacy Climate v1.0","positive",283.824,286.3,288.967,279.3,274.486,5820,10170,10,2400,1010
"3","Aden.Tierney.2013","LPD8e619296",44.3,11.955,"NEAF","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,12000,12000,186,182,"Annual","P-E","Other","negative",-133.113,-132.25,-143.42,-142.9,-142.52,6017,3842,9,2893,934
"4","AdleyLakeParkersPrairie.Digerfeldt.1992","pdRrmkVD3TsBOeoXn7g",-95,46,"CNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,12000,12000,597,935,"Annual","P-E","Liefert and Shuman, 2020","positive",NA,-2.55,NA,NA,NA,4180,11934,NA,NA,NA
"5","Adobe.Batchelder.1978","OLS_R4y0PIxteRT",-118.6,37.91,"WNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3470,"Annual","P-E","Oxford Lake Level Database","negative",3,2,3,3,3,6586.83333333333,5137.35714285714,NA,NA,NA
"6","Aegelsee.Lotter.1991","lcRiO79S9Ix3TwY9hPY",7.5433,46.6458,"WCE","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,110,110,"Annual","P","Legacy Climate v1.0","positive",1406.7,1537.46,1409.19,897.789,831.65,4500,11280,10,3160,900
"7","Afrera.Gasse.1975","OLS_R7luETutJOR",40.83,13.42,"NEAF","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,2832.5,"Annual","P-E","Oxford Lake Level Database","negative",3,3,2,1,1,9002.25,2683.9,NA,NA,NA
"8","AgerodsMosse.Nilsson.1964","lcRxfTrPDKVUtCFt7rs",13.4277,55.9345,"NEU","Peat","pollen","Pollen","Pollen (Calibrated)",0,10180,10180,60,60,"Annual","P","Legacy Climate v1.0","positive",784.282,769.633,773.922,662.872,641.415,4650,9810,30,970,310
"9","AhungCo.Morrill.2006","WEB8b32a2e0",92.06,31.62,"TIB","LakeSediment","PCA","Shoreline","Shoreline (Lake Level)",4048,9073,5025,47,47,"Annual","P-E","Other","positive",NA,-1.911,-1.325,1.782,NA,7670,4156,NA,NA,NA
"10","AKIII.Terwilliger.2013","SL13TEAK01A",39.3646,13.3322,"NEAF","TerrestrialSediment","dDwax","Leaf Wax","Leaf Wax (δD)",0,4342,4342,126,132,"Annual","P","Other","negative",-126.333,-133,NA,NA,NA,2774,3527,5,1590,439
"11","AlbanyRiverBog.Glaser.2004","lcRzlW3oGuXnInc3Msu",-83.6175,51.435,"NEN","Peat","pollen","Pollen","Pollen (Calibrated)",290,6220,5930,285,280,"Annual","P","Legacy Climate v1.0","positive",681.525,NA,598.625,NA,NA,1880,5890,6,1400,740
"12","AlbercaLake.Wogau.2019","WEB2b6a96dc",-101.2,20.3833,"NCA","LakeSediment","Ti/Ca","Other","Other (Not Calibrated)",0,6748.96,6748.96,0.279999999999973,0.279999999999973,"Annual","P-E","Other","positive",9.871,78.555,38.996,NA,NA,5371.03,2512.48,9,2090,384
"13","Albert.Berke.2014","WEB-a7bc6-3c3f-4541-b2f0-c02b6",31.17,1.835,"SEAF","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",7117.8434,12000,4882.1566,165.2365,165.236499999999,"Annual","P-E","Other","negative",NA,NA,NA,NA,-56.871,10924.3547,9989.2353,8,2067.8434,1112.1566
"14","Aljojuca.Bhattacharya.2015","WEB4ef1e8b8",-97.5338,19.0915,"SCA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,4139.7,4139.7,13.1000000000001,13.1000000000001,"Annual","P-E","Other","negative",-6.026,-6,NA,NA,NA,2441,1147.8,10,1809.7,135
"15","Alley.GISP2.2000","WEB-ef183-b6de-44d7-8b46-61a47",-38.5,72.6,"GIC","GlacierIce","Ice Accumulation","Glacier Ice","Glacier Ice (Accumulation)",144.043,12000,11855.957,28.8099999999995,28.8099999999995,"Annual","P","Other","positive",244.34,235.043,229.031,228.32,198.643,1209.96,11984.4,NA,NA,NA
"16","AlpLusgaBelalp1.vanderKnaap.1997","lcR2SXIdl9wohfxxdbD",7.5903,46.2308,"WCE","Peat","pollen","Pollen","Pollen (Calibrated)",0,7650,7650,295,300,"Annual","P","Legacy Climate v1.0","positive",1224.667,1207.5,1202.3,1203.1,NA,1460,7030,4,2920,1840
"17","AlutLake.Anderson.2002","lcRDoKSlINMOkI1PqMf",152.3128,60.1367,"RFE","Lake","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,350,320,"Annual","P","Legacy Climate v1.0","positive",299,295.05,296.633,301.4,278.52,8760,10480,14,2580,625
"18","Andy.Szeicz.1995","PYTCPIAO06Y",-128.08,64.65,"NWN","LakeSediment","pollen","Pollen","Pollen (Calibrated)",0,12000,12000,189,189,"Annual","P","Arctic Holocene","positive",15.533,3.762,-90.733,81.704,188.889,10223,9803,5,4170,1940
"19","AngelicaCave.Wong.2020","WEB-7cf3f-ffa5-4f6d-8f4c-250b0",-46.24,-13.4,"NES","Speleothem","d18O","Speleothem","Speleothem (δ18O)",100.86,6826.72,6725.86,17.15,17.15,"Summer","P","Other","negative",-2.66,-2.731,-2.893,NA,NA,6114.15,4565.27,20,1087,242
"20","AralSea.Chen.2008","LPD053400dbb",60,45,"EEU","LakeSediment","hybrid","Other","Other (Not Calibrated)",0,11000,11000,50,1250,"Annual","P-E","Mid-Latitude Holocene","positive",1.81,3,4,2.381,1,5725,1325,NA,NA,NA
"21","Asal.Gasse.1975","OLS_ResQaXkZnvE",42.5,11.6,"NEAF","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11505.5,1174.5,3730,"Annual","P-E","Oxford Lake Level Database","negative",3,2,2,1,1,9002.25,1490.83333333333,NA,NA,NA
"22","Attacave.Niggemann.2003","S2LRZeoXM3hqeb",7.9,51.1,"WCE","Speleothem","d18O","Speleothem","Speleothem (δ18O)",382.3386381,8658.143893,8275.8052549,15.7994740000001,15.6758644500001,"Winter","P-E","SISALv2","negative",-5.688,-5.786,-5.742,-5.751,NA,3472.893849,538.4893846,12,1620,583.83068095
"23","Auroracave.Lorrey.2008","S2LRKmG1npI12F",167.6979,-45.2953,"NZ","Speleothem","d13C","Speleothem","Speleothem (δ13C)",1700.8249,7089.6983,5388.8734,35.3191000000002,35.3888500000003,"Annual","P-E","SISALv2","negative",NA,-8.987,-9.211,NA,NA,6423.6306,2730.4337,4,1621,1210.1751
"24","Aus-WilkinsKeilambeteGnotuk","Aus_247",142.989,-38.2135,"SAU","LakeSediment","d18O","Shoreline","Shoreline (Lake Level)",0,9357.05,9357.05,98.8,98.8,"Annual","P-E","Other","positive",1.996,1.587,2.102,2.19,NA,7232.85,8912.45,NA,NA,NA
"25","Aus-WilkinsKeilambeteGnotuk","Aus_248",142.989,-38.2135,"SAU","LakeSediment","particle size","Other","Other (Not Calibrated)",0,9357.05,9357.05,98.8,98.8,"Annual","P-E","Other","negative",0.03,0.067,0.024,0.049,NA,7232.85,8912.45,NA,NA,NA
