"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge"
"1","117_723A.Godad.2011","RL0SCEeYVWU",57.609,18.0518,"ARP","MarineSediment","foraminifera","other microfossil","other microfossil",500,12000,11500,330,325,"summerOnly","T","Temp12k","positive",28.306,28.978,28.684,29.191,29.005,7210,11700
"2","161_976.Martrat.2014","R56JsH0b7h7",-4.3127,36.2054,"MED","MarineSediment","alkenone","alkenone","alkenone",185,12000,11815,53,67,"annual","T","Temp12k","positive",17.956,18.567,18.858,18.913,19.047,9270.5,11946
"3","161_976.Martrat.2014","Rl3oDldpRFu_SST_from_planktic0x2EMgCa",-4.3127,36.2054,"MED","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",230,12000,11770,80,80,"annual","T","Temp12k","positive",18.65,17.181,17.88,18.397,21.097,6500,4740
"4","165_1002C.Herbert.2000","RYfbsh7Nj6W_SST_from_Uk37",-65.1694,10.7061,"NSA","MarineSediment","alkenone","alkenone","alkenone",690,12000,11310,450,450,"annual","T","Temp12k","positive",25.19,26.466,26.689,25.422,25.158,1590,10750
"5","2005-804-006.Ledu.2010","PYTGVVDEA4T",-106.5735,68.9925,"NWN","MarineSediment","dinocyst","other microfossil","other microfossil",1023.6,7730.8,6707.2,168.1,168.1,"summer+","T","Temp12k","positive",NA,2.608,2.475,2.307,NA,3864.5,1679.2
"6","2005-804-006.Ledu.2010","PYT93BAHDDE",-106.5735,68.9925,"NWN","MarineSediment","dinocyst","other microfossil","other microfossil",1023.6,7730.8,6707.2,168.1,168.1,"annual","T","Temp12k","positive",NA,0.48,0.438,0.294,NA,3864.5,1679.2
"7","31Lake.Eisner.1995","M2Lv2lo9btoP",-50.47,67.05,"GIC","LakeSediment","pollen","pollen","pollen",667,5769,5102,166,170,"summer+","T","Temp12k","positive",8.206,8.057,8.1,NA,NA,3417,4746
"8","31Lake.Eisner.1995","M2Lmk4ecjirP",-50.47,67.05,"GIC","LakeSediment","pollen","pollen","pollen",667,5769,5102,166,170,"winter+","T","Temp12k","positive",-5.148,-7.869,-8.471,NA,NA,1078,3581
"9","31Lake.Eisner.1995","M2L7yquhwzuP",-50.47,67.05,"GIC","LakeSediment","pollen","pollen","pollen",667,5769,5102,166,170,"annual","T","Temp12k","positive",1.055,-0.435,-0.73,NA,NA,848,3581
"10","3MPond.Pellatt.2000","Rlf3YywN7Sz",-121.2167,49.9833,"WNA","LakeSediment","chironomid","chironomid","chironomid",91,11810,11719,366,366,"summerOnly","T","Temp12k","positive",7.581,7.668,12.489,13.796,12.687,6317,2655
"11","850Lake.Shemesh.2001","R5opojsGcHY",19.12,68.37,"NEU","LakeSediment","chironomid","chironomid","chironomid",0,9474.872988,9474.872988,76.8134919999993,76.8134919999998,"summerOnly","T","Temp12k","positive",9.859,9.918,9.947,10.35,NA,9321.246005,2792.099198
"12","850Lake.Shemesh.2001","PYTR4UFZM3W",19.12,68.37,"NEU","LakeSediment","d18O","isotope","isotope",274,9266,8992,158,158,"summerOnly","T","Temp12k","positive",25.484,26.845,27.307,27.992,NA,9266,432
"13","893A.Kennet.2007","LPD05340dbbdp_SST_from_d18O",-120.036,34.2875,"WNA","MarineSediment","d18O","isotope","isotope",62.788,10001.922,9939.134,29.6,29.6,"annual","T","Temp12k","positive",14.472,15.304,14.971,14.93,15.16,3545.446,977.6
"14","893A.Kennet.2007","LPD28794972dp_SST_from_d18O2",-120.036,34.2875,"WNA","MarineSediment","d18O","isotope","isotope",8.97,10001.922,9992.952,31.4770000000002,31.7790000000005,"annual","T","Temp12k","positive",14.636,16.071,15.499,15.759,16.336,9911.973,871.04
"15","A7.Sun.2005","T2L_A7_mgca_ruber_SST_from_mgca_ruber",126.9783,27.82,"EAS","MarineSediment","Mg/Ca","Mg/Ca","Mg/Ca",1367,12000,10633,125,125,"annual","T","Temp12k","positive",NA,28.933,29.297,28.813,29.043,1698,11980
"16","A7.Sun.2005","T2L_A7_d18o_ruber_SST_from_d18o_ruber",126.9783,27.82,"EAS","MarineSediment","d18O","isotope","isotope",1367,12000,10633,125,125,"annual","T","Temp12k","positive",NA,26.304,25.662,24.826,25.789,8067,8733
"17","Abalone.Cole.1994","M2Lupm3c8kbP",-119.98,33.96,"WNA","LakeSediment","pollen","pollen","pollen",0,6113.9,6113.9,193.2,211,"summer+","T","Temp12k","positive",24.171,24.929,24.943,NA,NA,5024.75,3283.1
"18","Abalone.Cole.1994","M2Luu75cnkxP",-119.98,33.96,"WNA","LakeSediment","pollen","pollen","pollen",0,6113.9,6113.9,193.2,211,"winter+","T","Temp12k","positive",6.614,7.298,5.852,NA,NA,21.5,129.6
"19","Abalone.Cole.1994","M2Lhfelk1bfP",-119.98,33.96,"WNA","LakeSediment","pollen","pollen","pollen",0,6113.9,6113.9,193.2,211,"annual","T","Temp12k","positive",14.988,15.746,15.012,NA,NA,4149.7,129.6
"20","AdelaideTarn.Jara.2015","WEB239e9c22",172.5333,-40.9333,"NZ","LakeSediment","pollen","pollen","pollen",0,12000,12000,151.700000000001,152.7,"annual","T","Temp12k","positive",0.046,0.213,0.212,0.171,0.212,9899.2,2425.9
"21","Agassiz.Lecavalier.2017","RShtOmHDliM",-73.5,80.67,"GIC","GlacierIce","melt layer","other ice","other ice",16,11366,11350,25,25,"summer+","T","Temp12k","positive",-7.738,-7.883,-7.869,-7.406,-5.779,10691,6416
"22","Agassiz.Lecavalier.2017","WEBa1e48de5",-73.5,80.67,"GIC","GlacierIce","d18O","isotope","isotope",0,12000,12000,25,25,"annual","T","Temp12k","positive",0.454,1.484,2.275,3.121,4.982,10000,11775
"23","AgeroedsMosse.Nilsson.1964","RnxVCFme4M6",13.42,55.83,"NEU","Peat","pollen","pollen","pollen",18.65,9098.8,9080.15,55.445,59.27,"winter+","T","Temp12k","positive",-0.018,2.63,2.486,-2.076,NA,1859.01,8984.98
"24","AgeroedsMosse.Nilsson.1964","RTdqSojg0st",13.42,55.83,"NEU","Peat","pollen","pollen","pollen",18.65,9098.8,9080.15,55.445,59.27,"annual","T","Temp12k","positive",7.917,8.45,8.254,7.25,NA,7732.79,8984.98
"25","AgeroedsMosse.Nilsson.1964","RdpMsymwlrC",13.42,55.83,"NEU","Peat","pollen","pollen","pollen",18.65,9098.8,9080.15,55.445,59.27,"summer+","T","Temp12k","positive",15.851,14.269,14.022,16.575,NA,7732.79,8984.98
"26","AjaxBog.Wilmshurst.2007","R6lPfjM3opf",169.28,-46.42,"NZ","Peat","pollen","pollen","pollen",784.667,12000,11215.333,185.6665,185.666,"annual","T","Temp12k","positive",7.627,8.181,8.019,8.629,9.45,9503.86,1156
"27","AlanenLaanijarvi.Heinrichs.2005","Ry0uq7BMis9",20.48,67.97,"NEU","LakeSediment","chironomid","chironomid","chironomid",0,8497.33,8497.33,333.545,337.27,"summerOnly","T","Temp12k","positive",10.972,10.53,10.649,10.883,NA,2586.82,5704.62
"28","Alley.GISP2.2000","GH34755740",-38.5,72.6,"GIC","GlacierIce","hybrid-ice","other ice","other ice",95.141,12000,11904.859,12.8999999999996,13,"annual","T","Temp12k","positive",-31.721,-30.678,-30.552,-30.312,-31.186,7817.32,11857
"29","AlltnaFeitheSheilich.Birks.1975","RFUJxBek9zN",-3.9,57.32,"NEU","Peat","pollen","pollen","pollen",0,9617.98,9617.98,338.92,338.92,"winter+","T","Temp12k","positive",3.05,1.662,-1.283,-5.279,0.893,1336.43,7341.26
"30","AlltnaFeitheSheilich.Birks.1975","Rx3TR4XADtS",-3.9,57.32,"NEU","Peat","pollen","pollen","pollen",0,9617.98,9617.98,338.92,338.92,"annual","T","Temp12k","positive",8.154,8.012,5.598,3.398,7.664,997.51,7341.26
"31","AlltnaFeitheSheilich.Birks.1975","R5NnLNvLdVc",-3.9,57.32,"NEU","Peat","pollen","pollen","pollen",0,9617.98,9617.98,338.92,338.92,"summer+","T","Temp12k","positive",13.259,14.363,12.479,12.074,14.434,5519.89,7341.26
