Tsid,Variable,NewValue
LPD1d1e6750,pub1_doi,10.1038/nature13196
LPD1756fdf4,pub1_doi,10.1038/nature13196
WEBf46bc2c2,pub2_doi,10.1016/j.yqres.2007.07.008
WEBf23684ea,pub2_doi,10.1038/nature10685
WEBf652d8e7,pub2_doi,10.1016/j.gloplacha.2011.06.004
WEB4362aee7,pub2_doi,10.1007/s10933-020-00164-8
WEB8d973712,pub2_doi,10.1111/1755-6724.14538
WEB2b09ab9c,pub2_doi,10.1002/jqs.1484
WEBecd5f91f,pub2_doi,10.1073/pnas.1323585111
WEBa6153aaf,pub2_doi,10.1016/S0031-0182(03)00275-X
WEB45411107,pub2_doi,10.1038/s41467-017-01454-y
S2LRNh2zmbQt44,pub2_doi,"The so-called “4.2 Event” in the central Mediterranean and its climate teleconnections (2015). Alpine and Mediterranean Quaternary, 29(1), 5-17. https://amq.aiqua.it/index.php/amq/article/view/91"
S2LRwdQvzjr8rq,pub2_doi,"The so-called “4.2 Event” in the central Mediterranean and its climate teleconnections (2015). Alpine and Mediterranean Quaternary, 29(1), 5-17. https://amq.aiqua.it/index.php/amq/article/view/91"
WEB20f89efc,pub2_doi,10.1038/ngeo289
S2LRwdQvzjr8rq,pub2_doi,
S2LR5E5HYoppj9,pub2_doi,"Verheyden, S., E. Keppens, Y. Quinif, H. J. Cheng, & L. R. Edwards (2014). Late-glacial and Holocene climate reconstruction as inferred from a stalagmite - Grotte du Pere Noel, Han-sur-Lesse, Belgium. Geologica Belgica. 17. 83-89. "
S2LR6dZP0RBWKz,pub2_doi,"Verheyden, S., E. Keppens, Y. Quinif, H. J. Cheng, & L. R. Edwards (2014). Late-glacial and Holocene climate reconstruction as inferred from a stalagmite - Grotte du Pere Noel, Han-sur-Lesse, Belgium. Geologica Belgica. 17. 83-89. "
pdR3iBvTlj5zwy8bjTI,pub1_doi,10.1002/2015WR017850
pdRo4qVPibvVmQpFyRt,pub1_doi,10.1191/0959683605hl889rp
pdRePrUACmQFQiQeVdA,pub1_doi,10.1126/science.203.4381.609
pdRrmkVD3TsBOeoXn7g,pub1_doi,10.1016/0031-0182(92)90115-L
pdRQMrcbT7IHqNHz1vg,pub1_doi,10.1006/qres.1998.2005
pdRkllG1u6H84pPNEn8,pub1_doi,10.1016/j.quascirev.2013.09.001
pdRwshhqDptCy27nlfs,pub1_doi,10.1016/j.quascirev.2005.11.014
pdRXoXk6qKsU102x2C4,pub1_doi,10.1006/qres.1999.2120
pdRQCNa1fNSbgmaYC9D,pub1_doi,10.1016/j.yqres.2011.01.006
pdRQF0zAqzO4AmBeGOQ,pub1_doi,10.1111/j.1502-3885.1993.tb00159.x
pdRkoO11xxFGVWJeL62,pub1_doi,10.1016/j.yqres.2014.01.012
pdRXf2sxCgEn0CczUtv,pub1_doi,Roy et al. (2003)
pdRiNPVIQECAx9xVLKu,pub1_doi,10.1016/j.quascirev.2017.08.012
pdRsQ687U7RBI0qSdyE,pub1_doi,10.1016/j.quascirev.2017.08.012
pdRPXtR2BTqSS5KCkTm,pub1_doi,10.1016/j.yqres.2015.07.004
pdRfvT1wuHIGXRlmUju,pub1_doi,10.2113/gsrocky.49.1.33
pdRopkg65IV11NRNtq6,pub1_doi,10.1016/j.yqres.2015.07.004
pdRUteHT9P1yzhdRamQ,pub1_doi,Thompson et al. (1990; 1992)
pdRNyQeqaj6PkSQYY4b,pub1_doi,10.1016/0033-5894(89)90027-6
OLS_R4y0PIxteRT,pub2_doi,10.2172/5609291
OLS_RajLAejX7H1,pub2_doi,10.2172/5609291
OLS_RmpO87FXnN9,pub2_doi,10.2172/5609291
OLS_RcDGJfqpBeC,pub2_doi,10.2172/5609291
OLS_R4idEFGElHM,pub2_doi,10.2172/5609291
OLS_Rnp35KKbNIN,pub2_doi,10.2172/5609291
OLS_R91mklW7AkS,pub2_doi,10.2172/5609291
OLS_RnNx75wT6Qd,pub2_doi,10.2172/5609291
OLS_RXfu7xAGzWB,pub2_doi,10.2172/5609291
OLS_RgJGZeaw0md,pub2_doi,10.2172/5609291
OLS_RnZixdO7vMV,pub2_doi,10.2172/5609291
OLS_R9bib9fXM0c,pub2_doi,10.2172/5609291
OLS_RhSooYiv8NM,pub2_doi,10.2172/5609291
OLS_Raj0ajWk8Z1,pub2_doi,10.2172/5609291
OLS_Rtetfy6NJzz,pub2_doi,10.2172/5609291
OLS_RSzZCo2C7Xj,pub2_doi,10.2172/5609291
OLS_RphnQDokp38,pub2_doi,10.2172/5609291
OLS_RKoQn911SXJ,pub2_doi,10.2172/5609291
OLS_RTxbwsdvMwm,pub2_doi,10.2172/5609291
OLS_RSllKp5JECx,pub2_doi,10.2172/5609291
OLS_RpZvDDmAq2c,pub2_doi,10.2172/5609291
OLS_RvAYM4Zh3Pk,pub2_doi,10.2172/5609291
OLS_Rwm0onKGDHv,pub2_doi,10.2172/5609291
OLS_Ro4FH6vkuLB,pub2_doi,10.2172/5609291
OLS_RzRHx3ZG7y7,pub2_doi,10.2172/5609291
OLS_Rt3bq8OIkfc,pub2_doi,10.2172/5609291
OLS_Rz4NEhuh5D0,pub2_doi,10.2172/5609291
OLS_RFZ5ftnO2t2,pub2_doi,10.2172/5609291
OLS_Rl1U1UXxAIf,pub2_doi,10.2172/5609291
OLS_RTsihKwmPMu,pub2_doi,10.2172/5609291
OLS_RwLxfQP11eP,pub2_doi,10.2172/5609291
OLS_Rrtm3chd7C5,pub2_doi,10.2172/5609291
OLS_ROkPLG6ezuC,pub2_doi,10.2172/5609291
OLS_RifcIdFjsr2,pub2_doi,10.2172/5609291
OLS_RSQIFjVgiso,pub2_doi,10.2172/5609291
OLS_RXjJiwKiDO4,pub2_doi,10.2172/5609291
OLS_ROVfSZGskJH,pub2_doi,10.2172/5609291
OLS_RIAO1405W9b,pub2_doi,10.2172/5609291
OLS_RuVLAvVu5OP,pub2_doi,10.2172/5609291
OLS_RzqaAnmlHbH,pub2_doi,10.2172/5609291
OLS_Roe2Ri2GOD9,pub2_doi,10.2172/5609291
OLS_RXKCFWVRanL,pub2_doi,10.2172/5609291
OLS_Rh1QgEylyEm,pub2_doi,10.2172/5609291
OLS_RtESqFQmPOU,pub2_doi,10.2172/5609291
OLS_RKvXdow2D0X,pub2_doi,10.2172/5609291
OLS_RzEmio4JrEJ,pub2_doi,10.2172/5609291
OLS_RRO1Ic9Qv3B,pub2_doi,10.2172/5609291
OLS_R4y0PIxteRT,pub1_doi,"Batchelder, G.H., 1978, Personal communication."
OLS_RajLAejX7H1,pub1_doi,"Chamard, Ph.C., 1973. Monographie d'une sebkha continentale du sud-ouest saharien : la sebkha de Chemchane (Adrar deMauritanie). Bulletin de l'Institut francaisd'Afrique noire, Senegal 35A : 207-243."
OLS_RmpO87FXnN9,pub1_doi,"Faure, H., E. Manguin and R. Nydal, 1963.Formations lacustres du Quaternaire superieur duNiger oriental : diatomites et ages absolus.Bulletin du Bureau de Recherches geologiques etminieres, Paris 3 : 41-63."
OLS_RcDGJfqpBeC,pub1_doi,"Fontes, J-C., C. Moussie, P. Pouchan and M. Weidmann, 1973.  Phases humides au Pleistocene superieur et al'Holocene dans le sud de l'Afar (T.F.A.I.).Comptes rendus hebdomadaires de l'Academie desSciences, Paris 277 : 1973-1976."
OLS_R4idEFGElHM,pub1_doi,"Gonzalez, M.A., 1981. Evidencias paleoclimaticas en la Salina delBebedero (San Luis). VIII Congreso GeologicoArgentino, Actas 3 : 411-438."
OLS_Rnp35KKbNIN,pub1_doi,"Hjelmroos-Ericsson, M., 1982.""Holocene Development of Lake Wielke Gacno Area,Northwestern Poland."" Ph.D. thesis, University of Lund, 101pp."
OLS_R91mklW7AkS,pub1_doi,"Melief, A.B.M., 1985. ""Late Quaternary paleoecology of the ParqueNacional Natural los Nevados (Cordillera Central), and Sumapaz (Cordillera Oriental) areas,Colombia."" In: The Quaternary of Colombia, volume 12, (T. van der Hammen, Ed.), 162pp."
OLS_RnNx75wT6Qd,pub1_doi,"Qi, H., B. Cai and J. Yu, 1981.The C-14 age and cycle of sedimentation of somesaline lakes in the Qinghai-Xizang Plateau. Kexue Tongbao 26 : 66-70."
