"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
-2.30572640944136,-2.25816861879915,-3.00450530433065,-2.45178269305211,-3.59381023355763,-3.30121904089468,-1.84126394050239,-2.77166794996477,-2.78874702049536,-6.16527981058013,-2.46033251849563,-2.76901680052009,-2.72485011999226,-2.69572537608885,-1.8935195816633,-2.95162855298103,-3.45799347227835,-2.74646156699413,-2.35570409336269,-5.82373710051439,-5.98980246401268,-3.2255922237823,-2.92998292274435,-2.89363858063539,-3.12670461929963,-6.3428583545583,-2.55848389597272,-2.25382470846058,-4.06457317701681,-3.87555027098681,-5.12021815755353,-5.72381332172477,-2.6614815930763,-3.23018499854688,-2.94106744152161,-2.76870764913921,-3.06128245379861,-5.62294712836068,-3.0596478505544,-2.98868553921492,-3.97478096178326,-2.80953082569179,-5.45113499340172,-5.28333921076746,-2.46395400378239,-4.10550655071322,-2.91861961315627,-3.56347733671307,-2.79841292347028,-2.87286689015649,-3.35459923288859,-2.43564496171684,-2.62609000459794,-3.04425140178857,-2.05849525240518,-3.38840337522386,-2.00752958135647,-2.72800016874917,-3.26852907349523,-5.69711968516412,-2.89869451277749,-2.96322858750658,-2.68431652673541,-6.86853893432832,-2.84775537030497,-2.5126468711045,-3.11286943784922,-3.71412067436147,-2.83618357021737,-2.96650128580139,-2.31996953245893,-2.45236861733191,-2.05438798799001,-2.66449053302793,-3.74620465712622,-7.48002861834308,-2.97998855217476,-3.3594539680622,-3.39477059745947,-3.85302587929171,-3.26735644747301,-2.78092399778557,-2.78113847445261,-2.81867577304679,-4.79056507187737,-2.20480061146197,-2.25568919014007,-3.03785927198311,-3.25566538287269,-2.89380091308842,-2.6522002829277,-2.65877202421504,-2.69336059376421,-2.84982520613207,-5.02247535458971,-2.79756519274658,-5.21807043293189,-2.72346927752654,-2.82828148758911,-3.14385872592559
-1.31934542561687,-1.27016788786042,-1.69966065442103,-0.476204572307153,-2.20946591506097,-1.7992284809552,-1.03401300180377,-1.48525965510142,-1.58631907763602,-4.31562281841702,-1.55602486255267,-1.43085200102653,-1.86897393136341,-1.21976080718565,-0.79554599696257,-1.51252574380911,-2.63595017742223,-1.43337394097359,-1.03253412921367,-3.36774023332771,-3.91289232018396,-2.35357864437157,-1.98050291171443,-2.31100939937463,-1.65463612827638,-3.5173737754813,-1.03103488616765,-1.28936040889341,-2.29003699038062,-2.70639133373111,-3.53553437570598,-3.06388258628303,-1.42986645582407,-1.42685931076118,-1.86629508057424,-1.21922814434956,-2.18849870585262,-2.86017682590408,-1.18661501044309,-2.17618057418959,-2.74902164290615,-1.43551631021903,-3.33772748121638,-2.99108998254531,-1.53213226861642,-2.13741719560282,-1.63669375745299,-2.46895051109086,-1.34846753939419,-1.61926081793092,-2.701669968446,-1.94397588441436,-1.42652791191703,-1.527047651754,-1.20009113390598,-1.44647265532261,-1.01321578518503,-1.54452447592775,-1.87923302555891,-3.10804023743259,-1.91505974350852,-1.73807946162166,-1.48696852674146,-3.47866848766203,-1.78660612259197,-1.54129028824336,-1.95122300467467,-2.58353390110901,-1.74154802202716,-2.08089759980602,-1.8820539646355,-1.61999552835073,-0.383868123205077,-1.03030910263717,-1.77320422489258,-4.04518109364521,-2.34976504371779,-1.90189494395737,-1.59288442971266,-2.12096145336934,-1.36769257672523,-1.95420755706866,-1.90962427682776,-1.31016541836529,-2.09064882565848,-1.12357644089249,-1.41054331704487,-1.92700016648798,-1.99018214069274,-1.61969700424147,-1.89706334973009,-1.40992538507199,-0.718442183866546,-1.73934861686531,-3.09015065547083,-0.977791083028389,-3.51120857668512,-1.57238097507496,-1.4073148721782,-2.12197386409365
-2.44066376274986,-2.24391158184253,-2.52293987253484,-1.69965065651657,-3.34516271970707,-3.09942429983,-2.05091935691342,-2.16545609605698,-2.44774721017054,-4.5242546739857,-2.74422432912149,-2.5914871751328,-2.46917476238843,-2.35742684166673,-1.03601881405344,-2.47805574855684,-3.22746317777038,-2.88485924755078,-2.38273525236896,-4.13460787701333,-4.8768118370884,-2.71413533662088,-2.33185626098727,-2.9243335628352,-2.06057389708824,-4.54139608324424,-1.7039141669115,-2.32641085202798,-2.9032494623767,-3.52099544435875,-3.86614902613567,-3.5342673279212,-2.04531950760035,-2.36380260392341,-2.68124896842789,-2.66398589801262,-3.31092180421548,-4.69102714348238,-2.51597774870517,-2.94415738326505,-3.78594927336373,-1.56790101012235,-3.57038537978147,-4.39225446284567,-1.94311419702612,-2.82380591322274,-2.12398090625753,-3.53391719314771,-2.58928849769322,-2.97563464171134,-3.06579968588076,-2.41846479481474,-2.06247770875613,-1.78942952769842,-1.99622452520763,-3.07985915072103,-1.97807366435264,-2.79136157113849,-2.97302700983525,-3.81868170653374,-2.57955303187264,-2.22775700859289,-3.11627667273334,-4.94873462767465,-3.26366295857475,-2.29149224176159,-3.54245304133533,-2.74102482913233,-3.14074089869297,-3.20295776563627,-2.35327020036667,-3.27940424706497,-1.76637749854694,-1.91084329883173,-2.38483720797295,-4.92935037037051,-2.76953745769787,-2.32166216431415,-2.02028846974172,-3.23944629148251,-2.24972320431451,-2.44257829234209,-3.10747097892888,-2.62277737349078,-2.42503575434835,-1.8987282121729,-2.23985699982537,-2.53862643194224,-2.78062229105382,-2.3494106853466,-2.26944853010152,-3.19065810586702,-1.81442363718865,-1.9029046859446,-4.19979600508757,-2.65858064747205,-4.34174131971693,-2.28880937377132,-1.99235589014841,-2.95041677017899
-1.53129716733865,-1.76728422798614,-2.34418352624339,-1.43050549890405,-2.85856379175687,-2.40488894421429,-1.87223331970965,-2.02276268767721,-2.03942030316487,-3.73848307564415,-2.43671278955258,-2.17724000845948,-2.25424541265497,-2.38758882126406,-0.943348978577444,-2.65228592557309,-2.43101517163452,-2.08869285550724,-1.71466490112294,-3.65972302407359,-3.95685692423117,-2.64864519699762,-2.31970573097218,-2.41556003565298,-1.89237040642228,-3.80196002911873,-1.48393594037291,-1.96925722673818,-2.31045678463944,-2.9695032204339,-3.31031801175756,-3.25417494510745,-1.71027710371411,-2.48775174814257,-2.26612275440182,-2.64372184604458,-3.01992645374266,-3.26665353147033,-1.99863705331406,-2.66974402034596,-3.24873797707729,-1.47161148532096,-3.33078415931384,-3.38935196213844,-1.60594603657093,-2.55256935597522,-1.68460729253215,-2.94559918447221,-2.76160348190965,-2.55757355363811,-2.62418605230805,-2.29905918302343,-2.05905637911411,-1.77920285859615,-1.76128527345626,-2.28503294827728,-1.60301908603533,-2.29603682838824,-2.65069982352197,-3.12647670473643,-2.4127743371609,-2.26953756844416,-2.64384345578012,-4.47797279415259,-2.95107864416785,-1.7494100618505,-3.3431280845006,-2.45484874048749,-2.24279631558498,-2.65341184799988,-1.83829254387672,-2.41184142508959,-1.36083449293816,-1.84526110755092,-2.4098278369974,-4.40788219571146,-2.36295647657242,-1.9479219392898,-1.84165032527736,-2.65801990302104,-1.87460814843043,-2.29111377175004,-2.45273531537902,-2.14331674929045,-2.30471509425032,-1.44364997246662,-1.74248560699406,-2.06199350729835,-2.480953729489,-2.05350305574364,-1.66885825521568,-2.66605418762198,-1.40666633180259,-1.72894655391894,-3.1268497533619,-1.88483071044338,-3.67013500604233,-2.17558180551062,-1.38488908335905,-2.68076570388162
-1.18128385417517,-1.34003481675606,-1.79737073860531,-0.759851497910192,-2.20723175179286,-1.80192806549112,-1.34020046281696,-1.4686093229892,-1.42652826369942,-3.56687625999931,-1.67710508487687,-1.59736843692409,-2.00512823165623,-1.73501757249508,-0.741470206965908,-2.09011556669667,-2.31333123028294,-1.76304336171466,-1.3803514354448,-3.2183192585039,-3.6701282061987,-2.00009408617348,-1.9914566475544,-1.98326474360945,-1.50471307362495,-2.9533008452077,-0.815639428541404,-1.5989097508092,-1.86068664818306,-2.36916948817617,-2.99236723732637,-2.92247753760158,-1.48601060588997,-2.03514315159464,-1.68890670639093,-2.15282187868359,-2.34749569630105,-2.73657905895741,-1.33485473465555,-1.86362960902865,-2.78765427259004,-1.18214045292737,-3.18949410440821,-2.78254863593768,-1.16429954890485,-2.19297926200273,-1.50774532919233,-2.20423775467813,-1.93392653093814,-2.03531323658681,-2.65481895394648,-1.90965416510601,-1.4040468087039,-1.33945538653776,-1.12963197089667,-1.39607744431538,-1.08680956187735,-1.80786597843301,-2.04180790625609,-2.37177559022549,-1.98223817800129,-1.98675843556893,-2.05550534346152,-3.21380612696536,-2.40475069194819,-1.46419497961702,-2.27720228298071,-2.06960282662239,-1.78146603723455,-1.98024177009703,-1.57959869028469,-1.92720854306226,-0.44257923966315,-1.54316754652953,-1.95834487250008,-3.68977476424002,-2.04252890414624,-1.64750151048937,-1.54665018421278,-2.1361935783124,-0.951135454596881,-1.96698857319836,-1.70111284039534,-1.41346490341715,-1.80383013496584,-1.1095319208381,-1.59652876852381,-1.70235363252532,-2.29469983376452,-1.90276915445194,-1.53890905233794,-1.95203961475133,-0.893138402163261,-1.42259257410648,-2.74387258529072,-1.23302542747301,-3.48878008523952,-2.10054665820112,-1.26389636240206,-2.00340562990895
-1.64308104370458,-1.37708466968311,-2.51865870934003,-1.08507337107023,-2.80731712522096,-2.62979026096302,-1.96187723965895,-1.81444350205903,-1.7986296087343,-3.7497311214089,-2.31293274210742,-2.04358765249169,-2.10515781471461,-2.26197324884834,-1.24929011547131,-2.7437600252546,-2.43600316749737,-2.09681200210502,-1.76965219976071,-3.91681016946982,-4.16982570336513,-2.08577656378902,-2.27467856292936,-2.3553621907661,-2.28255633489884,-3.59652875141222,-1.35155554676323,-2.05807509197251,-2.36743813121673,-2.85878809173585,-3.17026439954105,-3.29401650616907,-2.16887285320517,-2.6873437447249,-2.25136098988797,-2.5487995865067,-2.75203470519379,-3.6597832959542,-1.9838892566984,-2.28421024419555,-3.3887505465957,-1.5477243328155,-3.36525539927761,-3.39120803518204,-1.45572318666501,-2.42128631748993,-1.90280648072129,-2.73576262150292,-2.64029859117024,-2.9016309367517,-2.40712900287331,-2.00728116472125,-1.67815429001314,-2.08549741911995,-1.69940044731961,-1.95864939762455,-1.82908368742914,-2.1365863625337,-2.7968841971703,-2.93125883588318,-2.66113500057029,-2.42686047995899,-2.60398815442142,-4.1103392012162,-3.23343217018163,-1.89857905230815,-2.91732509256895,-2.52751381570109,-2.35015402094113,-2.85729095135163,-1.95060332430245,-2.53773346304291,-1.15649336730241,-1.9385789974985,-2.32843828889024,-4.74395365188811,-2.42983992465832,-1.92910589909966,-2.28765903295681,-2.83400768872879,-1.49282907679951,-2.12961448512135,-2.22069814312554,-2.30288827885189,-2.57747053001837,-1.45695742161481,-1.95344466200339,-2.08261618859166,-2.73277416518247,-2.45752711346572,-1.83392369251217,-2.86738379249266,-1.41312957022524,-1.72233170431148,-3.37941115462316,-1.96805406488049,-4.07099101785708,-2.15161127228917,-1.74140476327413,-2.27009402210409
-1.07449653059876,-1.26777117367319,-1.95839300416798,-0.847941303345876,-2.26724780665793,-2.19749620241781,-1.47657460863681,-1.6285987005474,-1.44869919525835,-3.15478719593212,-1.79493037825773,-1.86637823498365,-1.84584333879842,-1.7950728924116,-0.907288665484111,-2.40037497648189,-2.17248843329314,-1.89167333095612,-1.41258621523984,-3.26201889212951,-3.77399399460709,-2.147254544285,-1.88562730141172,-1.71842211557394,-1.79807217067585,-3.16327237837273,-0.825116306848418,-1.52831905453583,-1.99394983216601,-2.24650037212256,-3.03872666484477,-2.96556061830546,-1.72810012704656,-2.53105852633217,-1.88186781544356,-2.27097573161867,-2.52372943312718,-3.03779111051035,-1.48133479658492,-1.72534034323534,-2.7377141173697,-1.24134706125176,-3.1380308345244,-3.09235226440197,-1.03331652184944,-2.28091512345851,-1.43402128363966,-2.0837317044819,-2.36676582259308,-2.38503817224655,-2.28575530367798,-1.75936263434047,-1.317659962066,-1.51065506262267,-1.15564123261187,-1.58047127287028,-1.42668677068155,-1.70147093657553,-2.27312375217178,-2.37534044401959,-2.36940711588364,-2.08424136483741,-2.0062664472332,-3.48248712204609,-2.75730774805911,-1.52036638376468,-2.39846226345281,-1.94737707430247,-1.74871462364976,-2.33971233394182,-1.6178804447686,-1.79379564956302,-0.784730228774276,-1.88630289168947,-2.18469242441688,-3.94594996849408,-2.14816325229118,-1.47385273066605,-1.89025316498549,-2.50603428087658,-0.841548065892892,-1.91159809962508,-1.66079297359121,-1.86275512211155,-2.07871452419759,-1.01185506070363,-1.59110778541169,-1.74352184310941,-2.36495176412178,-1.93100436032698,-1.62078522416724,-2.28653900323805,-0.915529718360844,-1.3670264577984,-2.76914489881943,-1.32678942059472,-3.48359019140288,-1.97652764596614,-1.33399737253482,-1.94837605557981
-1.07549967162896,-0.880079772203732,-1.63317929427743,-0.320496429926801,-2.01287633349777,-1.37678782002199,-1.02602146614301,-1.0048587642005,-1.1763150154427,-3.46670587490371,-1.19268513096358,-1.25638480106642,-1.80749166230611,-1.25045037362306,-0.58426728562834,-1.5382440854938,-2.37905240256069,-1.27990736916105,-1.04768502554216,-2.92956449662133,-3.38696694871156,-1.43524588674719,-1.77845258524404,-1.91683279385099,-1.33615189274197,-2.7284447770923,-0.628230542894104,-1.26923460235594,-1.79599040362379,-2.2901090335513,-2.70505021531532,-2.59469362087869,-1.37871900286734,-1.42638357560275,-1.46460356866188,-1.4422719136137,-1.85471223844461,-2.55615088090026,-1.13171822334539,-1.64867720636068,-2.62823191092251,-0.893828685817654,-2.95462504386161,-2.36106585074157,-1.07986485025151,-1.7519793715262,-1.32291836040278,-1.94437800603058,-1.33910878154847,-1.77741765381606,-2.33589972114721,-1.53847969775271,-1.10366007941608,-1.35024265958966,-1.03535559959353,-0.865986797799315,-0.980628407071226,-1.53291929635559,-1.87567918827184,-2.06576480737023,-1.73640680453317,-1.75057208050453,-1.68883310338542,-2.8287024803028,-1.96273305902894,-1.23102817798236,-1.82193129551762,-2.06192551069122,-1.74673568899797,-1.80956442447547,-1.45152328998301,-1.84069824722442,-0.100284490794199,-0.990616158901843,-1.57327856258074,-3.5925173640331,-1.97194804162453,-1.6005176510188,-1.28223651189492,-1.90417122459109,-0.731903942274567,-1.66441099100049,-1.57448822091313,-1.19463902938416,-1.66159737458681,-0.882184658355861,-1.40880056481954,-1.54709257196845,-1.92600540143739,-1.71313105415074,-1.35048622101421,-1.68123248269013,-0.589492306484597,-1.24841347112644,-2.58070240481928,-0.987765421486303,-3.37140182220321,-1.72567182359975,-1.12263847451054,-1.72891296379662
-2.04168592998616,-1.67677394509528,-2.67087194143987,-1.58512030077848,-2.87113046382604,-2.46813802649293,-1.85557392398661,-1.69224778574523,-1.72696641037327,-3.78992514517708,-2.49234020120725,-2.17766655960001,-2.28309577519605,-2.35947367904761,-1.35482065604412,-2.60839445526387,-2.87006243017623,-2.08718783050726,-1.76650911703232,-3.82964914004962,-4.16884245451528,-2.26531787710113,-2.36581735385342,-2.39589340605282,-2.44566088950231,-3.70686491070111,-1.63525301207747,-2.04583953631609,-2.87323906027081,-2.92096249191879,-3.44170300328119,-3.39163621175851,-2.52153818324557,-2.57352498784762,-2.37365352715654,-2.30394549839834,-2.60364656954426,-3.81228046322136,-2.13389784312728,-2.45940542194088,-3.3476034799068,-1.95206672048153,-3.43383362036296,-3.60662541045806,-1.70511738029044,-2.48836327775806,-1.8235069779204,-2.97311519719665,-2.44969217287394,-2.76537549862539,-2.71075982771241,-2.03267480958905,-1.78375995110404,-2.42615861324231,-1.8842350439986,-2.33157648537601,-2.16934320351582,-2.29171012016797,-2.77904204807745,-3.2897635153187,-2.50165947347657,-2.41221818661414,-2.86384669066171,-3.9296095462218,-2.96714981376014,-1.85444550623433,-2.76339778172217,-2.77865802406286,-2.5719918876299,-2.79062588596909,-1.9415870235332,-2.7719553169587,-1.39914642886151,-1.74510785887621,-2.64156976657458,-4.91431993464173,-2.45566261007595,-2.38345438596481,-2.3725089188312,-2.75792859597129,-2.17300393097517,-2.33761063808499,-2.34909384415343,-2.22797425280163,-2.59200803545761,-1.57894066653253,-1.84924120569158,-2.4499735554397,-2.668418416178,-2.37501965152951,-2.22716900092452,-2.68810309174206,-1.62297774593407,-1.84834259453986,-3.57556032919904,-2.00623237580905,-3.9219420867198,-2.18501661603466,-2.13608794247251,-2.68438588285065
-1.48746299832355,-1.50350693309508,-2.53855697449007,-1.26988402400901,-2.68454977583157,-2.17487636511032,-1.62180835240972,-1.76100658995918,-1.69889638182647,-3.53712204005707,-2.31543207646289,-1.77707174485355,-2.06193424196008,-2.1615235412009,-1.18005691465349,-2.44259817589719,-2.46744655911674,-1.95889609507659,-1.57743735522224,-3.75225312038381,-3.72533555832149,-2.14404963048517,-2.13171308665078,-2.11826713062982,-2.14438286913361,-3.50836749219477,-1.34454348044643,-1.63141487715563,-2.4364982957441,-2.5576551310852,-3.0318882751034,-3.22499444319728,-2.21519603541135,-2.67793400118434,-1.9952046890951,-2.20090589568859,-2.37997302545407,-3.30567298293707,-1.61539723267001,-1.89017179462593,-2.88060500636442,-1.7366695937585,-3.44516220525476,-3.45316710506799,-1.10014376296952,-2.64350611630867,-1.48034675357264,-2.5509977749922,-2.03928159103354,-2.32908641275444,-2.29083452342426,-1.7106638079211,-1.76620774628009,-1.99708243268593,-1.56760447228337,-1.95246827925503,-1.94942482509554,-1.60482323896902,-2.62469090132213,-2.74958974426637,-2.1377519210284,-2.32312490918122,-2.52269872963992,-3.46355891405144,-2.91710745476562,-1.30935160504958,-2.42207483899791,-2.63006994711025,-2.03200264160643,-2.44560716345565,-1.50791924312368,-2.10333073486873,-1.16356034777278,-2.02123501668631,-2.41446486920981,-4.43395003345406,-2.05165351824397,-2.15080224903083,-2.31144785377804,-2.80774442974867,-1.70852403381693,-2.09927586501975,-1.87261116069709,-1.86516063847917,-2.66610372377525,-1.50513572595443,-1.76836617795024,-2.13915249304675,-2.85347076348221,-2.03683002422158,-1.84919419334142,-2.19384708826976,-1.31459303535339,-1.88500186552394,-2.96076783416422,-1.85271497707879,-3.84309712593343,-1.8202615505466,-1.63619674464763,-2.28243864164478
