"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1.41099581217819,-3.19008365096703,-3.92708145931649,-3.80725963980022,-4.4487824287798,-4.79115451937567,-4.2304551353721,NA,-3.12072228733123,-2.74150297041932,-3.7952971542481,NA,-3.19418062446505,-9.67532557313918,-3.47629293258105,NA,-3.97268931125398,-2.5356831355926,-12.5826045514336,-2.32117429805131,-4.58831220084603,-2.00106951642656,NA,-3.0387157627042,-3.669495594107,-3.97657653879968,-3.16985359482841,-3.06069958876992,-4.14912867658978,NA,-2.95255219767249,-3.50577778591927,-3.83064017595948,-3.90855071967347,NA,-3.66967313339819,-11.4569982052197,-3.73272494805333,-9.01663792935812,-3.59102160430363,-0.669338103101412,-2.61756270875429,-2.31118423938852,NA,NA,NA,-4.11460498138697,-9.36863458574818,-3.78062848719435,-1.2654025785627,-4.35383427835901,-3.48136453369709,-2.90169178484633,-4.50305174891504,-3.83894496229024,-12.5780174627859,-5.80486847988393,-3.87083412147195,-2.83343524995717,-2.69186149001582,-4.57689347732595,NA,-3.34042860213806,-2.91626713561557,-3.16161827419308,-1.53618969592009,NA,-4.21439098638692,-4.59527066872806,NA,-4.38602609098296,-4.23460537669218,-3.8920550906656,NA,-5.94543853989023,-2.34820478761896,-2.96497100455038,-3.57456921474461,NA,-4.52095502222413,-6.3361537219264,-2.83903509255556,-2.83021847436015,-3.92157252072559,NA,NA,-3.50994569635289,NA,-2.92950249119265,NA,-3.89472688567797,-4.42931641062076,-3.52891042938568,NA,-3.07876831861596,-3.07350403367584,-3.6521134116593,-2.96773976912908,-4.31960778083619
NA,-0.376970673929889,-2.32941449594947,-3.02632616504512,-2.88061932984205,-3.35148848782796,-3.69386057842384,-3.24582511978856,NA,-2.24691279741426,-1.76410706156814,-2.69800321329627,NA,-2.21349747730155,-8.81465641812161,-2.37899899162922,NA,-3.20769897325544,-1.77069279759406,-11.7276492264485,-1.34377838920013,-3.6036821852625,-1.01643950084303,NA,-1.94142182175237,-2.6354704558587,-2.94255140055138,-2.26909830055704,-2.13405927881174,-3.05183473563795,NA,-2.07874270775553,-2.5749053773354,-2.8532442671083,-3.05359539468837,NA,-2.74303282344002,-10.4723681896361,-2.7480949324698,-7.91934398840629,-2.7765423695538,0.130855730623802,-1.7626073837692,-1.4967050046387,NA,NA,NA,-3.25964965640187,-8.33460944749989,-2.78531243706173,-0.334530169978825,-3.37315113119551,-2.58060923942572,-2.08721255009651,-3.46902661066674,-3.03875112856503,-11.480723521834,-4.82747257103275,-2.77354018052012,-1.90373007972093,-1.92687115201728,-3.58157742719334,NA,-2.41072343190182,-2.11607330189035,-2.34713903944325,-0.605317287336215,NA,-3.35372183136935,-3.7214611788111,NA,-3.48527079671159,-3.257209467841,-2.91465918181443,NA,-4.95012248975762,-1.48753563260139,-2.16477717082517,-2.54054407649632,NA,-3.59008261364026,-5.35547057476291,-2.02455585780573,-1.84953532719666,-2.93694250514206,NA,NA,-2.52531568076936,NA,-2.16451215319411,NA,-2.96385447709409,-3.61483717587094,-2.72871659566047,NA,-2.09808517145246,-2.27331019995063,-2.83763417690947,-2.15326053437926,-3.44579829091923
NA,-0.607703556018352,-2.52146463797818,-3.22732114806435,-3.08739030809718,-3.59633920192465,-3.93871129252053,-3.46553594971216,NA,-2.4418950802883,-1.98220366932832,-2.94285392739296,NA,-2.43232760104878,-9.00670656015033,-2.62384970572591,NA,-3.37839929661049,-1.94139312094911,-11.9184243816105,-1.56187499696031,-3.8233930151861,-1.23615033076663,NA,-2.18627253584906,-2.86620333794717,-3.17328428263984,-2.47009328357627,-2.34083025706687,-3.29668544973464,NA,-2.27372499062956,-2.78262070817643,-3.07134087486848,-3.24437054985033,NA,-2.94980380169515,-10.6920790195597,-2.9678057623934,-8.16419470250298,-2.95828566986988,-0.0476999182239732,-1.95338253893116,-1.67844830495478,NA,NA,NA,-3.45042481156384,-8.56534232958835,-3.00740775403347,-0.542245500819854,-3.59198125494274,-2.78160422244495,-2.26895585041258,-3.6997594927552,-3.2173067774128,-11.7255742359307,-5.04556917879293,-3.01839089461681,-2.11118495241828,-2.09757147537233,-3.80367274416508,NA,-2.61817830459916,-2.29462895073813,-2.52888233975933,-0.813032618177244,NA,-3.54577197339807,-3.91644346168513,NA,-3.68626577973082,-3.47530607560118,-3.13275578957461,NA,-5.17221780672936,-1.67958577463011,-2.34333281967294,-2.77127695858478,NA,-3.79779794448129,-5.57430069851013,-2.20629915812181,-2.06836545094388,-3.15665333506566,NA,NA,-2.74502651069296,NA,-2.33521247654916,NA,-3.17156980793512,-3.79658047618701,-2.90727224450824,NA,-2.31691529519969,-2.4518658487984,-3.01937747722555,-2.33500383469533,-3.64078057379327
NA,0.563052179023108,-1.54698799138804,-2.20745771570751,-2.0382190480619,-2.35394854150812,-2.696320632104,-2.35070692380353,NA,-1.45254053385339,-0.875565326248893,-1.70046326697643,NA,-1.32196734351656,-8.03222991356019,-1.38145904530937,NA,-2.51225321143859,-1.07524703577721,-10.9504171128257,-0.455236653880879,-2.70856398927747,-0.121321304857996,NA,-0.943881875432528,-1.69544760290571,-2.00252854759838,-1.45022985121943,-1.29165899703159,-2.05429478931811,NA,-1.28437044419465,-1.72865773316825,-1.96470253178905,-2.27636328106556,NA,-1.90063254165986,-9.57724999365112,-1.85297673648477,-6.92180404208645,-2.03610670159942,0.858304670373995,-0.985375270146382,-0.756269336684315,NA,NA,NA,-2.48241754277906,-7.39458659454689,-1.88047966421391,0.511717474188331,-2.48162099741052,-1.76174079008811,-1.34677688214212,-2.52900375771374,-2.31130218881483,-10.4831835755142,-3.9389308357135,-1.77600023420027,-1.05854356132435,-1.23142539020043,-2.67674465434551,NA,-1.56553691350524,-1.38862436214016,-1.60670337148887,0.240930356830941,NA,-2.57129532680793,-2.92708891525022,NA,-2.66640234737398,-2.36866773252175,-2.02611744649517,NA,-4.04528971690979,-0.70510912803997,-1.43732823107497,-1.60052122354332,NA,-2.7438349694731,-4.46394044097791,-1.28412018985135,-0.958005193411662,-2.04182430915703,NA,NA,-1.63019748478433,NA,-1.46906639137726,NA,-2.11760683292694,-2.87440150791655,-2.00126765591027,NA,-1.20655503766747,-1.54586126020043,-2.09719850895509,-1.41282486642487,-2.65142602735836
NA,0.426321582229945,-1.66079548296062,-2.32656585379298,-2.16074999813901,-2.49904526097282,-2.8414173515687,-2.48090593412863,NA,-1.56808559037134,-1.00480776047715,-1.84555998644113,NA,-1.45164445388528,-8.14603740513276,-1.52655576477408,NA,-2.61340895861195,-1.17640278295057,-11.0634690566254,-0.584479088109134,-2.83876299960256,-0.251520315183092,NA,-1.08897859489723,-1.83217819969887,-2.13925914439154,-1.5693379893049,-1.4141899471087,-2.19939150878281,NA,-1.3999155007126,-1.85174829959256,-2.09394496601731,-2.38941522486524,NA,-2.02316349173698,-9.70744900397621,-1.98317574680986,-7.06690076155115,-2.14380643512006,0.75249391550124,-1.09842721394606,-0.863969070204953,NA,NA,NA,-2.59546948657874,-7.53131719134005,-2.01209170390086,0.388626907764017,-2.61129810777924,-1.88084892817358,-1.45447661566276,-2.6657343545069,-2.41711294368759,-10.6282802949789,-4.06817326994176,-1.92109695366497,-1.18147978218204,-1.33258113737379,-2.80835669403247,NA,-1.68847313436292,-1.49443511701292,-1.71440310500951,0.117839790406627,NA,-2.6851028183805,-3.04263397176817,NA,-2.78551048545945,-2.49791016675,-2.15535988072343,NA,-4.17690175659675,-0.818916619612541,-1.54313898594773,-1.73725182033648,NA,-2.86692553589742,-4.59361755134664,-1.39181992337199,-1.08768230378039,-2.17202331948212,NA,NA,-1.76039649510942,NA,-1.57022213855062,NA,-2.24069739935125,-2.98210124143719,-2.10707841078303,NA,-1.33623214803619,-1.65167201507319,-2.20489824247573,-1.52052459994551,-2.7669710838763
-5.0376460596215,-0.812122911085741,-1.75326406986333,-1.54328682202745,-2.26030639507667,-2.6169363455379,-2.95930843613378,-2.58669263001777,NA,-1.66196594879217,-0.630277892293174,-0.970511802451912,-2.79702745731115,-0.575789387480756,-11.8886134956653,-1.64444684933915,-3.31665477334386,-2.69559800319031,-4.32273004761298,-16.28004308159,-0.296768193800272,-2.9445496954917,-2.24453889944023,NA,-0.698518552736428,-1.94327180959331,-2.25035275428599,-0.950929544920676,-1.51374634404636,-2.31728259334789,-1.29362668556315,-1.49379585913343,-1.04661281543251,-2.19895444382777,-2.23106338353372,NA,-2.12271988867463,-10.5750970017956,-2.088962442699,-8.77919418391112,-2.23131246860558,0.590406291421117,-0.920120760026991,-0.951475103690471,-12.6141032123677,-0.711575369663602,NA,-2.68732419091598,-9.11076348006067,-2.11902648614652,0.4324452610924,-2.71666075995383,-1.97762429036803,-1.54198264914828,-2.77682796440135,-2.5030841820217,-12.1489711361286,-3.12726297989256,-2.03898803823005,-1.28136546162891,-1.41477018195215,-2.91529147627812,-0.358341657339778,-1.78835881380979,-1.58040635534703,-1.80190913849503,0.0319363154478424,-8.04243133127117,-2.77757140528321,-3.136514330189,-12.7313615304339,-2.8822858476539,-2.60291964456046,-2.26036935853389,-13.8117829462493,-4.19390243138751,-0.0417496836579712,-1.62911022428184,-0.848522577102817,-2.30850771329182,-2.96693662111717,-4.55942183256956,-1.48364956114822,-4.57128695323126,-2.27781001537126,-8.37232953938099,NA,-1.09227737048697,-0.798044677189021,-1.65241118312898,NA,-2.34070848457101,-3.06960727492271,-2.19304964911714,-1.81979794751599,-1.44159480021078,-1.7376432534073,-2.29240427596124,-1.60803063343103,-2.86085144229713
NA,0.53741519212439,-1.5683268960579,-2.22979049159854,-2.06119360120136,-2.38115417640775,-2.72352626700363,-2.37511923823949,NA,-1.47420523195051,-0.899798282666691,-1.72766890187606,NA,-1.34628180171069,-8.05356881823005,-1.408664680209,NA,-2.5312199140336,-1.09421373837222,-10.9716143522882,-0.479469610298677,-2.73297630371342,-0.145733619293951,NA,-0.97108751033216,-1.72108458980442,-2.0281655344971,-1.47256262711046,-1.31463355017105,-2.08150042421774,NA,-1.30603514229177,-1.7517372143728,-1.98893548820685,-2.297560520528,NA,-1.92360709479932,-9.60166230808707,-1.87738905092072,-6.94900967698608,-2.05630040163454,0.838465153835354,-1.00657250960882,-0.776463036719434,NA,NA,NA,-2.5036147822415,-7.42022358144561,-1.90515692165521,0.488637992983772,-2.50593545560465,-1.78407356597914,-1.36697058217724,-2.55464074461246,-2.33114170535348,-10.5103892104138,-3.9631637921313,-1.8032058690999,-1.08159410273517,-1.25039209279544,-2.70142191178682,NA,-1.58858745491605,-1.4084638786788,-1.62689707152399,0.217850875626382,NA,-2.59263423147779,-2.94875361334734,NA,-2.68873512326501,-2.39290068893955,-2.05035040291297,NA,-4.0699669743511,-0.726448032709827,-1.45716774761361,-1.62615821044204,NA,-2.76691445067766,-4.48825489917205,-1.30431388988647,-0.982319651605798,-2.06623662359298,NA,NA,-1.65460979922028,NA,-1.48803309397227,NA,-2.1406863141315,-2.89459520795167,-2.02110717244891,NA,-1.2308694958616,-1.56570077673908,-2.11739220899021,-1.43301856645999,-2.67309072545547
-5.27810866954356,-0.42991381823064,-0.672092899923909,-1.00413003826291,-1.09626236934409,-1.2385175106232,-1.58088960121908,-1.34980203192936,NA,-0.564287911871685,-0.232845442193141,-0.325844751754396,-2.92509898596193,0.0270127032116479,-11.7249885833278,-0.266028014424452,-4.08536088812967,-1.73461840504339,-4.10950149045195,-16.1462356047906,0.0498721268715138,-1.7076590974033,-1.90756358478633,NA,-0.276570377191504,-0.644331140058264,-0.951412084750939,-0.485963189618489,-0.349702318313782,-0.938863758433189,-1.38271141908281,-0.396117822212947,-0.472357282760245,-0.971151318659344,-1.7813082808483,NA,-0.958675862942054,-10.1731208152356,-0.852071844610595,-8.3572460083662,-1.20816500015952,0.695057442360144,-0.633124026978501,0.0716723647555877,-13.1486256961925,-0.73242468535005,NA,-1.61333072481901,-8.69146830969527,-0.868712109120426,0.659576980640792,-1.48472821145093,-0.846096978556058,-0.518835180702221,-1.4778872948663,-1.49788201073053,-11.7270229605837,-2.53810529046143,-0.660569203315351,-0.113471363480902,-0.453790583805228,-1.66497709925203,-0.388395899778691,-0.620464715661787,-0.575204184055853,-0.778761670048967,0.21342724971426,-8.50278166007543,-1.69640023534379,-2.03883629326852,-13.2943014992145,-1.75075853584193,-1.37511651939204,-1.03256623336547,-14.6076828156624,-3.65598687323754,0.48567171775269,-0.623908052990664,-0.229460642989702,-2.38815322655433,-1.79757624008619,-4.04425285892191,-1.09230713188622,-4.37445750112226,-1.04091941728285,-9.17870805187914,NA,-0.574629372046568,-0.842553796746157,-0.691431584982059,NA,-1.17134810354003,-2.04645980647665,-1.18784747782597,-1.90888268103566,-0.209662251707879,-0.732441082116127,-1.26925680751519,-0.58488316498497,-1.76317340537665
-5.27810866954356,-0.348730026384699,-0.536946503681482,-0.933409581274657,-0.950756866127517,-1.06621515625886,-1.40858724685474,-1.19519070716831,NA,-0.427078157256625,-0.156107746870115,-0.239693574572228,-2.92509898596193,0.104008487493079,-11.6574153852066,-0.0937256600601148,-4.08536088812967,-1.61449595527502,-4.04944026556776,-16.0791110131595,0.12660982219454,-1.55304777264225,-1.8302579224058,NA,-0.190419200009336,-0.481963556366382,-0.789044501059057,-0.415242732630241,-0.204196815097209,-0.766561404068852,-1.38271141908281,-0.258908067597887,-0.399272258945809,-0.817675928013292,-1.71418368921724,NA,-0.813170359725481,-10.095815152855,-0.697460519849544,-8.27109483118403,-1.08027156660376,0.757882578065843,-0.56599943534744,0.199565798311345,-13.1486256961925,-0.73242468535005,NA,-1.47908154155688,-8.61028451784933,-0.712422811992164,0.732662004455228,-1.33073664288807,-0.704656064579562,-0.390941747146463,-1.31551971117442,-1.37223173931913,-11.6408717834015,-2.4613675951384,-0.488266848951013,0.0325153987875987,-0.333668134036863,-1.50868780212377,-0.388395899778691,-0.474477953393286,-0.449553912644455,-0.65086823649321,0.286512273528696,-8.50278166007543,-1.56125383910137,-1.90162653865346,-13.2943014992145,-1.60931762186543,-1.22164112874599,-0.879090842719413,-14.6076828156624,-3.57784222467341,0.553244915873904,-0.498257781579267,-0.148276851143761,-2.38815322655433,-1.65140619245732,-3.96725707464048,-1.02836041510834,-4.29746171684083,-0.886308092521803,-9.17870805187914,NA,-0.497323709666043,-0.842553796746157,-0.571309135213694,NA,-1.02517805591116,-1.91856637292089,-1.06219720641457,-1.90888268103566,-0.0556706831450161,-0.60679081070473,-1.14136337395943,-0.456989731429213,-1.62596365076159
