time,ARO,CAF,CAR,CNA,EAS,ENA,EPO,ESAF,GIC,MED,NAO,NCA,NEAF,NEN,NES,NEU,NSA,NWN,NWS,NZ,RAR,RFE,SAS,SAU,SCA,SEA,SEAF,SOO,SWS,WCE,WNA,WSAF
0,-0.339648359,0.011827062,0.789310045,0.287397768,-1.133104328,0.159461625,NA,-0.77710487,-0.228451623,-0.288767367,-0.066817562,-0.076556626,0.027290363,-0.857372146,NA,-0.502254529,NA,-0.489639719,NA,-0.863927775,-0.99358502,-0.226586543,-0.260424096,0.661363926,NA,0.23191801,-1.290421616,-2.069812558,-1.209320838,-0.906901271,-0.335851509,0.424710791
100,-0.007030557,-0.725305236,0.824118673,-0.514616424,-1.266225461,-0.06541064,NA,-0.387666707,-0.763535328,-0.738987001,-0.901216459,0.874139623,-0.483865516,-0.529074098,NA,-0.421969686,NA,-0.462904411,0.570405215,-0.863927775,-1.005592637,-0.62490321,-0.097027595,0.412363926,NA,-0.125009764,-1.172193196,-2.05878359,-0.466952856,-1.248041199,-0.212958364,0.355899458
200,0.312107195,-0.173664965,0.997686521,-0.271445971,-0.636580371,-0.237176781,NA,-0.315386778,-0.690883482,-0.833166094,-1.639021875,1.559717391,-0.146621116,-0.436275645,0.140356338,-0.419968592,NA,-0.505279987,-0.124542914,-1.380997783,-0.740309154,-0.893743236,0.018083024,0.056030592,NA,0.219706064,-0.978859862,-1.927353035,-0.482464347,-1.016963282,0.065517867,-0.122340614
300,0.561576237,0.0686191,0.997686521,-0.177843973,-0.464565977,-0.380011556,NA,-0.228468697,-0.641826661,-0.933393212,-1.130481162,0.393787583,-0.161913136,-0.567246269,0.169101456,-0.425962422,-0.371798958,-0.469746707,-0.208024026,-1.380997783,-0.207051868,-0.698114899,-0.16640617,0.429363926,NA,-0.127819392,-0.967431291,-1.351420495,-0.28361234,-0.796756034,0.098176275,-0.38681016
400,0.360597777,-0.96822253,0.490871391,-0.097251106,-0.596549869,-0.245749456,NA,-0.29198637,-0.758740626,-0.539203701,-0.885314597,0.526003734,-0.48578431,-0.118205311,-0.017017395,-0.45392602,-0.65666841,-0.682639397,0.225135514,-1.362773445,-0.251283861,-1.345051566,-0.177504035,-0.249207503,NA,-0.077779322,-0.292609862,-1.267839872,-0.240096366,-0.649595442,0.010945162,0.183052652
500,0.699307979,-1.022585664,0.387204724,-0.178260964,-0.506000194,-0.384254611,NA,-0.266639604,-0.552680086,-0.11142162,-0.948391421,0.552936942,-0.709485853,-0.402511613,-0.163037216,-0.431463711,-0.444981793,-0.730024041,-0.141548583,-1.30810043,-0.428306852,-0.872643158,-0.134354592,-0.602136074,0.038257597,-0.175069284,-0.930526529,-1.169663812,-0.072636379,-0.861407667,-0.284046139,0.088794249
600,0.128402329,-0.936480527,0.267296054,-0.553564416,-0.273168202,-0.378117567,NA,-0.137819208,-0.532863513,-0.225779294,-0.406181311,0.406015051,-1.031846358,-0.36214976,-0.147106688,-0.435158314,0.234891772,-0.73882574,-0.234083216,-0.58353284,-0.698152304,-0.566791305,-0.434185761,-0.492493217,0.038257597,-0.073882115,-0.588859862,0.198506498,-0.150032423,-0.827641478,-0.362615106,0.087868561
700,0.333755212,-0.975822165,0.407575042,-0.719081727,-0.323983757,-0.446314643,NA,0.414945589,-0.507631762,-0.162215254,-0.598282286,0.023692633,-1.022615006,-0.352178081,-0.139211076,-0.423535253,0.176184362,-0.605216846,-0.307922582,-0.144418526,-0.693184123,-0.471257719,-0.298613461,-0.700708526,-0.536227502,-0.143152781,-0.088859862,-0.651503342,-0.120063596,-1.050891327,-0.297707732,0.087803701
800,-0.363890801,-0.813803402,0.596910042,-0.805062009,-0.460943133,-0.501771199,0.585310678,0.263297641,-0.20524618,0.016858537,-0.798866199,0.873125745,-0.892836267,-0.269095271,0.029048757,-0.38204529,-0.061957933,-0.537387142,-0.486036901,-0.320942826,-0.383445792,-0.631969486,-0.423280806,-0.494772388,-0.536227502,0.094095085,-0.312959163,-0.914706538,-0.207471196,-0.977608834,-0.175968448,-0.057284608
900,-0.064231211,-0.713585733,0.282685811,-0.582432091,-0.501623356,-0.387969225,0.585310678,-0.256841564,-0.071892927,-0.138715563,-0.588389606,1.075640534,-1.048813969,-0.087140548,-0.073596745,-0.340976826,-0.459825223,-0.084454428,-0.204557606,-0.864508934,-0.63818952,-0.725786045,-0.807021839,-0.374147388,-0.536227502,0.02159687,0.090897526,-0.692287775,-0.167316733,-0.751363547,0.038087958,-0.206857215
1000,-0.530126546,-1.086812352,0.259185811,-0.247399068,-0.230951729,-0.333893413,0.479467736,-0.241672258,-0.190760271,-0.20967359,-0.54005993,0.36826519,-1.205551272,-0.236973106,-0.081600347,-0.176328829,-0.338013953,0.038418009,-0.296083645,-0.885809023,-0.656783453,-0.489895885,-0.403961183,-0.374147388,-0.536227502,0.067389357,0.111941078,-0.474637405,0.024025705,-0.689221616,-0.108414806,-0.279911174
