"time","ARO","CAF","CAR","CNA","EAN","EAS","ENA","EPO","ESAF","GIC","MED","NAO","NCA","NEAF","NEN","NES","NEU","NSA","NWN","NWS","NZ","RAR","RFE","SAS","SAU","SCA","SEA","SEAF","SOO","SSA","SWS","WAN","WCE","WNA","WSAF"
-100,2.68642423355292,NA,NA,-1.02603428799084,4.18445085005295,-1.64489050093996,0.807424022042387,NA,NA,0.51586344518817,1.44479352031827,1.25710522822624,NA,NA,-0.24180249530289,NA,-1.04220227293397,NA,1.72162632564346,NA,-9.50637276592023,-1.33043545351553,NA,-2.96196689921937,NA,NA,NA,NA,-3.36109215610213,-3.92493467224728,0.0723852478983638,2.67572855821708,0.531632894898682,-0.996802908194123,NA
0,-0.858175265730018,0.670339898365754,1.38702650709432,0.219464764552588,1.2534335889637,-1.65519544263135,0.110034988712829,NA,-0.31455479386878,-0.362530358778571,-1.1601293476821,-1.44761658797753,0.00374364959178376,0.523650796898239,-1.02258102523984,NA,-1.22012735882889,NA,-0.570772109671125,0.573476445836908,-1.75560120712732,-2.1046798976025,-0.353684493727237,-0.768317440571707,0.896717194403685,NA,0.3874427497692,-2.12724648777088,0.727278185111351,-4.11558337020047,-2.32984692308944,0.324379751057762,-0.680984270716339,-0.199231018556354,0.890077375938691
100,-0.700917614073406,-0.631061443198163,1.95063119775804,-0.694483622949171,0.11230772507911,-1.61036104074512,-0.59178328361861,NA,-0.231456658998675,-1.52019318923406,-1.39905010279576,-2.47605764523224,0.70599740171664,-0.69553502606754,-0.875276279668976,NA,-1.26690177829247,NA,-0.505947911773512,1.06539147688033,-0.386689092816832,-2.09382639109553,-1.23961503279864,-0.0722974951911072,0.647560529304209,NA,0.00730161461834309,-2.31103469934885,0.968119534588248,-2.52641479462128,-1.02929565520446,-1.41781587294502,-1.13273795839363,-0.0534522335129637,0.686343501239081
200,-0.0843506481039971,-0.794915543684701,2.28710783480532,-0.542408389540912,-0.730002154667933,-0.779371910877337,-1.07669998156304,NA,-0.05093980962038,-1.76996399478314,-1.24926916002143,-2.74212743527468,0.659627140936951,-0.334186537056598,-0.675473946318605,0.0886822357121947,-1.18123466053425,NA,-0.463555413802072,-1.28558497243459,-0.912522251996644,-1.59309600295626,-1.1148813236578,-0.578949067371045,0.132214382795463,NA,0.413048204877807,-1.89934377601648,0.80760063660749,-1.69420606790881,-1.14662435952258,-1.64312987618629,-0.92631861146624,0.174461563939129,-0.669185408414389
300,0.463803511465558,0.404860453742284,2.28710783480532,-0.476568114707386,-0.587512042852539,-1.00745518189692,-1.00324780834132,NA,0.0324581006001262,-1.62754992996296,-1.08567891475713,-2.49524977584473,-0.0739020496571546,-0.287338492210679,-0.960039900410232,0.172601565702792,-1.29720762321021,-0.483265959047424,-0.383492834837584,-2.29647650124419,-1.30656964187466,-0.979062971047779,-0.333036433551402,-0.420814741162275,0.157433305503609,NA,-0.507534035074006,-1.663266471462,0.898403722778083,-2.29411746676425,-0.633632584036963,-1.35996973594624,-0.669329548460141,0.183957931505824,-0.95765839745887
400,-0.167503741638304,-1.54712917693577,1.05719607309694,-0.605145228653694,-0.722940795298683,-0.944968470846931,-0.479079412599742,0.66944637470863,-0.219177139514111,-1.55923411847365,-1.1891196009416,-1.62077189249651,0.0978654167489471,-0.30703885044179,-0.595562851533144,0.345514458687049,-1.15842253925535,-1.18108720853515,-0.472908097017588,-2.1331346262629,-1.59822148208875,-1.03470692072102,-0.963174361775386,-0.17132766926319,-0.899057886759588,NA,-0.266338834565697,-0.54241472762157,0.205709699815016,-1.35097162831854,-0.218620454207873,-0.900867028470666,-0.510688407772323,0.105743341303739,-0.133386484053235
500,0.240121862762958,-1.82538937131008,0.636584361667171,-0.497056517620629,-0.62101014363376,-0.916486710697032,-0.574925937509358,0.66944637470863,-0.181807135358812,-1.41238047605069,-0.733268196679491,-1.54339473508426,0.282731302014056,-0.395127450159343,-0.639177124132029,-0.467251489113838,-1.04133528450775,-0.884665217537009,-0.5947742000068,-2.36673066826228,-0.398297717954227,-1.3439974888985,-0.445802148638996,-0.50512443019914,-1.081338275919,-0.442075797503628,-0.325321902805532,-1.53361700137314,0.606647296356299,-1.09496497389953,-0.190457117097775,-1.84424917131028,-0.610486798376709,-0.180561595918314,0.123741288506145
600,-0.502583042683273,-1.60232346665111,0.306381401202974,-0.30313196172152,0.248380383636105,-0.54638386836142,-0.496179967088239,0.66944637470863,-0.397488691854644,-1.45977636044218,-0.576586658370315,-1.13044949512713,-0.193382579973945,-0.565985824227174,-0.405789906169641,-0.446111774220953,-0.985699576842878,0.731911526945598,-0.683524266559633,-1.86571206998708,-0.290529663877528,-1.66862195328631,-0.0602695633826747,-0.691898157494897,-0.689785904378624,-0.442075797503628,-0.162070245989055,-1.01833038779763,0.72608203497862,-2.13730671946094,-0.451554213333857,-1.6378369220782,-0.65255809560822,-0.432684243530753,0.356240292898931
700,-0.0283408954255773,-1.50011982631201,0.339623579288537,-0.885280852217224,0.00765526509767028,-0.768517866416956,-0.499934659229902,0.600117143435481,-0.00535989866561213,-1.30870215582117,-0.469524183648879,-1.27509610590862,0.015005866184429,-0.493116138106332,-0.404537281298401,-0.371412094357581,-1.07058525772457,0.695441047870164,-0.505137105827298,-1.36199485357182,-0.0313270826591762,-1.32990087870935,0.0112884113746576,-0.843904254565723,-1.55908951225789,-0.635220594106984,-0.192357768215171,-0.194434073650818,1.03062849898685,-1.51519808860011,-0.306886211045155,-1.82027659743802,-0.707426922121558,-0.155890538779684,0.430109410006852
800,-0.587410449775098,-1.28078158211357,0.916772521969416,-1.25252260757592,-0.0767682896089628,-0.82128637444721,-0.553424131254848,1.24080014809885,-0.0154475311113212,-1.30899660368408,-0.48649792666065,-1.28017773750349,0.388950881868871,-0.140913302209186,-0.557840155424603,-0.113763533689208,-0.941835066403118,0.395269973140568,-0.247909663219205,-1.51555638031291,-0.556189844205707,-0.876721646797415,-0.298510191117463,-1.34135524358641,-1.21059614825058,-0.808939155609388,0.124538251977404,-0.755622516458811,0.548969557617799,-1.04841833240521,-0.346632267243338,-1.58789666001087,-0.701445935183258,-0.213541197885168,0.220818769414196
