"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"1","117_723A.Godad.2011","RL0SCEeYVWU",57.609,18.0518,"ARP","other microfossil",11200,325,330,"summerOnly","T","Temp12k"
"2","161_976.Martrat.2014","R56JsH0b7h7",-4.3127,36.2054,"MED","alkenone",11761,53,79,"annual","T","Temp12k"
"3","161_976.Martrat.2014","Rl3oDldpRFu_SST_from_planktic0x2EMgCa",-4.3127,36.2054,"MED","Mg/Ca",11350,80,80,"annual","T","Temp12k"
"4","165_1002C.Herbert.2000","RYfbsh7Nj6W_SST_from_Uk37",-65.1694,10.7061,"NSA","alkenone",10960,450,450,"annual","T","Temp12k"
"5","2005-804-006.Ledu.2010","PYT93BAHDDE",-106.5735,68.9925,"NWN","other microfossil",6707.2,168.1,168.1,"annual","T","Temp12k"
"6","31Lake.Eisner.1995","M2L7yquhwzuP",-50.47,67.05,"GIC","pollen",5102,166,170,"annual","T","Temp12k"
"7","3MPond.Pellatt.2000","Rlf3YywN7Sz",-121.2167,49.9833,"WNA","chironomid",11719,366,366,"summerOnly","T","Temp12k"
"8","850Lake.Shemesh.2001","R5opojsGcHY",19.12,68.37,"NEU","chironomid",9448.05949615,76.8134919999993,76.8134919999998,"summerOnly","T","Temp12k"
"9","850Lake.Shemesh.2001","PYTR4UFZM3W",19.12,68.37,"NEU","isotope",8992,158,158,"summerOnly","T","Temp12k"
"10","893A.Kennet.2007","LPD05340dbbdp_SST_from_d18O",-120.036,34.2875,"WNA","isotope",9939.134,29.6,29.6,"annual","T","Temp12k"
"11","893A.Kennet.2007","LPD28794972dp_SST_from_d18O2",-120.036,34.2875,"WNA","isotope",9992.952,31.4770000000002,31.7790000000005,"annual","T","Temp12k"
"12","A7.Sun.2005","T2L_A7_mgca_ruber_SST_from_mgca_ruber",126.9783,27.82,"EAS","Mg/Ca",10613,125,125,"annual","T","Temp12k"
"13","A7.Sun.2005","T2L_A7_d18o_ruber_SST_from_d18o_ruber",126.9783,27.82,"EAS","isotope",10613,125,125,"annual","T","Temp12k"
"14","Abalone.Cole.1994","M2Lhfelk1bfP",-119.98,33.96,"WNA","pollen",6112.3,204.6,227.05,"annual","T","Temp12k"
"15","AdelaideTarn.Jara.2015","WEB239e9c22",172.5333,-40.9333,"NZ","pollen",11516.1,150.5,150.05,"annual","T","Temp12k"
"16","Agassiz.Lecavalier.2017","WEBa1e48de5",-73.5,80.67,"GIC","isotope",12000,25,25,"annual","T","Temp12k"
"17","AgeroedsMosse.Nilsson.1964","RTdqSojg0st",13.42,55.83,"NEU","pollen",9080.15,55.445,59.27,"annual","T","Temp12k"
"18","AjaxBog.Wilmshurst.2007","R6lPfjM3opf",169.28,-46.42,"NZ","pollen",10977.333,185.666,179.283,"annual","T","Temp12k"
"19","AlanenLaanijarvi.Heinrichs.2005","Ry0uq7BMis9",20.48,67.97,"NEU","chironomid",8205.06,329.82,335.465,"summerOnly","T","Temp12k"
"20","Alley.GISP2.2000","GH34755740",-38.5,72.6,"GIC","other ice",11897.859,12.8800000000001,12.8999999999996,"annual","T","Temp12k"
"21","AlltnaFeitheSheilich.Birks.1975","Rx3TR4XADtS",-3.9,57.32,"NEU","pollen",9298.31,338.92,338.92,"annual","T","Temp12k"
"22","AlpidiRobieiValBavona.Welten.1982","RNAncQhRpt8",8.52,46.45,"WCE","pollen",10836.71,175.6,175.6,"annual","T","Temp12k"
"23","Alsa.Mariscal.1993","RsCmrJ2LIUJ",-4.02,43.12,"MED","pollen",4856.79,144.73,144.735,"annual","T","Temp12k"
"24","Alsopahok.Zatyko.2007","RsS9GGho4e3",17.17,46.77,"WCE","pollen",10583.84,35.62,35.62,"annual","T","Temp12k"
"25","Altenweiher.DeValk.1981","Ry2oSKE2D2P",6.99,48.01,"WCE","pollen",10771.53,91.0799999999999,91.0799999999999,"annual","T","Temp12k"
"26","Ammersee.vonGrafenstein.1996","LS96VOAM01",11.1167,48,"WCE","isotope",11983.81,11.2800000000007,11.5,"annual","T","Temp12k"
"27","Andy.Szeicz.1995","RSvtIc0N66Y",-128.08,64.65,"NWN","pollen",9803,174,161.5,"annual","T","Temp12k"
"28","Arapisto.Sarmaja-Korjonen.2007","PYTXFMZ1EQU",24.8,60.58,"NEU","pollen",8888.5,17.5999999999995,17.5499999999997,"annual","T","Temp12k"
"29","Atocas.Gauthier.1981","M2L68fmqq0lP",-73.31,45.54,"ENA","pollen",10399,298,298,"annual","T","Temp12k"
"30","Austerkjosen.Seppa.2009","PYTLCCXN62R",17.2667,68.5333,"NEU","pollen",8819.42,234.175,235.08,"summerOnly","T","Temp12k"
"31","AwengCo.Li.2017","WEB7e132cbf",81.67,32.75,"TIB","other biomarker",11639,201,192.5,"annual","T","Temp12k"
"32","B997_321.Castaneda.2004","T2L_B997_321_d18o_pachyderma_SST_from_d18o_pachyderma",-18.9744,66.8911,"GIC","isotope",7468,253,253,"annual","T","Temp12k"
"33","B997_324.Castaneda.2004","T2L_B997_324_d18o_pachyderma_SST_from_d18o_pachyderma",-21.1522,66.5239,"GIC","isotope",11910,191,189,"annual","T","Temp12k"
"34","B997_327.Castaneda.2004","T2L_B997_327_d18o_pachyderma_SST_from_d18o_pachyderma",-20.8631,66.6414,"GIC","isotope",3893,72,72,"annual","T","Temp12k"
"35","BaiedeSeineestuary.Garnaud.2003","Reuxqn1aPrN",-0.03,49.42,"WCE","pollen",8426.56,112.540000000001,112.54,"annual","T","Temp12k"
"36","BanksIsland-15.Gajewski.2000","M2Lqd7jeqa8P",-120.22,73.53,"NWN","pollen",10169,127,135,"annual","T","Temp12k"
"37","BasadelaMoraLake.Tarrats.2018","RXVKcelUtDs",0.326,42.5445,"MED","chironomid",8619.115,185.217,180.851999999999,"summerOnly","T","Temp12k"
"38","Basse-Ville.Voeltzel.1987","R4JjJRueZkB",-1.86,47.19,"WCE","pollen",8460.69,63.0500000000002,63.0500000000002,"annual","T","Temp12k"
"39","Bastien.Bennett.1987","M2Lqrusrc3gP",-78.92,46.4,"ENA","pollen",10833,159.5,159,"annual","T","Temp12k"
"40","BattleGround.Whitlock.1985","M2Lx72gur5lP",-122.4917,45.8,"WNA","pollen",10539.6,236.3,236.3,"annual","T","Temp12k"
"41","BC01Lake.Peros.2010","WEBa45174e3",-111.92,75.18,"NWN","pollen",11532,631,632,"summerOnly","T","Temp12k"
"42","Beaverhouse.Ritchie.1976","M2L6n22fvlcP",-101.68,54.74,"NEN","pollen",9993,197,197,"annual","T","Temp12k"
"43","BebrukasLake.Shulija.1967","RsHcCZf3F0Z",24.12,54.09,"WCE","pollen",10603.73,221.26,212.77,"annual","T","Temp12k"
"44","BeefPasture.Petersen.1985","M2Lgb6c2jm2P",-108.16,37.47,"WNA","pollen",6025.2,32.8,32.8,"annual","T","Temp12k"
"45","BellsLake.Szeicz.1995","RAP1dzJLThI",-127.48,65.02,"NWN","pollen",11702,208,208,"annual","T","Temp12k"
"46","Berkut.Ilyashuk.2005","RmGezmouka1",36.66,66.34,"NEU","chironomid",10104,237,237.5,"summerOnly","T","Temp12k"
"47","Berry.Whitehead.1979","M2Lsemj4z4fP",-73.32,42.5,"ENA","pollen",10933,292.5,292.5,"annual","T","Temp12k"
"48","BI2Lake.Gajewski.1992","M2La2ua5w4kP",-76.38,57.12,"NEN","pollen",7639,185,192,"annual","T","Temp12k"
"49","BiglandTarn.Barber.2013","RtcHGLf9lJV",-2.99,54.24,"NEU","chironomid",4794,100,100,"summerOnly","T","Temp12k"
"50","Billys.Jacobson.1975","M2Lqditl4qyP",-94.55,46.27,"CNA","pollen",10942,137.65,137.6,"annual","T","Temp12k"
"51","BiskupinskieLake.Noryskiewicz.1995","R7DxiAHp0lf",17.73,52.78,"WCE","pollen",10695.27,62.095,62.21,"annual","T","Temp12k"
"52","BJ8_03_10GGC.Linsley.2010","T2L_BJ8_03_10GGC_d18o_ruber_SST_from_d18o_ruber",115.25,-7.3667,"SEA","isotope",11556,194,194,"annual","T","Temp12k"
"53","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_mgca_ruber_SST_from_mgca_ruber",115.2,-7.4,"SEA","Mg/Ca",10414,42,42,"annual","T","Temp12k"
"54","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_d18o_ruber_SST_from_d18o_ruber",115.2,-7.4,"SEA","isotope",10446,39.5,42,"annual","T","Temp12k"
"55","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_mgca_ruber_SST_from_mgca_ruber",119.3833,-3.5667,"SEA","Mg/Ca",11749,101,101,"annual","T","Temp12k"
"56","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_d18o_ruber_SST_from_d18o_ruber",119.3833,-3.5667,"SEA","isotope",11749,111,106,"annual","T","Temp12k"
"57","Bjornfjell.Brooks.2006","RcHJOeUBfxw",18.07,68.43,"NEU","chironomid",3437.31,164.81,167.84,"summerOnly","T","Temp12k"
"58","BledowoLake.Binka.1988","R2yzkU2ca31",20.67,52.55,"WCE","pollen",10839.52,40.77,41.8249999999998,"annual","T","Temp12k"
"59","BloodPond.Marsicek.2013","WEBf9c0d6bd",-71.96,42.08,"ENA","pollen",11921.2342,90.6680000000001,90.6679999999997,"annual","T","Temp12k"
"60","BN7Lake.Gajewski.1991","M2L3m70t46oP",-73.52,55.01,"NEN","pollen",6389,321,321,"annual","T","Temp12k"
"61","BoehnigseeGoldmoos.Markgraf.1969","R4NdhyHXypE",7.84,46.26,"WCE","pollen",10727.86,151.255,153.48,"annual","T","Temp12k"
"62","BolshieToroki.Zhilich.2017","RST39AsmE0I",80.62,55.39,"WSB","pollen",7864.5,101.6,101.6,"summerOnly","T","Temp12k"
"63","Boone.White.1986","M2Lxytve3doP",-119.43,55.58,"NWN","pollen",10085,85,85,"annual","T","Temp12k"
"64","BorderBeacon.Lamb.1985","M2Lmp6pxlgjP",-63.2,55.33,"NEN","pollen",7687.7,311.5,311,"annual","T","Temp12k"
"65","BoundaryPond.Mott.1977","M2L4wwg6oi5P",-70.68,45.57,"ENA","pollen",10835.2,226.5,226.5,"annual","T","Temp12k"
"66","BrayaSo.vonGunten.2012","WEB0c142d5f",-51.0333,66.9875,"GIC","biophysical",6947,10,10,"summerOnly","T","Temp12k"
"67","Breitnau-Neuhof.Roesch.2009","RQHbe4cH6UU",8.07,47.93,"WCE","pollen",10559.58,132.29,142.15,"annual","T","Temp12k"
"68","brurskardstjorni.Velle.2005","PYTIRA0OPDR",8.67,61.42,"NEU","chironomid",10797.949,172.624,172.624,"summerOnly","T","Temp12k"
"69","BS79_38.Cacho.2001","GH07da367f_SST_from_Uk37",13.6,38.4,"MED","alkenone",10908,259,259.5,"annual","T","Temp12k"
"70","BuntesMoor.Weirich.1980","RLrZViFiuLZ",11.14,47,"WCE","pollen",6190.69,75.6899999999996,78.895,"annual","T","Temp12k"
"71","Cadagno.Niemann.2012","LPDdb9440cb",8.7139,46.5507,"WCE","other biomarker",10913,146,148.5,"annual","T","Temp12k"
"72","Camp11.Brubaker.1975","M2L215porczP",-88.02,46.67,"ENA","pollen",10475,321,353.5,"annual","T","Temp12k"
"73","CandelabraLake.Cwynar.1995","RAll4J7F1rY",-130.65,61.68,"NWN","pollen",10800,191,170.5,"annual","T","Temp12k"
"74","CangoCave.Talma.1992","RrLXMslDM70",22.214,-33.3926,"WSAF","isotope",6395.8,57.3999999999996,58,"annual","T","Temp12k"
"75","CapeGhir.Kim.2007","GH14bc173e",-10.2685,30.85,"NAO","alkenone",10502,29,31,"annual","T","Temp12k"
"76","Caribou-Qubec.Jett.1992","M2L4201jbr2P",-64.94,48.2,"ENA","pollen",10420,349,540,"annual","T","Temp12k"
"77","CaribouHill.Lamb.1985","M2Lmxwfo4uxP",-63.25,55.67,"NEN","pollen",6825,237.5,249,"annual","T","Temp12k"
"78","CarletonLake.Upiter.2014","RclKPHfeaEb",-110.1008,64.2572,"NWN","chironomid",5925,100.400000000001,100.4,"summerOnly","T","Temp12k"
"79","Carp.Whitlock.1985","M2Lyvstpj8pP",-120.88,45.92,"WNA","pollen",10008.7,270.6,270.6,"annual","T","Temp12k"
"80","CascadeFen.Maher.1963","M2Lvhsqfd0bP",-107.81,37.65,"WNA","pollen",6481.8,68.5,68.5,"annual","T","Temp12k"
"81","Castor.Larouche.NA","M2Lb1ru7x97P",-73,46.61,"ENA","pollen",10764,217,219,"annual","T","Temp12k"
"82","CC04.Gibb.2015","RxPYP3y92HP",-58.0365,61.4639,"NEN","other microfossil",11895.918,93.1000000000004,93.1000000000004,"annual","T","Temp12k"
"83","Century.Johnsen.1972","PYT295BX2KQ",-61.13,77.17,"GIC","isotope",6940,20,20,"annual","T","Temp12k"
"84","CF8.Axford.2011","RdV4LGpfddw",-68.9519,70.5569,"NEN","chironomid",7038.637,107.686500000001,104.690000000001,"summerOnly","T","Temp12k"
"85","CH2.Garralla.1992","M2Lkgti4u2yP",-74.58,49.68,"ENA","pollen",8331,85,85,"annual","T","Temp12k"
"86","ChallaLake.Damst.2012","RVIIY9tLqwu",37.7,-3.3167,"SEAF","other biomarker",11874,56,56,"annual","T","Temp12k"
"87","Chaohu.Li.2018","Rf9ndgRNF2y",117.39,31.56,"EAS","pollen",10383,137,137,"annual","T","Temp12k"
"88","Chuna.Jones.2005","PYTNKAW5ZDO",32.48,67.95,"NEU","pollen",8818.77,216.4615,216.461,"summerOnly","T","Temp12k"
"89","Churruca.Caniupan.2014","WEB7c7a30a0",-73.9,-53.03,"SSA","alkenone",11400,200,200,"summerOnly","T","Temp12k"
"90","Clapeyret.deBeaulieu.1977","Rq20hfvJwc3",7.24,44.15,"MED","pollen",9785.21,176.17,193.77,"annual","T","Temp12k"
"91","ClarksJunction.Wilmshurst.2007","RM0SQ5BKOUx",170.12,-45.72,"NZ","pollen",10042.173,421.46,421.46,"annual","T","Temp12k"
"92","ClearLakeIA.Baker.1992","M2L8muhrctrP",-93.43,43.13,"CNA","pollen",10577,221,216,"annual","T","Temp12k"
"93","ClearLakeIN.Bailey.1972","M2La3lgwa79P",-86.54,41.64,"ENA","pollen",10778.2,253.1,337.4,"annual","T","Temp12k"
