"composite...1","composite...2","composite...3","composite...4","composite...5","composite...6","composite...7","composite...8","composite...9","composite...10","composite...11","composite...12","composite...13","composite...14","composite...15","composite...16","composite...17","composite...18","composite...19","composite...20"
-2.91570198020952,-1.96395331612494,-2.48906236410473,-4.36365554542867,-3.24551057576332,-2.78992859812603,-1.00480173410406,-2.93757457701583,-1.94576344670116,-2.48586195100302,-2.22502349295567,-1.61789103303476,-2.58754798541898,-2.29952920582586,-2.00502237535283,-3.4928704273704,-4.65073650006298,-2.39869005515905,-2.42891522353349,-2.77199666016207
-2.97579971436096,-1.85171561259195,-2.37061570668532,-4.38715888574063,-3.46684692388906,-2.82805516954208,-1.02848536945867,-2.71214463568823,-1.75523425137263,-2.42045052698988,-2.10221977202629,-1.63376614471423,-2.48423410027502,-2.30834366605526,-2.00130186400591,-3.71983262076314,-4.62432062827371,-2.65802377602614,-2.43756145929672,-2.75479985278726
-2.68312831850159,-1.6141262742409,-1.96016554992099,-4.0042376426576,-3.16648110854609,-2.60159403905145,-0.79467952126864,-2.42001974076866,-1.4690478770659,-2.09074342652554,-1.83513751183361,-1.32630577805777,-2.11497083003203,-1.99786492684364,-1.71455080840056,-3.3342174170155,-4.19237254876324,-2.32230789555493,-1.98594704307807,-2.49947670873861
-2.59977421249859,-1.77096726339401,-1.87668559239371,-4.0438129732308,-3.31280960855908,-2.66584162767394,-0.766127630468191,-2.50294969390312,-1.45069274409077,-2.17833720111655,-1.89723826986322,-1.308537161802,-2.04027646612936,-2.00096705695737,-1.76204239188274,-3.4374163473622,-4.37463264061241,-2.49904028333792,-1.98683744316219,-2.37542600219978
-2.53249940442324,-1.80147257468793,-1.95454242990501,-4.06063931431192,-3.39595729260107,-2.71988436645444,-0.799802235927265,-2.4579487528424,-1.54597730537049,-2.28414071595607,-1.93593919311164,-1.31707300693382,-1.99033093790695,-2.02192398306131,-1.84393895877329,-3.48860390693666,-4.40854127798978,-2.56488036141902,-1.94558122389053,-2.35265494301462
-2.2662028440347,-1.60764068706537,-1.64837189630127,-3.82907770992204,-3.12952404542472,-2.49785803278729,-0.532691966857405,-2.20901803780353,-1.29651106343571,-2.04845068943228,-1.6878973913646,-1.10499499512696,-1.75610184307578,-1.78986267353323,-1.58163774349041,-3.24190950633137,-4.1351284716439,-2.35811022609099,-1.68794151344609,-2.07776391127355
-2.30217570953296,-1.61425681714402,-1.73952852109544,-3.81435040404225,-3.13803272439785,-2.53176698142332,-0.581254608978639,-2.21831394397336,-1.35191844936725,-2.05165560623943,-1.74380944825822,-1.16434628452802,-1.86175135825954,-1.79064415402255,-1.62509966958579,-3.2034248831182,-4.08524654783806,-2.29577006122398,-1.69290520362196,-2.16163428841224
-2.69566398922132,-2.0487839828067,-2.33632681443826,-4.25245381778888,-3.57703094383218,-2.94752351434666,-1.04744602988839,-2.69864217178004,-1.80895629193596,-2.59461195510143,-2.20324138937695,-1.6937289856749,-2.20412289335157,-2.13697002819495,-2.1309524474278,-3.64265849677897,-4.51698095403152,-2.6449954050394,-2.01602698916897,-2.46270083638246
-2.30399876298891,-1.82760247156157,-2.01752667487536,-3.99044684946705,-3.34199974290163,-2.73230208910893,-0.76751729605128,-2.45798760016095,-1.53459225204754,-2.38325467496792,-1.91259982660698,-1.43036268042124,-1.86411443062431,-1.86951330341599,-1.85898329321524,-3.43168245461167,-4.27224718720903,-2.38329471719321,-1.78645300309802,-2.16775280647268
-2.60314142272238,-1.95495818218609,-2.18801337230333,-4.14562449474629,-3.45185920557889,-2.84012350118246,-0.931428043810826,-2.66656784547147,-1.61595989524561,-2.37354920256435,-1.99081832898705,-1.56896738906929,-2.17803413564397,-2.02352266311049,-1.94440979069088,-3.54988891692887,-4.43962076412618,-2.53970100238132,-2.03867767098425,-2.42332689049842
