,modelTS,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig,TSid,Lat,Lon,Category,CategorySpecific,Interp,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka
0,"[nan, -1.1349235, -0.97387505, -0.89005315, -1.1334774, -1.1438456, -1.0267329, -1.0273857, -1.1798093, -1.2821447, -1.2807386, -1.2868145, -1.1352298, -1.1315575, -1.2534943, -1.3499507, -0.9296713, -1.3620688, -1.2736057, -1.1039325, -1.0300303, -1.2627931, -1.1093409, -1.2082146, -1.2626688, -0.9176471, -1.0524969, -0.84095985, -1.2956728, -1.1748275, -0.7236324, -1.2607008, -0.89156455, -0.953883, -0.6346464, -1.0096976, -1.0234709, -1.1350925, -0.79982704, -0.631796, -0.75223446, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.07284315358183398,-0.07284315358183398,WEB720c22d6,29.3,87.2,Other,Other (uncalibrated),P,,-0.17343997955322266,0.07726836204528809,0.3836662173271179,0.35506415367126465,,,,,,,
1,"[nan, -1.1349235, -0.97387505, -0.89005315, -1.1334774, -1.1438456, -1.0267329, -1.0273857, -1.1798093, -1.2821447, -1.2807386, -1.2868145, -1.1352298, -1.1315575, -1.2534943, -1.3499507, -0.9296713, -1.3620688, -1.2736057, -1.1039325, -1.0300303, -1.2627931, -1.1093409, -1.2082146, -1.2626688, -0.9176471, -1.0524969, -0.84095985, -1.2956728, -1.1748275, -0.7236324, -1.2607008, -0.89156455, -0.953883, -0.6346464, -1.0096976, -1.0234709, -1.1350925, -0.79982704, -0.631796, -0.75223446, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.07284315358183398,-0.07284315358183398,WEB820982f9,29.3,87.2,Other,Other (uncalibrated),P,,-0.17343997955322266,0.07726836204528809,0.3836662173271179,0.35506415367126465,,,,,,,
2,"[nan, 1.6164798, 1.9452655, 0.5798035, 1.7650046, 1.4078492, 0.97339725, 1.8244871, 1.7805382, 1.7488346, 1.2069963, 0.74656165, 1.4785192, 1.360877, 1.9223105, 1.8746823, 1.7027138, 1.658639, 2.2096558, 0.83104074, 0.85901296, 0.7998324, -0.39374575, 0.33359435, -0.5627909, -0.76240146, -0.25303772, -0.60412693, 0.07594563, -0.18068445, -0.43658695, -0.46291715, -0.08591476, -0.2907271, 0.09647465, -0.09424191, -0.041294772, -0.64789987, 0.28732154, -0.30565256, 0.23147704, 0.15845047, -0.41436166, 0.6048002, 0.63528097, -0.020880869, 1.1201932, 0.3694528, 1.0517538, 0.19130516, 0.3408399, 0.47888732, 0.15510571, 0.4865607, 0.896218, 0.29855907, 0.6301791, 0.6051521, 0.7952822, 1.0612906, 0.4796866, 0.239789, 0.6472961, 0.7038008, 0.6150061, -0.13559967, 1.2846794, 1.0792568, 0.7783238, 0.19378549, 0.12429915, 0.5045312, 0.1780108, 0.38203692, 0.36339095, -0.47534707, -0.4531131, -0.11951006, -1.0197048, -0.45116705, -1.3201382, -0.43288815, -1.0799518, -0.6343514, 0.21285714, -0.7039029, -1.0113647, -0.4289005, -1.0345283, -0.9448061, -1.1196285, -0.8309365, -0.45417517, -0.92031544, -1.1221914, -1.3996394, -1.2423357, -1.4536855, -0.46514556, -1.3587008, -0.8526036, -0.40670127, -0.61070347, -1.4098104, -0.7284326, -1.9521071, -1.1735551, -1.3380718, -0.7427608, -1.2009975, -1.5330323, -1.257285, -0.63801545, -0.85854596, -1.6138582, -1.6088433, -1.3777812, nan, nan, nan, nan]",increasing,0.22387828085130024,0.22387828085130024,increasing,0.37451768435956995,0.37451768435956995,increasing,0.20796155817827425,0.20796155817827425,WEBc6ac156d,39.0176,73.5327,Other,Other (uncalibrated),P-E,,-0.2778693437576294,-0.6258527040481567,-1.9214526414871216,-1.2533886432647705,-1.1440258026123047,-1.0051790475845337,-1.36056649684906,-2.8050038814544678,-2.604494094848633,-2.3374693393707275,-3.0178980827331543
3,"[nan, nan, nan, -0.35880813, -0.24849842, -1.2091765, -0.85186094, -1.7484443, 0.15366334, -1.6620618, -0.44755703, 0.8222419, -0.86886674, -1.7803138, -0.700363, -0.95918554, -0.6120858, -1.3208318, 0.6406067, -0.4340699, -0.44414657, 0.4185257, 0.041018132, -1.5715884, -0.19208303, -0.71571386, 0.569289, -0.3943278, -1.0293278, -0.6147848, -1.1717854, -0.9642664, -0.3459397, -1.404322, -1.1283544, 0.012373494, -0.36591515, -2.3874812, -1.0575085, -0.785075, -1.3652681, -1.1138774, 0.2930662, -2.3048804, -1.2160438, 0.24701361, 0.53251654, 0.6605358, -0.18151917, -0.8381032, -0.55017966, 0.5197022, -0.38138202, 0.3041714, 0.74247926, -1.1087888, -0.21512093, -0.54707855, 0.43404672, -0.99309665, 0.60212517, 0.3876925, -0.47319335, 1.2783056, -0.20874085, 0.9387538, -1.203678, 1.8071721, 1.726636, 1.1625284, -0.44095266, 1.864554, 0.24330929, -0.8199296, 0.5327485, 0.89523005, 1.2539917, 0.10861608, -0.34014735, 0.84728277, -0.038458366, 0.3940339, 1.2531875, 0.57454, 1.0369993, 0.49717474, -0.45432377, 1.2819713, 0.88054425, -1.0855266, -0.5237468, 0.34506583, 1.2702706, 0.5427788, 0.06706434, 0.67557734, 0.8296428, 0.70783347, 0.7757485, 0.12470935, 0.6135552, -0.29538622, 2.299637, 1.5328052, 0.7933498, 1.6409882, 0.9517692, 0.115235895, 0.009991596, -0.07072225, 0.851946, 0.41973212, 0.90259224, 2.1152024, 2.1649747, 0.75411034, nan, nan, nan, nan, nan]",decreasing,-0.17750997067384136,-0.17750997067384136,no trend,-0.09741818528496347,0.0,no trend,-0.0929393930515203,0.0,WEB843e2ae7,-52.9035,-73.8019,Pollen,Pollen (uncalibrated),P,,0.34903597831726074,0.35244643688201904,-0.3751923441886902,-0.5686751008033752,0.24641335010528564,1.3987181186676025,0.35564035177230835,0.758134663105011,0.2728462219238281,1.4101481437683105,1.6485390663146973
4,"[nan, nan, nan, nan, nan, nan, nan, -1.7484443, 0.15366334, -1.6620618, -0.44755703, 0.8222419, -0.86886674, -1.7803138, -0.700363, -0.95918554, -0.6120858, -1.3208318, 0.6406067, -0.4340699, -0.44414657, 0.4185257, 0.041018132, -1.5715884, -0.19208303, -0.71571386, 0.569289, -0.3943278, -1.0293278, -0.6147848, -1.1717854, -0.9642664, -0.3459397, -1.404322, -1.1283544, 0.012373494, -0.36591515, -2.3874812, -1.0575085, -0.785075, -1.3652681, -1.1138774, 0.2930662, -2.3048804, -1.2160438, 0.24701361, 0.53251654, 0.6605358, -0.18151917, -0.8381032, -0.55017966, 0.5197022, -0.38138202, 0.3041714, 0.74247926, -1.1087888, -0.21512093, -0.54707855, 0.43404672, -0.99309665, 0.60212517, 0.3876925, -0.47319335, 1.2783056, -0.20874085, 0.9387538, -1.203678, 1.8071721, 1.726636, 1.1625284, -0.44095266, 1.864554, 0.24330929, -0.8199296, 0.5327485, 0.89523005, 1.2539917, 0.10861608, -0.34014735, 0.84728277, -0.038458366, 0.3940339, 1.2531875, 0.57454, 1.0369993, 0.49717474, -0.45432377, 1.2819713, 0.88054425, -1.0855266, -0.5237468, 0.34506583, 1.2702706, 0.5427788, 0.06706434, 0.67557734, 0.8296428, 0.70783347, 0.7757485, 0.12470935, 0.6135552, -0.29538622, 2.299637, 1.5328052, 0.7933498, 1.6409882, 0.9517692, 0.115235895, 0.009991596, -0.07072225, 0.851946, 0.41973212, 0.90259224, 2.1152024, 2.1649747, 0.75411034, 0.18480587, nan, nan, nan, nan]",decreasing,-0.17930602147261446,-0.17930602147261446,no trend,-0.08467642159392202,0.0,no trend,-0.10527897251786585,0.0,WEBc7a2aaa7,-52.9035,-73.8019,Other,Other (uncalibrated),P,,0.47854286432266235,0.48195332288742065,-0.24568545818328857,-0.43916821479797363,0.37592023611068726,1.528225064277649,0.48514723777770996,0.8876415491104126,0.40235310792922974,1.539655089378357,1.778045892715454
5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.919192, 0.85587305, 1.0557994, 1.3592787, 1.2679727, 0.8008818, 1.2013197, 1.1981856, 0.83805716, 0.8834808, 0.8656914, 1.1485164, 1.1536999, 1.1601537, 1.0042522, 1.1269242, 0.8476696, 1.1719991, 0.98388743, 0.88222265, 0.9642935, 1.0239604, 0.8668415, 1.2095741, 1.00143, 0.8665479, 0.5705888, 0.95414674, 0.7488861, 0.9643628, 1.0749978, 0.9567242, 0.72091943, 0.7735004, 0.8867699, 0.8988109, 0.87080556, 0.5925931, 0.7924011, 0.9905432, 0.5995893, 0.47466007, 0.8133164, 0.6554206, 0.649656, 0.4776882, 0.48825493, 0.52208203, 0.6427719, 0.68230855, 0.060951576, 0.29028007, 0.11452763, 0.44167718, 0.25713608, -0.04529719, -0.0871401, -0.16913752, -0.06864521, -0.13355066, 0.3750344, -0.06645722, -0.08956462, -0.044116534, -0.14352404, -0.36840928, -0.32452926, -0.1321926, -0.37182072, -0.53756106, -0.31428674, -0.2968012, -0.5230914, -0.526354, -0.563044, -1.0042114, -0.86608905, -0.7602542, -0.89643127, -0.66179085, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",increasing,0.24569430139196963,0.24569430139196963,,,,increasing,0.12389545882556294,0.12389545882556294,WEB1392075b,-3.43,29.62,Pollen,Pollen (calibrated),P,,-0.031659483909606934,0.2609838843345642,0.13642781972885132,0.06919169425964355,-0.41287246346473694,-0.5972524881362915,-0.9539897441864014,-1.1843338012695312,,,
6,"[-0.5642147, -0.20045127, -0.93012285, -1.0045462, -0.6876946, -0.75482994, -0.5247648, -0.7058776, -1.2015748, -0.52883404, -0.71056366, -0.8689066, -1.4457942, -1.2925136, -0.88685244, -0.70175123, -0.8216317, -1.332479, -1.0888027, -1.0734111, -0.7529059, -0.7710368, -1.5300219, -1.1375778, -1.4825819, -1.1727955, -0.9934987, -1.3684559, -1.2873875, -1.114625, -1.1543404, -1.4220085, -1.1380244, -1.299452, -0.42515814, -1.2587584, -0.8942933, -1.5863442, -1.1554415, -1.1200415, -0.905957, -1.415917, -1.0258614, -1.0232135, -1.1487, -0.97455984, -0.7409069, -0.7719567, -0.63838035, -0.6763313, -0.8104951, -0.65525717, -0.47308254, -0.03718727, -0.049005024, -0.25980547, -0.476468, 0.29022628, 0.1358784, -0.37669733, -0.40083382, -0.30236658, 0.10653601, 0.13196316, 0.4386096, -0.24263497, -0.40586793, 0.46687412, -0.0028739446, 0.32660946, 0.39403963, 0.3292296, 0.38477996, 1.0170561, -0.08000106, 1.0574586, 0.27729076, 1.4220123, 0.298059, 0.47254667, 0.68233186, 0.3767932, 0.678359, 0.6529889, 1.3359858, 1.1879522, 0.6776724, 0.9651267, 0.879856, 0.6729037, 1.1112711, 1.4057878, 0.87005985, 1.4250764, 0.7266264, 0.82861155, 1.285453, 1.336536, 1.3980516, 0.6725429, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",decreasing,-0.25295856862591326,-0.25295856862591326,decreasing,-0.3463858757355892,-0.3463858757355892,decreasing,-0.0756771793044288,-0.0756771793044288,GHab77d673,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,0.14610111713409424,-0.0002478361129760742,-0.04259008169174194,-0.44402456283569336,-0.1956411600112915,-0.10017925500869751,0.30948200821876526,1.1043554544448853,1.3926477432250977,1.8215869665145874,,
7,"[nan, -0.20045127, -0.93012285, -1.0045462, -0.6876946, -0.75482994, -0.5247648, -0.7058776, -1.2015748, -0.52883404, -0.71056366, -0.8689066, -1.4457942, -1.2925136, -0.88685244, -0.70175123, -0.8216317, -1.332479, -1.0888027, -1.0734111, -0.7529059, -0.7710368, -1.5300219, -1.1375778, -1.4825819, -1.1727955, -0.9934987, -1.3684559, -1.2873875, -1.114625, -1.1543404, -1.4220085, -1.1380244, -1.299452, -0.42515814, -1.2587584, -0.8942933, -1.5863442, -1.1554415, -1.1200415, -0.905957, -1.415917, -1.0258614, -1.0232135, -1.1487, -0.97455984, -0.7409069, -0.7719567, -0.63838035, -0.6763313, -0.8104951, -0.65525717, -0.47308254, -0.03718727, -0.049005024, -0.25980547, -0.476468, 0.29022628, 0.1358784, -0.37669733, -0.40083382, -0.30236658, 0.10653601, 0.13196316, 0.4386096, -0.24263497, -0.40586793, 0.46687412, -0.0028739446, 0.32660946, 0.39403963, 0.3292296, 0.38477996, 1.0170561, -0.08000106, 1.0574586, 0.27729076, 1.4220123, 0.298059, 0.47254667, 0.68233186, 0.3767932, 0.678359, 0.6529889, 1.3359858, 1.1879522, 0.6776724, 0.9651267, 0.879856, 0.6729037, 1.1112711, 1.4057878, 0.87005985, 1.4250764, 0.7266264, 0.82861155, 1.285453, 1.336536, 1.3980516, 0.6725429, 1.1608946, 1.6012388, 1.1741371, 0.84207076, 1.6088244, 1.4886729, 1.0535263, 1.1420118, 1.4328088, 1.033607, 1.9578091, 1.2578639, 1.1745074, 1.1867657, 1.5185256, 1.590378, nan, nan, nan, nan, nan]",decreasing,-0.2654651116432352,-0.2654651116432352,decreasing,-0.2833476677205622,-0.2833476677205622,decreasing,-0.084639864502499,-0.084639864502499,GHb76a109a,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,,0.01436227560043335,-0.02797996997833252,-0.42941445112228394,-0.18103104829788208,-0.08556914329528809,0.3240921199321747,1.1189656257629395,1.4072577953338623,1.8361971378326416,1.8858206272125244,2.682734966278076
8,"[0.652721, 0.20209655, 1.1687535, 0.82233053, 0.62773615, 0.7686122, 1.1370441, 0.91289705, 0.5788461, 0.90199953, 0.3075427, 0.9961851, 0.7040747, 0.76752895, 0.46514216, 1.2776022, 0.804404, 1.5919697, 1.2485435, 0.6734253, 0.7428302, 1.2919244, 1.7335317, 0.51164687, 1.2657107, 1.5031626, 0.18285328, 1.5825456, 1.408636, 1.2597357, 1.2973554, 1.0103091, 1.033795, 1.1546991, 0.8748702, 1.4480958, 0.7113886, 1.2346592, 0.76803267, 1.0639321, 0.8604283, 0.58593744, 0.6856848, 0.734872, 0.9489089, 1.0452536, 0.80714643, 1.2609009, 0.60322446, 0.51347345, 0.9066334, 1.2025169, 0.5844055, 0.1209909, 0.18962798, 0.20799217, 0.56980217, 0.31425503, 0.31257758, 0.05248588, 0.46320915, -0.0073664607, 0.6303673, 0.20332287, 0.22561665, 0.46614352, -0.20277879, 0.12983555, -0.012166581, 0.030667705, -0.45176882, -0.35661006, -0.6841027, -0.42639273, -0.847621, -0.2576904, -0.59642166, -0.043345354, -0.54298335, -0.43736967, -0.10295683, -0.5274215, -0.39922792, -0.6637688, -0.5324111, -1.0894451, -0.89020956, -0.75770986, -1.0229269, -0.8215126, -0.8447637, -1.2433448, -1.1157039, -0.94041276, -1.2282158, -1.2978175, -1.7151884, -1.5843807, -1.6106886, -0.8583632, -1.3309965, -1.0835409, -0.9129423, -1.2255553, -1.479716, -1.1525252, -1.6511424, -0.8678436, -1.1490835, -1.2539097, -2.003368, -1.3418524, -1.7661349, -1.5521334, -1.4104847, -1.4719839, -1.5491575, -1.5713437, -1.7133127, -1.4459854, -1.2992333]",increasing,0.2577505678454152,0.2577505678454152,increasing,0.3222459079717429,0.3222459079717429,increasing,0.05810518090188157,0.05810518090188157,PYTVTSXN49E,-28.53,28.87,Pollen,Pollen (calibrated),P,-0.08187711238861084,-0.42705538868904114,0.00823211669921875,0.5627573132514954,0.12583017349243164,0.17203527688980103,-0.2713889479637146,-1.1863669157028198,-0.837554931640625,-1.5793617963790894,-2.0655946731567383,-2.7379660606384277
9,"[nan, -1.4019382, -1.2047923, -1.0117135, -1.3317297, -1.1405189, -1.2326746, -1.5584407, -1.4880384, -1.3657482, -1.6222181, -1.3035158, -1.2742943, -1.1955934, -1.4370499, -1.3219296, -1.4620465, -1.3272058, -1.122471, -1.2422016, -1.4033209, -1.4527091, -1.091244, -1.1149353, -1.2390256, -0.9759236, -1.1068176, -0.93240076, -1.1107901, -1.2223793, -1.0273889, -0.7493747, -0.9364064, -0.9331686, -0.8553403, -0.8917602, -0.9145363, -0.90911454, -0.8942929, -0.8330211, -0.7811294, -0.7834783, -0.6095446, -0.6010594, -0.6193571, -0.4529867, -0.59798217, -0.6666369, -0.43473315, -0.44997218, -0.71002144, -0.28371167, -0.20010778, -0.29686335, -0.34336114, -0.018154336, -0.19074184, 0.21000019, 0.01887661, -0.00093998725, 0.373199, -0.016368402, 0.09956007, 0.05671099, 0.2701229, 0.5814274, 0.6343016, 0.06292762, 0.6226009, 0.61631346, 0.4927002, 0.3524849, 0.3734416, 0.4692005, 0.080455005, 0.6807251, 0.6728522, 0.8550766, 0.6947824, 0.89171124, 0.78852993, 0.60012627, 0.9182005, 1.115797, 0.93790245, 0.5215293, 0.55221826, 0.8223424, 0.7613304, 1.0166088, 0.92367554, 0.8965026, 1.1652617, 0.9999957, 1.2966267, 1.1373099, 1.1827015, 1.2034392, 0.9628321, 0.916689, 1.1651376, 1.6471629, 1.4291297, 1.5600362, 1.3734206, 1.2143004, 1.4901949, 1.2514275, 1.503366, 1.181025, 1.223315, 1.2559054, 0.9619595, 1.309763, 1.1578873, 1.1542709, 1.1678807, 1.3198683, 1.2112356, nan, nan]",decreasing,-0.28284901377420774,-0.28284901377420774,decreasing,-0.20657639895646912,-0.20657639895646912,decreasing,-0.2451937820856007,-0.2451937820856007,WEB8d973712,33.7,79.17,Leaf Wax (dD),Leaf Wax (dD),P,,-0.28643691539764404,-0.06753969192504883,0.3083922863006592,0.5546517968177795,0.6257597804069519,1.7089802026748657,1.8284814357757568,2.1243112087249756,2.2594566345214844,2.5009188652038574,2.559096336364746
