,Unnamed: 0,Category,CategorySpecific,ageMin,ageMax,ageRange,ageRes,TSid,Lat,Lon,Archive,Proxy,Unit,Interp,Season,Direction,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig,geometry,index_right,Continent,Type,Name,Acronym
0,1,Pollen,Pollen (uncalibrated),347.14,10981.77,10634.63,200.6533962264151,ReWrRAaxLgp,53.75,20.2,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.5835119056666667,-0.3343537434523816,0.945714284166666,5.196190477166666,4.6303809516333345,2.7276190446666666,3.53142857,-0.6095833349166684,-2.2182142870000003,-5.566984130111113,,increasing,0.499429998620493,0.499429998620493,increasing,2.3193974883188626,2.3193974883188626,decreasing,-1.2839201952178223,-1.2839201952178223,POINT (20.2 53.75),17.0,EUROPE,Land,West&Central-Europe,WCE
1,3,Other,Other (uncalibrated),214.0,11981.0,11767.0,101.4396551724138,R7fm0TgPac4_SST_from_planktic0x2EMgCa,-3.6298,119.36,MarineSediment,Mg/Ca,degC,T,2 2 3 4 5 6 7 8 9 10 11 12,positive,0.0,-0.6301083333333359,-0.044333333333334224,-0.7131000000000043,-0.3154000000000039,-0.22063333333333546,0.40912666666666203,0.3368066666666607,0.8885974358974345,0.5598743589743584,0.5666245614035041,0.3940979166666629,decreasing,-0.10024099504142116,-0.10024099504142116,no trend,0.04248245750656048,0.0,no trend,0.00036925995953013323,0.0,POINT (119.36 -3.629799999999999),38.0,ASIA,Land-Ocean,S.E.Asia,SEA
2,5,Pollen,Pollen (uncalibrated),175.37,10425.17,10249.8,353.44137931034487,RwoxLw4fCEO,57.63,14.53,LakeSediment,pollen,degC,T,annual,positive,0.0,0.05904761966666605,1.3383333346666664,1.5832142851666662,2.0797619065,4.472857142916667,2.9153571434166663,1.7550000011666675,0.5983333343333328,-1.468214284333333,-1.279999999333333,,no trend,0.10147085198305453,0.0,increasing,1.2593347880040078,1.2593347880040078,decreasing,-0.7362230926192028,-0.7362230926192028,POINT (14.53 57.63),16.0,EUROPE,Land,N.Europe,NEU
3,7,Other,Other (uncalibrated),1367.0,11980.0,10613.0,111.7157894736842,T2L_A7_mgca_ruber_SST_from_mgca_ruber,27.82,126.9783,MarineSediment,Mg/Ca,degC,T,annual,positive,,,,,,,,,,,,,no trend,0.03159913853888967,0.0,no trend,-0.035200307037970946,0.0,no trend,0.10182951727573117,0.0,POINT (126.9783 27.82),35.0,ASIA,Land,E.Asia,EAS
4,8,Other,Other (uncalibrated),1367.0,11980.0,10613.0,111.7157894736842,T2L_A7_d18o_ruber_SST_from_d18o_ruber,27.82,126.9783,MarineSediment,d18O,degC,T,annual,positive,,,,,,,,,,,,,increasing,0.09548454803101976,0.09548454803101976,no trend,-0.04367169733086743,0.0,no trend,0.14828937392975566,0.0,POINT (126.9783 27.82),35.0,ASIA,Land,E.Asia,EAS
5,10,Pollen,Pollen (uncalibrated),484.76,8373.49,7888.73,106.60445945945943,RDGYulsMSkK,58.38,22.2,LakeSediment,pollen,degC,T,annual,positive,0.0,0.6257272711818183,0.08299999975000016,0.03141269838888938,0.5985714275999996,2.1135714282999998,3.3367142851,2.2837142855833337,1.4776428553750005,,,,decreasing,-0.3294520581366944,-0.3294520581366944,,,,no trend,-0.21805969895316146,0.0,POINT (22.2 58.38),16.0,EUROPE,Land,N.Europe,NEU
6,12,Other,Other (uncalibrated),13.0,6717.1759999999995,6704.1759999999995,68.40995918367348,PYT0P81RJWL,58.7347,-65.9342,LakeSediment,chironomid,degC,T,Summer,positive,0.0,1.937308823529412,2.7566951871657785,2.91183660130719,2.2135588235294126,1.2615588235294144,0.4273388235294142,,,,,,no trend,0.05587227693450381,0.0,,,,decreasing,-0.1749895782146769,-0.1749895782146769,POINT (-65.9342 58.73469999999998),2.0,NORTH-AMERICA,Land,N.E.North-America,NEN
7,14,Pollen,Pollen (uncalibrated),408.89,10885.71,10476.82,261.9205,R4Kh3OLslvX,51.7,23.96,Peat,pollen,degC,T,annual,positive,0.0,1.1033333341666671,1.2509523810000005,0.8109523816666666,1.127380953416667,1.2409523804166671,1.141428571833334,0.9318095233666676,-1.6426984126666664,-3.5956190464333333,-2.4090476195,,increasing,0.4098848043527656,0.4098848043527656,increasing,1.3115302404371014,1.3115302404371014,no trend,-0.18613239714187269,0.0,POINT (23.96 51.7),17.0,EUROPE,Land,West&Central-Europe,WCE
8,18,Other,Other (uncalibrated),18.882,11914.8,11895.918,139.95197647058822,RxPYP3y92HP,61.4639,-58.0365,MarineSediment,dinocyst,degC,T,annual,positive,0.0,-0.5584505494505494,-0.07039285714285715,0.5631904761904765,0.3421071428571429,-0.3813428571428571,0.2253571428571428,-0.51087619047619,0.13635714285714284,-0.7853428571428569,0.4523116883116885,-0.8441428571428571,no trend,0.015367437971958026,0.0,no trend,0.0588810437805219,0.0,no trend,-0.04454216056540016,0.0,POINT (-58.03649999999999 61.46390000000001),2.0,NORTH-AMERICA,Land,N.E.North-America,NEN
9,19,Pollen,Pollen (uncalibrated),82.0,10465.0,10383.0,167.46774193548387,Rf9ndgRNF2y,31.56,117.39,LakeSediment,pollen,degC,T,annual,positive,0.0,0.8670172511860059,0.08987709054216353,0.15918893039527934,1.7519229168330792,2.605346009721579,1.4218530022224505,1.6507879614710903,2.4163415123838305,2.8880981217158967,2.878669568961129,,decreasing,-0.273087817579654,-0.273087817579654,decreasing,-0.4208701853531644,-0.4208701853531644,decreasing,-0.4129033119806084,-0.4129033119806084,POINT (117.39 31.56),35.0,ASIA,Land,E.Asia,EAS
