,Category,CategorySpecific,ageMin,ageMax,ageRange,ageRes,TSid,Lat,Lon,Archive,Proxy,Unit,Interp,Season,Direction,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig
1,Pollen,Pollen (uncalibrated),347.14,10981.77,10634.630000000001,200.6533962264151,ReWrRAaxLgp,53.75,20.2,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.16808999261376295,-0.09631597525518193,0.27242821525412786,1.4968462690212851,1.333855731820447,0.7857345507755421,1.0172848171266382,-0.1756002872752848,-0.6389923144611394,-1.6036593464913207,,increasing,0.14386884648617015,0.14386884648617015,increasing,0.6681397635485626,0.6681397635485626,decreasing,-0.36985386936408016,-0.36985386936408016
3,Other,Other (uncalibrated),214.0,11981.0,11767.0,101.4396551724138,R7fm0TgPac4_SST_from_planktic0x2EMgCa,-3.6298,119.36,MarineSediment,Mg/Ca,degC,T,2 2 3 4 5 6 7 8 9 10 11 12,positive,0.0,-0.8973667475050434,-0.06313717345862224,-1.0155590615039936,-0.4491758911770579,-0.3142142489643792,0.5826564207492031,0.4796621263613641,1.26549316793557,0.7973432597954705,0.806956538780058,0.561253274983423,decreasing,-0.14275788928410058,-0.14275788928410058,no trend,0.060501254628727866,0.0,no trend,0.0005258803785604019,0.0
5,Pollen,Pollen (uncalibrated),175.37,10425.17,10249.8,353.4413793103448,RwoxLw4fCEO,57.63,14.53,LakeSediment,pollen,degC,T,annual,positive,0.0,0.03510479671016187,0.7956615340148684,0.9412473515977337,1.2364532109062565,2.6591883229515707,1.7332285439261308,1.0433768306848294,0.35571916675486837,-0.8728779291940459,-0.7609813912781681,,no trend,0.06032611730973695,0.0,,,,decreasing,-0.4376969325033396,-0.4376969325033396
7,Other,Other (uncalibrated),1367.0,11980.0,10613.0,111.71578947368421,T2L_A7_mgca_ruber_SST_from_mgca_ruber,27.82,126.9783,MarineSediment,Mg/Ca,degC,T,annual,positive,,,,,,,,,,,,,no trend,0.03344167532414647,0.0,no trend,-0.037252826934675486,0.0,no trend,0.10776716748016828,0.0
8,Other,Other (uncalibrated),1367.0,11980.0,10613.0,111.71578947368421,T2L_A7_d18o_ruber_SST_from_d18o_ruber,27.82,126.9783,MarineSediment,d18O,degC,T,annual,positive,,,,,,,,,,,,,increasing,0.09455536239983776,0.09455536239983776,no trend,-0.04324671638383516,0.0,no trend,0.14684633043890996,0.0
10,Pollen,Pollen (uncalibrated),484.76,8373.49,7888.73,106.60445945945945,RDGYulsMSkK,58.38,22.2,LakeSediment,pollen,degC,T,annual,positive,0.0,0.5117879577071551,0.06788644560994983,0.025692728277858623,0.489576949226888,1.7287090631591493,2.729128596550195,1.8678704349865805,1.2085773690902455,,,,decreasing,-0.2694617987126291,-0.2694617987126291,,,,no trend,-0.17835298719631432,0.0
12,Other,Other (uncalibrated),13.0,6717.176,6704.176,68.40995918367348,PYT0P81RJWL,58.7347,-65.9342,LakeSediment,chironomid,degC,T,Summer,positive,0.0,1.2931076578497405,1.84002860751306,1.943581819184506,1.4774979760800584,0.842060571717117,0.2852385218561371,,,,,,,,,,,,decreasing,-0.11680139009590347,-0.11680139009590347
14,Pollen,Pollen (uncalibrated),408.89,10885.71,10476.82,261.9205,R4Kh3OLslvX,51.7,23.96,Peat,pollen,degC,T,annual,positive,0.0,0.4934281569684762,0.5594457347546395,0.3626707602169974,0.5041826334975201,0.5549735759747686,0.510464951134889,0.4167199898005033,-0.7346407700347016,-1.6080178349567986,-1.0773642834211872,,increasing,0.1833069819592875,0.1833069819592875,increasing,0.5865371137690519,0.5865371137690519,no trend,-0.0832413585539011,0.0
18,Other,Other (uncalibrated),18.882,11914.8,11895.918,139.95197647058822,RxPYP3y92HP,61.4639,-58.0365,MarineSediment,dinocyst,degC,T,annual,positive,0.0,-0.40454066120239374,-0.05099247014890562,0.40797425635116297,0.24782185264148482,-0.27624413965598904,0.16324834431232588,-0.3700778736651573,0.09877689042542953,-0.5689010764010016,0.3276538444437221,-0.6114956998678502,no trend,0.011132146837852047,0.0,no trend,0.04265333144840724,0.0,no trend,-0.03226626798780818,0.0
19,Pollen,Pollen (uncalibrated),82.0,10465.0,10383.0,167.46774193548387,Rf9ndgRNF2y,31.56,117.39,LakeSediment,pollen,degC,T,annual,positive,0.0,0.7166807380023681,0.0742928465277366,0.13158635535963503,1.4481481276660624,2.1535918673412917,1.1753107075663638,1.3645494745279403,1.9973598172263798,2.3873161583154525,2.3795224700845234,,decreasing,-0.22573573752392873,-0.22573573752392873,,,,decreasing,-0.34130791509521985,-0.34130791509521985
