,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN,ARO,NPO,EPO,SPO,NAO,EAO,SAO,ARS,BOB,EIO,SIO,SOO
AWI-ESM-1-1-LR,-0.017692812665362663,-0.06149790667449089,-0.002439367154477572,0.13761081978522527,-0.14670842491978994,-0.1289717600164338,-0.20424603842515177,0.19624255369148882,0.2969315958329834,-0.26740197670489907,0.3464387482852803,-0.7425725327655157,-0.28154525445145506,0.21625195178161272,-0.21108940942871773,0.03498033437049735,-0.023407361761434195,-0.07712451971058255,-0.012417768963078302,-0.009817910511668816,0.0031057931792470234,-0.03900569795139838,-0.6753453472706294,-0.03563142226434658,0.03190205764752332,-0.26873713239283076,-0.39094691181470514,-0.39393838418073346,-0.032871141173188914,-0.042456049119226076,-0.02080380438655061,-0.14727254124044645,-0.22881471654703447,-0.049362322770276475,-0.21012084783526955,-0.09982515911828886,-0.03491550010973366,0.0029170951020205537,0.19556218174200493,-0.5976099460716183,-0.05596585272589651,0.2096732642300504,0.11605383778740475,0.10195893194575027,0.005900838228353506,0.034936017142442606,-0.08743778265021865,-0.12803387641906738,-3.4236960351258854,0.0787353515625,,,,,0.10957986116409303,0.9378855228424072,,-0.09506583213806152
CESM2,0.041869011883086074,-0.013769989838641595,-0.0344566458279563,0.12102536688634065,-0.062005837405600346,-0.07283770722970671,-0.0758715750269056,0.24012123125944312,0.06651439761346029,-0.35302344584447043,0.484135058402469,-0.8615227235616558,-1.0157034167557408,0.09658123101377002,-0.42445451379359844,0.08052210072576303,0.04955932491729945,-0.041969662650071855,0.009771509498128049,0.0018298230758934393,-0.0017027357769166579,-0.04718531027171395,-0.4292965367272418,-0.25473647490840323,-0.8476979540166745,-0.1432977056601008,-0.61034187552546,0.23810310147662206,-0.010308511985656925,0.028607505694758333,0.0031145000238460173,-0.0313144740538202,-0.18897326932130074,-0.041130399538950126,-0.23203745235452905,-0.2119508371230553,-0.02272002737334491,-0.1286900110316028,-0.2025017917859256,-0.002742966415285869,-0.1171071207480289,-0.2156596640420403,-0.060253174002122795,0.13385694417418026,0.008035673480932766,-0.014339550127142543,0.03540568066595758,-0.11918136187464681,-0.6486014948480877,0.5441173372521813,,,,,0.2929315479613125,,,0.01819300651550293
EC-Earth3-LR,0.11486829726498793,-0.0296567287701093,-0.015150701735383677,0.05783299446453595,-0.007844786504462657,-0.04038271728344103,0.004126723007887807,0.04197206925639387,0.15749116605549823,-0.6405973854442042,0.12706440181805131,0.0708696536940812,-0.5335889823977786,-0.03287362289666812,-0.3767645780759873,0.027724283198825632,-0.020694207013263733,-0.02224158843466841,0.039512402753053365,0.04633606653022272,0.0015908757234963941,-0.013113809839383641,-0.21536471832921894,-0.0214110810621321,-0.13580621033686563,0.19590436049567697,-0.3708846975242915,-0.7816195979978675,-0.007067081828191397,0.04349762017505,-0.008465567608776252,-0.03203621861274925,-0.07055976347964997,-0.021348848498414588,-0.12673996483783048,-0.12089964316851877,3.31436177140387e-05,-0.06906910935799,-0.38147546896610485,-0.2356337626790038,-0.14145102581685837,0.19381178280322112,0.03757285012017448,-0.1321468337934784,0.012196362944317606,-0.004493342677897295,0.11710102240028744,-0.10447574576562979,-0.07031276725525781,0.5735550872330849,-0.3244516849517822,,,,-0.2592724072771003,-0.18297147750854492,,
FGOALS-f3-L,-0.017427856648595995,-0.035819170556170316,-0.04483205268369056,0.02050790810066487,0.003198950734716845,-0.05281699770429947,0.3281291395847151,0.0955547603989569,0.3272787589447734,-0.6590823056261119,-0.31823766305336154,-0.2410742603411963,-0.6460590492404845,0.08993260149975778,-0.2844596985738587,0.03418007277061403,0.03690880427936139,-0.0036449350505885734,-0.01821102800704608,0.04753760625448183,0.015594745410422963,-0.04666943904986878,-0.5123723225025744,-0.0010379412435694865,-0.512159800315383,-0.328351758545818,-0.5450059743731003,-0.47575051909426397,-0.04234056478592534,0.004731434016075356,-0.034499168649620396,-0.0896280201021482,-0.16756333864028114,-0.020336393979453988,-0.19751465520946468,-0.07567691113684805,-0.06011909341788962,-0.0700055481805657,-0.31975730792809415,-0.3177085974753161,-0.11307870409768182,-0.2564200102527031,-0.012928886030142746,0.21817451360233572,0.005935698117626951,0.030311950229341543,-0.01578150681703781,-0.19304473623939658,0.3183738242958146,-0.04136171176995458,-0.0332331657409668,,,,-0.4777441305754548,-0.7330002784729004,,0.019173860549926758
FGOALS-g3,0.029508467539485685,-0.01879192155892311,-0.00981393490408079,-0.14264753895773702,-0.027982109870708136,-0.11671684765092695,0.19987007027468387,-0.08072405483265821,-0.002500373973008265,-1.2731609151578478,-1.3485224952705137,-0.6778145427322789,-0.6821774594694098,0.08976565894343544,-0.6827473277050412,-0.07801272977450986,-0.03861451839078725,-0.045658105993336695,-0.010716099415721787,0.021474822630077127,0.004551050484212225,-0.10663742077669576,-0.927985403701563,-0.17537007353275103,-1.221371380022268,-0.6533057092923062,-1.2598753565283762,-0.2179435746249363,-0.03761410628178833,-0.011641000270620434,-0.024796653264951802,-0.03020371392183319,-0.2107741222002952,-0.029528328892296448,-0.23528583473141337,-0.10489774411541394,-0.08725582886140225,-0.14114281952114766,0.13334965468051208,0.10806450219648145,-0.2334239934476298,-0.2875327633493163,-0.07570557474812087,-0.18302714653626168,0.007389705890180107,-0.0011252806460497762,-0.03216884724493525,,3.1183080673217773,0.4107956886291504,,,,,0.15427112579345703,,,-0.11207461357116698
GISS-E2-1-G,0.015682357948187904,-0.04027677106612233,-0.06311701042798158,0.1397158349595694,-0.04681797330129061,-0.1339364112565113,0.3095014884351098,0.12213471797847289,0.22957155434136445,-1.0720114039396202,-0.4512898780493824,0.00932808117738263,-0.5592292118894274,-0.03233827242176822,-0.34202312959070436,0.05519228739410974,-0.004509934433521826,-0.05914114574181858,-0.04071696609909423,0.0431624688014872,0.008735422965956346,-0.1008925345161689,-0.35633158848939234,-0.1663163548344226,-0.1357279275640012,-0.08853378818546216,-0.2942745888979615,-0.22087473629629875,-0.041801647393372596,-0.04659930918876792,-0.05401965203317039,-0.06632545158650682,-0.1866488795282086,-0.032425351729182685,-0.0887313022548828,-0.14278824500311002,-0.060926452816935706,-0.08177463079188532,-0.22125714949390782,-0.4719093053002641,-0.2363755186762184,-0.23325243088025627,-0.002017805278717587,0.0035836889161948477,-0.009842293571313039,-0.011852661948963563,0.0406663591975001,-0.21553301811218262,,0.14177942276000977,-0.13007211685180664,,,,,-0.11268901824951172,,
INM-CM4-8,0.014368280766280484,0.004372809289098551,-0.05669170565337357,-0.11441733758832938,-0.09461259325687307,-0.11984975899951818,0.03815725131877247,0.12830371557835327,-0.21301857811235336,-0.7830563498298629,-0.2880911930190462,-0.1367674392917467,-0.6885617950837325,-0.3842627701389189,-0.40684629783743265,0.018865047928867992,0.006973801255304346,-0.010487227888019895,-0.021831841046128335,0.05833370803845367,0.005773282665586897,-0.11445328174530497,-0.12650671111208975,-0.21477748047138667,-0.34023684782464664,-0.9384515507621296,-1.4411838500847383,-0.8416351613608811,-0.015385822017745085,-0.04413829031322111,-0.03654225576307072,-0.09721161840555559,-0.05732771495941546,-0.045680749736002356,-0.03021659507138603,-0.24373951741073652,-0.00976767433593789,0.06391440834619393,-0.6627378165749387,-0.488382184279052,-0.18584856162397523,-0.32931259340553715,0.031005670160491286,0.03518025205479182,0.0017967005662764685,-0.006323798024364321,0.01023915856907376,,0.9930529652971966,-0.011394977569580078,,,,,0.08711624145507812,0.17102909088134766,,
IPSL-CM6A-LR,-0.0430291504883193,0.014651650818052305,-0.05205401447792508,-0.05329342055228603,-0.12079958943476977,-0.14914598921594122,-0.03827304178345916,-0.055812828347403004,-0.0370613950975031,-0.3685260338956043,-0.08148520135268043,-0.47014165716102096,-0.4630978678604422,-0.07585552716498867,-0.4902739510453405,0.03704812520326359,-0.028761872378138226,-0.03847490247503534,-0.011713381783535811,-0.03949451256369426,9.336283210130563e-05,-0.13710191959365955,-0.4376159693432843,-0.23028685662971318,-0.6544251303578468,-0.1857434881147396,-0.5368648993999587,-0.7552980383217913,-0.036346609653990745,-0.027172382141352612,-0.03248478475500627,-0.12719051786816257,-0.17841191978257048,-0.016994298546040197,-0.12782764116159342,-0.07089475708652739,-0.030334601709992907,-0.009430237693940522,-0.6433915373038162,-0.8936240944985636,-0.3783580986726877,-0.2834287834875642,0.010584748373363744,0.04254774983452728,0.004408534976430454,-0.0009896016312528342,-0.047231544063787614,-0.0268409252166748,-0.6851703737208965,-0.13907355580821243,,,,,-0.1786365509033203,,,0.05440998077392578
MIROC-ES2L,-0.034416519292744994,0.04188867091182453,-0.04346954446997488,-0.03255499734768974,-0.05332834143174601,-0.08588197535474258,0.053312080730985145,0.016099997596390386,-0.03682422637939453,-0.14045953175992218,-0.39237437986415746,-0.84353060200611,-1.0600530989580987,-0.031842753592208006,-0.25824621824147725,-0.020938092163092475,-0.061251612107139856,0.012079416038777359,-0.0678762435389134,0.05788116244334866,-0.008829898518170688,-0.08642584565677669,-0.7120365103195806,-0.500139970364436,-0.23684070967125767,0.1057005609017797,-0.5415314614536084,-0.2089372669492223,-0.046362622112832264,-0.0505681881282948,-0.05886660381837275,-0.10117770602213401,-0.33801533581615634,-0.1409187274185001,-0.2275073468900011,-0.23502318468599476,-0.06166544526898965,-0.14724705196963145,-0.10014052070924478,-1.0397320408856014,-0.3159204688462339,-0.4897519961650628,0.01363358952066871,-0.16354588654612262,-0.01055191861778276,0.003118429603232514,-0.010205793380737306,,-0.8184676806626742,,,,,,,0.8037793636322021,,
MPI-ESM1-2-LR,-0.04273081181078213,-0.024937169180389924,-0.048132245803771845,0.056954576386395526,-0.07472611593601247,-0.07657315151817251,-0.0355089054266694,0.03239489025357547,0.16612229176792573,-0.6501104431814853,-0.30358790660466617,-0.4723891120570982,-1.206934033841525,0.1047646399661432,-0.516261074112511,-0.04194314511311487,-0.05678436680923058,-0.07779873301191344,-0.07272620129814628,0.051722380225942374,0.00689489678492935,-0.035415082203903686,-0.3272423291666127,-0.03302198022976508,-0.12827737984424512,0.06317162408824198,-0.4819519808434841,-0.44934518821451624,-0.03216089031407638,-0.06931355574123998,-0.05002083232367173,-0.07652205613935209,-0.09312685264622762,-0.042347511561613024,-0.1397813239717412,-0.18781425267779497,0.004812669722224507,0.020792206203092307,-0.4425154631624527,-0.16633386699708755,-0.002105093468634784,0.169505725791416,0.06950036221806448,0.04814938905977117,0.004625950744853746,-0.01326496655468206,-0.01607545358730464,-0.03743338584899902,-0.29008293284976955,1.0295486450195312,,,,,-0.14051777124404907,-0.8710826635360718,,-0.12805867195129395
